"id","nie_malla_modi_id","ano","scd","scod","scmd","scmc"
139480,1731339,2013,0,0,0,0.00
139481,1731339,2014,0,0,0,0.00
139482,1733741,2001,0,0,0,0.00
139483,1733741,2002,0,0,0,0.00
139484,1733741,2003,0,0,0,0.00
139485,1733741,2004,0,0,0,0.00
139486,1733741,2005,0,0,0,0.00
139487,1733741,2006,0,0,0,0.00
139488,1733741,2007,0,0,0,0.00
139489,1733741,2008,0,0,0,0.00
139490,1733741,2009,0,0,0,0.00
139491,1733741,2010,0,0,0,0.00
139492,1733741,2011,0,0,0,0.00
139493,1733741,2012,0,0,0,0.00
139494,1733741,2013,0,0,0,0.00
139495,1733741,2014,0,0,0,0.00
139496,1740947,2001,0,0,0,0.00
139497,1740947,2002,0,0,0,0.00
139498,1740947,2003,8,64,64,1.00
139499,1740947,2004,0,0,0,0.00
139500,1740947,2005,0,0,0,0.00
139501,1740947,2006,0,0,0,0.00
139502,1740947,2007,0,0,0,0.00
139503,1740947,2008,0,0,0,0.00
139504,1740947,2009,0,0,0,0.00
139505,1740947,2010,0,0,0,0.00
139506,1740947,2011,0,0,0,0.00
139507,1740947,2012,0,0,0,0.00
139508,1740947,2013,0,0,0,0.00
139509,1740947,2014,0,0,0,0.00
139510,1721729,2001,0,0,0,0.00
139511,1721729,2002,0,0,0,0.00
139512,1721729,2003,0,0,0,0.00
139513,1721729,2004,0,0,0,0.00
139514,1721729,2005,0,0,0,0.00
139515,1721729,2006,0,0,0,0.00
139516,1721729,2007,0,0,0,0.00
139517,1721729,2008,0,0,0,0.00
139518,1721729,2009,0,0,0,0.00
139519,1721729,2010,0,0,0,0.00
139520,1721729,2011,0,0,0,0.00
139521,1721729,2012,0,0,0,0.00
139522,1721729,2013,0,0,0,0.00
139523,1721729,2014,0,0,0,0.00
139524,1724131,2001,0,0,0,0.00
139525,1724131,2002,0,0,0,0.00
139526,1724131,2003,0,0,0,0.00
139527,1724131,2004,0,0,0,0.00
139528,1724131,2005,0,0,0,0.00
139529,1724131,2006,0,0,0,0.00
139530,1724131,2007,0,0,0,0.00
139531,1724131,2008,0,0,0,0.00
139532,1724131,2009,0,0,0,0.00
139533,1724131,2010,0,0,0,0.00
139534,1724131,2011,0,0,0,0.00
139535,1724131,2012,0,0,0,0.00
139536,1724131,2013,8,88,88,1.00
139537,1724131,2014,0,0,0,0.00
139538,1733739,2001,0,0,0,0.00
139539,1733739,2002,8,96,96,1.00
139540,1733739,2003,0,0,0,0.00
139541,1733739,2004,0,0,0,0.00
139542,1733739,2005,0,0,0,0.00
139543,1733739,2006,0,0,0,0.00
139544,1733739,2007,0,0,0,0.00
139545,1733739,2008,0,0,0,0.00
139546,1733739,2009,0,0,0,0.00
139547,1733739,2010,0,0,0,0.00
139548,1733739,2011,0,0,0,0.00
139549,1733739,2012,0,0,0,0.00
139550,1733739,2013,0,0,0,0.00
139551,1733739,2014,0,0,0,0.00
139552,1736141,2001,0,0,0,0.00
139553,1736141,2002,8,96,96,1.00
139554,1736141,2003,0,0,0,0.00
139555,1736141,2004,0,0,0,0.00
139556,1736141,2005,0,0,0,0.00
139557,1736141,2006,0,0,0,0.00
139558,1736141,2007,0,0,0,0.00
139559,1736141,2008,0,0,0,0.00
139560,1736141,2009,0,0,0,0.00
139561,1736141,2010,0,0,0,0.00
139562,1736141,2011,0,0,0,0.00
139563,1736141,2012,0,0,0,0.00
139564,1736141,2013,0,0,0,0.00
139565,1736141,2014,0,0,0,0.00
139566,1702513,2001,0,0,0,0.00
139567,1702513,2002,0,0,0,0.00
139568,1702513,2003,0,0,0,0.00
139569,1702513,2004,0,0,0,0.00
139570,1702513,2005,0,0,0,0.00
139571,1702513,2006,0,0,0,0.00
139572,1702513,2007,0,0,0,0.00
139573,1702513,2008,0,0,0,0.00
139574,1702513,2009,0,0,0,0.00
139575,1702513,2010,0,0,0,0.00
139576,1702513,2011,0,0,0,0.00
139577,1702513,2012,0,0,0,0.00
139578,1702513,2013,0,0,0,0.00
