"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
0,0,0.81313,-5,286.33,0,-0.055,"1589498"
0,0,0.59374,-10,284.67,0,-0.11,"1591900"
0,0,1,0,284.67,0,0,"1591901"
0,0,0.4025,-15,279.67,0,-0.165,"1591914"
0,0,0.4025,-15,279.67,0,-0.165,"1591915"
0,0,0.90802,-3,299.67,0,-0.033,"1594301"
-0.727,-5.3,0.33324,-18,308.67,0,-0.198,"1594302"
0,0,1,-1,283.67,0,-0.011,"1594303"
0,0,1,1,295.67,0,0.011,"1594310"
0,0,0.95251,-2,282,0,-0.022,"1594311"
0,0,0.72595,7,293,0,0.077,"1594312"
0,0,0.81686,-5,298.33,0,-0.055,"1594315"
0,0,0.48327,-13,293,0,-0.143,"1594316"
0,0,1,1,314.33,0,0.011,"1596703"
0,0,0.90802,-3,299.67,0,-0.033,"1596704"
0,0,0.51442,12,284.67,0,0.132,"1596705"
0,0,0.68578,-8,299.33,0,-0.088,"1596711"
0,0,0.68578,-8,299.33,0,-0.088,"1596712"
0,0,0.48327,-13,293,0,-0.143,"1596713"
0,0,0.56349,-11,299.67,0,-0.121,"1596714"
0,0,0.48228,-13,291.67,0,-0.143,"1596715"
0,0,0.85968,-4,288,0,-0.044,"1596716"
0,0,0.81007,-5,277,0,-0.055,"1596717"
0,0,0.51687,-12,288,0,-0.132,"1596718"
0,0,0.33638,-17,277,0,-0.187,"1596719"
0,0,0.52399,-12,298,0,-0.132,"1599103"
0,0,0.69344,-8,315.33,0,-0.088,"1599104"
-1,-4.61,0.34144,-18,319.33,0,-0.198,"1599105"
0,0,0.45836,-14,307.33,0,-0.154,"1599106"
0,0,0.90902,-3,306.33,0,-0.033,"1599107"
0.727,5.53,0.19049,24,308.67,0,0.264,"1599108"
0,0,0.72889,-7,299.67,0,-0.077,"1599114"
0,0,0.90802,-3,299.67,0,-0.033,"1599115"
0,0,0.73061,-7,303.67,0,-0.077,"1599116"
0,0,0.8127,-5,285,0,-0.055,"1599117"
0,0,0.22276,-22,296.67,0,-0.242,"1599118"
0,0,0.22276,-22,296.67,0,-0.242,"1599119"
0,0,0.24157,-21,291.67,0,-0.231,"1599120"
0,0,0.33638,-17,277,0,-0.187,"1599121"
0,0,0.86173,4,296.67,0,0.044,"1601504"
0,0,0.86499,4,311.33,0,0.044,"1601505"
0,0,1,0,307.33,0,0,"1601506"
0,0,0.86556,-4,314,0,-0.044,"1601507"
0,0,0.46126,-14,311.33,0,-0.154,"1601508"
0,0,0.59546,-10,287.33,0,-0.11,"1601509"
0,0,0.73396,-7,311.67,0,-0.077,"1601510"
0,0,0.56607,-11,303.67,0,-0.121,"1601516"
0,0,0.77084,-6,294.67,0,-0.066,"1601517"
0,0,0.42175,-15,303.67,0,-0.165,"1601518"
0,0,0.32581,-18,299.33,0,-0.198,"1601519"
0,0,0.60846,-10,308.67,0,-0.11,"1601520"
0,0,0.57273,-11,314.33,0,-0.121,"1601521"
-0.667,-6.14,0.3048,-19,307.67,0,-0.209,"1601522"
0,0,0.48818,-13,299.67,0,-0.143,"1601523"
-0.889,-10.37,0.08172,-31,297,0,-0.341,"1601524"
0,0,0.06467,-31,263.67,0,-0.341,"1601525"
1.231,3.17,0.37626,17,327,0,0.187,"1603905"
0,0,0.3891,16,303.33,0,0.176,"1603906"
0,0,0.56649,11,304.33,0,0.121,"1603907"
0,0,1,0,322,0,0,"1603908"
0,0,0.95509,2,315.33,0,0.022,"1603909"
0,0,0.73745,7,320.33,0,0.077,"1603910"
0,0,0.81726,-5,299.67,0,-0.055,"1603911"
0,0,0.48525,-13,295.67,0,-0.143,"1603912"
0,0,0.41866,-15,299.67,0,-0.165,"1603918"
0,0,0.73061,-7,303.67,0,-0.077,"1603919"
0,0,0.68968,-8,307.33,0,-0.088,"1603920"
0,0,0.73174,-7,306.33,0,-0.077,"1603921"
-1,-4.38,0.27319,-20,300.67,0,-0.22,"1603922"
0,0,0.77689,-6,311.33,0,-0.066,"1603923"
-1,-5.3,0.25828,-21,313,0,-0.231,"1603924"
0,0,0.955,-2,314,0,-0.022,"1603925"
-1.333,-14.58,0.04851,-35,297,0,-0.385,"1603926"
0,0,0.06467,-31,263.67,0,-0.341,"1603927"
1.143,2.9,0.43694,15,324.33,0,0.165,"1606307"
0,0,0.8679,4,325.33,0,0.044,"1606308"
0,0,1,1,314.33,0,0.011,"1606309"
0.8,2.37,0.54071,12,323.33,0,0.132,"1606310"
0.727,2.36,0.61816,10,326,0,0.11,"1606311"
0,0,0.86695,4,320.67,0,0.044,"1606312"
0,0,0.45836,-14,307.33,0,-0.154,"1606313"
0,0,0.49668,-13,311.67,0,-0.143,"1606314"
0,0,0.90802,3,299.67,0,0.033,"1606315"
0,0,0.72831,7,298.33,0,0.077,"1606320"
0,0,0.90613,3,287.67,0,0.033,"1606321"
0,0,0.82187,5,315.67,0,0.055,"1606322"
-0.889,-4.2,0.43504,-15,321.67,0,-0.165,"1606323"
-1,-3.65,0.33942,-18,316.67,0,-0.198,"1606324"
0,0,0.24521,-20,267.33,0,-0.22,"1606325"
0,0,0.39014,-16,304.67,0,-0.176,"1606326"
-0.8,-5.83,0.33942,-18,316.67,0,-0.198,"1606327"
