"sen.slope";"sen.slope.pct";"p.value";"S";"varS";"miss";"tau";"nie_malla_modi_id"
-1.6;-1.42;0.5436;-12;328;0;-0.132;"1589498"
-2.182;-2.15;0.34593;-18;325.33;0;-0.198;"1591900"
-1.778;-1.64;0.43881;-15;327;0;-0.165;"1591901"
0;0;0.40967;-15;288.33;0;-0.165;"1591914"
0;0;0.40967;-15;288.33;0;-0.165;"1591915"
-1.6;-1.25;0.58026;-11;327;0;-0.121;"1594301"
-1.778;-1.5;0.50695;-13;327;0;-0.143;"1594302"
-1.778;-1.58;0.50695;-13;327;0;-0.143;"1594303"
0;0;0.95556;2;322;0;0.022;"1594310"
0;0;1;-1;324.33;0;-0.011;"1594311"
0;0;1;1;312.33;0;0.011;"1594312"
0;0;0.9099;3;312.33;0;0.033;"1594315"
0;0;0.90833;-3;301.67;0;-0.033;"1594316"
1;0.81;0.6595;9;329.67;0;0.099;"1596703"
-0.636;-0.57;0.74004;-7;327;0;-0.077;"1596704"
-1.333;-1.13;0.65689;-9;324.33;0;-0.099;"1596705"
0;0;0.73532;-7;315;0;-0.077;"1596711"
0;0;0.73532;-7;315;0;-0.077;"1596712"
0;0;0.49153;-13;304.33;0;-0.143;"1596713"
-0.889;-1.08;0.49896;-13;315;0;-0.143;"1596714"
-1;-1.25;0.46459;-14;316;0;-0.154;"1596715"
0;0;0.90833;-3;301.67;0;-0.033;"1596716"
0;0;1;1;285.67;0;0.011;"1596717"
0;0;0.90833;-3;301.67;0;-0.033;"1596718"
0;0;0.47975;-13;288.33;0;-0.143;"1596719"
-0.545;-0.4;0.78249;-6;328;0;-0.066;"1599103"
-0.889;-0.61;0.61923;-10;328;0;-0.11;"1599104"
-2.667;-1.96;0.37964;-17;331.67;0;-0.187;"1599105"
-2.667;-1.98;0.476;-14;332.67;0;-0.154;"1599106"
-2.667;-1.99;0.32102;-19;329;0;-0.209;"1599107"
1.455;1.42;0.6582;9;327;0;0.099;"1599108"
0;0;0.73745;-7;320.33;0;-0.077;"1599114"
0;0;0.86499;-4;311.33;0;-0.044;"1599115"
0;0;0.57151;-11;312.33;0;-0.121;"1599116"
0;0;0.64939;-9;309.67;0;-0.099;"1599117"
-0.889;-1.08;0.49896;-13;315;0;-0.143;"1599118"
-0.889;-1.08;0.49896;-13;315;0;-0.143;"1599119"
-1.6;-1.82;0.46459;-14;316;0;-0.154;"1599120"
0;0;0.47975;-13;288.33;0;-0.143;"1599121"
-0.545;-0.39;0.74004;-7;327;0;-0.077;"1601504"
-0.889;-0.63;0.54237;-12;326;0;-0.132;"1601505"
-2.667;-1.95;0.24768;-22;330;0;-0.242;"1601506"
-2.667;-1.98;0.20547;-24;330;0;-0.264;"1601507"
-2.667;-1.99;0.20547;-24;330;0;-0.264;"1601508"
-2.667;-1.83;0.22517;-23;329;0;-0.253;"1601509"
-1.273;-1.1;0.5818;-11;329.67;0;-0.121;"1601510"
0;0;0.73423;-7;312.33;0;-0.077;"1601516"
0;0;0.68511;-8;298;0;-0.088;"1601517"
0;0;0.57151;-11;312.33;0;-0.121;"1601518"
0;0;0.53475;-12;314;0;-0.132;"1601519"
0;0;0.95579;2;325.33;0;0.022;"1601520"
-2.667;-2.19;0.61923;-10;328;0;-0.11;"1601521"
-4.714;-4.34;0.37134;-17;320.33;0;-0.187;"1601522"
0;0;0.65489;-9;320.33;0;-0.099;"1601523"
-9.6;-10.94;0.10849;-29;304.33;0;-0.319;"1601524"
-8;-11.02;0.07612;-30;267.33;0;-0.33;"1601525"
-2;-1.34;0.31954;-19;327;0;-0.209;"1603905"
-1.143;-0.83;0.6582;-9;327;0;-0.099;"1603906"
0;0;0.78162;6;325.33;0;0.066;"1603907"
0;0;0.95597;-2;328;0;-0.022;"1603908"
-1.333;-0.97;0.65917;-9;329;0;-0.099;"1603909"
-1.333;-1.03;0.61923;-10;328;0;-0.11;"1603910"
-2.667;-1.98;0.13601;-28;328;0;-0.308;"1603911"
-2.667;-2.04;0.15215;-27;329.67;0;-0.297;"1603912"
0;0;0.57151;-11;312.33;0;-0.121;"1603918"
0;0;0.53562;-12;315.33;0;-0.132;"1603919"
0;0;0.82494;-5;327;0;-0.055;"1603920"
0;0;0.82441;-5;325;0;-0.055;"1603921"
0.889;0.7;0.5052;13;324.33;0;0.143;"1603922"
0;0;0.86843;-4;328;0;-0.044;"1603923"
0;0;1;0;328;0;0;"1603924"
0;0;0.91103;3;320.33;0;0.033;"1603925"
-7.385;-9.32;0.13612;-27;304.33;0;-0.297;"1603926"
-8;-11.02;0.07612;-30;267.33;0;-0.33;"1603927"
-2.667;-1.77;0.18039;-25;321;0;-0.275;"1606307"
-2;-1.4;0.28968;-20;322;0;-0.22;"1606308"
0;0;0.78052;-6;322;0;-0.066;"1606309"
0;0;0.78052;6;322;0;0.066;"1606310"
-0.889;-0.66;0.65622;-9;323;0;-0.099;"1606311"
