scd;elev
40;0
42;100
46;200
45;300
55;400
61;500
65;600
67;700
70;800
73;900
78;1000
85;1100
94;1200
106;1300
111;1400
123;1500
134;1600
145;1700
154;1800
165;1900
173;2000
182;2100
191;2200
198;2300
208;2400
217;2500
229;2600
237;2700
253;2800
264;2900
285;3000
296;3100
308;3200
320;3300
344;3400
350;3500
346;3600
359;3700
345;3800
357;3900
