"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
2.774,0.41,0.92116,3,408.33,0,0.029,"1570239"
3.072,0.47,0.92116,3,408.33,0,0.029,"1570240"
3.798,0.59,0.92116,3,408.33,0,0.029,"1570241"
4.47,0.7,0.92116,3,408.33,0,0.029,"1570242"
4.688,0.72,0.92116,3,408.33,0,0.029,"1570243"
4.458,0.67,0.84309,5,408.33,0,0.048,"1570244"
5.77,0.91,0.92116,3,408.33,0,0.029,"1570245"
5.807,0.95,1,1,408.33,0,0.01,"1570246"
6.23,0.96,0.84309,5,408.33,0,0.048,"1570247"
6.331,0.99,0.84309,5,408.33,0,0.048,"1570248"
6.489,1.02,0.84309,5,408.33,0,0.048,"1570249"
6.628,1.06,0.84309,5,408.33,0,0.048,"1570250"
6.748,1.09,0.92116,3,408.33,0,0.029,"1570251"
7.021,1.12,0.84309,5,408.33,0,0.048,"1570252"
2.94,0.47,0.92116,3,408.33,0,0.029,"1572639"
3.378,0.53,0.92116,3,408.33,0,0.029,"1572641"
3.264,0.51,0.92116,3,408.33,0,0.029,"1572642"
3.012,0.46,0.92116,3,408.33,0,0.029,"1572643"
3.108,0.46,0.84309,5,408.33,0,0.048,"1572644"
3.684,0.55,0.84309,5,408.33,0,0.048,"1572645"
4.596,0.7,0.88183,4,407.33,0,0.038,"1572646"
5.448,0.84,0.92116,3,408.33,0,0.029,"1572647"
5.757,0.94,1,1,408.33,0,0.01,"1572648"
6.087,0.96,0.84309,5,408.33,0,0.048,"1572649"
6.298,0.99,0.84309,5,408.33,0,0.048,"1572650"
6.462,1.03,0.84309,5,408.33,0,0.048,"1572651"
6.598,1.07,0.92116,3,408.33,0,0.029,"1572652"
6.769,1.1,0.92116,3,408.33,0,0.029,"1572653"
6.948,1.14,0.92116,3,408.33,0,0.029,"1572654"
6.7,1.09,0.92116,3,408.33,0,0.029,"1572655"
6.705,1.08,0.92116,3,408.33,0,0.029,"1572656"
6.075,0.97,0.92116,3,408.33,0,0.029,"1572657"
4.445,0.72,0.92116,3,408.33,0,0.029,"1572658"
3.745,0.6,0.92116,3,408.33,0,0.029,"1572659"
1.138,0.19,0.84309,5,408.33,0,0.048,"1572660"
1.335,0.22,0.92116,3,408.33,0,0.029,"1572661"
1.025,0.18,0.84309,5,408.33,0,0.048,"1572662"
1.277,0.22,0.84309,5,408.33,0,0.048,"1572663"
1.4,0.24,0.84309,5,408.33,0,0.048,"1572664"
1.095,0.18,0.84309,5,408.33,0,0.048,"1572665"
1.095,0.19,0.84309,5,408.33,0,0.048,"1572666"
0.907,0.15,0.84309,5,408.33,0,0.048,"1572667"
1.04,0.17,0.84309,5,408.33,0,0.048,"1572668"
1.46,0.24,0.92116,3,408.33,0,0.029,"1572669"
1.277,0.21,0.92116,3,408.33,0,0.029,"1572670"
0.763,0.13,0.84309,5,408.33,0,0.048,"1572671"
1.29,0.22,0.84309,5,408.33,0,0.048,"1572672"
1.12,0.2,0.92116,3,408.33,0,0.029,"1572673"
0.768,0.14,0.92116,3,408.33,0,0.029,"1572674"
0.987,0.19,1,1,408.33,0,0.01,"1572675"
0.908,0.17,1,1,408.33,0,0.01,"1572676"
0.862,0.16,1,1,408.33,0,0.01,"1572677"
6.316,1.31,0.48842,15,408.33,0,0.143,"1572678"
6.173,1.31,0.48842,15,408.33,0,0.143,"1572679"
6.044,1.3,0.48842,15,408.33,0,0.143,"1572680"
5.864,1.28,0.48842,15,408.33,0,0.143,"1572681"
5.367,1.15,0.55262,13,408.33,0,0.124,"1572682"
4.774,0.99,0.48842,15,408.33,0,0.143,"1572683"
4.9,1.08,0.48842,15,408.33,0,0.143,"1572684"
5.031,1.11,0.48842,15,408.33,0,0.143,"1572685"
2.957,0.72,0.76653,7,408.33,0,0.067,"1572686"
2.57,0.65,0.84309,5,408.33,0,0.048,"1572687"
0.978,0.24,0.76653,7,408.33,0,0.067,"1572688"
0.344,0.09,0.84309,5,408.33,0,0.048,"1572689"
1.806,0.48,0.92116,3,408.33,0,0.029,"1572690"
1.649,0.43,0.84309,5,408.33,0,0.048,"1572691"
1.879,0.5,0.84309,5,408.33,0,0.048,"1572692"
2.103,0.59,0.62069,11,408.33,0,0.105,"1572693"
2.815,0.78,0.62069,11,408.33,0,0.105,"1572694"
3.728,1.1,0.55262,13,408.33,0,0.124,"1572695"
5.623,1.75,0.48842,15,408.33,0,0.143,"1572696"
5.766,1.82,0.42848,17,408.33,0,0.162,"1572697"
6.559,1.9,0.48842,15,408.33,0,0.143,"1572698"
6.808,1.99,0.48842,15,408.33,0,0.143,"1572699"
5.006,1.56,0.48842,15,408.33,0,0.143,"1572700"
5.017,1.59,0.48842,15,408.33,0,0.143,"1572701"
5.919,1.81,0.48842,15,408.33,0,0.143,"1572702"
5.819,1.83,0.48842,15,408.33,0,0.143,"1572703"
6.031,1.91,0.37305,19,408.33,0,0.181,"1572704"
6.923,2.11,0.3223,21,408.33,0,0.2,"1572705"
6.864,2.13,0.3223,21,408.33,0,0.2,"1572706"
6.82,2.15,0.27628,23,408.33,0,0.219,"1572707"
7.237,2.22,0.27628,23,408.33,0,0.219,"1572708"
7.338,2.22,0.27628,23,408.33,0,0.219,"1572709"
7.104,2.21,0.27628,23,408.33,0,0.219,"1572710"
7.224,2.22,0.27628,23,408.33,0,0.219,"1572711"
6.814,2.19,0.3223,21,408.33,0,0.2,"1572712"
6.748,2.23,0.37305,19,408.33,0,0.181,"1572713"
6.801,2.25,0.37305,19,408.33,0,0.181,"1572714"
6.064,1.95,0.42848,17,408.33,0,0.162,"1572715"
5.919,1.83,0.48842,15,408.33,0,0.143,"1572716"
-2.07,-0.32,1,-1,408.33,0,-0.01,"1575040"
2.714,0.43,0.92116,3,408.33,0,0.029,"1575041"
3.008,0.48,0.92116,3,408.33,0,0.029,"1575042"
2.277,0.34,0.92116,3,408.33,0,0.029,"1575043"
2.409,0.36,0.92116,3,408.33,0,0.029,"1575044"
2.456,0.37,0.92116,3,408.33,0,0.029,"1575045"
2.923,0.43,0.84309,5,408.33,0,0.048,"1575046"
3.317,0.49,0.84309,5,408.33,0,0.048,"1575047"
3.874,0.58,0.84309,5,408.33,0,0.048,"1575048"
5.52,0.89,0.92116,3,408.33,0,0.029,"1575049"
5.743,0.92,0.92116,3,408.33,0,0.029,"1575050"
5.946,0.96,0.92116,3,408.33,0,0.029,"1575051"
6.25,0.99,0.84309,5,408.33,0,0.048,"1575052"
6.498,1.02,0.84309,5,408.33,0,0.048,"1575053"
6.72,1.06,0.84309,5,408.33,0,0.048,"1575054"
6.81,1.11,0.92116,3,408.33,0,0.029,"1575055"
7.041,1.14,0.92116,3,408.33,0,0.029,"1575056"
7.391,1.16,0.84309,5,408.33,0,0.048,"1575057"
6.94,1.11,0.92116,3,408.33,0,0.029,"1575058"
7.779,1.21,0.84309,5,408.33,0,0.048,"1575059"
6.915,1.08,0.84309,5,408.33,0,0.048,"1575060"
1.445,0.24,0.84309,5,408.33,0,0.048,"1575061"
1.542,0.25,0.84309,5,408.33,0,0.048,"1575062"
1.11,0.19,0.84309,5,408.33,0,0.048,"1575063"
1.428,0.24,0.92116,3,408.33,0,0.029,"1575064"
1.345,0.22,0.84309,5,408.33,0,0.048,"1575065"
2.107,0.34,0.92116,3,408.33,0,0.029,"1575066"
1.678,0.28,0.84309,5,408.33,0,0.048,"1575067"
1.698,0.28,0.88183,4,407.33,0,0.038,"1575068"
1.86,0.3,0.92116,3,408.33,0,0.029,"1575069"
