"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
-5.25,-8.83,0.15754,-25,288.33,0,-0.275,"1606329"
0,0,0.49153,-13,304.33,0,-0.143,"1606330"
4,5.06,0.0265,41,325,0,0.451,"1608708"
2.182,2.9,0.29117,20,324,0,0.22,"1608709"
2.143,3.07,0.7408,7,329,0,0.077,"1608710"
2.143,3.07,0.2041,24,328,0,0.264,"1608711"
2,2.8,0.07649,33,326.33,0,0.363,"1608712"
1.778,2.28,0.3479,18,328,0,0.198,"1608713"
1.6,1.82,0.37578,17,326.33,0,0.187,"1608714"
2.667,2.95,0.29413,20,328,0,0.22,"1608715"
-4,-3.84,0.43599,-15,323,0,-0.165,"1608716"
0.667,0.68,0.74004,7,327,0,0.077,"1608717"
0.8,0.8,0.58026,11,327,0,0.121,"1608718"
0,0,0.8679,4,325.33,0,0.044,"1608719"
0,0,1,1,326.33,0,0.011,"1608720"
0,0,1,-1,329,0,-0.011,"1608721"
0,0,1,-1,329,0,-0.011,"1608723"
0,0,0.95597,2,328,0,0.022,"1608724"
0.727,0.75,0.78249,6,328,0,0.066,"1608725"
2.143,2.42,0.24624,22,328,0,0.242,"1608726"
1.6,1.87,0.66046,9,331.67,0,0.099,"1608727"
4.6,4.94,0.12266,29,329,0,0.319,"1608728"
0.8,1.03,0.57793,11,323,0,0.121,"1608729"
0,0,0.91139,3,323,0,0.033,"1608730"
0,0,0.49153,-13,304.33,0,-0.143,"1608731"
0,0,0.95514,2,316,0,0.022,"1608732"
4,4.75,0.05982,35,326.33,0,0.385,"1611108"
3.2,4.55,0.12153,29,327,0,0.319,"1611110"
2.778,3.95,0.10788,30,325.33,0,0.33,"1611111"
2.143,2.95,0.24335,22,324,0,0.242,"1611112"
2.667,3.91,0.07649,33,326.33,0,0.363,"1611113"
2.6,3.81,0.09677,31,326.33,0,0.341,"1611114"
2,2.86,0.26873,21,327,0,0.231,"1611115"
3.5,4.52,0.04717,37,329,0,0.407,"1611116"
4.091,4.69,0.0474,37,329.67,0,0.407,"1611117"
2.667,3.2,0.18265,25,324.33,0,0.275,"1611118"
0.667,0.65,0.78249,6,328,0,0.066,"1611119"
