"nie_malla_modi_id","sen_slope_tempm01","sen_slope_per_tempm01","p_value_tempm01","tau_tempm01"
1589498,0.002,0.04,1,0.011
1591900,-0.008,-0.15,0.91281,-0.033
1591901,0.008,0.14,1,0.011
1591914,0.035,0.63,0.74256,0.077
1591915,0.045,0.81,0.74256,0.077
1594301,-0.011,-0.21,0.82667,-0.055
1594302,-0.007,-0.13,0.91255,-0.033
1594303,0.004,0.07,1,0.011
1594310,0.007,0.14,0.95628,0.022
1594311,0.006,0.12,0.91281,0.033
1594312,0.013,0.25,0.91281,0.033
1594315,0.014,0.27,0.74256,0.077
1594316,0.025,0.45,0.74256,0.077
1596703,-0.005,-0.09,0.91281,-0.033
1596704,-0.007,-0.13,0.95628,-0.022
1596705,-0.005,-0.09,1,-0.011
1596711,0.01,0.18,0.91281,0.033
1596712,0.007,0.12,0.95628,0.022
1596713,0.006,0.12,0.91281,0.033
1596714,0.005,0.1,0.95628,0.022
1596715,0.011,0.21,0.91281,0.033
1596716,0.017,0.3,0.82667,0.055
1596717,0.014,0.26,0.74256,0.077
1596718,0.016,0.29,0.78398,0.066
1596719,0.02,0.36,0.74256,0.077
1599103,-0.011,-0.22,0.82667,-0.055
1599104,-0.011,-0.21,0.82667,-0.055
1599105,-0.012,-0.23,0.82667,-0.055
1599106,-0.01,-0.19,0.82667,-0.055
1599107,-0.008,-0.15,0.91255,-0.033
1599108,-0.005,-0.09,0.91281,-0.033
1599114,0.009,0.17,0.95628,0.022
1599115,0.007,0.13,0.91281,0.033
1599116,0.005,0.09,0.95628,0.022
1599117,0.003,0.05,0.91281,0.033
1599118,0.002,0.03,1,0.011
1599119,0.013,0.24,0.91281,0.033
1599120,0.013,0.25,0.78398,0.066
1599121,0.013,0.25,0.82667,0.055
1601504,-0.017,-0.37,0.91281,-0.033
1601505,-0.018,-0.38,0.91281,-0.033
1601506,-0.012,-0.25,0.82667,-0.055
1601507,-0.01,-0.2,0.82667,-0.055
1601508,-0.014,-0.28,0.82667,-0.055
1601509,-0.01,-0.18,0.82667,-0.055
1601510,-0.01,-0.19,0.82667,-0.055
1601516,-0.007,-0.12,1,-0.011
1601517,0.007,0.14,1,0.011
1601518,-0.005,-0.1,1,-0.011
1601519,0.003,0.05,1,0.011
1601520,-0.012,-0.26,0.70113,-0.088
1601521,-0.003,-0.06,1,-0.011
1601522,0.007,0.13,1,0.011
1601523,0.009,0.18,0.91281,0.033
1601524,0.013,0.23,0.82667,0.055
1601525,0.017,0.31,0.82667,0.055
1603905,-0.01,-0.22,0.74256,-0.077
1603906,-0.02,-0.47,0.82667,-0.055
1603907,-0.022,-0.52,0.82667,-0.055
1603908,-0.017,-0.36,0.91281,-0.033
1603909,-0.017,-0.36,0.91281,-0.033
1603910,-0.016,-0.33,0.91281,-0.033
1603911,-0.008,-0.16,0.82667,-0.055
1603912,-0.01,-0.19,0.82667,-0.055
1603918,0,0,1,0
1603919,-0.003,-0.06,1,-0.011
1603920,-0.01,-0.2,0.82667,-0.055
1603921,-0.012,-0.25,0.86935,-0.044
1603922,-0.012,-0.28,0.74256,-0.077
1603923,-0.005,-0.12,0.70113,-0.088
1603924,-0.008,-0.18,0.91281,-0.033
1603925,0.006,0.11,0.95628,0.022
1603926,0.008,0.16,0.86935,0.044
1603927,0.01,0.19,0.82667,0.055
1606307,-0.022,-0.56,0.82667,-0.055
1606308,-0.025,-0.65,0.82667,-0.055
1606309,-0.023,-0.56,0.82667,-0.055
1606310,-0.02,-0.46,0.82667,-0.055
1606311,-0.02,-0.46,0.82667,-0.055
1606312,-0.018,-0.38,0.82667,-0.055
1606313,-0.013,-0.26,0.86935,-0.044
1606314,-0.012,-0.23,0.82667,-0.055
1606315,-0.008,-0.15,0.82667,-0.055
1606320,-0.01,-0.19,0.82667,-0.055
1606321,-0.01,-0.19,0.86935,-0.044
1606322,-0.01,-0.21,0.82667,-0.055
1606323,-0.011,-0.24,0.82667,-0.055
1606324,-0.013,-0.31,0.6217,-0.11
1606325,-0.014,-0.36,0.66142,-0.099
1606326,-0.007,-0.16,0.91281,-0.033
1606327,-0.008,-0.16,0.91281,-0.033
1606328,-0.003,-0.06,1,-0.011
1606329,0.007,0.13,0.82667,0.055
1606330,0.014,0.26,0.82667,0.055
1608708,-0.018,-0.51,0.74256,-0.077
1608709,-0.025,-0.71,0.82667,-0.055
1608710,-0.028,-0.84,0.82667,-0.055
1608711,-0.025,-0.63,0.82667,-0.055
1608712,-0.026,-0.67,0.82667,-0.055
1608713,-0.025,-0.62,0.82667,-0.055
1608714,-0.02,-0.43,0.82667,-0.055
1608715,-0.017,-0.36,0.86935,-0.044
1608716,-0.016,-0.32,0.91281,-0.033
1608717,-0.014,-0.27,0.82667,-0.055
1608718,-0.012,-0.22,0.82667,-0.055
1608719,-0.01,-0.19,0.82667,-0.055
1608720,-0.012,-0.24,0.82667,-0.055
1608721,-0.012,-0.22,0.82667,-0.055
1608723,-0.01,-0.2,0.82667,-0.055
1608724,-0.01,-0.2,0.82667,-0.055
1608725,-0.01,-0.24,0.74256,-0.077
1608726,-0.012,-0.29,0.66142,-0.099
1608727,-0.012,-0.3,0.66142,-0.099
1608728,-0.006,-0.13,0.91281,-0.033
1608729,-0.005,-0.11,0.91281,-0.033
1608730,-0.003,-0.06,1,-0.011
1608731,0.002,0.03,1,0.011
1608732,0.004,0.08,0.82615,0.055
1611108,-0.019,-0.61,0.82667,-0.055
1611110,-0.025,-0.79,0.74256,-0.077
1611111,-0.033,-1.12,0.82667,-0.055
1611112,-0.034,-1.17,0.82667,-0.055
1611113,-0.029,-0.84,0.82667,-0.055
1611114,-0.032,-0.91,0.82667,-0.055
1611115,-0.027,-0.71,0.82667,-0.055
1611116,-0.026,-0.65,0.82667,-0.055
1611117,-0.023,-0.52,0.82667,-0.055
1611118,-0.018,-0.36,0.86935,-0.044
1611119,-0.015,-0.28,0.86935,-0.044
1611120,-0.01,-0.19,0.82667,-0.055
1611121,-0.015,-0.29,0.82667,-0.055
1611122,-0.02,-0.43,0.82667,-0.055
1611123,-0.014,-0.28,0.86935,-0.044
1611124,-0.013,-0.26,0.82667,-0.055
1611125,-0.01,-0.2,0.82667,-0.055
1611126,-0.01,-0.21,0.82667,-0.055
1611127,-0.011,-0.25,0.74256,-0.077
1611128,-0.013,-0.34,0.66142,-0.099
1611129,-0.012,-0.29,0.66142,-0.099
1611130,-0.012,-0.27,0.91281,-0.033
1611131,-0.008,-0.19,0.91281,-0.033
1611132,-0.002,-0.03,0.91281,-0.033
1611133,-0.002,-0.03,0.95628,-0.022
1611134,-0.002,-0.03,0.91281,-0.033
1611135,0.001,0.01,1,0.011
1613509,-0.018,-0.55,0.82667,-0.055
1613510,-0.024,-0.79,0.82667,-0.055
1613511,-0.026,-0.93,0.78398,-0.066
1613512,-0.028,-0.91,0.74256,-0.077
1613513,-0.031,-1.2,0.82667,-0.055
1613514,-0.035,-1.27,0.82667,-0.055
1613515,-0.033,-1.06,0.82667,-0.055
1613516,-0.034,-1.07,0.82667,-0.055
1613517,-0.03,-0.8,0.82667,-0.055
1613518,-0.026,-0.64,0.91281,-0.033
1613519,-0.022,-0.47,0.91281,-0.033
1613520,-0.002,-0.03,0.91281,-0.033
1613521,-0.005,-0.08,0.91281,-0.033
1613522,-0.01,-0.19,1,-0.011
1613523,-0.018,-0.38,0.82667,-0.055
1613524,-0.019,-0.43,0.82667,-0.055
1613525,-0.018,-0.37,0.74256,-0.077
1613526,-0.017,-0.36,0.82667,-0.055
1613527,-0.014,-0.28,0.82667,-0.055
1613528,-0.014,-0.3,0.78398,-0.066
1613529,-0.013,-0.31,0.74256,-0.077
1613530,-0.015,-0.39,0.66142,-0.099
1613531,-0.01,-0.27,0.66142,-0.099
1613532,-0.015,-0.4,0.74256,-0.077
1613533,-0.008,-0.18,0.91281,-0.033
1613534,-0.006,-0.14,1,-0.011
1613535,-0.002,-0.05,0.95628,-0.022
1613536,0,0,1,0
1613537,0.001,0.02,1,0.011
1613538,0,0,1,0
1615910,-0.022,-0.67,0.82667,-0.055
1615911,-0.022,-0.74,0.82667,-0.055
1615912,-0.026,-0.95,0.82667,-0.055
1615913,-0.029,-1.13,0.82667,-0.055
1615914,-0.031,-1.2,0.74256,-0.077
1615915,-0.038,-1.59,0.78398,-0.066
1615916,-0.04,-1.71,0.74256,-0.077
1615917,-0.038,-1.44,0.82667,-0.055
1615918,-0.035,-1.16,0.82667,-0.055
1615919,-0.031,-0.88,0.91281,-0.033
1615920,-0.024,-0.55,0.91281,-0.033
1615921,-0.022,-0.44,0.91281,-0.033
1615922,-0.01,-0.2,0.91281,-0.033
1615923,0.001,0.02,1,0.011
1615924,-0.021,-0.44,0.91281,-0.033
1615925,-0.017,-0.34,0.91281,-0.033
1615926,-0.022,-0.48,0.82667,-0.055
1615927,-0.021,-0.48,0.82667,-0.055
1615928,-0.018,-0.41,0.82667,-0.055
1615929,-0.018,-0.41,0.78398,-0.066
1615930,-0.015,-0.32,0.74256,-0.077
1615931,-0.018,-0.44,0.66142,-0.099
1615932,-0.015,-0.4,0.66142,-0.099
1615933,-0.014,-0.4,0.66142,-0.099
1615934,-0.015,-0.41,0.74256,-0.077
1615935,-0.013,-0.33,0.91281,-0.033
1615936,-0.007,-0.16,1,-0.011
1615937,-0.004,-0.08,1,-0.011
1615938,-0.002,-0.03,1,-0.011
1615939,0,0,1,0
1615940,0.007,0.14,0.91281,0.033
1618310,-0.013,-0.33,0.91281,-0.033
1618311,-0.015,-0.42,0.91281,-0.033
1618312,-0.015,-0.44,0.78398,-0.066
1618313,-0.019,-0.58,0.74256,-0.077
1618314,-0.025,-0.84,0.74256,-0.077
1618315,-0.031,-1.2,0.74256,-0.077
1618316,-0.033,-1.47,0.78398,-0.066
1618317,-0.038,-1.76,0.74256,-0.077
1618318,-0.042,-1.94,0.74256,-0.077
1618319,-0.042,-1.8,0.82667,-0.055
1618320,-0.038,-1.39,0.82667,-0.055
1618321,-0.03,-0.82,0.91281,-0.033
1618322,-0.024,-0.52,0.91281,-0.033
1618323,-0.028,-0.66,0.91281,-0.033
1618324,-0.002,-0.03,1,-0.011
1618325,-0.02,-0.42,0.91281,-0.033
1618326,-0.025,-0.55,0.91281,-0.033
1618327,-0.025,-0.56,0.86935,-0.044
1618328,-0.022,-0.48,0.82667,-0.055
1618329,-0.024,-0.6,0.82667,-0.055
1618330,-0.021,-0.5,0.82667,-0.055
1618331,-0.019,-0.45,0.82667,-0.055
1618332,-0.019,-0.47,0.82667,-0.055
1618333,-0.021,-0.54,0.70113,-0.088
1618334,-0.018,-0.51,0.66142,-0.099
1618335,-0.014,-0.41,0.66142,-0.099
1618336,-0.016,-0.5,0.74256,-0.077
1618337,-0.015,-0.43,0.82667,-0.055
1618338,-0.008,-0.21,1,-0.011
1618339,-0.007,-0.16,1,-0.011
1618340,0.003,0.08,1,0.011
1620712,-0.015,-0.43,0.91281,-0.033
1620713,-0.023,-0.75,0.82667,-0.055
1620714,-0.019,-0.64,0.82667,-0.055
1620715,-0.025,-0.95,0.82667,-0.055
1620716,-0.028,-1.1,0.78398,-0.066
1620717,-0.02,-0.81,0.74256,-0.077
1620718,-0.031,-1.21,0.74256,-0.077
1620719,-0.033,-1.39,0.74256,-0.077
1620720,-0.038,-1.75,0.74256,-0.077
1620721,-0.042,-1.9,0.82667,-0.055
1620722,-0.037,-1.31,0.82667,-0.055
1620723,-0.033,-0.97,0.91281,-0.033
1620724,-0.031,-0.83,0.91281,-0.033
1620725,-0.02,-0.44,0.91281,-0.033
1620726,-0.006,-0.12,1,-0.011
1620727,-0.009,-0.19,1,-0.011
1620728,-0.028,-0.66,0.91281,-0.033
1620729,-0.028,-0.72,0.91281,-0.033
1620730,-0.023,-0.53,0.86935,-0.044
1620731,-0.028,-0.77,0.82667,-0.055
1620732,-0.025,-0.65,0.82667,-0.055
1620733,-0.022,-0.54,0.82667,-0.055
