"nie_malla_modi_id","sen_slope_prem02","sen_slope_per_prem02","p_value_prem02","tau_prem02"
1589498,2.735,4.52,0.44342,0.165
1591900,2.874,4.67,0.44342,0.165
1591901,2.834,5.47,0.32442,0.209
1591914,1.577,4.2,0.66142,0.099
1591915,1.567,4.21,0.66142,0.099
1594301,3.002,4.62,0.44342,0.165
1594302,2.906,4.71,0.44342,0.165
1594303,2.89,4.89,0.44342,0.165
1594310,1.634,3.42,0.51122,0.143
1594311,1.42,3.01,0.51122,0.143
1594312,1.264,2.69,0.51122,0.143
1594315,1.33,3.27,0.58407,0.121
1594316,1.483,3.95,0.58407,0.121
1596703,2.941,4.65,0.44342,0.165
1596704,2.87,4.67,0.44342,0.165
1596705,2.793,4.7,0.44342,0.165
1596711,1.797,3.88,0.58407,0.121
1596712,1.633,3.51,0.51122,0.143
1596713,1.462,3.16,0.51122,0.143
1596714,1.334,2.86,0.51122,0.143
1596715,1.25,2.65,0.51122,0.143
1596716,1.513,3.87,0.58407,0.121
1596717,1.463,3.8,0.58407,0.121
1596718,1.43,3.75,0.58407,0.121
1596719,1.377,3.68,0.58407,0.121
1599103,3.008,4.42,0.44342,0.165
1599104,3.037,4.6,0.44342,0.165
1599105,3.023,4.66,0.44342,0.165
1599106,2.942,4.71,0.44342,0.165
1599107,2.84,4.75,0.44342,0.165
1599108,2.768,5.29,0.32442,0.209
1599114,1.717,3.66,0.51122,0.143
1599115,1.506,3.27,0.51122,0.143
1599116,1.411,3.03,0.58407,0.121
1599117,1.278,2.76,0.58407,0.121
1599118,1.573,3.86,0.58407,0.121
1599119,1.52,3.79,0.58407,0.121
1599120,1.383,3.6,0.58407,0.121
1599121,1.343,3.53,0.58407,0.121
1601504,3.224,4.49,0.32442,0.209
1601505,3.342,4.7,0.32442,0.209
1601506,3.185,4.69,0.32442,0.209
1601507,3.165,4.76,0.32442,0.209
1601508,3.115,4.81,0.38107,0.187
1601509,2.918,4.83,0.51122,0.143
1601510,2.781,5.11,0.27356,0.231
1601516,1.796,3.79,0.58407,0.121
1601517,1.623,3.47,0.58407,0.121
1601518,1.586,3.3,0.58407,0.121
1601519,1.138,2.63,0.51122,0.143
1601520,1.226,2.61,0.58407,0.121
1601521,1.168,2.71,0.44342,0.165
1601522,1.49,3.67,0.51122,0.143
1601523,1.42,3.56,0.51122,0.143
1601524,1.302,3.45,0.58407,0.121
1601525,1.268,3.39,0.58407,0.121
1603905,3.962,5.06,0.38107,0.187
1603906,3.542,4.74,0.32442,0.209
1603907,3.637,4.83,0.27356,0.231
1603908,3.303,4.77,0.32442,0.209
1603909,3.372,4.87,0.32442,0.209
1603910,3.28,4.92,0.32442,0.209
1603911,3.06,4.93,0.38107,0.187
1603912,2.749,5,0.27356,0.231
1603918,1.79,3.84,0.58407,0.121
1603919,1.7,3.6,0.58407,0.121
1603920,1.707,3.48,0.58407,0.121
1603921,1.229,2.67,0.51122,0.143
1603922,1.125,2.24,0.6217,0.11
1603923,1.338,2.87,0.58407,0.121
1603924,1.281,2.89,0.44342,0.165
1603925,1.433,3.51,0.44342,0.165
1603926,1.323,3.37,0.51122,0.143
1603927,1.223,3.25,0.58407,0.121
1606307,3.698,4.77,0.32442,0.209
1606308,3.822,4.87,0.27356,0.231
1606309,3.67,4.87,0.27356,0.231
1606310,3.523,4.87,0.32442,0.209
1606311,3.59,4.98,0.32442,0.209
1606312,3.385,4.99,0.32442,0.209
1606313,3.183,5.02,0.32442,0.209
1606314,3.038,4.95,0.32442,0.209
1606315,2.489,4.57,0.27356,0.231
1606320,1.844,3.79,0.66142,0.099
1606321,1.801,3.75,0.58407,0.121
1606322,1.693,3.4,0.66142,0.099
1606323,1.287,2.73,0.58407,0.121
1606324,1.085,2.12,0.58407,0.121
1606325,1.081,2.1,0.58407,0.121
1606326,1.442,3.2,0.51122,0.143
1606327,1.414,3.24,0.44342,0.165
1606328,1.333,3.4,0.44342,0.165
1606329,1.243,3.23,0.44342,0.165
1606330,1.189,3.16,0.44342,0.165
1608708,4.244,4.95,0.27356,0.231
1608709,3.947,4.88,0.27356,0.231
1608710,3.821,4.67,0.32442,0.209
1608711,3.773,4.92,0.32442,0.209
1608712,3.668,4.82,0.32442,0.209
1608713,3.571,4.82,0.32442,0.209
1608714,3.423,5.04,0.32442,0.209
1608715,3.234,4.87,0.32442,0.209
1608716,2.966,4.77,0.32442,0.209
1608717,2.462,4.47,0.32442,0.209
1608718,2.25,4.28,0.27356,0.231
1608719,2.042,3.86,0.38107,0.187
1608720,1.906,3.69,0.32442,0.209
1608721,1.879,3.72,0.44342,0.165
1608723,1.789,3.69,0.58407,0.121
1608724,1.254,2.82,0.44342,0.165
1608725,1.168,2.36,0.58407,0.121
1608726,1.101,2.16,0.58407,0.121
1608727,1.188,2.39,0.58407,0.121
1608728,1.45,3.33,0.51122,0.143
1608729,1.423,3.38,0.44342,0.165
1608730,1.373,3.42,0.44342,0.165
1608731,1.336,3.43,0.44342,0.165
1608732,1.319,3.46,0.44342,0.165
1611108,4.375,4.92,0.27356,0.231
1611110,4.416,4.9,0.27356,0.231
1611111,4.3,5.01,0.32442,0.209
1611112,4.357,5.08,0.32442,0.209
1611113,4.043,5.03,0.32442,0.209
1611114,4.103,5.13,0.32442,0.209
1611115,3.872,5.07,0.32442,0.209
1611116,3.538,4.8,0.32442,0.209
1611117,3.357,4.83,0.32442,0.209
1611118,3.098,4.83,0.32442,0.209
1611119,2.427,4.41,0.32442,0.209
1611120,2.22,4.11,0.32442,0.209
1611121,2.03,3.78,0.38107,0.187
1611122,1.923,3.42,0.38107,0.187
1611123,1.887,3.58,0.44342,0.165
1611124,1.838,3.68,0.58407,0.121
1611125,1.782,3.66,0.58407,0.121
1611126,1.344,3,0.44342,0.165
1611127,1.223,2.51,0.58407,0.121
1611128,1.112,2.15,0.58407,0.121
1611129,1.188,2.38,0.66142,0.099
1611130,1.367,2.91,0.51122,0.143
1611131,1.405,3.02,0.51122,0.143
1611132,1.413,3.47,0.44342,0.165
1611133,1.449,3.67,0.44342,0.165
1611134,1.426,3.72,0.44342,0.165
1611135,1.4,3.72,0.44342,0.165
1613509,4.35,4.95,0.27356,0.231
1613510,4.42,4.9,0.27356,0.231
1613511,4.56,4.95,0.27356,0.231
1613512,4.477,4.94,0.27356,0.231
1613513,4.517,5.09,0.32442,0.209
1613514,4.425,5.12,0.32442,0.209
1613515,4.282,5.13,0.32442,0.209
1613516,4.156,5.04,0.32442,0.209
1613517,3.748,4.87,0.32442,0.209
1613518,3.544,4.83,0.32442,0.209
1613519,3.302,4.83,0.32442,0.209
1613520,2.897,4.8,0.32442,0.209
1613521,2.399,4.51,0.27356,0.231
1613522,2.204,3.99,0.38107,0.187
1613523,2.021,3.58,0.38107,0.187
1613524,2.091,3.61,0.38107,0.187
1613525,1.84,3.38,0.38107,0.187
1613526,1.769,3.31,0.38107,0.187
1613527,1.746,3.48,0.51122,0.143
1613528,1.345,2.9,0.51122,0.143
1613529,1.2,2.44,0.58407,0.121
1613530,1.144,2.19,0.58407,0.121
1613531,1.323,2.48,0.51122,0.143
1613532,1.234,2.4,0.58407,0.121
1613533,1.58,3.62,0.51122,0.143
1613534,1.513,3.35,0.51122,0.143
1613535,1.481,3.7,0.44342,0.165
1613536,1.38,3.54,0.44342,0.165
1613537,1.413,3.68,0.44342,0.165
1613538,1.49,3.65,0.51122,0.143
1615910,4.28,4.89,0.27356,0.231
1615911,4.448,4.92,0.27356,0.231
1615912,4.576,4.97,0.27356,0.231
1615913,4.718,5.01,0.27356,0.231
1615914,4.764,5.03,0.27356,0.231
1615915,4.608,5.13,0.32442,0.209
1615916,4.695,5.21,0.32442,0.209
1615917,4.448,5.09,0.32442,0.209
1615918,4.073,4.85,0.32442,0.209
1615919,3.83,4.86,0.32442,0.209
1615920,3.412,4.81,0.32442,0.209
1615921,3.185,4.83,0.32442,0.209
1615922,3.154,4.9,0.32442,0.209
1615923,3.036,4.97,0.32442,0.209
1615924,2.176,3.7,0.38107,0.187
1615925,2,3.6,0.38107,0.187
1615926,2.083,3.61,0.38107,0.187
1615927,2.105,3.63,0.32442,0.209
1615928,1.731,3.18,0.38107,0.187
1615929,1.21,2.49,0.58407,0.121
1615930,1.34,2.88,0.51122,0.143
1615931,1.137,2.22,0.58407,0.121
1615932,1.293,2.42,0.51122,0.143
1615933,1.83,3.28,0.51122,0.143
1615934,1.314,2.54,0.58407,0.121
1615935,1.251,2.5,0.58407,0.121
1615936,1.482,3.23,0.51122,0.143
1615937,1.473,3.55,0.51122,0.143
1615938,1.515,3.78,0.44342,0.165
1615939,1.482,3.69,0.44342,0.165
1615940,1.461,3.64,0.51122,0.143
1618310,4.242,5.18,0.27356,0.231
1618311,4.226,5.01,0.27356,0.231
1618312,4.204,4.96,0.27356,0.231
1618313,4.295,4.94,0.27356,0.231
1618314,4.455,4.96,0.27356,0.231
1618315,4.737,5.04,0.27356,0.231
1618316,4.948,5.09,0.27356,0.231
1618317,4.745,5.17,0.32442,0.209
1618318,4.665,5.1,0.32442,0.209
1618319,4.393,4.9,0.32442,0.209
1618320,4.193,4.91,0.32442,0.209
1618321,3.76,4.86,0.32442,0.209
1618322,3.333,4.81,0.32442,0.209
1618323,3.56,4.95,0.38107,0.187
1618324,3.073,4.91,0.32442,0.209
1618325,3.265,5.06,0.38107,0.187
1618326,3.053,4.93,0.38107,0.187
1618327,2.54,4.19,0.38107,0.187
1618328,2.095,3.6,0.38107,0.187
1618329,2.189,3.6,0.32442,0.209
1618330,2.105,3.63,0.32442,0.209
