"nie_malla_modi_id","sen_slope_tempsp","sen_slope_per_tempsp","p_value_tempsp","tau_tempsp"
1589498,0.1,0.87,0.74256,0.077
1591900,0.11,0.97,0.74256,0.077
1591901,0.104,0.88,0.74256,0.077
1591914,0.103,0.87,0.58407,0.121
1591915,0.104,0.88,0.58407,0.121
1594301,0.12,1.1,0.74256,0.077
1594302,0.108,0.95,0.74256,0.077
1594303,0.106,0.92,0.74256,0.077
1594310,0.102,0.9,0.74256,0.077
1594311,0.096,0.85,0.70113,0.088
1594312,0.099,0.87,0.58407,0.121
1594315,0.099,0.87,0.58407,0.121
1594316,0.098,0.83,0.58407,0.121
1596703,0.115,1.03,0.74256,0.077
1596704,0.11,0.97,0.74256,0.077
1596705,0.106,0.92,0.74256,0.077
1596711,0.1,0.86,0.74256,0.077
1596712,0.096,0.84,0.74256,0.077
1596713,0.096,0.85,0.66142,0.099
1596714,0.098,0.88,0.66142,0.099
1596715,0.096,0.86,0.58407,0.121
1596716,0.095,0.82,0.58407,0.121
1596717,0.095,0.81,0.58407,0.121
1596718,0.094,0.8,0.58407,0.121
1596719,0.095,0.81,0.58407,0.121
1599103,0.116,1.09,0.74256,0.077
1599104,0.116,1.07,0.74256,0.077
1599105,0.119,1.08,0.74256,0.077
1599106,0.11,0.99,0.74256,0.077
1599107,0.106,0.93,0.74256,0.077
1599108,0.108,0.93,0.74256,0.077
1599114,0.098,0.86,0.66142,0.099
1599115,0.1,0.88,0.66142,0.099
1599116,0.096,0.86,0.66142,0.099
1599117,0.096,0.87,0.66142,0.099
1599118,0.098,0.88,0.66142,0.099
1599119,0.093,0.82,0.58407,0.121
1599120,0.091,0.79,0.58407,0.121
1599121,0.09,0.78,0.58407,0.121
1601504,0.114,1.12,0.74256,0.077
1601505,0.115,1.13,0.74256,0.077
1601506,0.117,1.11,0.74256,0.077
1601507,0.117,1.1,0.74256,0.077
1601508,0.116,1.08,0.74256,0.077
1601509,0.119,1.05,0.74256,0.077
1601510,0.108,0.96,0.74256,0.077
1601516,0.098,0.87,0.74256,0.077
1601517,0.1,0.89,0.74256,0.077
1601518,0.098,0.9,0.74256,0.077
1601519,0.1,0.93,0.66142,0.099
1601520,0.104,1.03,0.66142,0.099
1601521,0.096,0.9,0.66142,0.099
1601522,0.086,0.77,0.58407,0.121
1601523,0.086,0.77,0.58407,0.121
1601524,0.083,0.72,0.66142,0.099
1601525,0.084,0.72,0.66142,0.099
1603905,0.095,0.94,0.74256,0.077
1603906,0.114,1.17,0.74256,0.077
1603907,0.114,1.19,0.74256,0.077
1603908,0.114,1.1,0.74256,0.077
1603909,0.115,1.13,0.74256,0.077
1603910,0.114,1.09,0.74256,0.077
1603911,0.116,1.06,0.74256,0.077
1603912,0.116,1.04,0.74256,0.077
1603918,0.098,0.86,0.74256,0.077
1603919,0.1,0.9,0.70113,0.088
1603920,0.098,0.92,0.74256,0.077
1603921,0.11,1.07,0.66142,0.099
1603922,0.115,1.19,0.66142,0.099
1603923,0.096,0.95,0.66142,0.099
1603924,0.092,0.88,0.66142,0.099
1603925,0.082,0.74,0.58407,0.121
1603926,0.08,0.71,0.66142,0.099
1603927,0.076,0.67,0.66142,0.099
1606307,0.11,1.18,0.74256,0.077
1606308,0.109,1.2,0.74256,0.077
1606309,0.113,1.19,0.74256,0.077
1606310,0.114,1.15,0.74256,0.077
1606311,0.113,1.15,0.74256,0.077
1606312,0.115,1.12,0.74256,0.077
1606313,0.117,1.09,0.74256,0.077
1606314,0.121,1.11,0.74256,0.077
1606315,0.119,1.07,0.74256,0.077
1606320,0.105,0.95,0.74256,0.077
1606321,0.1,0.91,0.74256,0.077
1606322,0.105,1,0.74256,0.077
1606323,0.115,1.14,0.74256,0.077
1606324,0.126,1.33,0.66142,0.099
1606325,0.115,1.23,0.66142,0.099
1606326,0.09,0.88,0.66142,0.099
1606327,0.088,0.84,0.66142,0.099
1606328,0.074,0.67,0.70113,0.088
1606329,0.074,0.66,0.66142,0.099
1606330,0.082,0.72,0.66142,0.099
1608708,0.09,1.01,0.74256,0.077
1608709,0.105,1.2,0.74256,0.077
1608710,0.106,1.24,0.74256,0.077
1608711,0.109,1.17,0.74256,0.077
1608712,0.111,1.21,0.74256,0.077
1608713,0.112,1.19,0.74256,0.077
1608714,0.115,1.12,0.74256,0.077
1608715,0.113,1.09,0.74256,0.077
1608716,0.117,1.09,0.74256,0.077
1608717,0.117,1.07,0.74256,0.077
1608718,0.12,1.07,0.74256,0.077
1608719,0.12,1.1,0.74256,0.077
1608720,0.116,1.06,0.74256,0.077
1608721,0.122,1.12,0.74256,0.077
1608723,0.105,0.97,0.74256,0.077
1608724,0.11,1.04,0.74256,0.077
1608725,0.127,1.31,0.74256,0.077
1608726,0.125,1.32,0.66142,0.099
