"nie_malla_modi_id","sen_slope_tempsp","sen_slope_per_tempsp","p_value_tempsp","tau_tempsp"
1608727,0.1,1.04,0.66142,0.099
1608728,0.086,0.82,0.66142,0.099
1608729,0.082,0.77,0.66142,0.099
1608730,0.08,0.73,0.66142,0.099
1608731,0.076,0.69,0.74256,0.077
1608732,0.08,0.71,0.66142,0.099
1611108,0.09,1.09,0.74256,0.077
1611110,0.09,1.1,0.74256,0.077
1611111,0.103,1.29,0.74256,0.077
1611112,0.105,1.33,0.74256,0.077
1611113,0.107,1.24,0.74256,0.077
1611114,0.109,1.27,0.74256,0.077
1611115,0.109,1.2,0.74256,0.077
1611116,0.113,1.2,0.74256,0.077
1611117,0.11,1.12,0.74256,0.077
1611118,0.116,1.11,0.74256,0.077
1611119,0.117,1.07,0.74256,0.077
1611120,0.12,1.09,0.74256,0.077
1611121,0.119,1.1,0.74256,0.077
1611122,0.117,1.15,0.74256,0.077
1611123,0.117,1.11,0.74256,0.077
1611124,0.115,1.06,0.74256,0.077
1611125,0.115,1.06,0.74256,0.077
1611126,0.115,1.09,0.74256,0.077
1611127,0.124,1.25,0.74256,0.077
1611128,0.126,1.35,0.70113,0.088
1611129,0.102,1.07,0.66142,0.099
1611130,0.09,0.9,0.66142,0.099
1611131,0.086,0.86,0.66142,0.099
1611132,0.078,0.72,0.74256,0.077
1611133,0.072,0.66,0.74256,0.077
1611134,0.082,0.74,0.74256,0.077
1611135,0.086,0.77,0.70113,0.088
1613509,0.09,1.07,0.74256,0.077
1613510,0.089,1.1,0.74256,0.077
1613511,0.091,1.16,0.74256,0.077
1613512,0.089,1.1,0.74256,0.077
1613513,0.1,1.34,0.74256,0.077
1613514,0.103,1.33,0.74256,0.077
1613515,0.109,1.34,0.74256,0.077
1613516,0.106,1.3,0.74256,0.077
1613517,0.106,1.19,0.74256,0.077
1613518,0.111,1.19,0.74256,0.077
1613519,0.11,1.1,0.74256,0.077
1613520,0.115,1.04,0.74256,0.077
1613521,0.115,1.02,0.74256,0.077
1613522,0.114,1.05,0.74256,0.077
1613523,0.116,1.12,0.74256,0.077
1613524,0.114,1.14,0.74256,0.077
1613525,0.116,1.13,0.74256,0.077
1613526,0.119,1.16,0.74256,0.077
1613527,0.121,1.15,0.74256,0.077
1613528,0.123,1.19,0.74256,0.077
1613529,0.124,1.27,0.74256,0.077
1613530,0.125,1.35,0.66142,0.099
1613531,0.125,1.39,0.66142,0.099
1613532,0.096,1.04,0.66142,0.099
1613533,0.082,0.79,0.66142,0.099
1613534,0.084,0.83,0.66142,0.099
1613535,0.07,0.65,0.74256,0.077
1613536,0.08,0.73,0.66142,0.099
1613537,0.082,0.74,0.70113,0.088
1613538,0.082,0.77,0.66142,0.099
1615910,0.087,1.04,0.66142,0.099
1615911,0.089,1.11,0.66142,0.099
1615912,0.089,1.14,0.66142,0.099
1615913,0.09,1.2,0.66142,0.099
1615914,0.09,1.21,0.66142,0.099
1615915,0.103,1.42,0.74256,0.077
1615916,0.099,1.39,0.74256,0.077
1615917,0.101,1.36,0.74256,0.077
1615918,0.103,1.29,0.74256,0.077
1615919,0.106,1.23,0.74256,0.077
1615920,0.107,1.1,0.74256,0.077
1615921,0.111,1.07,0.74256,0.077
1615922,0.114,1.09,0.74256,0.077
1615923,0.117,1.09,0.74256,0.077
1615924,0.114,1.11,0.74256,0.077
1615925,0.113,1.07,0.74256,0.077
1615926,0.115,1.15,0.74256,0.077
1615927,0.113,1.15,0.74256,0.077
1615928,0.115,1.14,0.74256,0.077
1615929,0.119,1.18,0.74256,0.077
1615930,0.121,1.18,0.74256,0.077
1615931,0.123,1.29,0.74256,0.077
1615932,0.124,1.36,0.74256,0.077
1615933,0.127,1.48,0.66142,0.099
1615934,0.098,1.07,0.66142,0.099
1615935,0.088,0.94,0.66142,0.099
1615936,0.082,0.82,0.66142,0.099
1615937,0.076,0.72,0.66142,0.099
1615938,0.082,0.76,0.66142,0.099
1615939,0.094,0.88,0.66142,0.099
1615940,0.088,0.82,0.66142,0.099
1618310,0.085,0.92,0.74256,0.077
1618311,0.087,0.99,0.70113,0.088
1618312,0.087,0.99,0.74256,0.077
1618313,0.088,1.03,0.74256,0.077
1618314,0.087,1.08,0.70113,0.088
1618315,0.089,1.19,0.66142,0.099
1618316,0.088,1.25,0.66142,0.099
1618317,0.095,1.39,0.70113,0.088
1618318,0.096,1.41,0.66142,0.099
1618319,0.1,1.42,0.74256,0.077
1618320,0.101,1.33,0.74256,0.077
1618321,0.105,1.19,0.74256,0.077
1618322,0.11,1.1,0.74256,0.077
1618323,0.107,1.14,0.74256,0.077
1618324,0.114,1.06,0.74256,0.077
1618325,0.113,1.1,0.74256,0.077
1618326,0.11,1.12,0.74256,0.077
1618327,0.11,1.12,0.74256,0.077
1618328,0.114,1.15,0.74256,0.077
1618329,0.11,1.18,0.74256,0.077
1618330,0.113,1.18,0.74256,0.077
1618331,0.116,1.19,0.74256,0.077
1618332,0.119,1.25,0.74256,0.077
1618333,0.121,1.31,0.74256,0.077
1618334,0.124,1.39,0.70113,0.088
1618335,0.126,1.47,0.6217,0.11
1618336,0.12,1.4,0.58407,0.121
1618337,0.088,0.99,0.58407,0.121
1618338,0.084,0.87,0.58407,0.121
1618339,0.072,0.73,0.66142,0.099
1618340,0.082,0.82,0.66142,0.099
1620712,0.084,0.95,0.70113,0.088
1620713,0.084,1.03,0.70113,0.088
1620714,0.085,1.05,0.66142,0.099
1620715,0.086,1.13,0.70113,0.088
1620716,0.088,1.19,0.70113,0.088
1620717,0.088,1.19,0.66142,0.099
1620718,0.087,1.17,0.66142,0.099
1620719,0.1,1.38,0.74256,0.077
1620720,0.096,1.39,0.66142,0.099
1620721,0.097,1.4,0.70113,0.088
1620722,0.101,1.31,0.74256,0.077
1620723,0.104,1.23,0.74256,0.077
1620724,0.107,1.22,0.74256,0.077
1620725,0.11,1.11,0.74256,0.077
1620726,0.112,1.07,0.74256,0.077
1620727,0.112,1.1,0.74256,0.077
1620728,0.108,1.13,0.74256,0.077
1620729,0.108,1.17,0.74256,0.077
1620730,0.111,1.14,0.74256,0.077
1620731,0.11,1.25,0.74256,0.077
1620732,0.11,1.21,0.74256,0.077
1620733,0.115,1.23,0.74256,0.077
1620734,0.115,1.25,0.74256,0.077
1620735,0.119,1.34,0.74256,0.077
1620736,0.124,1.43,0.74256,0.077
1620737,0.127,1.44,0.66142,0.099
1620738,0.092,1,0.6217,0.11
1620739,0.086,0.89,0.66142,0.099
1620740,0.078,0.78,0.6217,0.11
1623115,0.086,1.02,0.66142,0.099
1623116,0.086,1.09,0.70113,0.088
1623117,0.086,1.2,0.74256,0.077
1623118,0.085,1.28,0.74256,0.077
1623119,0.083,1.3,0.74256,0.077
1623120,0.086,1.33,0.74256,0.077
1623121,0.084,1.25,0.66142,0.099
1623122,0.095,1.44,0.66142,0.099
1623123,0.094,1.41,0.66142,0.099
1623124,0.096,1.42,0.66142,0.099
1623125,0.099,1.32,0.74256,0.077
1623126,0.104,1.21,0.74256,0.077
1623127,0.107,1.15,0.74256,0.077
1623128,0.111,1.07,0.74256,0.077
1623129,0.114,1.05,0.74256,0.077
1623130,0.11,1.13,0.74256,0.077
1623131,0.104,1.17,0.74256,0.077
1623132,0.107,1.22,0.74256,0.077
1623133,0.108,1.27,0.74256,0.077
1623134,0.106,1.26,0.74256,0.077
1623135,0.11,1.33,0.74256,0.077
1623136,0.114,1.34,0.74256,0.077
1623137,0.115,1.35,0.74256,0.077
1623138,0.123,1.39,0.74256,0.077
1623139,0.105,1.11,0.66142,0.099
1623140,0.09,0.91,0.66142,0.099
1623141,0.082,0.82,0.66142,0.099
1623142,0.078,0.75,0.66046,0.099
1625520,0.087,1.23,0.74256,0.077
1625521,0.086,1.36,0.74256,0.077
1625522,0.086,1.34,0.74256,0.077
1625523,0.084,1.32,0.6217,0.11
1625524,0.086,1.41,0.66142,0.099
1625525,0.093,1.56,0.6217,0.11
1625526,0.094,1.47,0.58407,0.121
1625527,0.1,1.34,0.74256,0.077
1625528,0.103,1.24,0.74256,0.077
1625529,0.106,1.09,0.74256,0.077
1625530,0.107,1.14,0.74256,0.077
1625531,0.109,1.08,0.74256,0.077
1625532,0.11,1.12,0.74256,0.077
1625533,0.107,1.18,0.74256,0.077
1625534,0.108,1.26,0.74256,0.077
1625535,0.104,1.26,0.74256,0.077
1625536,0.102,1.3,0.74256,0.077
1625537,0.105,1.35,0.74256,0.077
1625538,0.109,1.4,0.74256,0.077
1625539,0.114,1.35,0.74256,0.077
1625540,0.123,1.35,0.70113,0.088
1625541,0.098,1.02,0.66142,0.099
1625542,0.088,0.86,0.66142,0.099
1625543,0.082,0.8,0.66142,0.099
1625544,0.076,0.72,0.70113,0.088
1627925,0.085,1.44,0.66142,0.099
1627926,0.085,1.43,0.66142,0.099
1627927,0.086,1.48,0.66142,0.099
1627928,0.086,1.33,0.66142,0.099
1627929,0.096,1.3,0.74256,0.077
1627930,0.106,1.25,0.74256,0.077
1627931,0.106,1.19,0.74256,0.077
1627932,0.106,1.11,0.74256,0.077
1627933,0.107,1.17,0.74256,0.077
1627934,0.106,1.14,0.74256,0.077
1627935,0.105,1.24,0.74256,0.077
1627936,0.102,1.3,0.74256,0.077
1627937,0.09,1.16,0.74256,0.077
1627938,0.09,1.13,0.74256,0.077
1627939,0.09,1.07,0.74256,0.077
1627940,0.093,1.08,0.74256,0.077
1627941,0.117,1.3,0.74256,0.077
1627942,0.115,1.21,0.74256,0.077
1627943,0.098,0.98,0.66142,0.099
1627944,0.096,0.97,0.66142,0.099
1627945,0.086,0.85,0.66142,0.099
1627946,0.08,0.78,0.66046,0.099
1627947,0.076,0.73,0.66142,0.099
1627948,0.082,0.8,0.66142,0.099
1630328,0.082,1.56,0.66142,0.099
1630329,0.085,1.56,0.66142,0.099
1630330,0.084,1.38,0.66142,0.099
1630331,0.085,1.18,0.66142,0.099
1630332,0.084,1.01,0.74256,0.077
1630333,0.085,1.01,0.74256,0.077
1630334,0.1,1.11,0.74256,0.077
1630335,0.095,1.13,0.74256,0.077
1630336,0.084,0.97,0.74256,0.077
1630337,0.085,1.12,0.74256,0.077
1630338,0.085,1.11,0.74256,0.077
1630339,0.082,1.09,0.74256,0.077
1630340,0.08,0.98,0.74256,0.077
1630341,0.083,0.91,0.74256,0.077
1630342,0.1,1.08,0.74256,0.077
1630343,0.118,1.25,0.74256,0.077
1630344,0.11,1.11,0.66142,0.099
1630345,0.12,1.28,0.66142,0.099
1630346,0.102,1.1,0.66142,0.099
1630347,0.088,0.9,0.66142,0.099
1630348,0.08,0.79,0.6217,0.11
1630349,0.078,0.79,0.58407,0.121
1632730,0.083,1.73,0.74256,0.077
1632731,0.084,1.5,0.74256,0.077
1632732,0.082,1.29,0.74256,0.077
1632733,0.083,1.21,0.82667,0.055
1632734,0.082,1.18,0.82667,0.055
1632735,0.081,1.05,0.82667,0.055
1632736,0.081,1.01,0.82667,0.055
1632737,0.083,1.1,0.78398,0.066
1632738,0.082,1.1,0.66142,0.099
1632739,0.085,1.22,0.70113,0.088
1632740,0.083,1.19,0.66142,0.099
1632741,0.082,1.07,0.74256,0.077
1632742,0.079,0.96,0.74256,0.077
1632743,0.077,0.93,0.74256,0.077
1632744,0.087,1.01,0.74256,0.077
1632745,0.1,1.15,0.74256,0.077
1632746,0.116,1.29,0.74256,0.077
1632747,0.124,1.43,0.66142,0.099
1632748,0.11,1.22,0.66142,0.099
1632749,0.09,0.94,0.66142,0.099
1632750,0.088,0.91,0.58407,0.121
1632754,0.072,0.69,0.66142,0.099
1632755,0.074,0.72,0.66142,0.099
1632756,0.076,0.71,0.66142,0.099
1632775,0.116,1.03,0.32442,0.209
1635130,0.081,1.44,0.74256,0.077
1635131,0.082,1.62,0.74256,0.077
1635132,0.081,1.68,0.74256,0.077
1635133,0.08,1.59,0.74256,0.077
1635134,0.08,1.36,0.74256,0.077
1635135,0.081,1.41,0.74256,0.077
1635136,0.079,1.25,0.74256,0.077
1635137,0.077,1.1,0.82667,0.055
1635138,0.077,1.06,0.82667,0.055
1635139,0.079,1.18,0.82667,0.055
1635140,0.08,1.24,0.74256,0.077
1635141,0.081,1.28,0.74256,0.077
1635142,0.08,1.18,0.82667,0.055
1635143,0.078,1.01,0.78398,0.066
1635144,0.078,1,0.74256,0.077
1635145,0.078,1.03,0.70113,0.088
1635146,0.077,1.02,0.74256,0.077
1635147,0.087,1.06,0.74256,0.077
1635148,0.1,1.22,0.74256,0.077
1635149,0.118,1.41,0.74256,0.077
1635150,0.125,1.42,0.66142,0.099
1635151,0.096,1.04,0.66142,0.099
1635152,0.086,0.88,0.6217,0.11
1635154,0.076,0.72,0.74256,0.077
1635155,0.076,0.73,0.66142,0.099
1635156,0.058,0.57,0.66142,0.099
1635157,0.059,0.59,0.66142,0.099
1635158,0.057,0.55,0.66142,0.099
1635169,0.108,0.96,0.32442,0.209
1635170,0.118,1.05,0.32442,0.209
1635174,0.12,1.06,0.32442,0.209
1635175,0.124,1.11,0.32442,0.209
1635176,0.121,1.09,0.32442,0.209
1635177,0.114,1.05,0.32442,0.209
1635178,0.113,1.02,0.35131,0.198
1635180,0.103,0.96,0.38107,0.187
1635181,0.107,1.02,0.38107,0.187
1635184,0.117,1.09,0.51122,0.143
1635185,0.113,1.07,0.51122,0.143
1635208,0.07,0.58,0.51122,0.143
1635209,0.067,0.54,0.51122,0.143
1635210,0.063,0.51,0.51122,0.143
1635211,0.064,0.51,0.51122,0.143
1635212,0.064,0.51,0.51122,0.143
1635213,0.067,0.52,0.51122,0.143
1637531,0.083,1.27,0.82667,0.055
1637532,0.083,1.42,0.74256,0.077
1637533,0.079,1.46,0.74256,0.077
1637534,0.079,1.5,0.74256,0.077
1637535,0.082,1.6,0.74256,0.077
1637536,0.08,1.68,0.74256,0.077
1637537,0.077,1.43,0.74256,0.077
1637538,0.077,1.24,0.74256,0.077
1637539,0.075,1.13,0.78398,0.066
1637540,0.074,1.11,0.74256,0.077
1637541,0.075,1.26,0.74256,0.077
1637542,0.079,1.35,0.74256,0.077
1637543,0.077,1.38,0.74256,0.077
1637544,0.079,1.24,0.82667,0.055
1637545,0.078,1.1,0.82667,0.055
1637546,0.078,1.09,0.66142,0.099
1637547,0.078,1.12,0.66142,0.099
1637548,0.077,1.06,0.66142,0.099
1637549,0.077,0.99,0.74256,0.077
1637550,0.103,1.26,0.74256,0.077
1637551,0.122,1.4,0.74256,0.077
1637552,0.125,1.41,0.66142,0.099
1637553,0.1,1.08,0.66142,0.099
1637554,0.088,0.89,0.66142,0.099
1637555,0.084,0.84,0.66142,0.099
1637556,0.082,0.82,0.58407,0.121
1637557,0.074,0.76,0.66142,0.099
1637558,0.072,0.74,0.66142,0.099
1637559,0.062,0.64,0.66142,0.099
1637560,0.062,0.62,0.66142,0.099
1637566,0.081,0.78,0.51122,0.143
1637567,0.087,0.88,0.44342,0.165
1637571,0.11,1.01,0.32442,0.209
1637576,0.113,1.02,0.32442,0.209
1637577,0.115,1.07,0.32442,0.209
1637578,0.119,1.11,0.32442,0.209
1637579,0.112,1.08,0.32442,0.209
1637580,0.113,1.08,0.32442,0.209
1637584,0.113,1.12,0.44342,0.165
1637585,0.113,1.13,0.51122,0.143
1637586,0.113,1.16,0.51122,0.143
1637587,0.113,1.11,0.51122,0.143
1637594,0.116,1.24,0.51122,0.143
1637607,0.076,0.68,0.51122,0.143
1637608,0.076,0.65,0.51122,0.143
1637609,0.075,0.63,0.51122,0.143
1637610,0.073,0.61,0.51122,0.143
1637611,0.067,0.54,0.51122,0.143
1637612,0.057,0.47,0.51122,0.143
1637613,0.067,0.54,0.51122,0.143
1637614,0.063,0.51,0.51122,0.143
1637615,0.067,0.53,0.51122,0.143
1637616,0.063,0.5,0.44342,0.165
1637617,0.077,0.59,0.476,0.154
1637618,0.08,0.62,0.44342,0.165
1639929,0.085,0.99,0.82667,0.055
1639930,0.085,1.06,0.91281,0.033
1639933,0.082,1.2,0.82667,0.055
1639934,0.081,1.21,0.82667,0.055
1639935,0.078,1.25,0.74256,0.077
1639936,0.08,1.33,0.74256,0.077
1639937,0.079,1.5,0.74256,0.077
1639938,0.077,1.63,0.74256,0.077
1639939,0.075,1.48,0.74256,0.077
1639940,0.077,1.42,0.74256,0.077
1639941,0.075,1.36,0.74256,0.077
1639942,0.075,1.36,0.74256,0.077
1639943,0.076,1.4,0.74256,0.077
1639944,0.076,1.48,0.74256,0.077
1639945,0.077,1.47,0.74256,0.077
1639946,0.079,1.29,0.74256,0.077
1639947,0.078,1.25,0.74256,0.077
1639948,0.076,1.23,0.74256,0.077
1639949,0.075,1.11,0.66142,0.099
1639950,0.075,1.05,0.66142,0.099
1639951,0.075,0.97,0.74256,0.077
1639952,0.103,1.24,0.74256,0.077
1639953,0.12,1.36,0.74256,0.077
1639954,0.115,1.23,0.66142,0.099
1639955,0.102,1.07,0.66142,0.099
1639956,0.092,0.91,0.66142,0.099
1639957,0.086,0.83,0.66142,0.099
1639958,0.086,0.88,0.6217,0.11
1639959,0.076,0.81,0.58407,0.121
1639960,0.074,0.8,0.58407,0.121
1639961,0.066,0.67,0.66142,0.099
1639964,0.065,0.63,0.74256,0.077
1639966,0.074,0.72,0.6217,0.11
1639967,0.078,0.76,0.54644,0.132
1639968,0.084,0.81,0.44342,0.165
1639969,0.091,0.91,0.41085,0.176
1639972,0.105,0.99,0.32442,0.209
1639973,0.112,1.04,0.32442,0.209
1639978,0.117,1.1,0.32442,0.209
1639979,0.11,1.09,0.32442,0.209
1639980,0.112,1.15,0.32442,0.209
1639981,0.108,1.11,0.32442,0.209
1639982,0.117,1.11,0.32442,0.209
1639985,0.11,1.09,0.38107,0.187
1639986,0.107,1.14,0.44342,0.165
1639987,0.103,1.11,0.44342,0.165
1639988,0.11,1.1,0.51122,0.143
1639991,0.128,1.26,0.58407,0.121
1639992,0.122,1.22,0.58407,0.121
1639993,0.121,1.2,0.58407,0.121
1639994,0.12,1.21,0.54644,0.132
1639995,0.12,1.27,0.51122,0.143
1640007,0.076,0.7,0.44342,0.165
1640008,0.076,0.68,0.44342,0.165
1640009,0.076,0.66,0.51122,0.143
1640010,0.075,0.64,0.51122,0.143
1640011,0.075,0.63,0.51122,0.143
1640012,0.07,0.6,0.51122,0.143
1640013,0.063,0.53,0.51122,0.143
1640014,0.063,0.52,0.51122,0.143
1640015,0.063,0.54,0.51122,0.143
1640016,0.06,0.5,0.51122,0.143
1640017,0.057,0.46,0.51122,0.143
1640018,0.073,0.58,0.476,0.154
1640019,0.08,0.62,0.44342,0.165
1640020,0.079,0.61,0.44342,0.165
1640021,0.08,0.62,0.44342,0.165
1640022,0.078,0.6,0.44342,0.165
1640023,0.073,0.55,0.44342,0.165
1642331,0.084,1.08,0.91281,0.033
1642332,0.082,1.18,0.91281,0.033
1642333,0.081,1.12,0.91281,0.033
1642334,0.082,1.06,0.86935,0.044
1642335,0.081,1.03,0.91281,0.033
1642336,0.08,1.09,0.82667,0.055
1642337,0.081,1.12,0.82667,0.055
1642338,0.077,1.2,0.74256,0.077
1642339,0.079,1.35,0.74256,0.077
1642340,0.077,1.59,0.74256,0.077
1642341,0.077,1.72,0.74256,0.077
1642342,0.075,1.6,0.74256,0.077
1642343,0.075,1.58,0.74256,0.077
1642344,0.074,1.45,0.74256,0.077
1642345,0.076,1.61,0.74256,0.077
1642346,0.078,1.72,0.74256,0.077
1642347,0.079,1.69,0.74256,0.077
1642348,0.079,1.53,0.74256,0.077
1642349,0.079,1.38,0.74256,0.077
1642350,0.076,1.21,0.74256,0.077
1642351,0.075,1.09,0.74256,0.077
1642352,0.075,0.98,0.66142,0.099
1642353,0.08,0.97,0.74256,0.077
1642354,0.093,1.07,0.74256,0.077
1642355,0.117,1.31,0.74256,0.077
1642356,0.116,1.26,0.66142,0.099
1642357,0.11,1.17,0.66142,0.099
1642358,0.096,1,0.66142,0.099
1642359,0.094,0.96,0.66142,0.099
1642360,0.092,1,0.58407,0.121
1642361,0.078,0.89,0.66142,0.099
1642362,0.07,0.75,0.66142,0.099
1642363,0.064,0.65,0.74256,0.077
1642364,0.066,0.67,0.74256,0.077
1642365,0.067,0.67,0.74256,0.077
1642366,0.071,0.72,0.74256,0.077
1642367,0.074,0.72,0.66142,0.099
1642368,0.075,0.75,0.6217,0.11
1642369,0.082,0.85,0.476,0.154
1642370,0.085,0.87,0.44342,0.165
1642371,0.092,0.95,0.38107,0.187
1642372,0.096,1.04,0.38107,0.187
1642374,0.105,1.06,0.32442,0.209
1642375,0.114,1.07,0.32442,0.209
1642377,0.116,1.05,0.32442,0.209
1642381,0.111,1.07,0.32442,0.209
1642382,0.11,1.13,0.32442,0.209
1642383,0.108,1.12,0.32442,0.209
1642384,0.11,1.1,0.32442,0.209
1642385,0.11,1.05,0.38107,0.187
1642387,0.107,1.05,0.38107,0.187
1642388,0.103,1.09,0.44342,0.165
1642389,0.107,1.14,0.51122,0.143
1642390,0.11,1.14,0.51122,0.143
1642392,0.127,1.3,0.58407,0.121
1642393,0.129,1.38,0.58407,0.121
1642394,0.125,1.33,0.58407,0.121
1642395,0.119,1.2,0.58407,0.121
1642396,0.122,1.29,0.51122,0.143
1642406,0.099,1.07,0.41085,0.176
1642407,0.078,0.78,0.44342,0.165
1642408,0.077,0.76,0.44342,0.165
1642409,0.082,0.8,0.44342,0.165
1642410,0.077,0.69,0.44342,0.165
1642411,0.075,0.65,0.51122,0.143
1642412,0.076,0.65,0.51122,0.143
1642413,0.07,0.63,0.51122,0.143
1642414,0.07,0.62,0.51122,0.143
1642415,0.063,0.55,0.51122,0.143
1642416,0.06,0.52,0.51122,0.143
1642417,0.059,0.51,0.51122,0.143
1642418,0.054,0.45,0.51122,0.143
1642419,0.057,0.47,0.51122,0.143
1642420,0.07,0.57,0.51122,0.143
1642421,0.081,0.64,0.44342,0.165
1642422,0.079,0.62,0.44342,0.165
1642423,0.081,0.63,0.44342,0.165
1642424,0.08,0.62,0.44342,0.165
1642425,0.077,0.58,0.44342,0.165
1642426,0.075,0.56,0.51122,0.143
1642427,0.069,0.5,0.58407,0.121
1642428,0.074,0.53,0.51122,0.143
1644734,0.085,1.33,0.82667,0.055
1644735,0.085,1.37,0.82667,0.055
1644736,0.083,1.24,0.82667,0.055
1644737,0.083,1.25,0.82667,0.055
1644738,0.079,1.21,0.82667,0.055
1644739,0.08,1.29,0.82667,0.055
1644740,0.079,1.32,0.74256,0.077
1644741,0.076,1.3,0.74256,0.077
1644742,0.075,1.38,0.74256,0.077
1644743,0.076,1.5,0.74256,0.077
1644744,0.076,1.69,0.74256,0.077
1644745,0.076,1.88,0.74256,0.077
1644746,0.075,1.79,0.74256,0.077
1644747,0.076,1.88,0.74256,0.077
1644748,0.077,1.98,0.74256,0.077
1644749,0.078,1.94,0.74256,0.077
1644750,0.076,1.59,0.74256,0.077
1644751,0.076,1.36,0.74256,0.077
1644752,0.076,1.16,0.74256,0.077
1644753,0.075,1.06,0.74256,0.077
1644754,0.074,0.99,0.74256,0.077
