"nie_malla_modi_id","sen_slope_tempm02","sen_slope_per_tempm02","p_value_tempm02","tau_tempm02"
1589498,-0.14,-2.33,0.38107,-0.187
1591900,-0.147,-2.51,0.38107,-0.187
1591901,-0.142,-2.27,0.38107,-0.187
1591914,-0.095,-1.56,0.44342,-0.165
1591915,-0.086,-1.41,0.44342,-0.165
1594301,-0.153,-2.8,0.38107,-0.187
1594302,-0.143,-2.47,0.38107,-0.187
1594303,-0.142,-2.35,0.38107,-0.187
1594310,-0.14,-2.42,0.32442,-0.209
1594311,-0.142,-2.47,0.32442,-0.209
1594312,-0.123,-2.16,0.51122,-0.143
1594315,-0.106,-1.87,0.44342,-0.165
1594316,-0.103,-1.69,0.44342,-0.165
1596703,-0.147,-2.57,0.38107,-0.187
1596704,-0.144,-2.48,0.38107,-0.187
1596705,-0.148,-2.48,0.38107,-0.187
1596711,-0.138,-2.26,0.38107,-0.187
1596712,-0.138,-2.33,0.35131,-0.198
1596713,-0.142,-2.43,0.32442,-0.209
1596714,-0.148,-2.61,0.32442,-0.209
1596715,-0.12,-2.16,0.51122,-0.143
1596716,-0.12,-2.03,0.51122,-0.143
1596717,-0.113,-1.9,0.51122,-0.143
1596718,-0.113,-1.88,0.44342,-0.165
1596719,-0.101,-1.68,0.44342,-0.165
1599103,-0.148,-2.81,0.38107,-0.187
1599104,-0.152,-2.79,0.38107,-0.187
1599105,-0.147,-2.68,0.38107,-0.187
1599106,-0.149,-2.63,0.38107,-0.187
1599107,-0.149,-2.52,0.38107,-0.187
1599108,-0.148,-2.46,0.38107,-0.187
1599114,-0.144,-2.45,0.38107,-0.187
1599115,-0.144,-2.46,0.32442,-0.209
1599116,-0.147,-2.59,0.32442,-0.209
1599117,-0.153,-2.73,0.38107,-0.187
1599118,-0.15,-2.67,0.38107,-0.187
1599119,-0.121,-2.11,0.51122,-0.143
1599120,-0.115,-1.94,0.51122,-0.143
1599121,-0.11,-1.85,0.44342,-0.165
1601504,-0.14,-2.91,0.38107,-0.187
1601505,-0.151,-3.14,0.38107,-0.187
1601506,-0.152,-2.95,0.38107,-0.187
1601507,-0.152,-2.91,0.38107,-0.187
1601508,-0.152,-2.85,0.38107,-0.187
1601509,-0.148,-2.56,0.38107,-0.187
