"nie_malla_modi_id","sen_slope_pnm05","sen_slope_per_pnm05","p_value_pnm05","tau_pnm05"
1589498,0,NA,NA,0
1591900,0,NA,NA,0
1591901,0,NA,NA,0
1591914,0,NA,NA,0
1591915,0,NA,NA,0
1594301,0,NA,NA,0
1594302,0,NA,NA,0
1594303,0,NA,NA,0
1594310,0,NA,NA,0
1594311,0,NA,NA,0
1594312,0,NA,NA,0
1594315,0,NA,NA,0
1594316,0,NA,NA,0
1596703,0,NA,NA,0
1596704,0,NA,NA,0
1596705,0,NA,NA,0
1596711,0,NA,NA,0
1596712,0,NA,NA,0
1596713,0,NA,NA,0
1596714,0,NA,NA,0
1596715,0,NA,NA,0
1596716,0,NA,NA,0
1596717,0,NA,NA,0
1596718,0,NA,NA,0
1596719,0,NA,NA,0
1599103,0,NA,NA,0
1599104,0,NA,NA,0
1599105,0,NA,NA,0
1599106,0,NA,NA,0
1599107,0,NA,NA,0
1599108,0,NA,NA,0
1599114,0,NA,NA,0
1599115,0,NA,NA,0
1599116,0,NA,NA,0
1599117,0,NA,NA,0
1599118,0,NA,NA,0
1599119,0,NA,NA,0
1599120,0,NA,NA,0
1599121,0,NA,NA,0
1601504,0,NA,NA,0
1601505,0,NA,NA,0
1601506,0,NA,NA,0
1601507,0,NA,NA,0
1601508,0,NA,NA,0
1601509,0,NA,NA,0
1601510,0,NA,NA,0
1601516,0,NA,NA,0
1601517,0,NA,NA,0
1601518,0,NA,NA,0
1601519,0,NA,NA,0
1601520,0,NA,NA,0
1601521,0,NA,NA,0
1601522,0,NA,NA,0
1601523,0,NA,NA,0
1601524,0,NA,NA,0
1601525,0,NA,NA,0
1603905,0,NA,NA,0
1603906,0,NA,NA,0
1603907,0,NA,NA,0
1603908,0,NA,NA,0
1603909,0,NA,NA,0
1603910,0,NA,NA,0
1603911,0,NA,NA,0
1603912,0,NA,NA,0
1603918,0,NA,NA,0
1603919,0,NA,NA,0
1603920,0,NA,NA,0
1603921,0,NA,NA,0
1603922,0,NA,NA,0
1603923,0,NA,NA,0
1603924,0,NA,NA,0
1603925,0,NA,NA,0
1603926,0,NA,NA,0
1603927,0,NA,NA,0
1606307,0,NA,NA,0
1606308,0,0,0.21485,0.121
1606309,0,NA,NA,0
1606310,0,NA,NA,0
1606311,0,NA,NA,0
1606312,0,NA,NA,0
1606313,0,NA,NA,0
1606314,0,NA,NA,0
1606315,0,NA,NA,0
1606320,0,NA,NA,0
1606321,0,NA,NA,0
1606322,0,NA,NA,0
1606323,0,NA,NA,0
1606324,0,NA,NA,0
1606325,0,NA,NA,0
1606326,0,NA,NA,0
1606327,0,NA,NA,0
1606328,0,NA,NA,0
1606329,0,NA,NA,0
1606330,0,NA,NA,0
1608708,0,0,1,-0.011
1608709,0,0,1,-0.011
1608710,0,0,0.83548,0.044
1608711,0,NA,NA,0
1608712,0,0,0.21485,0.121
1608713,0,NA,NA,0
1608714,0,NA,NA,0
1608715,0,NA,NA,0
1608716,0,NA,NA,0
1608717,0,NA,NA,0
1608718,0,NA,NA,0
1608719,0,NA,NA,0
1608720,0,NA,NA,0
1608721,0,NA,NA,0
1608723,0,NA,NA,0
1608724,0,NA,NA,0
1608725,0,NA,NA,0
1608726,0,NA,NA,0
1608727,0,NA,NA,0
1608728,0,NA,NA,0
1608729,0,NA,NA,0
1608730,0,NA,NA,0
1608731,0,NA,NA,0
1608732,0,NA,NA,0
1611108,0,0,0.9486,-0.022
1611110,0,0,0.39274,-0.165
1611111,0,0,0.69953,-0.077
1611112,0,0,0.69953,-0.077
1611113,0,0,1,-0.011
1611114,0,0,0.69953,-0.077
1611115,0,0,0.21485,0.121
1611116,0,0,0.21485,0.121
1611117,0,NA,NA,0
1611118,0,NA,NA,0
1611119,0,NA,NA,0
1611120,0,NA,NA,0
1611121,0,NA,NA,0
1611122,0,NA,NA,0
1611123,0,NA,NA,0
1611124,0,NA,NA,0
1611125,0,NA,NA,0
1611126,0,NA,NA,0
1611127,0,NA,NA,0
1611128,0,NA,NA,0
1611129,0,NA,NA,0
1611130,0,NA,NA,0
1611131,0,NA,NA,0
1611132,0,NA,NA,0
1611133,0,NA,NA,0
1611134,0,NA,NA,0
1611135,0,NA,NA,0
1613509,0,0,0.85573,-0.033
1613510,0,0,0.39274,-0.165
1613511,0,0,0.46383,-0.143
1613512,0,0,0.39274,-0.165
1613513,0,0,0.69953,-0.077
1613514,0,0,0.69953,-0.077
1613515,0,0,0.69953,-0.077
1613516,0,0,0.60682,-0.099
1613517,0,0,1,-0.011
1613518,0,0,0.21485,0.121
1613519,0,NA,NA,0
1613520,0,NA,NA,0
1613521,0,NA,NA,0
1613522,0,NA,NA,0
1613523,0,NA,NA,0
1613524,0,NA,NA,0
1613525,0,NA,NA,0
1613526,0,NA,NA,0
1613527,0,NA,NA,0
1613528,0,NA,NA,0
1613529,0,NA,NA,0
1613530,0,NA,NA,0
1613531,0,0,0.13664,-0.143
1613532,0,0,0.13664,-0.143
1613533,0,NA,NA,0
1613534,0,NA,NA,0
1613535,0,NA,NA,0
1613536,0,NA,NA,0
1613537,0,NA,NA,0
1613538,0,NA,NA,0
1615910,0,0,0.85573,-0.033
1615911,0,0,0.39274,-0.165
1615912,0,0,0.46383,-0.143
1615913,0,0,0.46383,-0.143
1615914,0,0,0.46383,-0.143
1615915,0,0,0.69953,-0.077
1615916,0,0,0.54155,-0.121
1615917,0,0,0.69953,-0.077
1615918,0,0,0.69953,-0.077
1615919,0,0,0.83548,0.044
1615920,0,NA,NA,0
1615921,0,NA,NA,0
1615922,0,NA,NA,0
1615923,0,NA,NA,0
1615924,0,NA,NA,0
1615925,0,NA,NA,0
1615926,0,NA,NA,0
1615927,0,NA,NA,0
1615928,0,NA,NA,0
1615929,0,NA,NA,0
1615930,0,NA,NA,0
1615931,0,NA,NA,0
1615932,0,0,0.13664,-0.143
1615933,0,0,0.13664,-0.143
1615934,0,0,0.13664,-0.143
1615935,0,NA,NA,0
1615936,0,NA,NA,0
1615937,0,NA,NA,0
1615938,0,NA,NA,0
1615939,0,NA,NA,0
1615940,0,NA,NA,0
1618310,0,0,0.13664,-0.143
1618311,0,0,0.13664,-0.143
1618312,0,0,0.13664,-0.143
1618313,0,0,0.85573,-0.033
1618314,0,0,0.32869,-0.187
1618315,0,0,0.46383,-0.143
1618316,0,0,0.54155,-0.121
1618317,0,0,1,-0.011
1618318,0,0,0.60651,-0.11
1618319,0,0,0.95312,-0.022
1618320,0,0,0.69953,-0.077
1618321,0,0,1,0
1618322,0,NA,NA,0
1618323,0,0,0.21485,0.121
1618324,0,NA,NA,0
1618325,0,NA,NA,0
1618326,0,NA,NA,0
1618327,0,NA,NA,0
1618328,0,NA,NA,0
1618329,0,0,0.21485,0.121
1618330,0,NA,NA,0
1618331,0,NA,NA,0
1618332,0,NA,NA,0
1618333,0,NA,NA,0
1618334,0,0,0.13664,-0.143
1618335,0,0,0.13664,-0.143
1618336,0,0,0.13664,-0.143
1618337,0,0,0.13664,-0.143
1618338,0,NA,NA,0
1618339,0,NA,NA,0
1618340,0,NA,NA,0
1620712,0,0,0.13664,-0.143
1620713,0,0,0.94481,-0.022
1620714,0,0,0.42656,-0.154
1620715,0,0,0.46383,-0.143
1620716,0,0,0.46383,-0.143
1620717,0,0,0.46383,-0.143
1620718,0,0,0.46383,-0.143
1620719,0,0,0.69953,-0.077
1620720,0,0,0.95312,-0.022
1620721,0,0,0.52901,-0.132
1620722,0,0,0.60682,-0.099
1620723,0,0,0.69953,-0.077
1620724,0,0,1,0
1620725,0,0,0.21485,0.121
1620726,0,NA,NA,0
1620727,0,NA,NA,0
1620728,0,0,0.21485,0.121
1620729,0,0,0.21485,0.121
1620730,0,NA,NA,0
1620731,0,0,1,-0.011
1620732,0,NA,NA,0
1620733,0,NA,NA,0
1620734,0,NA,NA,0
1620735,0,0,0.13664,-0.143
1620736,0,0,0.13664,-0.143
1620737,0,0,0.13664,-0.143
1620738,0,0,0.13664,-0.143
1620739,0,NA,NA,0
1620740,0,NA,NA,0
1623115,0,0,0.13664,-0.143
1623116,0,0,0.39274,-0.165
1623117,0,0,0.46383,-0.143
1623118,0,0,0.45689,-0.154
1623119,0,0,0.77477,-0.066
1623120,0,0,0.77477,-0.066
1623121,0,0,0.52901,-0.132
