"nie_malla_modi_id","sen_slope_pnm02","sen_slope_per_pnm02","p_value_pnm02","tau_pnm02"
1589498,0.004,0.15,0.33061,0.198
1591900,0.026,0.77,0.31203,0.209
1591901,0.009,0.39,0.27689,0.22
1591914,0,0,0.90282,0.033
1591915,0,0,0.90282,0.033
1594301,0.042,0.75,0.50564,0.143
1594302,0.03,0.88,0.31203,0.209
1594303,0.006,0.25,0.33061,0.198
1594310,0.014,0.49,0.39066,0.176
1594311,0.023,0.81,0.26131,0.231
1594312,0.006,0.2,0.31203,0.209
1594315,0,0,0.86,-0.044
1594316,0,0,0.90282,0.033
1596703,0.035,0.83,0.26131,0.231
1596704,0.03,0.89,0.31203,0.209
1596705,0.042,1.71,0.21659,0.253
1596711,0.002,0.11,0.39066,0.176
1596712,0.006,0.25,0.39066,0.176
1596713,0.004,0.15,0.39066,0.176
1596714,0.022,0.8,0.26131,0.231
1596715,0.005,0.16,0.5791,0.121
1596716,0,0,0.90282,0.033
1596717,0,0,0.90282,0.033
1596718,0,0,0.90282,0.033
1596719,0,0,0.90282,0.033
1599103,0.05,0.59,0.37772,0.187
1599104,0.04,0.63,0.43741,0.165
1599105,0.048,0.81,0.43741,0.165
1599106,0.048,1.16,0.26131,0.231
1599107,0.04,1.32,0.26131,0.231
1599108,0.032,1.32,0.26131,0.231
1599114,0,0,0.45689,0.154
1599115,0.004,0.16,0.39066,0.176
1599116,0.023,0.86,0.26131,0.231
1599117,0.018,0.64,0.31203,0.209
1599118,0,0,0.52901,0.132
1599119,0,0,0.90282,0.033
1599120,0,0,0.90282,0.033
1599121,0,0,0.90282,0.033
1601504,0.362,2.75,0.58407,0.121
1601505,0.37,2.9,0.58407,0.121
1601506,0.1,1.09,0.54483,0.132
1601507,0.062,0.76,0.62029,0.11
1601508,0.102,1.4,0.40896,0.176
1601509,0.058,1.65,0.26131,0.231
1601510,0.059,1.74,0.31203,0.209
1601516,0.025,0.94,0.26131,0.231
1601517,0.024,0.92,0.26131,0.231
1601518,0.033,0.97,0.62029,0.11
1601519,0.106,2.91,0.34937,0.198
1601520,0.198,2.88,0.82667,0.055
1601521,0.034,1.01,0.54483,0.132
1601522,0,0,0.90282,0.033
1601523,0,0,0.90282,0.033
1601524,0,0,0.90282,0.033
1601525,0,0,0.90282,0.033
1603905,0.262,1.52,0.6217,0.11
1603906,0.124,0.64,0.74256,0.077
1603907,0.28,1.27,0.58407,0.121
1603908,0.223,1.98,0.40896,0.176
1603909,0.358,2.93,0.58407,0.121
1603910,0.197,2.12,0.47422,0.154
1603911,0.094,2.09,0.43741,0.165
1603912,0.102,2.8,0.26131,0.231
1603918,0.025,1.06,0.26131,0.231
1603919,0.04,1.52,0.21659,0.253
1603920,0.145,3.45,0.47422,0.154
1603921,0.143,2.5,0.70113,0.088
1603922,0.339,3.6,0.74256,0.077
1603923,0.108,1.76,1,0.011
1603924,0.093,2.22,0.70113,0.088
1603925,0,0,0.7688,0.066
1603926,0,0,0.90282,0.033
1603927,0,0,0.90282,0.033
1606307,0.672,2.69,0.44342,0.165
1606308,0.455,1.67,0.58407,0.121
1606309,0.367,1.61,0.41085,0.176
1606310,0.218,1.38,0.58407,0.121
1606311,0.53,2.8,0.51122,0.143
1606312,0.372,3.2,0.41085,0.176
1606313,0.092,1.29,0.3748,0.187
1606314,0.216,3.69,0.3748,0.187
1606315,0.121,3.05,0.3748,0.187
1606320,0.105,3.47,0.26131,0.231
1606321,0.102,3.27,0.31203,0.209
1606322,0.158,2.96,0.40896,0.176
1606323,0.233,3.47,0.82667,0.055
1606324,0.292,2.72,0.74256,0.077
1606325,0.266,2.36,0.82667,0.055
1606326,0.13,2.41,0.54644,0.132
1606327,0.057,1.55,0.78398,0.066
1606328,0,0,0.68069,0.088
1606329,0,0,0.80709,0.055
1606330,0,0,0.90282,0.033
1608708,0.435,1.38,0.476,0.154
1608709,1.086,3.37,0.38107,0.187
