"nie_malla_modi_id","var"
1685697,"m12"
1688098,"m12"
1688099,"m12"
1690499,"m12"
1690500,"m12"
1692900,"m12"
1692901,"m12"
1692902,"m12"
1695301,"m12"
1695302,"m12"
1695304,"m12"
1695305,"m12"
1697706,"m12"
1697707,"m12"
1700108,"m12"
1700109,"m12"
1700110,"m12"
1702510,"m12"
1702511,"m12"
1702512,"m12"
1702513,"m12"
1704909,"m12"
1704913,"m12"
1704914,"m12"
1707311,"m12"
1707314,"m12"
1707315,"m12"
1707316,"m12"
1707317,"m12"
1709713,"m12"
1709714,"m12"
1709715,"m12"
1709716,"m12"
1709717,"m12"
1709718,"m12"
1712103,"m12"
1712109,"m12"
1712113,"m12"
1712114,"m12"
1712115,"m12"
1712116,"m12"
1712117,"m12"
1712118,"m12"
1712119,"m12"
1712120,"m12"
1714500,"m12"
1714505,"m12"
1714506,"m12"
1714510,"m12"
1714511,"m12"
1714512,"m12"
1714513,"m12"
1714514,"m12"
1714515,"m12"
1714516,"m12"
1714517,"m12"
1714518,"m12"
1714519,"m12"
1714520,"m12"
1714521,"m12"
1714522,"m12"
1714523,"m12"
1714524,"m12"
1714525,"m12"
1716902,"m12"
1716903,"m12"
1716907,"m12"
1716908,"m12"
1716909,"m12"
1716910,"m12"
1716911,"m12"
1716912,"m12"
1716913,"m12"
1716914,"m12"
1716915,"m12"
1716916,"m12"
1716917,"m12"
1716918,"m12"
1716919,"m12"
1716920,"m12"
1716921,"m12"
1716922,"m12"
1716923,"m12"
1716924,"m12"
1716925,"m12"
1716926,"m12"
1716927,"m12"
1719304,"m12"
1719305,"m12"
1719306,"m12"
1719308,"m12"
1719309,"m12"
1719310,"m12"
1719311,"m12"
1719312,"m12"
1719313,"m12"
1719314,"m12"
1719315,"m12"
1719316,"m12"
1719317,"m12"
1719318,"m12"
1719319,"m12"
1719320,"m12"
1719321,"m12"
1719322,"m12"
1719323,"m12"
1719324,"m12"
1719325,"m12"
1719326,"m12"
1719327,"m12"
1719328,"m12"
1719329,"m12"
1721705,"m12"
1721706,"m12"
1721707,"m12"
1721708,"m12"
1721709,"m12"
1721710,"m12"
