"nie_malla_modi_id","sen_slope_prem11","sen_slope_per_prem11","p_value_prem11","tau_prem11"
1589498,4.046,6.64,0.38107,0.187
1591900,4.087,6.59,0.38107,0.187
1591901,2.64,4.9,0.38107,0.187
1591914,1.162,2.74,0.32442,0.209
1591915,1.137,2.71,0.38107,0.187
1594301,4.257,6.51,0.32442,0.209
1594302,4.084,6.57,0.38107,0.187
1594303,3.942,6.61,0.38107,0.187
1594310,1.59,3.14,0.18889,0.275
1594311,1.602,3.2,0.15463,0.297
1594312,1.65,3.3,0.15463,0.297
1594315,1.672,3.69,0.38107,0.187
1594316,1.058,2.51,0.32442,0.209
1596703,4.175,6.55,0.38107,0.187
1596704,4.067,6.56,0.38107,0.187
1596705,3.948,6.58,0.38107,0.187
1596711,1.496,3.05,0.22844,0.253
1596712,1.556,3.15,0.15463,0.297
1596713,1.63,3.31,0.15463,0.297
1596714,1.599,3.23,0.18889,0.275
1596715,1.644,3.28,0.18889,0.275
1596716,1.188,2.73,0.38107,0.187
1596717,1.042,2.43,0.38107,0.187
1596718,1.045,2.46,0.38107,0.187
1596719,1.055,2.53,0.38107,0.187
1599103,4.251,6.22,0.32442,0.209
1599104,4.256,6.41,0.32442,0.209
1599105,4.222,6.46,0.38107,0.187
1599106,4.098,6.51,0.38107,0.187
1599107,3.957,6.55,0.38107,0.187
1599108,2.592,4.76,0.38107,0.187
1599114,1.54,3.1,0.15463,0.297
1599115,1.65,3.38,0.15463,0.297
1599116,1.612,3.27,0.22844,0.253
1599117,1.638,3.33,0.22844,0.253
1599118,1.763,3.91,0.38107,0.187
1599119,1.757,3.97,0.38107,0.187
1599120,1.155,2.71,0.38107,0.187
1599121,1.078,2.56,0.38107,0.187
1601504,4.103,5.69,0.32442,0.209
1601505,4.058,5.67,0.32442,0.209
1601506,4.134,6.04,0.32442,0.209
1601507,4.108,6.12,0.38107,0.187
1601508,4.085,6.25,0.38107,0.187
1601509,3.973,6.5,0.38107,0.187
1601510,2.533,4.48,0.44342,0.165
1601516,1.572,3.14,0.18889,0.275
1601517,1.598,3.23,0.18889,0.275
1601518,1.646,3.24,0.22844,0.253
1601519,1.794,3.77,0.27356,0.231
1601520,1.836,3.58,0.27356,0.231
1601521,1.798,3.82,0.27356,0.231
1601522,1.778,3.99,0.38107,0.187
1601523,1.773,4.05,0.38107,0.187
1601524,1.188,2.87,0.38107,0.187
1601525,1.14,2.78,0.38107,0.187
1603905,3.665,4.57,0.38107,0.187
1603906,3.935,5.24,0.32442,0.209
1603907,3.83,5.05,0.32442,0.209
1603908,4.057,5.8,0.32442,0.209
1603909,3.949,5.65,0.38107,0.187
1603910,3.96,5.88,0.38107,0.187
1603911,4.031,6.41,0.38107,0.187
1603912,2.474,4.33,0.44342,0.165
1603918,1.46,2.97,0.18889,0.275
1603919,1.619,3.25,0.22844,0.253
1603920,1.694,3.28,0.22844,0.253
1603921,1.83,3.65,0.27356,0.231
1603922,2.606,4.8,0.32442,0.209
1603923,1.925,3.81,0.27356,0.231
1603924,1.826,3.8,0.27356,0.231
1603925,1.794,4.04,0.32442,0.209
1603926,1.781,4.17,0.38107,0.187
1603927,1.415,3.46,0.44342,0.165
1606307,3.836,4.92,0.32442,0.209
1606308,3.728,4.71,0.32442,0.209
1606309,3.799,5,0.32442,0.209
1606310,3.88,5.32,0.32442,0.209
1606311,3.797,5.21,0.38107,0.187
1606312,3.874,5.64,0.38107,0.187
1606313,3.932,6.12,0.38107,0.187
1606314,3.79,6.09,0.38107,0.187
1606315,2.063,3.64,0.44342,0.165
1606320,1.635,3.2,0.18889,0.275
1606321,1.642,3.25,0.22844,0.253
1606322,1.739,3.32,0.22844,0.253
1606323,2.21,4.31,0.29754,0.22
1606324,2.634,4.78,0.32442,0.209
1606325,2.53,4.56,0.32442,0.209
1606326,1.99,4.09,0.29754,0.22
1606327,1.833,3.9,0.32442,0.209
1606328,1.791,4.22,0.32442,0.209
1606329,1.789,4.31,0.38107,0.187
1606330,1.697,4.19,0.44342,0.165
1608708,4.531,5.15,0.38107,0.187
1608709,3.769,4.63,0.32442,0.209
1608710,3.95,4.79,0.32442,0.209
1608711,3.73,4.82,0.32442,0.209
1608712,3.674,4.77,0.32442,0.209
1608713,3.683,4.91,0.35131,0.198
1608714,3.829,5.56,0.38107,0.187
1608715,3.773,5.6,0.38107,0.187
1608716,3.793,6,0.38107,0.187
1608717,2.129,3.71,0.32442,0.209
1608718,1.853,3.38,0.32442,0.209
1608719,1.963,3.56,0.32442,0.209
1608720,1.85,3.42,0.22844,0.253
1608721,1.732,3.27,0.22844,0.253
1608723,1.664,3.27,0.22844,0.253
1608724,1.824,3.77,0.27356,0.231
1608725,2.573,4.81,0.32442,0.209
1608726,2.626,4.79,0.32442,0.209
1608727,2.594,4.86,0.32442,0.209
1608728,1.87,3.99,0.32442,0.209
1608729,1.826,4.03,0.32442,0.209
1608730,1.812,4.2,0.32442,0.209
1608731,1.802,4.31,0.38107,0.187
1608732,1.797,4.42,0.38107,0.187
1611108,4.939,5.41,0.32442,0.209
1611110,5.127,5.54,0.38107,0.187
1611111,4.396,5.08,0.38107,0.187
1611112,4.473,5.16,0.32442,0.209
1611113,3.888,4.79,0.32442,0.209
1611114,3.932,4.86,0.38107,0.187
1611115,3.655,4.72,0.44342,0.165
1611116,3.738,5.01,0.44342,0.165
1611117,3.785,5.36,0.44342,0.165
1611118,3.755,5.76,0.38107,0.187
1611119,2.109,3.69,0.32442,0.209
1611120,2.042,3.63,0.32442,0.209
1611121,1.984,3.54,0.38107,0.187
1611122,2.442,4.16,0.38107,0.187
1611123,1.935,3.51,0.27356,0.231
1611124,1.647,3.15,0.27356,0.231
1611125,1.679,3.29,0.22844,0.253
1611126,1.875,3.85,0.27356,0.231
1611127,2.543,4.84,0.32442,0.209
