"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1589498",0.146,3.52,0.51122,0.143
"1591900",0.061,1.34,0.74256,0.077
"1591901",0.065,2.05,0.74256,0.077
"1591914",0.01,0.38,0.82667,0.055
"1591915",0.031,1.22,0.58407,0.121
"1594301",0.14,2.26,0.74256,0.077
"1594302",0.067,1.43,0.66142,0.099
"1594303",0.13,3.28,0.51122,0.143
"1594310",0.1,2.54,0.66142,0.099
"1594311",0.08,2,0.74256,0.077
"1594312",0.096,2.36,0.44342,0.165
"1594315",0.056,1.53,0.58407,0.121
"1594316",0.032,1.25,0.82667,0.055
"1596703",0.083,1.61,0.74256,0.077
"1596704",0.067,1.45,0.58407,0.121
"1596705",0.124,3.07,0.58407,0.121
"1596711",0.092,2.77,0.74256,0.077
"1596712",0.1,2.73,0.74256,0.077
"1596713",0.1,2.64,0.66142,0.099
"1596714",0.052,1.29,0.54644,0.132
"1596715",0.158,3.62,0.44342,0.165
"1596716",0.075,2.48,0.58407,0.121
"1596717",0.075,2.51,0.58407,0.121
"1596718",0.058,2.06,0.58407,0.121
"1596719",0.026,1.06,0.82667,0.055
"1599103",0.158,2.18,0.51122,0.143
"1599104",0.187,2.89,0.74256,0.077
"1599105",0.153,2.46,0.74256,0.077
"1599106",0.072,1.42,0.58407,0.121
"1599107",0.067,1.59,0.66142,0.099
"1599108",0.123,3.25,0.58407,0.121
"1599114",0.083,2.2,0.74256,0.077
"1599115",0.113,3.01,0.66142,0.099
"1599116",0.058,1.43,0.51122,0.143
"1599117",0.115,2.68,0.70113,0.088
"1599118",0.062,1.58,0.58407,0.121
"1599119",0.066,1.94,0.54644,0.132
"1599120",0.065,2.13,0.58407,0.121
"1599121",0.028,1.01,0.74256,0.077
"1601504",0.413,3.94,0.32442,0.209
"1601505",0.415,3.99,0.32442,0.209
"1601506",0.324,3.99,0.44342,0.165
"1601507",0.28,3.66,0.51122,0.143
"1601508",0.177,2.56,0.476,0.154
"1601509",0.113,2.39,0.58407,0.121
"1601510",0.09,1.96,0.58407,0.121
"1601516",0.061,1.57,0.58407,0.121
"1601517",0.113,2.93,0.58407,0.121
"1601518",0.196,3.95,0.32442,0.209
"1601519",0.178,3.64,0.58407,0.121
"1601520",0.336,4.73,0.32442,0.209
"1601521",0.138,2.82,0.51122,0.143
"1601522",0.095,2.52,0.74256,0.077
"1601523",0.045,1.3,0.66142,0.099
"1601524",0.025,0.93,0.74256,0.077
"1601525",0.012,0.46,0.74256,0.077
"1603905",0.316,2.98,0.51122,0.143
"1603906",0.549,4.22,0.38107,0.187
"1603907",0.795,5.68,0.38107,0.187
"1603908",0.393,4.07,0.35131,0.198
"1603909",0.425,4.15,0.27356,0.231
"1603910",0.36,4.25,0.38107,0.187
"1603911",0.197,3.61,0.38107,0.187
"1603912",0.127,2.62,0.51122,0.143
"1603918",0.125,3.43,0.58407,0.121
"1603919",0.05,1.19,0.44342,0.165
"1603920",0.205,3.74,0.44342,0.165
"1603921",0.3,4.71,0.38107,0.187
"1603922",0.542,5.9,0.12531,0.319
"1603923",0.301,4.46,0.38107,0.187
"1603924",0.23,4.13,0.51122,0.143
"1603925",0.04,1.03,0.74256,0.077
"1603926",0.015,0.45,0.95628,0.022
"1603927",0.016,0.59,0.74256,0.077
"1606307",0.818,5.43,0.32442,0.209
"1606308",0.737,4.41,0.44342,0.165
"1606309",0.619,4.29,0.32442,0.209
"1606310",0.727,6,0.15463,0.297
"1606311",0.686,5.35,0.27356,0.231
"1606312",0.433,4.34,0.27356,0.231
"1606313",0.196,2.75,0.32442,0.209
"1606314",0.227,3.8,0.32442,0.209
"1606315",0.21,4.21,0.22844,0.253
"1606320",0.18,4.04,0.32442,0.209
"1606321",0.137,2.91,0.32442,0.209
"1606322",0.292,4.78,0.32442,0.209
"1606323",0.353,4.9,0.24958,0.242
"1606324",0.5,5.04,0.18889,0.275
"1606325",0.422,3.99,0.32442,0.209
"1606326",0.225,3.66,0.38107,0.187
"1606327",0.175,3.29,0.44342,0.165
"1606328",0.008,0.23,1,0.011
"1606329",-0.024,-0.74,0.91281,-0.033
"1606330",-0.029,-1.08,0.91281,-0.033
"1608708",0.696,4.1,0.51122,0.143
"1608709",0.791,4.25,0.38107,0.187
"1608710",0.89,4.45,0.32442,0.209
"1608711",0.822,5.15,0.32442,0.209
"1608712",0.813,5.09,0.22844,0.253
"1608713",0.8,5.33,0.22844,0.253
"1608714",0.434,4.28,0.27356,0.231
"1608715",0.444,4.56,0.38107,0.187
"1608716",0.188,2.71,0.51122,0.143
"1608717",0.244,4.31,0.32442,0.209
"1608718",0.193,4.16,0.18889,0.275
"1608719",0.251,4.72,0.22844,0.253
"1608720",0.225,4.34,0.22844,0.253
"1608721",0.233,4.56,0.32442,0.209
"1608723",0.202,4.03,0.32442,0.209
"1608724",0.296,5.38,0.32442,0.209
"1608725",0.562,6.46,0.10052,0.341
"1608726",0.488,4.93,0.15463,0.297
"1608727",0.433,4.71,0.15463,0.297
"1608728",0.198,3.75,0.51122,0.143
"1608729",0.133,2.89,0.74256,0.077
"1608730",0.011,0.28,1,0.011
"1608731",-0.018,-0.49,1,-0.011
"1608732",-0.01,-0.33,1,-0.011
"1611108",0.878,4.32,0.44342,0.165
"1611110",0.9,4.15,0.44342,0.165
"1611111",0.885,3.63,0.32442,0.209
"1611112",0.845,3.39,0.38107,0.187
"1611113",0.826,4.26,0.44342,0.165
"1611114",0.84,4.25,0.38107,0.187
"1611115",0.824,4.85,0.32442,0.209
"1611116",0.825,5.31,0.27356,0.231
"1611117",0.822,6.61,0.12531,0.319
"1611118",0.336,3.9,0.32442,0.209
"1611119",0.205,3.72,0.22844,0.253
"1611120",0.242,4.27,0.27356,0.231
"1611121",0.288,4.8,0.27356,0.231
"1611122",0.489,5.74,0.22844,0.253
"1611123",0.335,5.18,0.22844,0.253
"1611124",0.268,5.04,0.38107,0.187
"1611125",0.203,3.88,0.38107,0.187
"1611126",0.293,5.25,0.32442,0.209
"1611127",0.526,6.4,0.10052,0.341
"1611128",0.5,4.65,0.22844,0.253
"1611129",0.36,3.85,0.22844,0.253
"1611130",0.334,4.52,0.18889,0.275
"1611131",0.248,3.41,0.32442,0.209
"1611132",0.021,0.52,1,0.011
"1611133",-0.05,-1.32,1,-0.011
"1611134",-0.003,-0.1,1,-0.011
"1611135",-0.014,-0.46,0.86935,-0.044
"1613509",0.718,3.73,0.44342,0.165
"1613510",0.867,3.92,0.32442,0.209
"1613511",0.486,1.99,0.44342,0.165
"1613512",0.957,4.27,0.32442,0.209
"1613513",0.55,1.97,0.58407,0.121
"1613514",0.731,2.8,0.58407,0.121
"1613515",0.929,3.97,0.44342,0.165
"1613516",0.923,3.99,0.38107,0.187
"1613517",0.803,4.49,0.38107,0.187
"1613518",0.82,5.3,0.22844,0.253
"1613519",0.826,7.24,0.15463,0.297
"1613520",0.164,2.95,0.32442,0.209
"1613521",0.22,4.79,0.18889,0.275
"1613522",0.3,4.87,0.27356,0.231
"1613523",0.529,6.39,0.22844,0.253
"1613524",0.672,6.8,0.10052,0.341
"1613525",0.512,6.33,0.27356,0.231
"1613526",0.496,6.32,0.22844,0.253
"1613527",0.268,4.36,0.18889,0.275
"1613528",0.356,5.55,0.22844,0.253
"1613529",0.547,6.36,0.12531,0.319
"1613530",0.541,4.79,0.27356,0.231
"1613531",0.503,3.97,0.22844,0.253
"1613532",0.374,3.41,0.51122,0.143
"1613533",0.218,3.93,0.38107,0.187
"1613534",0.269,4.14,0.32442,0.209
"1613535",0.027,0.69,1,0.011
"1613536",-0.02,-0.58,1,-0.011
"1613537",0.018,0.55,0.91281,0.033
"1613538",0.032,0.71,0.91281,0.033
"1615910",0.75,3.97,0.44342,0.165
"1615911",0.867,3.85,0.38107,0.187
"1615912",0.464,1.88,0.51122,0.143
"1615913",0.634,2.42,0.38107,0.187
"1615914",0.48,1.8,0.51122,0.143
"1615915",0.73,2.47,0.27356,0.231
"1615916",0.835,2.71,0.32442,0.209
"1615917",0.563,2.01,0.27356,0.231
"1615918",0.891,3.58,0.22844,0.253
"1615919",0.897,4.51,0.32442,0.209
"1615920",0.76,5.72,0.15463,0.297
"1615921",0.529,5.52,0.15463,0.297
"1615922",0.489,5.48,0.22844,0.253
"1615923",0.276,3.95,0.32442,0.209
"1615924",0.634,6.86,0.10052,0.341
"1615925",0.432,5.82,0.22844,0.253
"1615926",0.674,6.82,0.10052,0.341
"1615927",0.667,6.16,0.12531,0.319
"1615928",0.482,5.68,0.15463,0.297
"1615929",0.52,6.64,0.15463,0.297
"1615930",0.378,5.69,0.22844,0.253
"1615931",0.554,5.35,0.15463,0.297
"1615932",0.527,4.21,0.27356,0.231
"1615933",0.661,4.39,0.27356,0.231
"1615934",0.309,2.77,0.51122,0.143
"1615935",0.252,2.42,0.44342,0.165
"1615936",0.219,3.08,0.38107,0.187
"1615937",0.119,2.51,0.66142,0.099
"1615938",0.096,2.31,0.70113,0.088
"1615939",0.106,2.52,0.66142,0.099
"1615940",0.057,1.35,0.82667,0.055
"1618310",0.522,3.81,0.44342,0.165
"1618311",0.693,4.36,0.51122,0.143
"1618312",0.619,3.76,0.58407,0.121
"1618313",0.731,3.98,0.51122,0.143
"1618314",0.86,3.93,0.32442,0.209
"1618315",0.657,2.51,0.38107,0.187
"1618316",0.63,2.14,0.22844,0.253
"1618317",0.805,2.49,0.32442,0.209
"1618318",0.809,2.46,0.32442,0.209
"1618319",0.927,2.95,0.32442,0.209
"1618320",0.52,1.92,0.32442,0.209
"1618321",0.928,4.92,0.27356,0.231
"1618322",0.838,7.1,0.15463,0.297
"1618323",0.931,6.16,0.2073,0.264
"1618324",0.301,4.03,0.27356,0.231
"1618325",0.703,7.04,0.12531,0.319
"1618326",0.831,7.09,0.12531,0.319
"1618327",0.779,6.77,0.15463,0.297
"1618328",0.635,6.08,0.10052,0.341
"1618329",0.882,6.45,0.0798,0.363
"1618330",0.684,5.94,0.10052,0.341
"1618331",0.627,6.95,0.12531,0.319
"1618332",0.622,6.17,0.10052,0.341
"1618333",0.589,5.11,0.22844,0.253
"1618334",0.566,4.17,0.27356,0.231
"1618335",0.527,3.44,0.32442,0.209
"1618336",0.492,3.17,0.32442,0.209
"1618337",0.282,2.2,0.66142,0.099
"1618338",0.138,1.52,0.51122,0.143
"1618339",0.12,1.58,0.44342,0.165
"1618340",0.201,3.09,0.32442,0.209
"1620712",0.545,3.45,0.51122,0.143
"1620713",0.699,3.41,0.58407,0.121
"1620714",0.764,3.54,0.38107,0.187
"1620715",0.56,2.24,0.51122,0.143
"1620716",0.647,2.47,0.38107,0.187
"1620717",0.656,2.45,0.44342,0.165
"1620718",0.544,2.05,0.58407,0.121
"1620719",0.397,1.37,0.22844,0.253
"1620720",0.88,2.73,0.27356,0.231
"1620721",1.024,3.18,0.27356,0.231
"1620722",0.837,3.21,0.32442,0.209
"1620723",0.984,4.58,0.32442,0.209
"1620724",0.889,4.67,0.27356,0.231
"1620725",0.899,7.23,0.12531,0.319
"1620726",0.639,6.74,0.15463,0.297
"1620727",0.68,6.53,0.10052,0.341
"1620728",0.989,7.18,0.10052,0.341
"1620729",0.963,6.34,0.0798,0.363
"1620730",0.722,6.35,0.10052,0.341
"1620731",0.921,5.53,0.15463,0.297
"1620732",0.807,6.16,0.15463,0.297
"1620733",0.705,6.08,0.10052,0.341
"1620734",0.709,5.9,0.10052,0.341
"1620735",0.672,4.87,0.15463,0.297
"1620736",0.692,4.65,0.22844,0.253
"1620737",0.435,3.3,0.27356,0.231
"1620738",0.314,2.81,0.58407,0.121
"1620739",0.193,2.17,0.38107,0.187
