"nie_malla_modi_id","sen_slope_tempm10","sen_slope_per_tempm10","p_value_tempm10","tau_tempm10"
1589498,0.093,0.61,0.29754,0.22
1591900,0.095,0.63,0.27212,0.231
1591901,0.094,0.61,0.24958,0.242
1591914,0.088,0.58,0.54644,0.132
1591915,0.087,0.57,0.54644,0.132
1594301,0.095,0.65,0.29754,0.22
1594302,0.094,0.63,0.24815,0.242
1594303,0.093,0.61,0.24958,0.242
1594310,0.092,0.61,0.27212,0.231
1594311,0.088,0.59,0.27356,0.231
1594312,0.095,0.64,0.27356,0.231
1594315,0.092,0.63,0.29754,0.22
1594316,0.09,0.6,0.35131,0.198
1596703,0.096,0.64,0.22704,0.253
1596704,0.094,0.63,0.27356,0.231
1596705,0.096,0.63,0.27356,0.231
1596711,0.092,0.61,0.29754,0.22
1596712,0.092,0.61,0.27356,0.231
1596713,0.088,0.59,0.27356,0.231
1596714,0.09,0.61,0.27356,0.231
1596715,0.095,0.64,0.27356,0.231
1596716,0.092,0.61,0.27356,0.231
1596717,0.092,0.61,0.27356,0.231
1596718,0.089,0.59,0.29754,0.22
1596719,0.086,0.57,0.38107,0.187
1599103,0.097,0.67,0.24815,0.242
1599104,0.097,0.66,0.18889,0.275
1599105,0.097,0.66,0.2073,0.264
1599106,0.097,0.65,0.24958,0.242
1599107,0.098,0.65,0.2073,0.264
1599108,0.097,0.63,0.24958,0.242
1599114,0.091,0.6,0.27356,0.231
1599115,0.089,0.59,0.27356,0.231
1599116,0.091,0.61,0.27356,0.231
1599117,0.089,0.61,0.22844,0.253
1599118,0.088,0.59,0.24958,0.242
1599119,0.092,0.62,0.27356,0.231
1599120,0.089,0.6,0.27356,0.231
1599121,0.085,0.57,0.29754,0.22
1601504,0.099,0.71,0.22704,0.253
1601505,0.097,0.69,0.22844,0.253
1601506,0.098,0.68,0.18889,0.275
1601507,0.097,0.67,0.24958,0.242
1601508,0.099,0.68,0.18889,0.275
1601509,0.1,0.66,0.18889,0.275
1601510,0.097,0.65,0.2073,0.264
1601516,0.092,0.61,0.27356,0.231
1601517,0.09,0.6,0.27356,0.231
1601518,0.088,0.61,0.27356,0.231
1601519,0.091,0.63,0.22844,0.253
1601520,0.096,0.69,0.24958,0.242
1601521,0.087,0.6,0.27356,0.231
1601522,0.088,0.6,0.27356,0.231
1601523,0.088,0.6,0.27356,0.231
1601524,0.084,0.56,0.27356,0.231
1601525,0.082,0.55,0.29754,0.22
1603905,0.101,0.72,0.22704,0.253
1603906,0.098,0.72,0.22844,0.253
1603907,0.107,0.79,0.2073,0.264
1603908,0.097,0.69,0.22844,0.253
1603909,0.1,0.71,0.22704,0.253
1603910,0.1,0.7,0.2073,0.264
1603911,0.1,0.67,0.2073,0.264
1603912,0.1,0.67,0.2073,0.264
1603918,0.093,0.62,0.27356,0.231
1603919,0.092,0.62,0.27356,0.231
1603920,0.09,0.62,0.27356,0.231
1603921,0.093,0.66,0.24958,0.242
1603922,0.097,0.72,0.27356,0.231
1603923,0.095,0.68,0.22844,0.253
1603924,0.088,0.63,0.27356,0.231
1603925,0.088,0.6,0.27356,0.231
1603926,0.083,0.56,0.27356,0.231
1603927,0.082,0.55,0.27356,0.231
1606307,0.1,0.75,0.24958,0.242
1606308,0.1,0.76,0.24958,0.242
1606309,0.107,0.79,0.22704,0.253
1606310,0.103,0.75,0.2073,0.264
1606311,0.112,0.82,0.18889,0.275
1606312,0.102,0.72,0.18889,0.275
1606313,0.1,0.68,0.22844,0.253
1606314,0.099,0.67,0.2073,0.264
1606315,0.099,0.67,0.18889,0.275
1606320,0.095,0.64,0.22844,0.253
1606321,0.093,0.63,0.24958,0.242
1606322,0.092,0.64,0.24958,0.242
1606323,0.098,0.71,0.27356,0.231
1606324,0.098,0.73,0.22844,0.253
1606325,0.095,0.72,0.24958,0.242
1606326,0.089,0.64,0.24958,0.242
1606327,0.087,0.62,0.22844,0.253
1606328,0.083,0.57,0.22844,0.253
1606329,0.081,0.55,0.27356,0.231
1606330,0.078,0.53,0.2073,0.264
1608708,0.103,0.8,0.18889,0.275
1608709,0.112,0.87,0.29754,0.22
1608710,0.101,0.8,0.24958,0.242
1608711,0.107,0.8,0.22704,0.253
1608712,0.11,0.83,0.22704,0.253
1608713,0.107,0.79,0.24958,0.242
1608714,0.103,0.73,0.2073,0.264
1608715,0.103,0.73,0.2073,0.264
1608716,0.1,0.68,0.18889,0.275
1608717,0.1,0.67,0.18889,0.275
1608718,0.098,0.65,0.18889,0.275
1608719,0.099,0.67,0.18889,0.275
1608720,0.099,0.67,0.2073,0.264
1608721,0.097,0.66,0.22704,0.253
1608723,0.094,0.64,0.24958,0.242
1608724,0.092,0.64,0.29754,0.22
1608725,0.099,0.73,0.24958,0.242
1608726,0.098,0.74,0.22844,0.253
1608727,0.095,0.71,0.27356,0.231
1608728,0.089,0.63,0.22844,0.253
1608729,0.085,0.6,0.27356,0.231
1608730,0.082,0.57,0.27356,0.231
1608731,0.078,0.53,0.22844,0.253
1608732,0.076,0.52,0.2073,0.264
1611108,0.1,0.81,0.2073,0.264
1611110,0.103,0.84,0.2073,0.264
1611111,0.107,0.88,0.29754,0.22
1611112,0.107,0.89,0.27356,0.231
1611113,0.103,0.81,0.27212,0.231
1611114,0.11,0.87,0.27212,0.231
1611115,0.11,0.84,0.29754,0.22
1611116,0.113,0.85,0.22844,0.253
1611117,0.11,0.8,0.2073,0.264
1611118,0.107,0.74,0.18889,0.275
1611119,0.103,0.69,0.18889,0.275
1611120,0.101,0.68,0.22844,0.253
1611121,0.1,0.68,0.18889,0.275
1611122,0.103,0.73,0.2073,0.264
1611123,0.101,0.7,0.22844,0.253
1611124,0.097,0.66,0.2073,0.264
1611125,0.095,0.65,0.27356,0.231
1611126,0.092,0.64,0.27356,0.231
1611127,0.099,0.72,0.27356,0.231
1611128,0.098,0.74,0.24958,0.242
1611129,0.094,0.7,0.24958,0.242
1611130,0.089,0.65,0.24958,0.242
1611131,0.086,0.63,0.22844,0.253
1611132,0.082,0.57,0.22844,0.253
1611133,0.078,0.54,0.22844,0.253
1611134,0.075,0.52,0.17048,0.286
1611135,0.075,0.51,0.18889,0.275
1613509,0.092,0.74,0.22844,0.253
1613510,0.1,0.82,0.2073,0.264
1613511,0.107,0.9,0.18889,0.275
1613512,0.1,0.82,0.2073,0.264
1613513,0.117,1,0.29754,0.22
1613514,0.107,0.9,0.29754,0.22
1613515,0.11,0.9,0.27356,0.231
1613516,0.11,0.89,0.27212,0.231
1613517,0.11,0.84,0.24958,0.242
1613518,0.117,0.87,0.22844,0.253
1613519,0.11,0.78,0.18889,0.275
1613520,0.103,0.69,0.18889,0.275
1613521,0.103,0.68,0.2073,0.264
1613522,0.103,0.7,0.18889,0.275
