"nie_malla_modi_id","sen_slope_temp","sen_slope_per_temp","p_value_temp","tau_temp"
1589498,0.05,0.36,0.17048,0.286
1591900,0.051,0.37,0.18889,0.275
1591901,0.052,0.37,0.15463,0.297
1591914,0.048,0.34,0.05499,0.396
1591915,0.047,0.33,0.04874,0.407
1594301,0.05,0.37,0.18889,0.275
1594302,0.051,0.37,0.18889,0.275
1594303,0.052,0.37,0.18889,0.275
1594310,0.048,0.34,0.18889,0.275
1594311,0.046,0.33,0.18889,0.275
1594312,0.053,0.38,0.0798,0.363
1594315,0.05,0.37,0.0798,0.363
1594316,0.05,0.36,0.0798,0.363
1596703,0.05,0.36,0.18889,0.275
1596704,0.051,0.37,0.18889,0.275
1596705,0.052,0.37,0.17048,0.286
1596711,0.051,0.36,0.18889,0.275
1596712,0.048,0.35,0.18889,0.275
1596713,0.047,0.34,0.18889,0.275
1596714,0.047,0.35,0.18889,0.275
1596715,0.053,0.39,0.0892,0.352
1596716,0.051,0.37,0.0798,0.363
1596717,0.05,0.36,0.0798,0.363
1596718,0.05,0.36,0.0798,0.363
1596719,0.046,0.32,0.0798,0.363
1599103,0.05,0.38,0.18889,0.275
1599104,0.05,0.37,0.18889,0.275
1599105,0.051,0.38,0.18889,0.275
1599106,0.051,0.37,0.18889,0.275
1599107,0.052,0.38,0.18889,0.275
1599108,0.053,0.37,0.17048,0.286
1599114,0.049,0.35,0.18889,0.275
1599115,0.048,0.34,0.18889,0.275
1599116,0.047,0.35,0.18889,0.275
1599117,0.045,0.33,0.18889,0.275
1599118,0.044,0.32,0.18889,0.275
1599119,0.05,0.36,0.11184,0.33
1599120,0.05,0.36,0.11184,0.33
1599121,0.046,0.33,0.10052,0.341
1601504,0.048,0.38,0.18889,0.275
1601505,0.048,0.38,0.18889,0.275
1601506,0.05,0.38,0.18889,0.275
1601507,0.05,0.38,0.18889,0.275
1601508,0.051,0.38,0.18889,0.275
1601509,0.052,0.38,0.18889,0.275
1601510,0.052,0.37,0.18889,0.275
1601516,0.049,0.36,0.18889,0.275
1601517,0.05,0.36,0.18889,0.275
1601518,0.045,0.34,0.18889,0.275
1601519,0.045,0.34,0.17048,0.286
1601520,0.043,0.34,0.17048,0.286
1601521,0.041,0.31,0.18889,0.275
1601522,0.048,0.35,0.12531,0.319
1601523,0.045,0.33,0.12531,0.319
1601524,0.042,0.3,0.12531,0.319
1601525,0.041,0.3,0.12531,0.319
1603905,0.049,0.38,0.15463,0.297
1603906,0.048,0.38,0.15463,0.297
1603907,0.05,0.41,0.15463,0.297
1603908,0.049,0.38,0.18889,0.275
1603909,0.049,0.38,0.18889,0.275
1603910,0.05,0.38,0.18889,0.275
1603911,0.052,0.39,0.18889,0.275
1603912,0.053,0.38,0.18889,0.275
1603918,0.05,0.36,0.18889,0.275
1603919,0.048,0.35,0.18889,0.275
1603920,0.045,0.34,0.18889,0.275
1603921,0.046,0.36,0.15463,0.297
1603922,0.041,0.34,0.17048,0.286
1603923,0.04,0.32,0.17048,0.286
1603924,0.04,0.31,0.18889,0.275
1603925,0.044,0.33,0.12531,0.319
1603926,0.041,0.3,0.12531,0.319
1603927,0.038,0.27,0.12531,0.319
1606307,0.05,0.41,0.15463,0.297
1606308,0.047,0.4,0.15463,0.297
1606309,0.047,0.39,0.15463,0.297
1606310,0.048,0.38,0.17048,0.286
1606311,0.048,0.39,0.15463,0.297
1606312,0.05,0.39,0.15339,0.297
1606313,0.052,0.38,0.17048,0.286
1606314,0.052,0.38,0.15463,0.297
1606315,0.053,0.38,0.15463,0.297
1606320,0.048,0.36,0.18889,0.275
1606321,0.047,0.35,0.18889,0.275
1606322,0.046,0.35,0.17048,0.286
1606323,0.045,0.35,0.15463,0.297
1606324,0.041,0.34,0.18756,0.275
1606325,0.04,0.33,0.22844,0.253
1606326,0.038,0.29,0.2073,0.264
1606327,0.037,0.29,0.22844,0.253
1606328,0.036,0.27,0.22844,0.253
1606329,0.038,0.28,0.15339,0.297
1606330,0.037,0.27,0.17048,0.286
1608708,0.045,0.38,0.15463,0.297
1608709,0.05,0.43,0.15463,0.297
1608710,0.048,0.42,0.15463,0.297
1608711,0.05,0.42,0.15463,0.297
1608712,0.047,0.4,0.15463,0.297
1608713,0.047,0.39,0.15463,0.297
1608714,0.05,0.39,0.15463,0.297
1608715,0.05,0.38,0.15463,0.297
1608716,0.052,0.38,0.15463,0.297
1608717,0.052,0.39,0.15463,0.297
1608718,0.053,0.38,0.15463,0.297
1608719,0.051,0.37,0.15463,0.297
1608720,0.051,0.38,0.18889,0.275
1608721,0.05,0.37,0.18889,0.275
1608723,0.048,0.35,0.18889,0.275
1608724,0.046,0.35,0.18889,0.275
1608725,0.044,0.35,0.15463,0.297
1608726,0.041,0.34,0.18756,0.275
1608727,0.04,0.33,0.22844,0.253
1608728,0.04,0.31,0.2073,0.264
1608729,0.036,0.27,0.22844,0.253
1608730,0.035,0.26,0.22844,0.253
1608731,0.033,0.25,0.22844,0.253
1608732,0.037,0.27,0.17048,0.286
1611108,0.042,0.38,0.15463,0.297
1611110,0.045,0.41,0.15463,0.297
1611111,0.045,0.42,0.15463,0.297
1611112,0.045,0.42,0.15463,0.297
1611113,0.05,0.44,0.15463,0.297
1611114,0.048,0.42,0.15463,0.297
1611115,0.05,0.42,0.13878,0.308
1611116,0.05,0.41,0.12531,0.319
1611117,0.048,0.38,0.12531,0.319
1611118,0.052,0.39,0.15463,0.297
