"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1704742,3.213,5.1,0.18889,0.275
1704743,3.48,5.5,0.18889,0.275
1704744,3.566,3.91,0.18889,0.275
1704745,4.643,4.54,0.27356,0.231
1704746,3.254,3.8,0.22844,0.253
1704747,3.96,5.33,0.12531,0.319
1704748,4.15,5.33,0.12531,0.319
1704749,3.94,4.58,0.15463,0.297
1704750,2.87,3.04,0.27356,0.231
1704751,4.886,4.17,0.38107,0.187
1704752,3.943,2.78,0.44342,0.165
1704753,3.131,1.78,0.74256,0.077
1704754,3.291,1.77,0.82667,0.055
1704755,6.145,3.41,0.44342,0.165
1704756,6.278,3.35,0.38107,0.187
1704757,5.897,3.93,0.27356,0.231
1704758,6.241,3.21,0.38107,0.187
1704759,9.508,4.18,0.32442,0.209
1704760,10.044,3.97,0.44342,0.165
1704761,10.783,4.33,0.44342,0.165
1704762,10.563,3.59,0.51122,0.143
1704763,10.708,3.32,0.66142,0.099
1704764,11.461,3.39,0.44342,0.165
1704765,11.241,3.37,0.44342,0.165
1704766,13.194,3.7,0.44342,0.165
1704767,12.08,3.51,0.44342,0.165
1704768,13.524,3.71,0.44342,0.165
1704769,13.358,3.6,0.38107,0.187
1704770,13.683,3.59,0.38107,0.187
1704771,14.285,3.54,0.38107,0.187
1704772,14.615,3.59,0.32442,0.209
1704773,14.213,3.59,0.32442,0.209
1704774,13.918,3.69,0.38107,0.187
1704775,13.829,3.76,0.32442,0.209
1704776,13.898,3.76,0.32442,0.209
1704777,14.057,3.74,0.32442,0.209
1704778,14.466,4.18,0.27356,0.231
1704779,14.64,4.21,0.27356,0.231
1704780,14.91,4.06,0.32442,0.209
1704781,14.626,4.26,0.27356,0.231
1704782,14.702,4.28,0.27356,0.231
1704783,15.664,4.15,0.32442,0.209
1704784,16.762,4.23,0.32442,0.209
1704785,15.452,4.13,0.32442,0.209
1704786,14.776,4.29,0.27356,0.231
1704787,13.798,4.19,0.27356,0.231
1704788,12.717,3.91,0.27356,0.231
1704789,12.781,4.19,0.32442,0.209
1704790,13.146,4.78,0.22844,0.253
1704791,11.207,4.44,0.15463,0.297
1704792,9.173,3.98,0.10052,0.341
1704793,8.284,3.76,0.22844,0.253
1704794,7.503,3.7,0.22844,0.253
1704795,5.807,3.51,0.27356,0.231
1704796,4.904,3.43,0.22844,0.253
1704797,3.629,3.48,0.27356,0.231
1704798,2.616,2.11,0.32442,0.209
1704799,5.717,3.24,0.38107,0.187
1704800,8.23,3.66,0.38107,0.187
1704801,9.37,3.7,0.38107,0.187
1704802,8.637,3.61,0.38107,0.187
