"nie_malla_modi_id","var"
1589498,"m10"
1591900,"m10"
1591901,"m10"
1591914,"m10"
1591915,"m10"
1594301,"m10"
1594302,"m10"
1594303,"m10"
1594312,"m10"
1594315,"m10"
1594316,"m10"
1596703,"m10"
1596704,"m10"
1596705,"m10"
1596711,"m10"
1596712,"m10"
1596715,"m10"
1596716,"m10"
1596717,"m10"
1596718,"m10"
1596719,"m10"
1599104,"m10"
1599105,"m10"
1599106,"m10"
1599107,"m10"
1599108,"m10"
1599114,"m10"
1599119,"m10"
1599120,"m10"
1599121,"m10"
1601509,"m10"
1601522,"m10"
1601523,"m10"
1601524,"m10"
1601525,"m10"
1603911,"m10"
1603918,"m10"
1603925,"m10"
1603926,"m10"
1603927,"m10"
1606328,"m10"
1606329,"m10"
1606330,"m10"
1608718,"m10"
1608730,"m10"
1608731,"m10"
1608732,"m10"
1611132,"m10"
1611133,"m10"
1611134,"m10"
1611135,"m10"
1613521,"m10"
1613534,"m10"
1613535,"m10"
1613536,"m10"
1613537,"m10"
1613538,"m10"
1615937,"m10"
1615938,"m10"
1615939,"m10"
1615940,"m10"
1618340,"m10"
1623141,"m10"
1623142,"m10"
1625542,"m10"
1625543,"m10"
1625544,"m10"
1627945,"m10"
1627946,"m10"
1627947,"m10"
1627948,"m10"
1630348,"m10"
1630349,"m10"
1632754,"m10"
1632755,"m10"
1632756,"m10"
1632775,"m10"
1635156,"m10"
1635157,"m10"
1635158,"m10"
1635169,"m10"
1635170,"m10"
1635208,"m10"
1635209,"m10"
1635210,"m10"
1635211,"m10"
1635212,"m10"
1635213,"m10"
1637607,"m10"
1637608,"m10"
1637609,"m10"
1637610,"m10"
1637611,"m10"
1637612,"m10"
1637613,"m10"
1637614,"m10"
1637615,"m10"
1637616,"m10"
1637617,"m10"
1637618,"m10"
1640007,"m10"
1640008,"m10"
1640009,"m10"
1640010,"m10"
1640011,"m10"
1640012,"m10"
1640013,"m10"
1640014,"m10"
1640015,"m10"
1640016,"m10"
1640017,"m10"
1640018,"m10"
1640019,"m10"
1640020,"m10"
1640021,"m10"
1640022,"m10"
1640023,"m10"
1642407,"m10"
1642408,"m10"
1642409,"m10"
1642410,"m10"
1642411,"m10"
1642412,"m10"
1642413,"m10"
1642414,"m10"
1642415,"m10"
1642416,"m10"
1642417,"m10"
1642418,"m10"
1642419,"m10"
1642420,"m10"
1642421,"m10"
1642422,"m10"
1642423,"m10"
1642424,"m10"
1642425,"m10"
1642426,"m10"
1642427,"m10"
1642428,"m10"
1644803,"m10"
1644809,"m10"
1644810,"m10"
1644811,"m10"
1644812,"m10"
1644813,"m10"
1644814,"m10"
1644815,"m10"
1644816,"m10"
1644817,"m10"
1644818,"m10"
1644819,"m10"
1644820,"m10"
1644821,"m10"
1644822,"m10"
1644823,"m10"
1644824,"m10"
1644825,"m10"
1644826,"m10"
1644827,"m10"
1644828,"m10"
1644829,"m10"
1644830,"m10"
1644831,"m10"
1644832,"m10"
1647211,"m10"
1647212,"m10"
1647213,"m10"
1647214,"m10"
1647215,"m10"
1647216,"m10"
1647217,"m10"
1647218,"m10"
1647219,"m10"
1647220,"m10"
1647221,"m10"
1647222,"m10"
1647223,"m10"
1647224,"m10"
1647225,"m10"
1647226,"m10"
1647227,"m10"
1647228,"m10"
1647229,"m10"
1647230,"m10"
1647231,"m10"
1647232,"m10"
1647233,"m10"
1647234,"m10"
1647235,"m10"
1647242,"m10"
1647243,"m10"
1649614,"m10"
1649615,"m10"
1649616,"m10"
1649617,"m10"
1649618,"m10"
1649619,"m10"
1649620,"m10"
1649621,"m10"
1649622,"m10"
1649623,"m10"
1649624,"m10"
1649625,"m10"
1649626,"m10"
1649627,"m10"
1649628,"m10"
1649629,"m10"
1649630,"m10"
1649631,"m10"
1649632,"m10"
1649633,"m10"
1649634,"m10"
1649635,"m10"
1649636,"m10"
1649637,"m10"
1649638,"m10"
1649639,"m10"
1649640,"m10"
1649641,"m10"
1649642,"m10"
1649643,"m10"
1649644,"m10"
1649645,"m10"
1652017,"m10"
1652018,"m10"
1652019,"m10"
1652020,"m10"
1652022,"m10"
1652023,"m10"
1652024,"m10"
1652025,"m10"
1652026,"m10"
1652027,"m10"
1652028,"m10"
1652029,"m10"
1652030,"m10"
1652031,"m10"
1652032,"m10"
1652033,"m10"
1652034,"m10"
1652035,"m10"
1652036,"m10"
1652037,"m10"
1652038,"m10"
1652039,"m10"
1652040,"m10"
1652041,"m10"
1652042,"m10"
1652043,"m10"
1652044,"m10"
1652045,"m10"
1652046,"m10"
1652047,"m10"
1652048,"m10"
1654418,"m10"
1654419,"m10"
1654420,"m10"
1654421,"m10"
1654422,"m10"
1654424,"m10"
1654425,"m10"
1654426,"m10"
1654427,"m10"
1654428,"m10"
1654429,"m10"
1654430,"m10"
1654431,"m10"
1654432,"m10"
1654433,"m10"
1654434,"m10"
1654435,"m10"
1654436,"m10"
1654437,"m10"
1654438,"m10"
1654439,"m10"
1654440,"m10"
1654441,"m10"
1654442,"m10"
1654443,"m10"
1654444,"m10"
1654445,"m10"
1654446,"m10"
1654447,"m10"
1654448,"m10"
1654449,"m10"
1654450,"m10"
1654451,"m10"
1656699,"m10"
1656730,"m10"
1656731,"m10"
1656732,"m10"
1656821,"m10"
1656827,"m10"
1656830,"m10"
1656831,"m10"
1656832,"m10"
1656833,"m10"
1656834,"m10"
1656835,"m10"
1656836,"m10"
1656837,"m10"
1656838,"m10"
1656839,"m10"
1656840,"m10"
1656841,"m10"
1656842,"m10"
1656843,"m10"
1656844,"m10"
1656845,"m10"
1656846,"m10"
1656847,"m10"
1656848,"m10"
1656849,"m10"
1656850,"m10"
1656851,"m10"
1656852,"m10"
1656853,"m10"
1656854,"m10"
1656857,"m10"
1656858,"m10"
1656859,"m10"
1656860,"m10"
1659099,"m10"
1659101,"m10"
1659107,"m10"
1659108,"m10"
1659109,"m10"
1659110,"m10"
1659135,"m10"
1659137,"m10"
1659138,"m10"
1659139,"m10"
1659231,"m10"
1659232,"m10"
1659233,"m10"
1659234,"m10"
1659235,"m10"
1659236,"m10"
1659237,"m10"
1659238,"m10"
1659239,"m10"
1659240,"m10"
1659241,"m10"
1659242,"m10"
1659243,"m10"
1659244,"m10"
1659245,"m10"
1659246,"m10"
1659247,"m10"
1659248,"m10"
1659249,"m10"
1659250,"m10"
1659251,"m10"
1659252,"m10"
1659253,"m10"
1659254,"m10"
1659255,"m10"
1659256,"m10"
1659257,"m10"
1659258,"m10"
1659259,"m10"
1659260,"m10"
1659261,"m10"
1659262,"m10"
1659263,"m10"
1661499,"m10"
1661501,"m10"
1661503,"m10"
1661508,"m10"
1661509,"m10"
1661510,"m10"
1661511,"m10"
1661512,"m10"
1661513,"m10"
1661518,"m10"
1661535,"m10"
1661541,"m10"
1661633,"m10"
1661634,"m10"
1661635,"m10"
1661636,"m10"
1661637,"m10"
1661638,"m10"
1661639,"m10"
1661640,"m10"
1661641,"m10"
1661642,"m10"
1661643,"m10"
1661644,"m10"
1661645,"m10"
1661646,"m10"
1661647,"m10"
1661648,"m10"
1661649,"m10"
1661650,"m10"
1661651,"m10"
1661652,"m10"
1661653,"m10"
1661654,"m10"
1661655,"m10"
1661656,"m10"
1661657,"m10"
1661658,"m10"
1661659,"m10"
1661660,"m10"
1661661,"m10"
1661662,"m10"
1661663,"m10"
1661664,"m10"
1661665,"m10"
1661666,"m10"
1661667,"m10"
1663900,"m10"
1663901,"m10"
1663902,"m10"
1663903,"m10"
1663904,"m10"
1663905,"m10"
1663909,"m10"
1663910,"m10"
1663911,"m10"
1663912,"m10"
1663913,"m10"
1663914,"m10"
1663915,"m10"
1663916,"m10"
1663917,"m10"
1663918,"m10"
1663919,"m10"
1663920,"m10"
1663937,"m10"
1663944,"m10"
1664035,"m10"
1664037,"m10"
1664038,"m10"
1664039,"m10"
1664040,"m10"
1664041,"m10"
1664042,"m10"
1664043,"m10"
1664044,"m10"
1664045,"m10"
1664046,"m10"
1664047,"m10"
1664048,"m10"
1664049,"m10"
1664050,"m10"
1664051,"m10"
1664052,"m10"
1664053,"m10"
1664054,"m10"
1664055,"m10"
1664056,"m10"
1664057,"m10"
1664058,"m10"
1664059,"m10"
1664060,"m10"
1664061,"m10"
1664062,"m10"
1664063,"m10"
1664064,"m10"
1664065,"m10"
1664066,"m10"
1664067,"m10"
1664068,"m10"
1664069,"m10"
1664070,"m10"
1666300,"m10"
1666302,"m10"
1666303,"m10"
1666304,"m10"
1666305,"m10"
1666306,"m10"
1666307,"m10"
1666308,"m10"
1666311,"m10"
1666312,"m10"
1666313,"m10"
1666314,"m10"
1666315,"m10"
1666316,"m10"
1666317,"m10"
1666321,"m10"
1666322,"m10"
1666346,"m10"
1666441,"m10"
1666442,"m10"
1666443,"m10"
