"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1613516",2,2.76,0.16573,0.286
"1613517",1.143,1.48,0.43599,0.165
"1613518",3,4.14,0.06086,0.385
"1613519",4.417,4.97,0.02759,0.451
"1613520",1.778,2.16,0.44067,0.165
"1613521",0.167,0.19,0.86896,0.044
"1613522",2.5,2.72,0.54644,0.132
"1613523",2.5,2.68,0.50995,0.143
"1613524",2,2.26,0.66046,0.099
"1613525",2.143,2.34,0.54523,0.132
"1613526",2.143,2.37,0.58294,0.121
"1613527",1.778,1.95,0.66046,0.099
"1613528",2.143,2.18,0.58294,0.121
"1613529",1.6,1.62,0.58294,0.121
"1613530",0,0,0.95614,0.022
"1613531",3.556,3.78,0.22517,0.253
"1613532",2.667,3.24,0.15049,0.297
"1613533",0,0,0.95614,-0.022
"1613534",4.833,4.98,0.22704,0.253
"1613535",0,0,0.69647,0.088
"1613536",0,0,0.9099,-0.033
"1613537",0,0,0.82169,-0.055
"1613538",0,0,0.82169,-0.055
"1615910",1,1.05,0.69912,0.088
"1615911",1,1.06,0.6178,0.11
"1615912",4,5.28,0.0306,0.44
"1615913",2.286,3.28,0.07679,0.363
"1615914",1,1.56,0.47152,0.154
"1615915",0.5,0.81,0.57871,0.121
"1615916",0.667,1.04,0.6178,0.11
"1615917",0.667,1.04,0.6178,0.11
"1615918",1.333,1.85,0.26578,0.231
"1615919",0.667,0.87,0.69795,0.088
"1615920",2.143,2.58,0.29413,0.22
"1615921",4.5,5.08,0.10932,0.33
"1615922",4,4.95,0.27212,0.231
"1615923",0.8,0.89,0.74106,0.077
"1615924",0,0,0.91229,0.033
"1615925",1.778,1.95,0.66046,0.099
"1615926",2.143,2.41,0.6217,0.11
"1615927",1.6,1.57,0.70113,0.088
"1615928",2.9,3.32,0.44205,0.165
"1615929",2.9,3.26,0.41085,0.176
"1615930",0.5,0.56,0.78249,0.066
"1615931",2.667,3.15,0.27019,0.231
"1615932",2.667,3.09,0.27019,0.231
"1615933",3.444,3.92,0.18756,0.275
"1615934",3.556,4.28,0.0995,0.341
"1615935",1.6,2.01,0.82615,0.055
"1615936",3.625,4.09,0.20456,0.264
"1615937",0.727,0.71,0.6582,0.099
"1615938",0,0,0.95579,0.022
"1615939",-0.8,-0.87,0.69824,-0.088
"1615940",0,0,0.91157,0.033
"1618310",0,0,1,0.011
"1618311",-1.909,-2.08,0.74106,-0.077
"1618312",0,0,1,-0.011
"1618313",1,1.09,0.91255,0.033
"1618314",4,5.24,0.01758,0.484
"1618315",1.143,1.67,0.29018,0.22
"1618316",0,0,0.69676,0.088
"1618317",0.5,0.81,0.57871,0.121
"1618318",1.333,2.24,0.4032,0.176
"1618319",1.333,2.21,0.4032,0.176
"1618320",0,0,0.73849,0.077
"1618321",1.167,1.46,0.43881,0.165
"1618322",2.909,3.45,0.07559,0.363
"1618323",4.5,5.08,0.10932,0.33
"1618324",2.667,3.23,0.40801,0.176
"1618325",2,2.22,0.40801,0.176
"1618326",2,2.23,0.44067,0.165
"1618327",2.667,2.9,0.24815,0.242
"1618328",3.333,4,0.24958,0.242
"1618329",3.444,4.21,0.15339,0.297
"1618330",4,4.32,0.0777,0.363
"1618331",2.667,3.08,0.15215,0.297
"1618332",2,2.54,0.27067,0.231
"1618333",2.5,2.99,0.1104,0.33
"1618334",2,2.29,0.32102,0.209
"1618335",1.636,1.86,0.40943,0.176
"1618336",1.143,1.31,0.5436,0.132
"1618337",1,1.31,0.78334,0.066
"1618338",0,0,0.78162,-0.066
"1618339",2.667,2.84,0.29609,0.22
"1618340",0,0,0.9122,-0.033
"1620712",-3,-2.81,0.24431,-0.242
"1620713",-3.667,-3.95,0.27212,-0.231
"1620714",-3.2,-3.17,0.29413,-0.22
"1620715",0,0,0.91229,0.033
"1620716",3.333,4.01,0.06844,0.374
"1620717",4,5.02,0.09848,0.341
"1620718",1,1.44,0.58026,0.121
"1620719",0.5,0.82,0.57871,0.121
"1620720",0,0,0.65489,0.099
"1620721",0,0,0.91121,-0.033
"1620722",0,0,0.95556,-0.022
"1620723",1.6,2.19,0.18444,0.275
"1620724",0,0,0.78162,0.066
"1620725",2,2.7,0.27019,0.231
"1620726",6.333,8.11,0.00722,0.549
"1620727",5.333,6.98,0.06191,0.385
"1620728",3.5,4.56,0.02458,0.462
"1620729",-2,-2.5,0.29609,-0.22
"1620730",0.167,0.23,0.86896,0.044
