"nie_malla_modi_id","sen_slope_tempm05","sen_slope_per_tempm05","p_value_tempm05","tau_tempm05"
1589498,0.13,0.85,0.44342,0.165
1591900,0.13,0.86,0.41085,0.176
1591901,0.125,0.8,0.44342,0.165
1591914,0.102,0.65,0.38107,0.187
1591915,0.1,0.64,0.44342,0.165
1594301,0.143,0.97,0.41085,0.176
1594302,0.135,0.89,0.41085,0.176
1594303,0.123,0.8,0.44342,0.165
1594310,0.13,0.86,0.44342,0.165
1594311,0.132,0.88,0.44342,0.165
1594312,0.128,0.85,0.44342,0.165
1594315,0.112,0.74,0.38107,0.187
1594316,0.102,0.65,0.41085,0.176
1596703,0.135,0.9,0.41085,0.176
1596704,0.133,0.88,0.44342,0.165
1596705,0.125,0.82,0.41085,0.176
1596711,0.122,0.8,0.44342,0.165
1596712,0.127,0.84,0.44342,0.165
1596713,0.13,0.86,0.44342,0.165
1596714,0.13,0.87,0.44342,0.165
1596715,0.132,0.88,0.44342,0.165
1596716,0.117,0.76,0.476,0.154
1596717,0.113,0.73,0.476,0.154
1596718,0.102,0.66,0.44342,0.165
1596719,0.095,0.61,0.44342,0.165
1599103,0.15,1.04,0.38107,0.187
1599104,0.145,0.99,0.38107,0.187
1599105,0.14,0.95,0.38107,0.187
1599106,0.135,0.9,0.38107,0.187
1599107,0.127,0.84,0.44342,0.165
1599108,0.125,0.82,0.44342,0.165
1599114,0.13,0.86,0.44342,0.165
1599115,0.13,0.86,0.44342,0.165
1599116,0.133,0.89,0.44342,0.165
1599117,0.132,0.89,0.44342,0.165
1599118,0.127,0.86,0.44342,0.165
1599119,0.117,0.77,0.51122,0.143
1599120,0.108,0.7,0.476,0.154
1599121,0.1,0.65,0.476,0.154
1601504,0.151,1.08,0.38107,0.187
1601505,0.15,1.07,0.38107,0.187
1601506,0.147,1.03,0.38107,0.187
1601507,0.15,1.04,0.38107,0.187
1601508,0.143,0.98,0.38107,0.187
1601509,0.127,0.85,0.38107,0.187
1601510,0.13,0.87,0.41085,0.176
1601516,0.13,0.86,0.44342,0.165
1601517,0.13,0.87,0.44342,0.165
1601518,0.135,0.92,0.44342,0.165
1601519,0.14,0.97,0.44342,0.165
1601520,0.15,1.08,0.44342,0.165
1601521,0.138,0.95,0.44342,0.165
1601522,0.11,0.73,0.51122,0.143
1601523,0.102,0.68,0.44342,0.165
1601524,0.093,0.61,0.44342,0.165
1601525,0.087,0.57,0.44342,0.165
1603905,0.157,1.13,0.44342,0.165
1603906,0.151,1.12,0.38107,0.187
1603907,0.149,1.12,0.38107,0.187
1603908,0.15,1.06,0.38107,0.187
1603909,0.151,1.08,0.38107,0.187
1603910,0.148,1.04,0.38107,0.187
1603911,0.135,0.91,0.38107,0.187
1603912,0.132,0.89,0.38107,0.187
1603918,0.122,0.81,0.44342,0.165
1603919,0.135,0.91,0.44342,0.165
1603920,0.142,0.99,0.44342,0.165
1603921,0.147,1.05,0.44342,0.165
1603922,0.152,1.13,0.44342,0.165
1603923,0.145,1.04,0.44342,0.165
1603924,0.137,0.96,0.44342,0.165
1603925,0.102,0.68,0.51122,0.143
1603926,0.095,0.63,0.51122,0.143
1603927,0.088,0.58,0.51122,0.143
1606307,0.147,1.12,0.38107,0.187
1606308,0.16,1.24,0.38107,0.187
1606309,0.15,1.13,0.38107,0.187
1606310,0.151,1.11,0.38107,0.187
1606311,0.152,1.12,0.38107,0.187
1606312,0.15,1.07,0.38107,0.187
1606313,0.137,0.94,0.38107,0.187
1606314,0.133,0.9,0.38107,0.187
1606315,0.132,0.89,0.38107,0.187
1606320,0.133,0.89,0.44342,0.165
1606321,0.135,0.92,0.44342,0.165
1606322,0.145,1.01,0.44342,0.165
1606323,0.15,1.08,0.44342,0.165
1606324,0.152,1.15,0.44342,0.165
1606325,0.152,1.16,0.44342,0.165
1606326,0.137,0.97,0.476,0.154
1606327,0.128,0.9,0.51122,0.143
1606328,0.112,0.75,0.51122,0.143
1606329,0.088,0.59,0.51122,0.143
1606330,0.085,0.56,0.51122,0.143
1608708,0.154,1.22,0.44342,0.165
1608709,0.149,1.19,0.38107,0.187
1608710,0.16,1.3,0.38107,0.187
1608711,0.15,1.15,0.38107,0.187
1608712,0.15,1.15,0.38107,0.187
1608713,0.151,1.14,0.38107,0.187
1608714,0.152,1.09,0.38107,0.187
1608715,0.143,1.01,0.38107,0.187
1608716,0.135,0.93,0.38107,0.187
1608717,0.127,0.86,0.38107,0.187
1608718,0.125,0.83,0.38107,0.187
1608719,0.13,0.88,0.38107,0.187
1608720,0.135,0.92,0.38107,0.187
1608721,0.135,0.92,0.44342,0.165
1608723,0.14,0.96,0.44342,0.165
1608724,0.143,0.99,0.44342,0.165
1608725,0.152,1.12,0.44342,0.165
1608726,0.151,1.14,0.44342,0.165
1608727,0.152,1.13,0.44342,0.165
1608728,0.133,0.94,0.51122,0.143
1608729,0.123,0.86,0.51122,0.143
1608730,0.11,0.75,0.51122,0.143
1608731,0.1,0.68,0.58407,0.121
1608732,0.083,0.55,0.476,0.154
1611108,0.157,1.3,0.51122,0.143
1611110,0.152,1.27,0.41085,0.176
1611111,0.17,1.45,0.38107,0.187
1611112,0.16,1.37,0.38107,0.187
1611113,0.15,1.21,0.38107,0.187
1611114,0.16,1.29,0.38107,0.187
1611115,0.17,1.33,0.38107,0.187
1611116,0.153,1.17,0.38107,0.187
1611117,0.154,1.13,0.38107,0.187
1611118,0.157,1.1,0.38107,0.187
1611119,0.13,0.88,0.38107,0.187
1611120,0.13,0.88,0.38107,0.187
1611121,0.135,0.92,0.38107,0.187
1611122,0.15,1.07,0.38107,0.187
1611123,0.143,0.99,0.38107,0.187
1611124,0.137,0.94,0.44342,0.165
1611125,0.135,0.92,0.44342,0.165
1611126,0.147,1.03,0.44342,0.165
1611127,0.152,1.12,0.44342,0.165
1611128,0.151,1.15,0.44342,0.165
1611129,0.153,1.15,0.44342,0.165
1611130,0.135,0.98,0.476,0.154
1611131,0.128,0.93,0.51122,0.143
1611132,0.11,0.76,0.51122,0.143
1611133,0.1,0.68,0.58407,0.121
1611134,0.09,0.61,0.58407,0.121
1611135,0.085,0.57,0.58407,0.121
1613509,0.16,1.31,0.51122,0.143
1613510,0.154,1.3,0.44342,0.165
1613511,0.152,1.31,0.41085,0.176
1613512,0.152,1.28,0.35131,0.198
1613513,0.17,1.51,0.32442,0.209
1613514,0.15,1.3,0.35131,0.198
1613515,0.17,1.43,0.38107,0.187
1613516,0.18,1.5,0.38107,0.187
1613517,0.16,1.26,0.38107,0.187
1613518,0.16,1.22,0.38107,0.187
