"nie_malla_modi_id","var"
1589498,"m06"
1591900,"m06"
1591901,"m06"
1591914,"m06"
1591915,"m06"
1594301,"m06"
1594302,"m06"
1594303,"m06"
1594310,"m06"
1594311,"m06"
1594312,"m06"
1594315,"m06"
1594316,"m06"
1596703,"m06"
1596704,"m06"
1596705,"m06"
1596711,"m06"
1596712,"m06"
1596713,"m06"
1596714,"m06"
1596715,"m06"
1596716,"m06"
1596717,"m06"
1596718,"m06"
1596719,"m06"
1599103,"m06"
1599104,"m06"
1599105,"m06"
1599106,"m06"
1599107,"m06"
1599108,"m06"
1599114,"m06"
1599115,"m06"
1599116,"m06"
1599117,"m06"
1599118,"m06"
1599119,"m06"
1599120,"m06"
1599121,"m06"
1601504,"m06"
1601505,"m06"
1601506,"m06"
1601507,"m06"
1601508,"m06"
1601509,"m06"
1601510,"m06"
1601516,"m06"
1601517,"m06"
1601518,"m06"
1601519,"m06"
1601520,"m06"
1601521,"m06"
1601522,"m06"
1601523,"m06"
1601524,"m06"
1601525,"m06"
1603905,"m06"
1603906,"m06"
1603907,"m06"
1603908,"m06"
1603909,"m06"
1603910,"m06"
1603911,"m06"
1603912,"m06"
1603918,"m06"
1603919,"m06"
1603920,"m06"
1603921,"m06"
1603922,"m06"
1603923,"m06"
1603924,"m06"
1603925,"m06"
1603926,"m06"
1603927,"m06"
1606307,"m06"
1606308,"m06"
1606309,"m06"
1606310,"m06"
1606311,"m06"
1606312,"m06"
1606313,"m06"
1606314,"m06"
1606315,"m06"
1606320,"m06"
1606321,"m06"
1606322,"m06"
1606323,"m06"
1606324,"m06"
1606325,"m06"
1606326,"m06"
1606327,"m06"
1606328,"m06"
1606329,"m06"
1606330,"m06"
1608708,"m06"
1608709,"m06"
1608710,"m06"
1608711,"m06"
1608712,"m06"
1608713,"m06"
1608714,"m06"
1608715,"m06"
1608716,"m06"
1608717,"m06"
1608718,"m06"
1608719,"m06"
1608720,"m06"
1608721,"m06"
1608723,"m06"
1608724,"m06"
1608725,"m06"
1608726,"m06"
1608727,"m06"
1608728,"m06"
1608729,"m06"
1608730,"m06"
1608731,"m06"
1608732,"m06"
1611108,"m06"
1611110,"m06"
1611111,"m06"
1611112,"m06"
1611113,"m06"
1611114,"m06"
1611115,"m06"
1611116,"m06"
1611117,"m06"
1611118,"m06"
1611119,"m06"
1611120,"m06"
1611121,"m06"
1611122,"m06"
1611123,"m06"
1611124,"m06"
1611125,"m06"
1611126,"m06"
1611127,"m06"
1611128,"m06"
1611129,"m06"
1611130,"m06"
1611131,"m06"
1611132,"m06"
1611133,"m06"
1611134,"m06"
1611135,"m06"
1613509,"m06"
1613510,"m06"
1613511,"m06"
1613512,"m06"
1613513,"m06"
1613514,"m06"
1613515,"m06"
1613516,"m06"
1613517,"m06"
1613518,"m06"
1613519,"m06"
1613520,"m06"
1613521,"m06"
1613522,"m06"
1613523,"m06"
1613524,"m06"
1613525,"m06"
1613526,"m06"
1613527,"m06"
1613528,"m06"
1613529,"m06"
1613530,"m06"
1613531,"m06"
1613532,"m06"
1613533,"m06"
1613534,"m06"
1613535,"m06"
1613536,"m06"
1613537,"m06"
1613538,"m06"
1615910,"m06"
1615911,"m06"
1615912,"m06"
1615913,"m06"
1615914,"m06"
1615915,"m06"
1615916,"m06"
1615917,"m06"
1615918,"m06"
1615919,"m06"
1615920,"m06"
1615921,"m06"
1615922,"m06"
1615923,"m06"
1615924,"m06"
1615925,"m06"
1615926,"m06"
1615927,"m06"
1615928,"m06"
1615929,"m06"
1615930,"m06"
1615931,"m06"
1615932,"m06"
1615933,"m06"
1615934,"m06"
1615935,"m06"
1615936,"m06"
1615937,"m06"
1615938,"m06"
1615939,"m06"
1615940,"m06"
1618310,"m06"
1618311,"m06"
1618312,"m06"
1618313,"m06"
1618314,"m06"
1618315,"m06"
1618316,"m06"
1618317,"m06"
1618318,"m06"
1618319,"m06"
1618320,"m06"
1618321,"m06"
1618322,"m06"
1618323,"m06"
1618324,"m06"
1618325,"m06"
1618326,"m06"
1618327,"m06"
1618328,"m06"
1618329,"m06"
1618330,"m06"
1618331,"m06"
1618332,"m06"
1618333,"m06"
1618334,"m06"
1618335,"m06"
1618336,"m06"
1618337,"m06"
1618338,"m06"
1618339,"m06"
1618340,"m06"
1620712,"m06"
1620713,"m06"
1620714,"m06"
1620715,"m06"
1620716,"m06"
1620717,"m06"
1620718,"m06"
1620719,"m06"
1620720,"m06"
1620721,"m06"
1620722,"m06"
1620723,"m06"
1620724,"m06"
1620725,"m06"
1620726,"m06"
1620727,"m06"
1620728,"m06"
1620729,"m06"
1620730,"m06"
1620731,"m06"
1620732,"m06"
1620733,"m06"
1620734,"m06"
1620735,"m06"
1620736,"m06"
1620737,"m06"
1620738,"m06"
1620739,"m06"
1620740,"m06"
1623115,"m06"
1623116,"m06"
1623117,"m06"
1623118,"m06"
1623119,"m06"
1623120,"m06"
1623121,"m06"
1623122,"m06"
1623123,"m06"
1623124,"m06"
1623125,"m06"
1623126,"m06"
1623127,"m06"
1623128,"m06"
1623129,"m06"
1623130,"m06"
1623131,"m06"
1623132,"m06"
1623133,"m06"
1623134,"m06"
1623135,"m06"
1623136,"m06"
1623137,"m06"
1623138,"m06"
1623139,"m06"
1623140,"m06"
1623141,"m06"
1623142,"m06"
1625520,"m06"
1625521,"m06"
1625522,"m06"
1625523,"m06"
1625524,"m06"
1625525,"m06"
1625526,"m06"
1625527,"m06"
1625528,"m06"
1625529,"m06"
1625530,"m06"
1625531,"m06"
1625532,"m06"
1625533,"m06"
1625534,"m06"
1625535,"m06"
1625536,"m06"
1625537,"m06"
1625538,"m06"
1625539,"m06"
1625540,"m06"
1625541,"m06"
1625542,"m06"
1625543,"m06"
1625544,"m06"
1627925,"m06"
1627926,"m06"
1627927,"m06"
1627928,"m06"
1627929,"m06"
1627930,"m06"
1627931,"m06"
1627932,"m06"
1627933,"m06"
1627934,"m06"
1627935,"m06"
1627936,"m06"
1627937,"m06"
1627938,"m06"
1627939,"m06"
1627940,"m06"
1627941,"m06"
1627942,"m06"
1627943,"m06"
1627944,"m06"
1627945,"m06"
1627946,"m06"
1627947,"m06"
1627948,"m06"
1630328,"m06"
1630329,"m06"
1630330,"m06"
1630331,"m06"
1630332,"m06"
1630333,"m06"
1630334,"m06"
1630335,"m06"
1630336,"m06"
1630337,"m06"
1630338,"m06"
1630339,"m06"
1630340,"m06"
1630341,"m06"
1630342,"m06"
1630343,"m06"
1630344,"m06"
1630345,"m06"
1630346,"m06"
1630347,"m06"
1630348,"m06"
1630349,"m06"
1632730,"m06"
1632731,"m06"
1632732,"m06"
1632733,"m06"
1632734,"m06"
1632735,"m06"
1632736,"m06"
1632737,"m06"
1632738,"m06"
1632739,"m06"
1632740,"m06"
1632741,"m06"
1632742,"m06"
1632743,"m06"
1632744,"m06"
1632745,"m06"
1632746,"m06"
1632747,"m06"
1632748,"m06"
1632749,"m06"
1632750,"m06"
1632754,"m06"
1632755,"m06"
1632756,"m06"
1632775,"m06"
1635130,"m06"
1635131,"m06"
1635132,"m06"
1635133,"m06"
1635134,"m06"
1635135,"m06"
1635136,"m06"
1635137,"m06"
1635138,"m06"
1635139,"m06"
1635140,"m06"
1635141,"m06"
1635142,"m06"
1635143,"m06"
1635144,"m06"
1635145,"m06"
1635146,"m06"
1635147,"m06"
1635148,"m06"
1635149,"m06"
1635150,"m06"
1635151,"m06"
1635152,"m06"
1635154,"m06"
1635155,"m06"
1635156,"m06"
1635157,"m06"
1635158,"m06"
1635169,"m06"
1635170,"m06"
1635174,"m06"
1635175,"m06"
1635176,"m06"
1635177,"m06"
1635178,"m06"
1635180,"m06"
1635181,"m06"
1635184,"m06"
1635185,"m06"
1635208,"m06"
1635209,"m06"
1635210,"m06"
1635211,"m06"
1635212,"m06"
1635213,"m06"
1637531,"m06"
1637532,"m06"
1637533,"m06"
1637534,"m06"
1637535,"m06"
1637536,"m06"
1637537,"m06"
1637538,"m06"
1637539,"m06"
1637540,"m06"
1637541,"m06"
1637542,"m06"
1637543,"m06"
1637544,"m06"
1637545,"m06"
1637546,"m06"
1637547,"m06"
1637548,"m06"
1637549,"m06"
1637550,"m06"
1637551,"m06"
1637552,"m06"
1637553,"m06"
1637554,"m06"
1637555,"m06"
1637556,"m06"
1637557,"m06"
1637558,"m06"
1637559,"m06"
1637560,"m06"
1637566,"m06"
1637567,"m06"
1637571,"m06"
1637576,"m06"
1637577,"m06"
1637578,"m06"
1637579,"m06"
1637580,"m06"
1637584,"m06"
1637585,"m06"
1637586,"m06"
1637587,"m06"
1637594,"m06"
1637607,"m06"
1637608,"m06"
1637609,"m06"
1637610,"m06"
1637611,"m06"
1637612,"m06"
1637613,"m06"
1637614,"m06"
1637615,"m06"
1637616,"m06"
1637617,"m06"
1637618,"m06"
1639929,"m06"
1639930,"m06"
1639933,"m06"
1639934,"m06"
1639935,"m06"
