"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1613531",-0.077,-3.71,0.30375,-0.209
"1613532",0,0,0.64398,-0.099
"1613533",0,0,0.77596,-0.066
"1613534",0,0,0.9098,-0.033
"1613535",0,0,0.41866,-0.165
"1613536",0,0,0.12353,-0.297
"1613537",0,0,0.21573,-0.231
"1613538",0,0,0.30618,-0.198
"1615910",0,0,0.8215,0.055
"1615911",0,0,0.9549,-0.022
"1615912",0,0,0.77405,-0.066
"1615913",0,0,0.68968,-0.088
"1615914",0,0,1,0.011
"1615915",0,0,0.9537,0.022
"1615916",0,0,0.64868,-0.099
"1615917",0,0,0.90932,0.033
"1615918",-0.125,-4.73,0.39526,-0.176
"1615919",0,0,0.77689,-0.066
"1615920",-0.167,-5.98,0.23993,-0.242
"1615921",-0.143,-6.25,0.40223,-0.176
"1615922",0,0,1,0.011
"1615923",0,0,0.41553,-0.165
"1615924",0,0,0.86442,0.044
"1615925",0,0,0.53125,-0.132
"1615926",0,0,0.57354,-0.121
"1615927",0,0,0.69031,-0.088
"1615928",0,0,0.48818,-0.143
"1615929",0,0,0.38753,-0.176
"1615930",0,0,0.65251,0.099
"1615931",0,0,1,0.011
"1615932",0,0,0.49575,0.143
"1615933",0,0,1,0
"1615934",0,0,0.73174,0.077
"1615935",0.111,4.44,0.18761,0.264
"1615936",0,0,0.61,0.11
"1615937",0,0,1,0.011
"1615938",0,0,0.27947,-0.209
"1615939",0,0,0.11824,-0.297
"1615940",0,0,0.48327,-0.143
"1618310",0,0,0.95431,-0.022
"1618311",0,0,0.86668,0.044
"1618312",0,0,0.65556,0.099
"1618313",0,0,0.86695,0.044
"1618314",0,0,0.81786,-0.055
"1618315",0,0,0.77873,0.066
"1618316",0,0,0.64761,-0.099
"1618317",0,0,0.82075,-0.055
"1618318",0,0,0.95451,-0.022
"1618319",0,0,1,0
"1618320",0,0,0.86412,0.044
"1618321",-0.1,-3.68,0.30004,-0.209
"1618322",-0.167,-6.14,0.14505,-0.297
"1618323",-0.143,-6.67,0.31304,-0.209
"1618324",-0.182,-7.07,0.12596,-0.308
"1618325",0,0,0.60846,-0.11
"1618326",0,0,1,0.011
"1618327",0,0,0.56776,-0.121
"1618328",0,0,0.82037,-0.055
"1618329",0,0,0.41866,-0.165
"1618330",-0.2,-8.24,0.02708,-0.44
"1618331",0,0,0.77596,-0.066
"1618332",0,0,0.77596,0.066
"1618333",0,0,0.90802,0.033
"1618334",0,0,0.90951,0.033
"1618335",0,0,0.72889,-0.077
"1618336",0,0,0.9098,-0.033
"1618337",0.091,4.24,0.18372,0.264
"1618338",0,0,0.33008,0.198
"1618339",0,0,0.85887,0.044
"1618340",0,0,0.81605,0.055
"1620712",0,0,0.73174,0.077
"1620713",0,0,0.955,0.022
"1620714",0,0,0.42377,0.165
"1620715",0,0,0.69031,0.088
"1620716",0,0,0.86264,-0.044
"1620717",0,0,0.9548,-0.022
"1620718",0.091,2.83,0.24795,0.231
"1620719",0,0,1,0.011
"1620720",0,0,1,0.011
"1620721",0,0,0.65044,-0.099
"1620722",0,0,0.95431,-0.022
"1620723",-0.2,-6.67,0.16181,-0.286
"1620724",-0.167,-5.56,0.06899,-0.363
"1620725",-0.154,-5.98,0.23796,-0.242
"1620726",-0.182,-6.88,0.0815,-0.352
"1620727",-0.125,-4.38,0.31304,-0.209
"1620728",-0.154,-5.38,0.26231,-0.231
"1620729",0,0,0.6922,-0.088
"1620730",-0.143,-5.26,0.30636,-0.209
"1620731",0,0,0.31591,-0.198
"1620732",-0.182,-6.53,0.02,-0.451
"1620733",0,0,0.68578,-0.088
"1620734",0,0,0.72352,-0.077
"1620735",0,0,0.91084,0.033
"1620736",0,0,0.53648,0.132
"1620737",0,0,0.60769,-0.11
"1620738",0,0,0.28177,-0.209
"1620739",0,0,0.68644,-0.088
"1620740",0,0,0.95274,0.022
"1623115",0,0,1,0
"1623116",0,0,0.86499,0.044
"1623117",0,0,1,0
"1623118",0,0,0.73396,-0.077
"1623119",0,0,0.69031,-0.088
"1623120",0,0,0.41553,0.165
"1623121",0,0,0.53036,0.132
"1623122",0,0,0.46222,0.154
"1623123",0,0,1,-0.011
"1623124",-0.1,-2.98,0.39827,-0.176
"1623125",-0.125,-3.8,0.30532,-0.209
"1623126",-0.125,-3.8,0.27845,-0.22
"1623127",-0.2,-7,0.0473,-0.396
"1623128",-0.154,-5.38,0.20086,-0.264
"1623129",0,0,0.53648,-0.132
"1623130",-0.091,-3.74,0.27636,-0.22
"1623131",-0.125,-4.86,0.28565,-0.22
"1623132",-0.143,-5,0.19335,-0.264
"1623133",-0.143,-5.13,0.14937,-0.286
"1623134",-0.167,-5.69,0.14124,-0.297
"1623135",-0.143,-5.13,0.06274,-0.363
"1623136",-0.091,-2.89,0.00977,-0.451
"1623137",0,0,0.46222,-0.154
"1623138",0,0,0.76854,0.066
"1623139",0,0,0.86528,0.044
"1623140",0,0,0.60373,-0.11
"1623141",0,0,0.72713,-0.077
"1623142",0,0,1,-0.011
"1625520",0,0,0.68839,0.088
"1625521",0,0,0.86354,0.044
"1625522",0,0,0.85984,-0.044
"1625523",0,0,1,0
"1625524",0,0,0.68968,-0.088
"1625525",0,0,1,0.011
"1625526",-0.125,-3.89,0.13741,-0.297
"1625527",0,0,0.42424,-0.154
"1625528",-0.083,-2.54,0.14117,-0.286
"1625529",-0.2,-7.37,0.06145,-0.374
"1625530",-0.222,-7.78,0.06368,-0.374
"1625531",-0.143,-5.56,0.15652,-0.286
"1625532",-0.125,-4.86,0.1219,-0.308
"1625533",-0.182,-6.53,0.23398,-0.242
"1625534",-0.25,-9.21,0.01139,-0.495
"1625535",-0.167,-6.67,0.07701,-0.352
"1625536",-0.111,-4.32,0.25929,-0.231
"1625537",-0.2,-7,0.06899,-0.363
"1625538",-0.222,-7.59,0.07289,-0.363
"1625539",-0.125,-4.07,0.10616,-0.319
"1625540",-0.167,-5.83,0.1924,-0.264
"1625541",-0.111,-4.86,0.36783,-0.187
"1625542",0,0,0.81923,0.055
"1625543",0,0,0.68034,-0.088
"1625544",0,0,0.68034,-0.088
"1627925",0,0,0.34606,-0.187
"1627926",-0.143,-4.17,0.22791,-0.242
"1627927",-0.143,-4.65,0.36529,-0.187
"1627928",-0.111,-3.46,0.20074,-0.253
"1627929",0,0,0.25675,-0.22
"1627930",0,0,0.24264,-0.231
"1627931",-0.143,-5.41,0.09443,-0.33
"1627932",-0.111,-4.32,0.25929,-0.231
"1627933",0,0,0.3922,-0.176
"1627934",0,0,0.38595,-0.176
"1627935",-0.125,-4.49,0.21319,-0.253
"1627936",-0.222,-8.19,0.02886,-0.429
"1627937",-0.182,-6.53,0.1924,-0.264
"1627938",-0.182,-6.88,0.0815,-0.352
"1627939",-0.143,-4.55,0.28464,-0.22
"1627940",0,0,0.45836,-0.154
"1627941",-0.1,-3.26,0.08345,-0.33
"1627942",-0.143,-5,0.31304,-0.209
"1627943",0,0,0.85952,-0.044
"1627944",0,0,0.21573,0.231
"1627945",0,0,0.82075,-0.055
"1627946",0,0,0.52399,-0.132
"1627947",0,0,0.41553,-0.165
"1627948",-0.077,-5.38,0.27636,-0.22
"1630328",-0.143,-4.08,0.13354,-0.297
"1630329",-0.143,-4.35,0.1924,-0.264
"1630330",0,0,0.26344,-0.22
"1630331",-0.167,-5.3,0.01027,-0.484
"1630332",-0.154,-5.13,0.17262,-0.275
"1630333",0,0,0.46126,-0.154
"1630334",-0.091,-3.44,0.46412,-0.154
"1630335",-0.091,-3.44,0.33531,-0.198
"1630336",-0.091,-3.26,0.33531,-0.198
"1630337",-0.25,-8.75,0.08022,-0.352
"1630338",-0.167,-5.56,0.12108,-0.308
"1630339",-0.167,-5.3,0.07893,-0.352
"1630340",-0.1,-3.11,0.39827,-0.176
"1630341",0,0,0.39323,-0.176
"1630342",0,0,0.8675,0.044
"1630343",0,0,0.31365,0.198
"1630344",0,0,0.67964,0.088
"1630345",0,0,0.81806,-0.055
"1630346",0,0,0.90951,0.033
"1630347",0,0,0.90902,0.033
"1630348",0,0,0.73559,-0.077
"1630349",-0.125,-5,0.25726,-0.231
"1632730",-0.182,-6.06,0.08711,-0.33
"1632731",-0.143,-4.65,0.28767,-0.22
"1632732",-0.143,-4.26,0.23697,-0.242
"1632733",0,0,0.68839,-0.088
"1632734",0,0,1,-0.011
"1632735",0,0,0.76802,-0.066
"1632736",0,0,0.77689,-0.066
"1632737",-0.143,-5.26,0.23993,-0.242
"1632738",-0.091,-3.26,0.27845,-0.22
"1632739",0,0,0.32689,-0.198
"1632740",0,0,0.32689,-0.198
"1632741",0,0,0.51442,-0.132
"1632742",-0.091,-2.6,0.20428,-0.253
"1632743",-0.167,-4.58,0.02815,-0.429
"1632744",-0.25,-6.03,0.02229,-0.451
"1632745",-0.2,-4.83,0.07701,-0.352
"1632746",-0.143,-4.17,0.1847,-0.264
"1632747",-0.111,-3.62,0.22586,-0.242
"1632748",0,0,0.85952,-0.044
"1632749",0,0,1,0.011
"1632750",0,0,0.69157,0.088
"1632754",-0.111,-8.19,0.08515,-0.341
"1632755",0,0,0.72352,-0.077
"1632756",0,0,0.29843,-0.209
"1632775",0,0,0.08088,-0.33
"1635130",-0.167,-4.86,0.1219,-0.308
"1635131",-0.25,-7.45,0.03154,-0.429
"1635132",-0.25,-7.95,0.00408,-0.571
"1635133",-0.125,-4.07,0.16609,-0.275
"1635134",-0.333,-9.72,0.00661,-0.538
"1635135",-0.182,-5.79,0.10027,-0.33
"1635136",0,0,0.52856,-0.132
"1635137",0,0,0.73505,-0.077
"1635138",0,0,1,0
"1635139",-0.1,-3.41,0.15754,-0.275
"1635140",-0.143,-4.44,0.14025,-0.286
"1635141",-0.143,-4.35,0.28259,-0.22
"1635142",0,0,0.52766,-0.132
"1635143",-0.143,-4,0.10616,-0.319
"1635144",-0.143,-3.7,0.15385,-0.286
"1635145",-0.111,-3.46,0.20377,-0.253
"1635146",-0.143,-4.26,0.07189,-0.352
"1635147",-0.2,-6.22,0.02041,-0.462
"1635148",-0.286,-8.7,0.0059,-0.549
"1635149",-0.111,-3.38,0.06426,-0.352
"1635150",0,0,0.61303,-0.11
"1635151",0,0,1,0
"1635152",0,0,0.86499,-0.044
"1635154",0,0,0.73313,-0.077
"1635155",-0.077,-5.13,0.33324,-0.198
"1635156",0,0,0.86442,-0.044
"1635157",0,0,0.77258,0.066
"1635158",0,0,0.81845,0.055
"1635169",0,0,0.68343,-0.088
"1635170",0,0,0.90761,-0.033
"1635174",0,0,0.35853,-0.187
"1635175",-0.091,-7.95,0.13311,-0.297
"1635176",0,0,0.35853,-0.187
"1635177",-0.111,-7.78,0.15296,-0.286
"1635178",-0.091,-7.07,0.20276,-0.253
"1635180",-0.091,-7.49,0.25109,-0.231
"1635181",-0.091,-6.36,0.25522,-0.231
"1635184",-0.077,-6.33,0.25109,-0.231
"1635185",-0.125,-10.94,0.07189,-0.352
"1635208",0,0,0.10123,-0.297
"1635209",0,0,0.10123,-0.297
"1635210",0,0,0.04368,-0.363
"1635211",0,0,0.06121,-0.33
"1635212",0,0,0.06121,-0.33
"1635213",0,0,0.06121,-0.33
"1637531",-0.143,-3.85,0.25471,-0.231
"1637532",-0.125,-3.3,0.00632,-0.495
"1637533",0,0,0.11112,-0.297
"1637534",-0.167,-4.86,0.1703,-0.275
"1637535",-0.143,-4.65,0.1703,-0.275
"1637536",-0.111,-3.79,0.12441,-0.297
