"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1704748,0.06,0.31,0.91281,0.033
1704749,0.077,0.38,0.82667,0.055
1704750,-0.043,-0.18,0.91281,-0.033
1704751,0.845,2.75,0.51122,0.143
1704752,0.895,2.06,0.58407,0.121
1704753,1.004,1.3,0.82667,0.055
1704754,0.877,1.02,0.74256,0.077
1704755,0.484,0.59,0.82667,0.055
1704756,0.995,1.12,0.82667,0.055
1704757,1.798,3.04,0.58407,0.121
1704758,0.511,0.52,0.82667,0.055
1704759,0.764,0.62,0.82667,0.055
1704760,2.911,1.91,0.66142,0.099
1704761,2.559,1.76,0.66142,0.099
1704762,4.839,2.47,0.66142,0.099
1704763,4.357,1.88,0.66142,0.099
1704764,3.585,1.44,0.74256,0.077
1704765,3.666,1.52,0.66142,0.099
1704766,3.898,1.4,0.82667,0.055
1704767,3.753,1.46,0.82667,0.055
1704768,3.464,1.2,0.82667,0.055
1704769,3.503,1.18,0.91281,0.033
1704770,2.91,0.92,0.91281,0.033
1704771,4.977,1.4,0.66142,0.099
1704772,4.637,1.26,0.74256,0.077
1704773,4.529,1.32,0.74256,0.077
1704774,3.124,1,0.91281,0.033
1704775,2.516,0.84,0.91281,0.033
1704776,3.048,0.99,0.66142,0.099
1704777,2.79,0.87,0.74256,0.077
1704778,2.393,0.88,0.74256,0.077
1704779,2.81,1.01,0.74256,0.077
1704780,6.58,2.07,0.66142,0.099
1704781,3.335,1.21,0.74256,0.077
1704782,4.02,1.44,0.66142,0.099
1704783,4.787,1.41,0.91281,0.033
1704784,3.76,1.02,0.74256,0.077
1704785,6.007,1.81,0.91281,0.033
1704786,4.45,1.59,0.66142,0.099
1704787,1.606,0.63,0.91281,0.033
1704788,1.664,0.66,0.91281,0.033
1704789,2.253,0.99,0.82667,0.055
1704790,2.925,1.57,0.82667,0.055
1704791,2.513,1.59,0.82667,0.055
1704792,1.28,0.94,0.91281,0.033
1704793,1.113,0.85,0.91281,0.033
1704794,1.605,1.35,0.82667,0.055
1704795,1.33,1.47,0.74256,0.077
1704796,-0.57,-0.81,0.74256,-0.077
1704797,-0.248,-0.58,0.91281,-0.033
1704798,-0.65,-1.11,0.74256,-0.077
1704799,0.774,0.77,1,0.011
1704800,0.296,0.21,1,0.011
1704801,1.86,1.05,0.91281,0.033
1704802,1.254,0.77,0.82667,0.055
1704803,0.314,0.23,1,0.011
1704804,0.583,0.46,1,0.011
1704805,0.475,0.41,0.91281,0.033
1704806,0.696,0.7,1,0.011
1704807,-1.235,-1.75,0.74256,-0.077
1704808,-0.972,-1.66,0.66142,-0.099
1704809,-0.716,-1.28,0.82667,-0.055
1704810,0.46,0.5,0.91281,0.033
1704811,0.812,0.76,0.91281,0.033
1704812,-0.512,-0.43,1,-0.011
1704813,-0.996,-0.88,0.91281,-0.033
1704814,0.474,0.41,1,0.011
1704815,-0.338,-0.36,0.91281,-0.033
1704816,-1.589,-1.99,0.74256,-0.077
1704817,-1.965,-2.71,0.74256,-0.077
1704818,-1.693,-3.78,0.82667,-0.055
1704819,-2.171,-5.07,0.51122,-0.143
1704820,-1.815,-2.8,0.66142,-0.099
1704821,-1.056,-1.78,0.91281,-0.033
1704822,-0.664,-1.48,0.91281,-0.033
1704823,-0.723,-2.33,0.66142,-0.099
1704824,-0.532,-1.95,0.51122,-0.143
1704825,-0.579,-1.76,0.74256,-0.077
1704826,-0.293,-1.38,0.91281,-0.033
1704827,-0.448,-4.98,0.2073,-0.264
1704828,-0.187,-2.38,0.44342,-0.165
1704829,-0.452,-4.88,0.27356,-0.231
1704830,-0.34,-1.89,0.66142,-0.099
1704831,-0.544,-2.71,0.38107,-0.187
1704832,-0.359,-1.22,0.66142,-0.099
1704833,-0.95,-2.44,0.58407,-0.121
1704834,-0.728,-1.76,0.58407,-0.121
1704835,-0.438,-2.02,0.58407,-0.121
1704836,-0.457,-3.41,0.51122,-0.143
1704837,-0.807,-6.33,0.12531,-0.319
1704838,-1.117,-6.27,0.22844,-0.253
1704839,-1.533,-6.26,0.0627,-0.385
1704840,-1.054,-6.29,0.18889,-0.275
1704844,-0.51,-3.38,0.32442,-0.209
1704845,-1.128,-4.87,0.15463,-0.297
1704846,-2.126,-6.72,0.0627,-0.385
1704847,-3.503,-8.67,0.12531,-0.319
1704848,-4.296,-8.74,0.15463,-0.297
