"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1589498,0,0,0.6532,0.099
1591900,0,0,0.91166,0.033
1591901,0,0,0.82224,0.055
1591914,0.03,1.13,0.47422,0.154
1591915,0.031,1.3,0.43741,0.165
1594301,0.005,0.06,0.78398,0.066
1594302,0,0,0.82441,0.055
1594303,0,0,0.6532,0.099
1594310,0.01,0.22,0.50564,0.143
1594311,0.017,0.36,0.54113,0.132
1594312,0.026,0.57,0.54644,0.132
1594315,0.03,0.86,0.65917,0.099
1594316,0.034,1.23,0.43741,0.165
1596703,0,0,0.91166,0.033
1596704,0,0,0.6532,0.099
1596705,0,0,0.6532,0.099
1596711,0.01,0.25,0.50564,0.143
1596712,0.01,0.23,0.5791,0.121
1596713,0.008,0.18,0.5791,0.121
1596714,0.036,0.76,0.40466,0.176
1596715,0.03,0.62,0.6217,0.11
1596716,0.03,0.99,0.43741,0.165
1596717,0.034,1.18,0.43741,0.165
1596718,0.035,1.19,0.40896,0.176
1596719,0.033,1.22,0.40896,0.176
1599103,0.003,0.03,0.78398,0.066
1599104,0.005,0.06,0.6217,0.11
1599105,0.006,0.07,0.6217,0.11
1599106,0,0,0.91166,0.033
1599107,0,0,0.6532,0.099
1599108,0.002,0.04,0.5791,0.121
1599114,0.008,0.18,0.5791,0.121
1599115,0.008,0.18,0.54113,0.132
1599116,0.034,0.71,0.3748,0.187
1599117,0.019,0.38,0.58142,0.121
1599118,0.025,0.61,0.65722,0.099
1599119,0.03,0.84,0.54483,0.132
1599120,0.03,0.95,0.62029,0.11
1599121,0.032,1.05,0.40896,0.176
1601504,0.049,0.33,0.74256,0.077
1601505,0.054,0.37,0.82667,0.055
1601506,0.008,0.07,0.78398,0.066
1601507,0.008,0.07,0.78398,0.066
1601508,0.01,0.1,0.476,0.154
1601509,0,0,0.91166,0.033
1601510,0.001,0.02,0.73927,0.077
1601516,0.009,0.19,0.50564,0.143
1601517,0.008,0.17,0.50564,0.143
1601518,0.048,0.82,0.476,0.154
1601519,0.053,1.01,0.51122,0.143
1601520,0.035,0.44,0.78398,0.066
1601521,0.037,0.69,0.74256,0.077
1601522,0.028,0.65,0.6217,0.11
1601523,0.027,0.71,0.78313,0.066
1601524,0.029,0.95,0.50824,0.143
1601525,0.028,0.92,0.54483,0.132
1603905,0.074,0.52,0.74181,0.077
1603906,0.034,0.17,0.91281,0.033
1603907,0.093,0.44,0.91281,0.033
1603908,0.008,0.06,0.86935,0.044
1603909,0.155,1.07,0.66142,0.099
1603910,0.013,0.11,0.78398,0.066
1603911,0.035,0.4,0.54644,0.132
1603912,0.02,0.3,0.6217,0.11
1603918,0,0,0.69374,0.088
1603919,0.013,0.26,0.43741,0.165
1603920,0.07,1.03,0.44342,0.165
1603921,0.055,0.78,0.74256,0.077
1603922,0.098,0.94,0.66142,0.099
1603923,0.032,0.42,0.78398,0.066
1603924,0.052,0.82,0.91281,0.033
1603925,0.03,0.63,0.54644,0.132
1603926,0.023,0.57,0.65917,0.099
1603927,0.024,0.79,0.50824,0.143
1606307,0.004,0.02,1,0.011
1606308,-0.012,-0.05,1,-0.011
1606309,0.081,0.38,0.91281,0.033
1606310,0.205,1.11,0.66142,0.099
1606311,0.183,0.98,0.66142,0.099
1606312,0.15,1.07,0.58407,0.121
1606313,0.012,0.11,0.70113,0.088
1606314,0.049,0.52,0.476,0.154
1606315,0.059,0.86,0.476,0.154
1606320,0.049,0.85,0.35131,0.198
1606321,0.068,1.13,0.24958,0.242
1606322,0.072,1.01,0.58407,0.121
1606323,0.067,0.84,0.70113,0.088
1606324,0.109,0.97,0.74256,0.077
1606325,0.15,1.25,0.82667,0.055
1606326,0.059,0.84,0.74256,0.077
1606327,0.077,1.2,0.66142,0.099
1606328,0.002,0.05,0.95628,0.022
1606329,0.02,0.52,0.54483,0.132
1606330,0.019,0.57,0.50824,0.143
1608708,-0.178,-0.67,0.74256,-0.077
1608709,0.275,0.93,0.91281,0.033
1608710,0.639,1.99,0.51122,0.143
1608711,0.178,0.74,0.82667,0.055
1608712,0.198,0.83,0.82667,0.055
1608713,0.184,0.82,0.82667,0.055
1608714,0.14,0.98,0.58407,0.121
1608715,0.147,1.11,0.51122,0.143
1608716,0.023,0.23,0.54644,0.132
1608717,0.066,0.84,0.35131,0.198
1608718,0.05,0.78,0.41085,0.176
1608719,0.064,0.87,0.29754,0.22
1608720,0.062,0.9,0.29754,0.22
1608721,0.066,1.03,0.29754,0.22
1608723,0.052,0.82,0.41085,0.176
1608724,0.108,1.82,0.29754,0.22
1608725,0.131,1.34,0.58407,0.121
1608726,0.108,0.95,0.74256,0.077
1608727,0.106,1,0.74256,0.077
1608728,0.077,1.21,0.66142,0.099
1608729,0.012,0.22,0.91281,0.033
1608730,0,0,1,-0.011
1608731,0,0,1,0
1608732,0.017,0.45,0.66046,0.099
1611108,0.387,1.17,0.91281,0.033
1611110,0.357,0.99,0.51122,0.143
1611111,1.471,3.76,0.44342,0.165
1611112,1.558,3.9,0.32442,0.209
1611113,0.506,1.66,0.58407,0.121
1611114,0.7,2.22,0.476,0.154
1611115,0.198,0.77,0.74256,0.077
1611116,0.317,1.39,0.66142,0.099
1611117,0.202,1.11,0.58407,0.121
1611118,0.022,0.18,0.78398,0.066
1611119,0.066,0.83,0.35131,0.198
1611120,0.066,0.85,0.29754,0.22
1611121,0.058,0.75,0.50995,0.143
1611122,0.136,1.32,0.44342,0.165
1611123,0.071,0.89,0.54644,0.132
1611124,0.065,0.98,0.35131,0.198
1611125,0.049,0.76,0.476,0.154
1611126,0.105,1.69,0.32442,0.209
1611127,0.128,1.41,0.58407,0.121
1611128,0.383,2.9,0.38107,0.187
1611129,0.102,0.94,0.91281,0.033
1611130,0.036,0.4,0.74256,0.077
1611131,0.038,0.43,0.82667,0.055
1611132,-0.006,-0.11,1,-0.011
1611133,0,0,1,0
1611134,0,0,1,0
1611135,0,0,1,0
1613509,0.356,1.14,0.91281,0.033
1613510,0.339,0.95,0.58407,0.121
1613511,0.608,1.54,0.44342,0.165
1613512,0.523,1.42,0.38107,0.187
1613513,1.237,2.72,0.58407,0.121
1613514,1.282,3.11,0.44342,0.165
1613515,1.561,4.18,0.32442,0.209
1613516,1.646,4.43,0.32442,0.209
1613517,0.295,1.05,0.91281,0.033
1613518,0.361,1.58,0.66142,0.099
1613519,0.38,2.26,0.58407,0.121
1613520,0.053,0.57,0.54644,0.132
1613521,0.045,0.69,0.35131,0.198
1613522,0.061,0.74,0.476,0.154
1613523,0.174,1.79,0.41085,0.176
1613524,0.288,2.27,0.38107,0.187
1613525,0.202,2.09,0.44342,0.165
1613526,0.13,1.36,0.38107,0.187
1613527,0.08,1.08,0.41085,0.176
1613528,0.08,1.13,0.58407,0.121
1613529,0.144,1.47,0.54644,0.132
1613530,0.249,1.78,0.51122,0.143
1613531,0.252,1.61,0.74256,0.077
1613532,0.02,0.15,1,0.011
1613533,0.077,1.11,0.82667,0.055
1613534,0.038,0.47,0.82667,0.055
1613535,0.011,0.21,1,0.011
1613536,0,0,1,0
1613537,0,0,1,0
1613538,0.008,0.13,0.91281,0.033
1615910,0.353,1.14,0.91281,0.033
1615911,0.348,0.99,0.74256,0.077
1615912,0.588,1.48,0.44342,0.165
1615913,0.938,2.25,0.58407,0.121
1615914,0.965,2.22,0.66142,0.099
1615915,1.257,2.57,0.74256,0.077
1615916,2.039,3.93,0.58407,0.121
1615917,1.294,2.86,0.44342,0.165
1615918,1.687,4.31,0.32442,0.209
1615919,0.981,3.06,0.38107,0.187
1615920,0.22,1.12,0.58407,0.121
1615921,0.355,2.63,0.32442,0.209
1615922,0.092,0.76,0.54644,0.132
1615923,0.021,0.2,0.70113,0.088
1615924,0.259,2.15,0.32442,0.209
1615925,0.064,0.71,0.6217,0.11
1615926,0.284,2.26,0.38107,0.187
1615927,0.303,2.23,0.44342,0.165
1615928,0.235,2.2,0.38107,0.187
1615929,0.155,1.79,0.51122,0.143
1615930,0.081,1.1,0.58407,0.121
1615931,0.268,2.21,0.51122,0.143
1615932,0.251,1.64,0.51122,0.143
1615933,0.952,5.22,0.38107,0.187
1615934,-0.02,-0.15,1,-0.011
1615935,-0.016,-0.13,0.91281,-0.033
1615936,-0.002,-0.02,1,-0.011
1615937,0.011,0.18,0.91281,0.033
1615938,0.007,0.12,1,0.011
1615939,0,0,1,0
1615940,0.004,0.07,1,0.011
1618310,-0.004,-0.02,0.86935,-0.044
1618311,-0.065,-0.28,0.91281,-0.033
1618312,-0.056,-0.22,0.82667,-0.055
1618313,-0.056,-0.19,0.91281,-0.033
1618314,0.319,0.9,0.66142,0.099
1618315,0.935,2.24,0.58407,0.121
1618316,0.66,1.31,0.91281,0.033
1618317,1.757,3.16,0.66142,0.099
1618318,1.51,2.66,0.58407,0.121
1618319,2.06,3.91,0.51122,0.143
1618320,1.419,3.3,0.38107,0.187
1618321,0.516,1.75,0.58407,0.121
1618322,0.39,2.23,0.58407,0.121
1618323,0.373,1.69,0.74256,0.077
1618324,0.018,0.16,0.70113,0.088
1618325,0.351,2.4,0.38107,0.187
1618326,0.385,2.51,0.44342,0.165
1618327,0.301,2.1,0.51122,0.143
1618328,0.284,2.19,0.38107,0.187
1618329,0.379,2.22,0.44342,0.165
1618330,0.303,2.08,0.44342,0.165
1618331,0.256,2.45,0.38107,0.187
1618332,0.264,2.25,0.44342,0.165
1618333,0.271,1.86,0.44342,0.165
1618334,0.306,1.86,0.66142,0.099
1618335,0.888,4.68,0.35131,0.198
1618336,0.745,3.79,0.38107,0.187
1618337,0.23,1.48,0.74256,0.077
1618338,-0.028,-0.25,0.82667,-0.055
1618339,-0.056,-0.56,0.82667,-0.055
1618340,-0.044,-0.52,0.91281,-0.033
1620712,-0.11,-0.46,0.82667,-0.055
1620713,0.355,1.08,0.91281,0.033
1620714,0.28,0.81,0.74256,0.077
1620715,0.742,1.87,0.44342,0.165
1620716,0.827,1.99,0.58407,0.121
1620717,0.998,2.27,0.74256,0.077
1620718,0.999,2.29,0.74256,0.077
1620719,1.283,2.72,0.58407,0.121
1620720,1.796,3.27,0.58407,0.121
1620721,1.826,3.36,0.58407,0.121
1620722,1.505,3.64,0.38107,0.187
1620723,1.412,4.11,0.38107,0.187
1620724,0.799,2.68,0.51122,0.143
1620725,0.389,2.06,0.51122,0.143
1620726,0.355,2.6,0.29754,0.22
1620727,0.346,2.28,0.38107,0.187
1620728,0.427,2.38,0.44342,0.165
1620729,0.978,4.84,0.32442,0.209
1620730,0.286,2,0.44342,0.165
1620731,1.01,4.62,0.44342,0.165
1620732,0.526,3.37,0.38107,0.187
1620733,0.383,2.73,0.32442,0.209
1620734,0.519,3.57,0.38107,0.187
1620735,0.338,2.09,0.51122,0.143
1620736,0.88,4.86,0.44342,0.165
1620737,0.278,1.72,0.66142,0.099
1620738,-0.026,-0.2,0.91281,-0.033
1620739,-0.04,-0.36,0.82667,-0.055
1620740,-0.004,-0.05,0.91281,-0.033
1623115,-0.062,-0.22,0.91281,-0.033
1623116,0.285,0.79,0.66142,0.099
1623117,0.992,2.23,0.66142,0.099
1623118,0.727,1.29,0.82667,0.055
1623119,0.035,0.05,0.91281,0.033
1623120,0.617,0.99,1,0.011
1623121,1.55,2.73,0.66142,0.099
1623122,0.969,1.6,0.74256,0.077
1623123,1.172,1.95,0.66142,0.099
1623124,1.439,2.46,0.51122,0.143
1623125,1.677,3.7,0.44342,0.165
1623126,1.386,4.15,0.44342,0.165
1623127,0.444,1.92,0.66142,0.099
1623128,0.358,2.48,0.35131,0.198
1623129,0.032,0.31,0.70113,0.088
1623130,0.37,2.31,0.44342,0.165
1623131,0.972,4.1,0.51122,0.143
1623132,1.009,4.43,0.44342,0.165
1623133,1.009,4.14,0.32442,0.209
1623134,1.08,5.05,0.32442,0.209
1623135,1.09,4.96,0.38107,0.187
1623136,1.12,5.54,0.38107,0.187
1623137,0.903,4.62,0.38107,0.187
1623138,0.333,2.01,0.58407,0.121
1623139,0.035,0.31,0.82667,0.055
1623140,0.079,0.85,0.74256,0.077
1623141,0.01,0.12,0.70113,0.088
1623142,0.029,0.4,0.82667,0.055
1625520,0.971,2.11,0.66142,0.099
1625521,0.238,0.36,1,0.011
1625522,0.663,1.07,0.66142,0.099
1625523,0.524,0.77,0.66142,0.099
1625524,0.935,1.26,0.74256,0.077
1625525,0.787,0.98,0.66142,0.099
1625526,1.155,1.66,0.58407,0.121
1625527,1.65,3.73,0.44342,0.165
1625528,1.707,4.77,0.27356,0.231
1625529,0.39,1.99,0.51122,0.143
1625530,0.44,1.96,0.66142,0.099
1625531,0.345,2.17,0.476,0.154
1625532,0.342,1.96,0.51122,0.143
1625533,1.021,5.13,0.32442,0.209
1625534,1.079,4.48,0.44342,0.165
1625535,1.842,6.76,0.18889,0.275
1625536,2.068,7.82,0.15463,0.297
1625537,1.497,5.35,0.38107,0.187
1625538,1.496,5.33,0.38107,0.187
1625539,0.9,4.57,0.38107,0.187
1625540,0.248,1.72,0.66142,0.099
1625541,0.046,0.44,0.74256,0.077
1625542,0.079,1.05,0.82667,0.055
1625543,0.038,0.52,0.70113,0.088
1625544,-0.013,-0.22,1,-0.011
1627925,1.212,1.51,0.82667,0.055
1627926,1.119,1.43,0.66142,0.099
1627927,0.474,0.58,0.91281,0.033
1627928,1.06,1.7,0.44342,0.165
1627929,1.446,3.32,0.44342,0.165
1627930,1.212,3.85,0.38107,0.187
1627931,0.566,2.1,0.58407,0.121
1627932,0.376,1.93,0.51122,0.143
1627933,0.473,2.14,0.58407,0.121
1627934,0.351,1.82,0.58407,0.121
1627935,1.356,5.37,0.27356,0.231
1627936,1.865,6.05,0.22844,0.253
1627937,1.656,5.34,0.32442,0.209
1627938,2.194,7.8,0.18889,0.275
1627939,1.108,5.38,0.38107,0.187
1627940,0.963,5.31,0.22844,0.253
1627941,0.283,1.83,0.58407,0.121
1627942,0.13,1.2,0.82667,0.055
1627943,0.044,0.54,0.66142,0.099
1627944,0.08,0.89,0.74256,0.077
1627945,0.038,0.49,0.74256,0.077
1627946,0.04,0.58,0.82667,0.055
1627947,0.028,0.42,0.82667,0.055
1627948,-0.018,-0.23,0.91281,-0.033
1630328,1.607,1.69,0.82667,0.055
1630329,0.312,0.35,1,0.011
1630330,1.32,1.87,0.66142,0.099
1630331,1.384,3.16,0.44342,0.165
1630332,0.848,2.76,0.58407,0.121
1630333,0.941,3.12,0.58407,0.121
1630334,0.393,1.87,0.66142,0.099
1630335,0.984,3.53,0.32442,0.209
1630336,0.799,3.22,0.44342,0.165
1630337,1.608,4.51,0.44342,0.165
1630338,1.656,5.15,0.32442,0.209
1630339,1.589,5.19,0.32442,0.209
1630340,1.099,4.77,0.44342,0.165
1630341,0.386,2.71,0.51122,0.143
1630342,0.396,2.9,0.51122,0.143
1630343,0.207,1.71,0.51122,0.143
1630344,0.113,1.33,0.51122,0.143
1630345,-0.04,-0.35,0.74256,-0.077
1630346,-0.03,-0.23,1,-0.011
1630347,0.04,0.42,0.74256,0.077
1630348,0.04,0.51,0.82667,0.055
1630349,-0.059,-0.61,0.91281,-0.033
1632730,1.58,1.49,0.74256,0.077
1632731,1.413,1.69,0.82667,0.055
1632732,0.866,1.48,0.66142,0.099
1632733,2.384,5.15,0.38107,0.187
1632734,2.265,5.16,0.38107,0.187
1632735,1.375,4.25,0.27356,0.231
1632736,0.994,3.44,0.32442,0.209
1632737,1.727,5.08,0.32442,0.209
1632738,1.536,4.44,0.38107,0.187
1632739,1.522,3.54,0.32442,0.209
1632740,1.538,3.63,0.38107,0.187
1632741,1.781,6.36,0.18889,0.275
1632742,1.067,4.81,0.44342,0.165
1632743,0.861,4.09,0.44342,0.165
1632744,0.917,4.92,0.44342,0.165
1632745,0.322,1.79,0.74256,0.077
1632746,0.213,1.44,0.74256,0.077
1632747,0.33,1.86,0.58407,0.121
1632748,0.08,0.55,1,0.011
1632749,-0.07,-0.62,0.82667,-0.055
1632750,-0.04,-0.37,0.82667,-0.055
1632754,0.002,0.03,1,0.011
1632755,-0.014,-0.18,0.74256,-0.077
1632756,0.007,0.11,1,0.011
1632775,0.204,4.53,0.17048,0.286
1635130,0.709,0.85,1,0.011
1635131,1.408,1.44,0.82667,0.055
1635132,1.177,1.14,0.74256,0.077
1635133,0.771,0.8,0.74256,0.077
1635134,1.655,2.45,0.44342,0.165
1635135,1.555,2.22,0.51122,0.143
1635136,1.724,3.53,0.58407,0.121
1635137,1.32,3.53,0.44342,0.165
1635138,1.431,4.22,0.32442,0.209
1635139,1.728,4.09,0.51122,0.143
1635140,1.651,3.43,0.58407,0.121
1635141,2.163,4.09,0.32442,0.209
1635142,1.703,4.35,0.32442,0.209
1635143,1.928,7.32,0.15463,0.297
1635144,1.502,6,0.38107,0.187
1635145,1.682,5.85,0.27356,0.231
1635146,1.329,4.53,0.38107,0.187
1635147,1.01,4.66,0.44342,0.165
1635148,1.026,4.79,0.38107,0.187
1635149,0.815,4.07,0.51122,0.143
1635150,0.246,1.53,0.66142,0.099
1635151,-0.019,-0.14,1,-0.011
1635152,0.012,0.12,0.91281,0.033
1635154,0.001,0.02,1,0.011
1635155,0.044,0.64,0.74256,0.077
1635156,-0.033,-0.42,0.86935,-0.044
1635157,-0.06,-0.65,0.82667,-0.055
1635158,-0.015,-0.2,1,-0.011
1635169,0.183,3.99,0.18756,0.275
1635170,0.175,3.88,0.2073,0.264
1635174,0.196,4.38,0.17048,0.286
1635175,0.223,4.79,0.17048,0.286
1635176,0.22,4.69,0.18889,0.275
1635177,0.228,4.51,0.22844,0.253
1635178,0.21,4.38,0.22844,0.253
1635180,0.213,4.13,0.22844,0.253
1635181,0.218,3.51,0.18889,0.275
1635184,0.142,2.94,0.22844,0.253
1635185,0.119,2.43,0.27356,0.231
1635208,0,0,0.82441,0.055
1635209,0,0,0.91166,0.033
1635210,0,0,0.90873,0.033
1635211,0,0,0.86368,0.044
1635212,0,0,0.86368,0.044
1635213,0,0,1,0
1637531,0.864,1.67,0.66142,0.099
1637532,1.158,1.6,0.74256,0.077
1637533,0.21,0.24,1,0.011
1637534,1.034,1.16,0.91281,0.033
1637535,0.509,0.56,0.82667,0.055
1637536,0.944,0.94,0.74256,0.077
1637537,0.813,1.06,0.74256,0.077
1637538,1.613,3.33,0.66142,0.099
1637539,1.704,4.26,0.51122,0.143
1637540,1.776,4.45,0.51122,0.143
1637541,1.202,2.22,0.51122,0.143
1637542,1.831,3.04,0.66142,0.099
1637543,1.549,2.23,0.74256,0.077
1637544,2.249,4.98,0.22844,0.253
1637545,1.27,3.91,0.38107,0.187
1637546,1.57,4.77,0.44342,0.165
1637547,1.466,3.99,0.38107,0.187
1637548,1.62,4.99,0.58407,0.121
1637549,0.4,1.52,0.66142,0.099
1637550,0.772,3.67,0.44342,0.165
1637551,0.319,1.87,0.66142,0.099
1637552,0.241,1.51,0.66142,0.099
1637553,-0.012,-0.09,1,-0.011
1637554,0.044,0.47,0.91281,0.033
1637555,0.026,0.31,0.91281,0.033
1637556,0.033,0.4,1,0.011
1637557,-0.059,-0.54,0.82667,-0.055
1637558,-0.03,-0.27,0.82667,-0.055
1637559,-0.061,-0.57,0.66142,-0.099
1637560,-0.054,-0.57,0.82667,-0.055
1637566,0.089,1.24,0.82667,0.055
1637567,0.176,1.9,0.66142,0.099
1637571,0.218,4.25,0.22844,0.253
1637576,0.2,3.85,0.22844,0.253
1637577,0.242,3.79,0.18889,0.275
1637578,0.238,3.82,0.22844,0.253
1637579,0.41,5.53,0.18889,0.275
1637580,0.297,4.39,0.22844,0.253
1637584,0.328,4.17,0.22844,0.253
1637585,0.303,3.8,0.22844,0.253
1637586,0.246,2.6,0.27356,0.231
1637587,0.161,2.57,0.32442,0.209
1637594,0.139,1.13,0.82667,0.055
1637607,0,0,1,0
1637608,0.002,0.07,0.86883,0.044
1637609,0,0,0.82441,0.055
1637610,0,0,0.82441,0.055
1637611,0.001,0.05,0.73927,0.077
1637612,0.001,0.06,0.5791,0.121
1637613,0,0,0.7785,0.066
1637614,0,0,0.86598,0.044
1637615,0,0,0.95312,0.022
1637616,0,0,1,0.011
1637617,0,0,0.71416,-0.077
1637618,0,0,0.71416,-0.077
1639929,0.19,0.83,0.91281,0.033
1639930,1.058,3.48,0.44342,0.165
1639933,0.872,1.88,0.66142,0.099
1639934,1.26,2.65,0.51122,0.143
1639935,1.599,2.79,0.44342,0.165
1639936,1.007,1.61,0.66142,0.099
1639937,1.036,1.23,0.91281,0.033
1639938,1.758,1.83,0.82667,0.055
1639939,1.272,1.5,0.82667,0.055
1639940,1.142,1.62,0.91281,0.033
1639941,0.858,1.33,0.82667,0.055
1639942,1.2,1.81,0.91281,0.033
1639943,1.655,2.36,0.91281,0.033
1639944,1.616,2.02,0.91281,0.033
1639945,2.365,3.25,0.74256,0.077
1639946,2.285,4.67,0.22844,0.253
1639947,1.951,4.12,0.27356,0.231
1639948,2.431,4.91,0.22844,0.253
1639949,1.651,4.08,0.38107,0.187
1639950,1.593,4.85,0.51122,0.143
1639951,0.364,1.4,0.66142,0.099
1639952,0.815,4.06,0.51122,0.143
1639953,0.276,1.7,0.74256,0.077
1639954,0.03,0.25,1,0.011
1639955,0.038,0.34,1,0.011
1639956,0.097,1.21,0.66142,0.099
1639957,0.013,0.18,0.82667,0.055
1639958,-0.063,-0.6,0.82667,-0.055
1639959,-0.018,-0.14,1,-0.011
1639960,0.011,0.09,1,0.011
1639961,-0.022,-0.24,1,-0.011
1639964,-0.001,-0.02,1,-0.011
1639966,0.051,0.66,0.74256,0.077
1639967,0.093,1.18,0.74256,0.077
1639968,0.185,2.47,0.51122,0.143
1639969,0.232,2.74,0.38107,0.187
1639972,0.236,3.62,0.22844,0.253
1639973,0.25,3.95,0.18889,0.275
1639978,0.32,4.48,0.15463,0.297
1639979,0.412,4.21,0.44342,0.165
1639980,0.757,6.48,0.22844,0.253
1639981,0.651,5.72,0.22844,0.253
1639982,0.274,4.09,0.22844,0.253
1639985,0.37,4.38,0.22844,0.253
1639986,0.593,4.62,0.32442,0.209
1639987,0.6,4.53,0.44342,0.165
1639988,0.28,3.55,0.22844,0.253
1639991,0.133,2.27,0.38107,0.187
1639992,0.026,0.33,1,0.011
1639993,0.03,0.36,0.91281,0.033
1639994,0.028,0.33,0.91281,0.033
1639995,-0.053,-0.47,0.91281,-0.033
1640007,0,0,1,0
1640008,0,0,0.9561,-0.022
1640009,0,0,0.9122,0.033
1640010,0.002,0.07,0.82546,0.055
1640011,0.002,0.07,0.78313,0.066
1640012,0,0,0.9561,0.022
1640013,0.001,0.04,0.82546,0.055
1640014,0,0,0.82441,0.055
1640015,0,0,0.78118,-0.066
1640016,0,0,1,0
1640017,0,0,1,0
1640018,0,0,0.95312,-0.022
1640019,0,0,0.71416,-0.077
1640020,0,0,1,-0.011
1640021,0,0,1,-0.011
1640022,0,0,1,-0.011
1640023,0,0,1,-0.011
1642331,1.107,3.33,0.51122,0.143
1642332,1.072,2.36,0.51122,0.143
1642333,0.982,2.47,0.38107,0.187
1642334,0.16,0.45,1,0.011
1642335,0.356,1.1,0.91281,0.033
1642336,1.482,3.91,0.38107,0.187
1642337,1.396,3.6,0.38107,0.187
1642338,1.355,2.78,0.58407,0.121
1642339,0.605,0.96,1,0.011
1642340,0.935,1.01,0.82667,0.055
1642341,1.704,1.72,0.82667,0.055
1642342,1.31,1.42,0.74256,0.077
1642343,1.277,1.39,0.74256,0.077
1642344,1.361,1.7,0.82667,0.055
1642345,1.726,1.92,0.74256,0.077
1642346,2.3,2.4,0.66142,0.099
1642347,2,2.33,0.58407,0.121
1642348,2.377,3.15,0.74256,0.077
1642349,2.123,3.53,0.51122,0.143
1642350,2.284,4.8,0.27356,0.231
1642351,1.431,4.01,0.51122,0.143
1642352,0.817,2.99,0.66142,0.099
1642353,0.85,4.06,0.51122,0.143
1642354,0.253,1.54,0.74256,0.077
1642355,0.227,1.5,0.74256,0.077
1642356,0.01,0.08,0.95628,0.022
1642357,0.006,0.05,1,0.011
1642358,0.042,0.41,1,0.011
1642359,0.081,0.86,0.91281,0.033
1642360,-0.01,-0.08,1,-0.011
1642361,0.044,0.28,0.82667,0.055
1642362,0.004,0.03,1,0.011
1642363,0.051,0.51,0.86935,0.044
1642364,0.08,0.81,0.82667,0.055
1642365,0.028,0.31,0.91281,0.033
1642366,0.097,0.93,0.74256,0.077
1642367,0.04,0.48,0.91281,0.033
1642368,0.077,0.89,0.66142,0.099
1642369,0.134,1.25,0.66142,0.099
1642370,0.169,1.64,0.51122,0.143
1642371,0.352,3.23,0.38107,0.187
1642372,0.675,4.81,0.27356,0.231
1642374,0.494,4.68,0.38107,0.187
1642375,0.23,3.55,0.18889,0.275
1642377,0.198,3.8,0.2073,0.264
1642381,0.398,4.81,0.18889,0.275
1642382,0.759,6.37,0.22844,0.253
1642383,0.769,6.44,0.22844,0.253
1642384,0.473,4.7,0.51122,0.143
1642385,0.279,4.1,0.27356,0.231
1642387,0.321,4.26,0.22844,0.253
1642388,0.31,2.61,0.51122,0.143
1642389,0.31,2.62,0.38107,0.187
1642390,0.27,2.72,0.38107,0.187
1642392,0.19,2.22,0.58407,0.121
1642393,0.254,2.05,0.82667,0.055
1642394,0.19,1.51,0.74256,0.077
1642395,0.029,0.34,0.91281,0.033
1642396,0.026,0.23,1,0.011
1642406,-0.103,-0.82,0.82667,-0.055
1642407,0.018,0.22,0.95628,0.022
1642408,-0.009,-0.11,0.91281,-0.033
1642409,0.007,0.09,1,0.011
1642410,0,0,1,-0.011
1642411,0,0,1,0
1642412,0.002,0.07,0.86883,0.044
1642413,0,0,1,0
1642414,0.001,0.03,0.78313,0.066
1642415,-0.003,-0.07,0.86935,-0.044
1642416,0.001,0.03,0.7408,0.077
1642417,-0.02,-0.42,0.69999,-0.088
1642418,0,0,1,0
1642419,0,0,0.7785,-0.066
1642420,0,0,0.95436,-0.022
1642421,0,0,0.90282,0.033
1642422,0,0,1,-0.011
1642423,0,0,1,0
1642424,0,0,1,-0.011
1642425,0,0,1,-0.011
1642426,0,0,0.62528,-0.099
1642427,0,0,0.89763,-0.033
1642428,0,0,0.53326,-0.11
1644734,1.181,2.03,0.51122,0.143
1644735,1.205,1.87,0.66142,0.099
1644736,1.216,2.42,0.51122,0.143
1644737,0.904,1.88,0.74256,0.077
1644738,1.277,2.63,0.51122,0.143
1644739,1.6,3.11,0.58407,0.121
1644740,0.61,1.03,0.82667,0.055
1644741,0.507,0.81,0.91281,0.033
1644742,1,1.37,0.82667,0.055
1644743,1.232,1.46,0.91281,0.033
1644744,1.747,1.79,0.82667,0.055
1644745,2.274,2.14,0.91281,0.033
1644746,2.22,2.15,0.91281,0.033
1644747,1.535,1.44,0.82667,0.055
1644748,1.199,1.07,0.91281,0.033
1644749,1.992,1.97,0.82667,0.055
1644750,2.052,2.44,0.51122,0.143
1644751,1.998,3.1,0.58407,0.121
1644752,1.591,3.83,0.38107,0.187
1644753,1.651,4.82,0.44342,0.165
1644754,1.516,5.17,0.32442,0.209
1644755,1.179,4.93,0.38107,0.187
1644756,0.784,3.92,0.51122,0.143
1644757,0.308,2.36,0.51122,0.143
1644758,0.062,0.52,1,0.011
1644759,0.202,1.47,0.74256,0.077
1644760,0.08,0.92,0.74256,0.077
1644761,-0.029,-0.25,0.91281,-0.033
1644762,0.286,1.76,0.66142,0.099
1644763,0.028,0.2,0.91281,0.033
1644764,-0.014,-0.12,1,-0.011
1644765,0.1,0.96,0.74256,0.077
1644766,0.006,0.05,1,0.011
1644767,0.083,0.7,0.74256,0.077
1644768,0.104,0.93,0.74256,0.077
1644769,0.07,0.69,0.82667,0.055
1644770,0.103,1.04,0.82667,0.055
1644771,0.127,1.19,0.66142,0.099
1644772,0.327,2.18,0.66142,0.099
