"nie_malla_modi_id","sen_slope_tempm12","sen_slope_per_tempm12","p_value_tempm12","tau_tempm12"
1589498,0.026,0.4,0.74256,0.077
1591900,0.027,0.43,0.74256,0.077
1591901,0.03,0.46,0.74256,0.077
1591914,0.023,0.39,0.74256,0.077
1591915,0.023,0.39,0.74256,0.077
1594301,0.037,0.62,0.66142,0.099
1594302,0.027,0.44,0.6217,0.11
1594303,0.029,0.45,0.74256,0.077
1594310,0.026,0.42,0.74256,0.077
1594311,0.026,0.43,0.78398,0.066
1594312,0.021,0.36,0.70113,0.088
1594315,0.018,0.32,0.74256,0.077
1594316,0.017,0.28,0.74256,0.077
1596703,0.036,0.58,0.58407,0.121
1596704,0.029,0.46,0.58407,0.121
1596705,0.029,0.45,0.70113,0.088
1596711,0.027,0.42,0.74256,0.077
1596712,0.026,0.41,0.74256,0.077
1596713,0.024,0.4,0.74256,0.077
1596714,0.027,0.46,0.74256,0.077
1596715,0.024,0.42,0.74256,0.077
1596716,0.019,0.31,0.74256,0.077
1596717,0.017,0.29,0.74256,0.077
1596718,0.019,0.32,0.74256,0.077
1596719,0.017,0.29,0.74256,0.077
1599103,0.039,0.66,0.58407,0.121
1599104,0.037,0.62,0.58407,0.121
1599105,0.034,0.57,0.58407,0.121
1599106,0.034,0.56,0.58407,0.121
1599107,0.03,0.47,0.58407,0.121
1599108,0.031,0.49,0.66142,0.099
1599114,0.027,0.44,0.74256,0.077
1599115,0.027,0.44,0.74256,0.077
1599116,0.027,0.46,0.74256,0.077
1599117,0.029,0.49,0.74256,0.077
1599118,0.025,0.42,0.74256,0.077
1599119,0.023,0.39,0.74256,0.077
1599120,0.02,0.34,0.74256,0.077
1599121,0.02,0.34,0.74256,0.077
1601504,0.04,0.73,0.58407,0.121
1601505,0.03,0.55,0.58407,0.121
1601506,0.037,0.65,0.58407,0.121
1601507,0.04,0.69,0.58407,0.121
1601508,0.039,0.65,0.58407,0.121
1601509,0.034,0.55,0.58407,0.121
1601510,0.036,0.58,0.58407,0.121
1601516,0.027,0.44,0.74256,0.077
1601517,0.025,0.41,0.74256,0.077
1601518,0.023,0.39,0.74256,0.077
1601519,0.03,0.53,0.78398,0.066
1601520,0.014,0.28,0.86935,0.044
1601521,0.016,0.28,0.86935,0.044
1601522,0.022,0.4,0.74256,0.077
1601523,0.026,0.46,0.82667,0.055
1601524,0.024,0.41,0.78398,0.066
1601525,0.024,0.41,0.74256,0.077
1603905,0.045,0.83,0.58407,0.121
1603906,0.031,0.61,0.58407,0.121
1603907,0.032,0.65,0.58407,0.121
1603908,0.04,0.72,0.58407,0.121
1603909,0.035,0.64,0.58407,0.121
1603910,0.04,0.71,0.58407,0.121
1603911,0.039,0.64,0.58407,0.121
1603912,0.039,0.63,0.58407,0.121
1603918,0.029,0.46,0.74256,0.077
