"nie_malla_modi_id","sen_slope_presu","sen_slope_per_presu","p_value_presu","tau_presu"
1608712,0.94,2.2,0.91281,0.033
1608713,1.073,2.56,0.91281,0.033
1608714,0.947,2.4,0.91281,0.033
1608715,0.63,1.62,0.91281,0.033
1608716,0.187,0.5,0.91281,0.033
1608717,1.56,4.28,0.66142,0.099
1608718,1.593,4.46,0.66142,0.099
1608719,1.71,4.72,0.66142,0.099
1608720,1.7,4.71,0.66142,0.099
1608721,1.776,4.94,0.66142,0.099
1608723,1.875,5.24,0.58407,0.121
1608724,1.773,4.81,0.38107,0.187
1608725,2.215,5.66,0.38107,0.187
1608726,2.31,5.81,0.38107,0.187
1608727,2.19,5.59,0.38107,0.187
1608728,1.62,4.44,0.44342,0.165
1608729,1.635,4.57,0.44342,0.165
1608730,1.7,4.86,0.44342,0.165
1608731,1.715,4.99,0.44342,0.165
1608732,1.762,5.19,0.44342,0.165
1611108,1.535,3.19,0.58407,0.121
1611110,1.525,3.14,0.66142,0.099
1611111,0.201,0.43,0.82667,0.055
1611112,0.2,0.43,1,0.011
1611113,0.19,0.43,1,0.011
1611114,0.182,0.41,1,0.011
1611115,1.123,2.62,0.91281,0.033
1611116,1.117,2.66,0.91281,0.033
1611117,0.677,1.68,0.91281,0.033
1611118,0.193,0.51,0.91281,0.033
1611119,1.573,4.31,0.66142,0.099
1611120,1.704,4.68,0.66142,0.099
1611121,1.685,4.59,0.66142,0.099
1611122,1.55,4.06,0.66142,0.099
1611123,1.668,4.5,0.66142,0.099
1611124,1.768,4.89,0.58407,0.121
1611125,1.806,5.02,0.58407,0.121
1611126,1.773,4.78,0.38107,0.187
1611127,2.105,5.43,0.38107,0.187
1611128,2.194,5.47,0.38107,0.187
1611129,2.15,5.48,0.44342,0.165
1611130,1.887,4.97,0.44342,0.165
1611131,1.832,4.85,0.44342,0.165
1611132,1.727,4.91,0.44342,0.165
1611133,1.807,5.22,0.44342,0.165
1611134,1.754,5.15,0.44342,0.165
1611135,1.664,4.93,0.44342,0.165
1613509,1.56,3.27,0.58407,0.121
1613510,1.535,3.16,0.66142,0.099
1613511,1.505,3.04,0.66142,0.099
1613512,1.52,3.11,0.66142,0.099
1613513,0.204,0.43,0.82667,0.055
1613514,0.2,0.43,1,0.011
1613515,0.192,0.42,1,0.011
1613516,0.181,0.4,1,0.011
1613517,1.09,2.52,0.91281,0.033
1613518,1.027,2.45,0.91281,0.033
1613519,0.567,1.42,0.91281,0.033
1613520,0.066,0.18,1,0.011
1613521,1.617,4.52,0.66142,0.099
1613522,1.728,4.66,0.66142,0.099
1613523,1.615,4.25,0.66142,0.099
1613524,1.51,3.87,0.66142,0.099
1613525,1.579,4.17,0.66142,0.099
1613526,1.617,4.27,0.66142,0.099
1613527,1.71,4.66,0.51122,0.143
1613528,1.878,4.98,0.38107,0.187
1613529,2.122,5.43,0.44342,0.165
1613530,2.087,5.17,0.44342,0.165
1613531,1.958,4.79,0.44342,0.165
1613532,1.911,4.78,0.44342,0.165
1613533,1.72,4.71,0.44342,0.165
1613534,1.797,4.84,0.44342,0.165
1613535,1.903,5.46,0.44342,0.165
1613536,1.776,5.17,0.44342,0.165
1613537,1.704,5,0.44342,0.165
1613538,1.655,4.71,0.44342,0.165
1615910,1.575,3.32,0.58407,0.121
1615911,1.525,3.13,0.66142,0.099
1615912,1.505,3.04,0.66142,0.099
1615913,1.485,2.95,0.66142,0.099
1615914,1.475,2.92,0.66142,0.099
1615915,0.206,0.43,0.91281,0.033
1615916,0.204,0.42,1,0.011
