"nie_malla_modi_id","sen_slope_presu","sen_slope_per_presu","p_value_presu","tau_presu"
1661538,0.92,1.97,0.66142,0.099
1661539,0.468,1.11,0.91281,0.033
1661540,0.441,0.98,0.82667,0.055
1661541,0.663,1.5,0.82667,0.055
1661542,0.64,1.39,0.91281,0.033
1661543,0.615,1.29,0.91281,0.033
1661544,0.613,1.29,0.91281,0.033
1661545,0.595,1.22,0.91281,0.033
1661546,0.937,1.96,0.58407,0.121
1661547,0.948,1.95,0.58407,0.121
1661548,1.108,2.23,0.58407,0.121
1661549,1.328,2.63,0.51122,0.143
1661550,0.977,1.89,0.51122,0.143
1661551,1.235,2.25,0.58407,0.121
1661552,1.566,2.73,0.58407,0.121
1661553,1.627,2.64,0.44342,0.165
1661554,2.55,4.27,0.38107,0.187
1661555,2.383,4.09,0.38107,0.187
1661556,2.413,4.19,0.38107,0.187
1661557,2.552,4.32,0.38107,0.187
1661558,2.837,4.63,0.38107,0.187
1661559,2.9,4.54,0.38107,0.187
1661560,3.026,4.64,0.32442,0.209
1661561,2.953,4.72,0.38107,0.187
1661562,2.668,4.47,0.38107,0.187
1661563,2.282,4.03,0.38107,0.187
1661564,1.662,3.22,0.32442,0.209
1661565,1.518,2.98,0.32442,0.209
1661566,1.69,3.27,0.32442,0.209
1661567,1.783,3.52,0.32442,0.209
1661568,1.73,3.59,0.32442,0.209
1661569,1.527,3.34,0.32442,0.209
1661570,1.625,3.65,0.27356,0.231
1661571,1.64,3.73,0.27356,0.231
1661572,1.735,3.96,0.27356,0.231
1661573,1.81,4.12,0.27356,0.231
1661574,1.825,3.99,0.32442,0.209
1661575,1.77,3.62,0.29754,0.22
1661576,1.895,3.96,0.32442,0.209
1661577,2.125,4.79,0.38107,0.187
1661578,2.16,4.82,0.38107,0.187
1661579,2.15,4.64,0.38107,0.187
1661580,2.18,4.65,0.38107,0.187
1661581,2.29,5.08,0.38107,0.187
1661582,2.425,5.67,0.32442,0.209
1661583,2.34,5.18,0.58407,0.121
1661584,2.22,4.6,0.58407,0.121
1661585,2.18,4.39,0.44342,0.165
1661586,2.342,4.94,0.44342,0.165
1661587,2.655,5.95,0.44342,0.165
1661588,2.699,5.71,0.38107,0.187
1661589,2.686,5.86,0.38107,0.187
1661590,2.783,5.91,0.32442,0.209
1661591,2.686,5.73,0.32442,0.209
1661592,2.379,5.27,0.32442,0.209
1661593,1.837,4.29,0.44342,0.165
1661594,1.627,3.88,0.44342,0.165
1661595,2.047,4.64,0.38107,0.187
1661596,2.32,5.01,0.38107,0.187
1661597,2.1,4.37,0.44342,0.165
1661598,2.201,4.48,0.44342,0.165
1661599,2.426,4.74,0.38107,0.187
1661600,2.296,4.52,0.44342,0.165
1661601,2.046,4.13,0.44342,0.165
1661602,1.735,3.62,0.44342,0.165
1661603,1.575,3.31,0.44342,0.165
1661604,1.569,3.29,0.44342,0.165
1661605,1.498,3.05,0.44342,0.165
1661606,1.464,2.87,0.38107,0.187
1661607,0.99,2.06,0.38107,0.187
1661608,1.185,2.44,0.51122,0.143
1661609,1.276,2.55,0.51122,0.143
1661610,1.455,2.79,0.51122,0.143
1661611,1.324,2.56,0.44342,0.165
1661612,1.26,2.45,0.38107,0.187
1661613,1.001,2.02,0.51122,0.143
1661614,0.716,1.49,0.44342,0.165
1661615,0.445,1,0.58407,0.121
1661616,0.77,1.61,0.58407,0.121
1661617,0.803,1.64,0.66142,0.099
1661618,0.922,1.81,0.66142,0.099
1661619,0.835,1.66,0.74256,0.077
1661620,0.61,1.27,0.66142,0.099
1661621,0.495,1.04,0.66142,0.099
1661622,0.653,1.33,0.82667,0.055
1661623,0.227,0.48,0.82667,0.055
1661624,0.193,0.44,0.91281,0.033
1661625,0.145,0.32,0.91281,0.033
1661626,0.331,0.69,0.91281,0.033
1661627,0.256,0.52,0.91281,0.033
1661628,0.173,0.34,0.91281,0.033
1661629,0.167,0.33,0.74256,0.077
1661630,0.14,0.29,0.82667,0.055
1661631,0.561,1.11,0.82667,0.055
1661632,0.319,0.65,0.82667,0.055
1661633,0.206,0.45,1,0.011
1661634,0.056,0.12,1,0.011
1661635,-0.017,-0.04,1,-0.011
1661636,0.228,0.53,0.91281,0.033
1661637,0.267,0.62,0.91281,0.033
1661638,0.215,0.53,1,0.011
1661639,0.208,0.52,0.91281,0.033
1661640,0.208,0.51,0.91281,0.033
1661641,0.236,0.58,0.91281,0.033
1661642,0.194,0.49,0.82667,0.055
1661643,0.212,0.54,0.82667,0.055
1661644,0.446,1.16,0.74256,0.077
1661645,0.478,1.29,0.74256,0.077
1661646,0.416,1.17,0.74256,0.077
1661647,0.375,1.07,0.74256,0.077
1661648,0.692,1.9,0.66142,0.099
1661649,0.805,2.19,0.58407,0.121
1661650,1.05,2.95,0.58407,0.121
1661651,0.909,2.55,0.58407,0.121
1661652,0.88,2.49,0.58407,0.121
1661653,0.893,2.56,0.66142,0.099
1661654,0.887,2.64,0.66142,0.099
1661655,0.852,2.74,0.58407,0.121
1661656,0.694,2.18,0.58407,0.121
1661657,0.864,2.71,0.66142,0.099
1661658,0.832,2.72,0.74256,0.077
1661659,0.793,2.72,0.66142,0.099
1661660,0.747,2.7,0.66142,0.099
1661661,0.753,2.54,0.58407,0.121
1661662,0.51,1.72,0.58407,0.121
1661663,0.53,1.79,0.58407,0.121
1661664,0.646,2.24,0.58407,0.121
1661665,0.689,2.46,0.74256,0.077
1661666,0.636,2.36,0.74256,0.077
1661667,0.6,2.26,0.74256,0.077
1663900,0.996,3,0.74256,0.077
1663901,0.923,2.71,0.74256,0.077
1663902,0.797,2.33,0.82667,0.055
1663903,0.869,2.41,0.82667,0.055
1663904,0.775,2.13,0.82667,0.055
1663905,0.77,2.06,0.82667,0.055
1663909,0.41,1.07,0.91281,0.033
1663910,0.435,1.11,0.91281,0.033
1663911,0.73,1.65,0.91281,0.033
1663912,0.537,1.2,0.91281,0.033
1663913,0.63,1.44,0.91281,0.033
1663914,0.737,1.71,0.91281,0.033
1663915,0.87,2.06,0.91281,0.033
1663916,0.61,1.4,0.91281,0.033
1663917,0.553,1.25,0.82667,0.055
1663918,0.643,1.46,0.82667,0.055
1663919,0.363,0.77,0.82667,0.055
1663920,0.397,0.85,0.74256,0.077
1663921,0.74,1.5,0.74256,0.077
1663922,0.764,1.5,0.74256,0.077
1663923,0.76,1.45,0.74256,0.077
1663924,0.757,1.39,0.74256,0.077
1663925,0.92,1.63,0.74256,0.077
1663926,1.02,1.75,0.82667,0.055
1663927,1.01,1.72,0.82667,0.055
1663928,1.13,1.86,0.82667,0.055
1663929,1.06,1.76,0.74256,0.077
1663930,1.094,1.84,0.74256,0.077
1663931,1.097,1.82,0.74256,0.077
1663932,1.02,1.72,0.74256,0.077
1663933,0.945,1.62,0.66142,0.099
1663934,0.991,1.72,0.66142,0.099
1663937,0.432,0.98,0.66142,0.099
1663938,1.1,2.32,0.74256,0.077
1663939,1.473,2.9,0.74256,0.077
1663940,0.578,1.12,0.91281,0.033
1663941,0.598,1.21,0.91281,0.033
1663942,0.593,1.19,0.91281,0.033
1663943,0.625,1.33,0.91281,0.033
1663944,0.665,1.55,0.91281,0.033
1663945,0.602,1.25,0.91281,0.033
1663946,0.575,1.15,0.82667,0.055
1663947,0.891,1.84,0.66142,0.099
1663948,0.891,1.79,0.58407,0.121
1663949,1.038,2.02,0.51122,0.143
1663950,0.908,1.74,0.51122,0.143
1663951,0.913,1.71,0.58407,0.121
1663952,0.935,1.74,0.58407,0.121
1663953,1.182,2.17,0.58407,0.121
1663954,1.575,2.7,0.51122,0.143
1663955,1.629,2.64,0.44342,0.165
1663956,1.633,2.55,0.38107,0.187
1663957,2.62,4.38,0.38107,0.187
1663958,2.457,4.15,0.38107,0.187
1663959,2.544,4.26,0.38107,0.187
1663960,2.815,4.48,0.38107,0.187
1663961,2.958,4.5,0.32442,0.209
1663962,2.942,4.6,0.38107,0.187
1663963,2.858,4.71,0.38107,0.187
1663964,2.58,4.43,0.38107,0.187
1663965,2.27,4.07,0.38107,0.187
1663966,2.168,3.93,0.38107,0.187
1663967,1.998,3.69,0.38107,0.187
1663968,1.962,3.7,0.38107,0.187
1663969,1.29,2.51,0.32442,0.209
1663970,1.755,3.62,0.27356,0.231
1663971,1.718,3.65,0.32442,0.209
1663972,1.649,3.73,0.32442,0.209
1663973,1.537,3.35,0.32442,0.209
1663974,1.595,3.6,0.27356,0.231
1663975,1.606,3.43,0.27356,0.231
1663976,1.587,3.32,0.27356,0.231
1663977,1.515,3.02,0.27356,0.231
1663978,1.72,3.62,0.32442,0.209
1663979,2.09,4.75,0.32442,0.209
1663980,1.965,4.23,0.38107,0.187
1663981,1.895,3.95,0.38107,0.187
1663982,1.93,3.99,0.38107,0.187
1663983,2.115,4.66,0.38107,0.187
1663984,2.14,4.68,0.44342,0.165
1663985,2.185,4.8,0.51122,0.143
1663986,2.12,4.43,0.58407,0.121
1663987,2.035,4.04,0.51122,0.143
1663988,2.14,4.38,0.44342,0.165
1663989,2.425,5.17,0.44342,0.165
1663990,2.499,5.15,0.44342,0.165
1663991,2.656,5.47,0.44342,0.165
1663992,2.833,5.95,0.32442,0.209
1663993,2.56,5.64,0.38107,0.187
1663994,2.335,5.28,0.38107,0.187
1663995,1.955,4.59,0.44342,0.165
1663996,1.988,4.62,0.44342,0.165
1663997,2.252,5.06,0.38107,0.187
1663998,2.052,4.28,0.44342,0.165
1663999,2.243,4.52,0.38107,0.187
1664000,2.459,4.76,0.44342,0.165
1664001,2.371,4.61,0.44342,0.165
1664002,2.3,4.46,0.44342,0.165
1664003,2.08,4.11,0.44342,0.165
1664004,1.948,3.87,0.44342,0.165
1664005,1.75,3.48,0.44342,0.165
1664006,1.51,3.08,0.44342,0.165
1664007,1.565,3.02,0.44342,0.165
1664008,1.308,2.54,0.44342,0.165
1664009,0.867,1.78,0.38107,0.187
1664010,1.396,2.72,0.51122,0.143
1664011,1.199,2.38,0.51122,0.143
1664012,1.354,2.58,0.44342,0.165
1664013,1.36,2.6,0.44342,0.165
1664014,1.207,2.37,0.44342,0.165
1664015,0.854,1.72,0.51122,0.143
1664016,0.66,1.38,0.44342,0.165
1664017,0.388,0.84,0.58407,0.121
1664018,0.44,0.93,0.58407,0.121
1664019,0.546,1.14,0.58407,0.121
1664020,0.66,1.3,0.58407,0.121
1664021,0.76,1.49,0.66142,0.099
1664022,0.688,1.41,0.74256,0.077
1664023,0.478,1.02,0.66142,0.099
1664024,0.267,0.58,0.66142,0.099
1664025,0.237,0.51,0.82667,0.055
1664026,-0.091,-0.2,0.91281,-0.033
1664027,-0.116,-0.25,1,-0.011
1664028,0.082,0.18,0.91281,0.033
1664029,0.307,0.64,0.91281,0.033
1664030,0.287,0.58,0.91281,0.033
1664031,0.207,0.41,0.91281,0.033
1664032,0.129,0.26,0.74256,0.077
1664033,0.307,0.61,0.82667,0.055
1664034,0.19,0.39,0.91281,0.033
1664035,0.285,0.6,0.91281,0.033
1664036,0.283,0.6,1,0.011
1664037,0.179,0.39,1,0.011
1664038,0.101,0.22,1,0.011
1664039,0.107,0.24,0.91281,0.033
1664040,0.31,0.73,0.91281,0.033
1664041,0.317,0.78,0.82667,0.055
1664042,0.269,0.67,0.82667,0.055
1664043,0.243,0.62,0.82667,0.055
1664044,0.295,0.75,0.74256,0.077
1664045,0.463,1.23,0.74256,0.077
1664046,0.368,1.01,0.74256,0.077
1664047,0.333,0.93,0.82667,0.055
1664048,0.707,1.93,0.74256,0.077
1664049,0.596,1.66,0.66142,0.099
1664050,0.788,2.28,0.58407,0.121
1664051,1.011,2.81,0.58407,0.121
1664052,0.892,2.43,0.58407,0.121
1664053,0.89,2.4,0.58407,0.121
1664054,0.765,2.08,0.58407,0.121
1664055,0.845,2.31,0.66142,0.099
1664056,0.949,2.7,0.51122,0.143
1664057,0.92,2.77,0.58407,0.121
1664058,0.608,1.72,0.66142,0.099
1664059,0.928,2.74,0.74256,0.077
1664060,0.872,2.77,0.74256,0.077
1664061,0.813,2.79,0.66142,0.099
1664062,0.785,2.73,0.66142,0.099
1664063,0.567,1.79,0.58407,0.121
1664064,0.557,1.72,0.51122,0.143
1664065,0.716,2.3,0.51122,0.143
1664066,0.77,2.54,0.74256,0.077
1664067,0.725,2.43,0.74256,0.077
1664068,0.666,2.34,0.74256,0.077
1664069,0.625,2.23,0.74256,0.077
1664070,0.565,2.13,0.74256,0.077
1666300,0.81,2.49,0.66142,0.099
1666302,1.002,2.97,0.74256,0.077
1666303,0.885,2.57,0.82667,0.055
1666304,0.901,2.56,0.91281,0.033
1666305,0.896,2.47,0.82667,0.055
1666306,0.893,2.4,0.82667,0.055
1666307,0.849,2.25,0.91281,0.033
1666308,0.809,2.12,0.91281,0.033
1666311,0.625,1.6,0.91281,0.033
1666312,0.735,1.64,0.82667,0.055
1666313,0.8,1.74,0.82667,0.055
1666314,0.797,1.72,0.82667,0.055
1666315,0.693,1.49,0.82667,0.055
1666316,0.72,1.56,0.82667,0.055
1666317,0.977,2.19,0.91281,0.033
1666318,0.487,1.02,0.74256,0.077
1666319,0.27,0.55,0.74256,0.077
1666320,0.357,0.72,0.74256,0.077
1666321,0.777,1.65,0.74256,0.077
1666322,1.003,2.16,0.74256,0.077
1666323,0.82,1.7,0.74256,0.077
1666324,0.946,1.83,0.66142,0.099
1666325,0.927,1.73,0.74256,0.077
1666326,0.96,1.7,0.74256,0.077
1666327,1.01,1.75,0.74256,0.077
1666328,1.03,1.78,0.74256,0.077
1666329,1.127,1.91,0.74256,0.077
1666330,1.107,1.84,0.74256,0.077
1666331,1.1,1.79,0.74256,0.077
1666332,1.08,1.75,0.74256,0.077
1666333,1.06,1.7,0.74256,0.077
1666334,1.01,1.62,0.74256,0.077
1666335,0.984,1.61,0.74256,0.077
1666336,1.041,1.74,0.66142,0.099
1666338,1.62,3.24,0.74256,0.077
1666339,1.17,2.47,0.74256,0.077
1666340,1.25,2.65,0.74256,0.077
1666341,0.555,1.04,0.82667,0.055
1666342,0.546,1.02,0.82667,0.055
1666343,0.555,1.05,0.82667,0.055
1666344,0.567,1.1,0.82667,0.055
1666345,0.603,1.25,0.91281,0.033
1666346,0.654,1.49,0.91281,0.033
1666347,0.612,1.3,0.91281,0.033
1666348,0.863,1.82,0.66142,0.099
1666349,0.836,1.65,0.66142,0.099
1666350,0.838,1.6,0.51122,0.143
1666351,0.845,1.58,0.58407,0.121
1666352,0.855,1.56,0.58407,0.121
1666353,1.042,1.88,0.58407,0.121
1666354,1.34,2.39,0.58407,0.121
1666355,1.232,2.25,0.58407,0.121
1666356,1.555,2.76,0.58407,0.121
1666357,1.614,2.68,0.44342,0.165
1666358,1.633,2.56,0.38107,0.187
1666359,1.719,2.64,0.38107,0.187
1666360,2.852,4.47,0.38107,0.187
1666361,2.87,4.54,0.38107,0.187
1666362,2.845,4.36,0.32442,0.209
1666363,2.931,4.47,0.32442,0.209
1666364,2.895,4.56,0.38107,0.187
1666365,2.922,4.66,0.38107,0.187
1666366,2.905,4.75,0.38107,0.187
1666367,2.832,4.71,0.38107,0.187
1666368,2.602,4.46,0.38107,0.187
1666369,2.338,4.16,0.44342,0.165
1666370,2.052,3.8,0.38107,0.187
1666371,1.212,2.33,0.38107,0.187
1666372,1.297,2.57,0.32442,0.209
1666373,1.74,3.67,0.27356,0.231
1666374,1.716,3.68,0.32442,0.209
1666375,1.708,3.59,0.32442,0.209
1666376,1.663,3.58,0.32442,0.209
1666377,1.387,2.95,0.32442,0.209
1666378,1.36,2.73,0.32442,0.209
1666379,1.29,2.56,0.27356,0.231
1666380,1.533,3.21,0.27356,0.231
1666381,1.61,3.44,0.32442,0.209
1666382,1.61,3.31,0.32442,0.209
1666383,1.645,3.31,0.38107,0.187
1666384,1.837,3.75,0.38107,0.187
1666385,1.88,3.99,0.38107,0.187
1666386,1.93,4.08,0.44342,0.165
1666387,2.025,4.39,0.44342,0.165
1666388,1.97,4.07,0.58407,0.121
1666389,1.95,3.9,0.51122,0.143
1666390,2.021,4.13,0.51122,0.143
1666391,2.189,4.48,0.44342,0.165
1666392,2.279,4.52,0.44342,0.165
1666393,2.487,5.07,0.44342,0.165
1666394,2.765,6,0.38107,0.187
1666395,2.525,5.67,0.38107,0.187
1666396,2.391,5.44,0.38107,0.187
1666397,2.516,5.57,0.38107,0.187
1666398,2.431,5.43,0.38107,0.187
1666399,2.085,4.84,0.38107,0.187
1666400,1.964,4.11,0.38107,0.187
1666401,2.2,4.41,0.38107,0.187
1666402,2.361,4.58,0.44342,0.165
1666403,2.425,4.6,0.44342,0.165
1666404,2.145,4.02,0.44342,0.165
1666405,1.99,3.87,0.44342,0.165
1666406,1.745,3.45,0.44342,0.165
1666407,1.425,2.75,0.44342,0.165
1666408,1.549,3.01,0.44342,0.165
1666409,1.499,2.81,0.44342,0.165
1666410,1.211,2.3,0.51122,0.143
1666411,0.812,1.6,0.51122,0.143
1666412,1.381,2.64,0.51122,0.143
1666413,1.39,2.61,0.51122,0.143
1666414,1.52,2.8,0.44342,0.165
1666415,1.41,2.68,0.51122,0.143
1666416,0.86,1.71,0.51122,0.143
1666417,0.657,1.34,0.51122,0.143
1666418,0.642,1.29,0.51122,0.143
1666419,0.525,1.04,0.51122,0.143
1666420,0.487,0.98,0.51122,0.143
1666421,0.515,1.02,0.51122,0.143
1666422,0.605,1.19,0.58407,0.121
1666423,0.694,1.33,0.51122,0.143
1666424,0.776,1.54,0.74256,0.077
1666425,0.589,1.23,0.74256,0.077
1666426,0.454,0.95,0.74256,0.077
1666427,0.069,0.14,1,0.011
1666428,-0.012,-0.02,1,-0.011
1666429,-0.09,-0.19,1,-0.011
1666430,0.103,0.21,1,0.011
1666431,0.077,0.16,1,0.011
1666432,0.33,0.67,0.91281,0.033
1666433,0.329,0.65,0.91281,0.033
1666434,0.248,0.48,0.91281,0.033
1666435,0.17,0.34,0.82667,0.055
1666436,0.248,0.51,0.82667,0.055
1666437,0.257,0.52,0.82667,0.055
1666438,0.403,0.81,0.82667,0.055
1666439,0.374,0.79,1,0.011
1666440,0.326,0.69,1,0.011
1666441,0.233,0.51,1,0.011
1666442,0.217,0.5,0.91281,0.033
1666443,0.447,1.09,0.82667,0.055
1666444,0.462,1.19,0.66142,0.099
1666445,0.532,1.39,0.66142,0.099
1666446,0.42,1.12,0.66142,0.099
1666447,0.2,0.54,0.66142,0.099
1666448,0.562,1.53,0.74256,0.077
1666449,0.62,1.65,0.74256,0.077
1666450,0.507,1.34,0.82667,0.055
1666451,0.841,2.29,0.51122,0.143
1666452,0.966,2.71,0.58407,0.121
1666453,0.902,2.5,0.58407,0.121
1666454,0.847,2.38,0.58407,0.121
1666455,0.805,2.22,0.58407,0.121
1666456,0.87,2.4,0.66142,0.099
1666457,0.988,2.76,0.58407,0.121
1666458,0.994,2.8,0.58407,0.121
1666459,0.583,1.64,0.66142,0.099
1666460,0.58,1.58,0.66142,0.099
1666461,0.85,2.47,0.66142,0.099
1666462,0.817,2.52,0.58407,0.121
1666463,0.795,2.62,0.66142,0.099
1666464,0.705,2.39,0.58407,0.121
1666465,0.48,1.51,0.51122,0.143
1666466,0.747,2.23,0.58407,0.121
1666467,0.748,2.27,0.58407,0.121
1666468,0.806,2.53,0.74256,0.077
1666469,0.746,2.44,0.74256,0.077
1666470,0.676,2.34,0.74256,0.077
1666471,0.623,2.23,0.74256,0.077
1666472,0.581,2.1,0.74256,0.077
1666473,0.539,1.99,0.66142,0.099
1666475,0.722,2.71,0.66142,0.099
1668702,1.007,3.04,0.66142,0.099
1668703,0.994,2.95,0.74256,0.077
1668704,0.859,2.51,0.74256,0.077
1668705,0.906,2.58,0.82667,0.055
1668706,0.945,2.64,0.82667,0.055
1668707,0.959,2.63,0.82667,0.055
1668708,0.978,2.62,0.91281,0.033
1668709,1,2.65,0.91281,0.033
1668710,0.968,2.52,0.91281,0.033
1668713,0.359,0.82,0.82667,0.055
1668714,0.364,0.8,0.82667,0.055
1668715,0.41,0.85,0.82667,0.055
1668716,0.43,0.88,0.82667,0.055
1668717,0.615,1.24,0.82667,0.055
1668718,1.013,2.11,0.82667,0.055
1668719,1.03,2.16,0.82667,0.055
1668720,0.543,1.06,0.74256,0.077
1668721,0.626,1.19,0.74256,0.077
1668722,0.753,1.5,0.74256,0.077
1668723,0.867,1.74,0.74256,0.077
1668724,1.063,2.2,0.74256,0.077
1668725,0.983,2.07,0.74256,0.077
1668726,0.927,1.86,0.74256,0.077
1668727,0.983,1.9,0.74256,0.077
1668728,1.183,2.17,0.66142,0.099
1668729,1.2,2.17,0.66142,0.099
1668730,1.19,2.1,0.66142,0.099
1668731,1.171,2.02,0.74256,0.077
1668732,1.159,1.96,0.74256,0.077
1668733,1.123,1.86,0.74256,0.077
1668734,1.1,1.77,0.74256,0.077
1668735,1.14,1.81,0.74256,0.077
1668736,1.16,1.82,0.74256,0.077
1668737,1.1,1.73,0.74256,0.077
1668738,1.073,1.7,0.74256,0.077
1668739,1.653,2.84,0.58407,0.121
1668741,1.373,2.55,0.58407,0.121
1668742,0.602,1.21,0.91281,0.033
1668743,0.546,1.02,0.82667,0.055
1668744,0.522,0.93,0.74256,0.077
1668745,0.521,0.94,0.74256,0.077
1668746,0.549,1.04,0.74256,0.077
1668747,0.583,1.18,0.82667,0.055
1668748,0.634,1.41,0.91281,0.033
1668749,0.896,2.1,0.74256,0.077
1668750,0.865,1.87,0.66142,0.099
1668751,0.838,1.69,0.66142,0.099
1668752,0.812,1.53,0.58407,0.121
1668753,0.85,1.51,0.58407,0.121
1668754,1.193,2.08,0.58407,0.121
1668755,1.493,2.57,0.58407,0.121
1668756,1.526,2.59,0.51122,0.143
1668757,1.545,2.65,0.51122,0.143
1668758,1.58,2.67,0.44342,0.165
1668759,1.6,2.72,0.44342,0.165
1668760,1.66,2.62,0.38107,0.187
1668761,1.821,2.7,0.32442,0.209
1668762,2.059,3.02,0.32442,0.209
1668763,2.91,4.6,0.38107,0.187
1668764,2.872,4.49,0.38107,0.187
1668765,2.93,4.44,0.32442,0.209
1668766,2.944,4.54,0.32442,0.209
1668767,2.949,4.64,0.32442,0.209
1668768,2.994,4.73,0.32442,0.209
1668769,2.963,4.82,0.38107,0.187
1668770,2.782,4.7,0.38107,0.187
1668771,2.53,4.42,0.38107,0.187
1668772,2.272,4.12,0.44342,0.165
1668773,1.996,3.76,0.38107,0.187
1668774,1.347,2.66,0.38107,0.187
1668775,1.437,2.94,0.32442,0.209
1668776,1.39,2.8,0.32442,0.209
1668777,1.744,3.58,0.27356,0.231
1668778,1.727,3.54,0.27356,0.231
1668779,1.72,3.44,0.27356,0.231
1668780,1.722,3.32,0.27356,0.231
1668781,1.697,3.23,0.27356,0.231
1668782,1.205,2.43,0.27356,0.231
1668783,1.548,3.15,0.27356,0.231
1668784,1.515,3.01,0.27356,0.231
1668785,1.469,2.87,0.32442,0.209
1668786,1.618,3.26,0.32442,0.209
1668787,1.87,3.84,0.44342,0.165
1668788,1.77,3.61,0.44342,0.165
1668789,1.845,3.91,0.44342,0.165
1668790,1.795,3.61,0.51122,0.143
1668791,1.735,3.32,0.51122,0.143
1668792,1.805,3.5,0.51122,0.143
1668793,1.968,3.89,0.44342,0.165
1668794,2.188,4.46,0.44342,0.165
1668795,2.381,4.96,0.44342,0.165
1668796,2.546,5.4,0.44342,0.165
1668797,2.655,5.62,0.44342,0.165
1668798,2.776,5.95,0.38107,0.187
1668799,2.804,5.88,0.38107,0.187
1668800,2.82,6.02,0.32442,0.209
1668801,2.431,5.49,0.38107,0.187
1668802,1.691,3.65,0.38107,0.187
1668803,1.8,3.79,0.38107,0.187
1668804,2.067,4.13,0.44342,0.165
1668805,2.06,3.87,0.51122,0.143
1668806,1.775,3.33,0.51122,0.143
1668807,1.565,3,0.44342,0.165
1668808,1.475,2.87,0.44342,0.165
1668809,1.551,3.02,0.44342,0.165
1668810,1.433,2.73,0.44342,0.165
1668811,1.365,2.51,0.51122,0.143
1668812,1.085,2.01,0.51122,0.143
1668813,0.81,1.54,0.44342,0.165
1668814,1.436,2.65,0.51122,0.143
1668815,1.643,2.94,0.51122,0.143
1668816,1.497,2.78,0.44342,0.165
1668817,1.187,2.24,0.58407,0.121
1668818,0.9,1.72,0.51122,0.143
1668819,0.858,1.64,0.51122,0.143
1668820,0.879,1.69,0.51122,0.143
1668821,0.872,1.65,0.51122,0.143
1668822,0.74,1.41,0.51122,0.143
1668823,0.71,1.35,0.51122,0.143
1668824,0.823,1.52,0.51122,0.143
1668825,0.63,1.17,0.51122,0.143
1668826,0.64,1.25,0.66142,0.099
1668827,0.607,1.21,0.74256,0.077
1668828,0.66,1.28,0.82667,0.055
1668829,0.496,0.99,0.82667,0.055
1668830,0.15,0.31,0.91281,0.033
1668831,0.123,0.25,1,0.011
1668832,0.091,0.18,0.91281,0.033
1668833,0.016,0.03,1,0.011
1668834,0.215,0.42,0.91281,0.033
1668835,0.407,0.78,0.82667,0.055
1668836,0.377,0.72,0.82667,0.055
1668837,0.301,0.59,0.91281,0.033
1668838,0.226,0.46,0.91281,0.033
1668839,0.151,0.3,0.91281,0.033
1668840,0.255,0.51,0.82667,0.055
1668841,0.025,0.05,1,0.011
1668842,0.145,0.32,0.91281,0.033
1668843,0.16,0.36,0.91281,0.033
1668844,0.327,0.78,0.74256,0.077
1668845,0.485,1.21,0.74256,0.077
1668846,0.487,1.18,0.82667,0.055
1668847,0.55,1.36,0.82667,0.055
1668848,0.51,1.36,0.82667,0.055
1668849,0.517,1.35,0.82667,0.055
1668850,0.561,1.48,0.82667,0.055
1668851,0.557,1.42,0.74256,0.077
1668852,0.62,1.58,0.82667,0.055
1668853,0.608,1.54,0.82667,0.055
1668854,0.937,2.55,0.51122,0.143
1668855,0.969,2.63,0.58407,0.121
1668856,0.722,1.97,0.58407,0.121
1668857,0.87,2.42,0.66142,0.099
1668858,0.937,2.61,0.58407,0.121
1668859,1.009,2.85,0.74256,0.077
1668860,0.975,2.8,0.66142,0.099
1668861,0.448,1.26,0.51122,0.143
1668862,0.644,1.76,0.58407,0.121
1668863,0.728,2.14,0.58407,0.121
1668864,0.657,1.98,0.58407,0.121
1668865,0.675,2.16,0.51122,0.143
1668866,0.835,2.76,0.51122,0.143
1668867,0.62,2.02,0.44342,0.165
1668868,0.827,2.53,0.58407,0.121
1668869,0.9,2.63,0.74256,0.077
1668870,0.83,2.55,0.74256,0.077
1668871,0.759,2.45,0.74256,0.077
1668872,0.717,2.33,0.74256,0.077
1668873,0.666,2.21,0.74256,0.077
1668874,0.619,2.08,0.74256,0.077
1668875,0.77,2.66,0.66142,0.099
1668876,0.842,3.04,0.66142,0.099
1668877,0.75,2.79,0.66142,0.099
1668879,0.45,1.69,0.58407,0.121
1671104,0.85,2.52,0.82667,0.055
1671105,0.847,2.45,0.74256,0.077
1671106,0.881,2.54,0.82667,0.055
1671107,0.919,2.58,0.82667,0.055
1671108,0.954,2.62,0.82667,0.055
1671109,0.969,2.61,0.91281,0.033
1671110,0.942,2.5,0.91281,0.033
1671111,0.891,2.33,0.82667,0.055
1671112,0.915,2.36,0.86935,0.044
1671113,0.876,2.26,0.91281,0.033
1671115,0.093,0.21,1,0.011
1671116,0.049,0.1,1,0.011
1671117,0.04,0.08,0.91281,0.033
1671118,0.12,0.23,0.91281,0.033
1671119,0.24,0.47,0.82667,0.055
1671120,0.67,1.32,0.82667,0.055
1671121,0.819,1.61,0.82667,0.055
1671122,0.884,1.7,0.82667,0.055
1671123,0.79,1.48,0.74256,0.077
1671124,0.999,1.97,0.74256,0.077
1671125,1.026,2.11,0.74256,0.077
1671126,1.114,2.24,0.74256,0.077
1671127,1.18,2.4,0.74256,0.077
1671128,1.253,2.54,0.82667,0.055
1671129,1.356,2.66,0.82667,0.055
1671130,1.441,2.76,0.74256,0.077
