"nie_malla_modi_id","sen_slope_tempm03","sen_slope_per_tempm03","p_value_tempm03","tau_tempm03"
1589498,-0.123,-1.36,0.0627,-0.385
1591900,-0.125,-1.41,0.0627,-0.385
1591901,-0.115,-1.24,0.07041,-0.374
1591914,-0.135,-1.47,0.0798,-0.363
1591915,-0.14,-1.53,0.0798,-0.363
1594301,-0.12,-1.42,0.0627,-0.385
1594302,-0.123,-1.39,0.0627,-0.385
1594303,-0.12,-1.32,0.07041,-0.374
1594310,-0.127,-1.45,0.0798,-0.363
1594311,-0.127,-1.45,0.07041,-0.374
1594312,-0.12,-1.37,0.0627,-0.385
1594315,-0.133,-1.53,0.10052,-0.341
1594316,-0.137,-1.5,0.0798,-0.363
1596703,-0.121,-1.39,0.0627,-0.385
1596704,-0.12,-1.36,0.0627,-0.385
1596705,-0.122,-1.36,0.07041,-0.374
1596711,-0.123,-1.34,0.0798,-0.363
1596712,-0.122,-1.37,0.0798,-0.363
1596713,-0.127,-1.43,0.07041,-0.374
1596714,-0.137,-1.58,0.0627,-0.385
1596715,-0.12,-1.39,0.04874,-0.407
1596716,-0.127,-1.41,0.07041,-0.374
1596717,-0.128,-1.42,0.0798,-0.363
1596718,-0.133,-1.47,0.0798,-0.363
1596719,-0.14,-1.54,0.0798,-0.363
1599103,-0.13,-1.57,0.0627,-0.385
1599104,-0.12,-1.42,0.0627,-0.385
1599105,-0.123,-1.45,0.0627,-0.385
1599106,-0.12,-1.38,0.07041,-0.374
1599107,-0.12,-1.34,0.0798,-0.363
1599108,-0.115,-1.27,0.0798,-0.363
1599114,-0.122,-1.38,0.0798,-0.363
1599115,-0.125,-1.41,0.07041,-0.374
1599116,-0.133,-1.54,0.0627,-0.385
1599117,-0.14,-1.64,0.0627,-0.385
1599118,-0.137,-1.6,0.0627,-0.385
1599119,-0.127,-1.44,0.0627,-0.385
1599120,-0.133,-1.49,0.0798,-0.363
1599121,-0.114,-1.27,0.0798,-0.363
1601504,-0.125,-1.61,0.0627,-0.385
1601505,-0.13,-1.67,0.0627,-0.385
1601506,-0.13,-1.6,0.0627,-0.385
