"nie_malla_modi_id","var"
1666300,"scod"
1668702,"scod"
1671279,"scod"
1671280,"scod"
1673682,"scod"
1673683,"scod"
1709716,"scod"
1709717,"scod"
1709718,"scod"
1712116,"scod"
1712117,"scod"
1712118,"scod"
1712119,"scod"
1712120,"scod"
1714517,"scod"
1714518,"scod"
1714523,"scod"
1714524,"scod"
1716917,"scod"
1716919,"scod"
1716920,"scod"
1716925,"scod"
1716926,"scod"
1716927,"scod"
1719319,"scod"
1719326,"scod"
1719327,"scod"
1719328,"scod"
1719329,"scod"
1721728,"scod"
1721729,"scod"
1724113,"scod"
1724121,"scod"
1724122,"scod"
1724127,"scod"
1724128,"scod"
1724129,"scod"
1724130,"scod"
1724135,"scod"
1726514,"scod"
1726521,"scod"
1726524,"scod"
1726525,"scod"
1726529,"scod"
1726530,"scod"
1726531,"scod"
1726535,"scod"
1728914,"scod"
1728915,"scod"
1728916,"scod"
1728933,"scod"
1728934,"scod"
1728939,"scod"
1728940,"scod"
1731335,"scod"
1731336,"scod"
1731341,"scod"
1731342,"scod"
1733734,"scod"
1733735,"scod"
1733737,"scod"
1733738,"scod"
1733741,"scod"
1733742,"scod"
1733743,"scod"
1733744,"scod"
1736143,"scod"
1736144,"scod"
1736145,"scod"
1736146,"scod"
1738545,"scod"
1738546,"scod"
1738548,"scod"
1738549,"scod"
