"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1613514,9.583,3.76,0.51122,0.143
1613515,9.061,3.69,0.51122,0.143
1613516,8.947,3.7,0.51122,0.143
1613517,8.006,3.54,0.58407,0.121
1613518,7.344,3.41,0.58407,0.121
1613519,6.451,3.21,0.51122,0.143
1613520,5.087,2.85,0.58407,0.121
1613521,5.226,3.47,0.44342,0.165
1613522,3.734,2.4,0.44342,0.165
1613523,4.535,2.87,0.44342,0.165
1613524,4.232,2.62,0.44342,0.165
1613525,3.528,2.32,0.44342,0.165
1613526,3.081,2.07,0.51122,0.143
1613527,2.443,1.75,0.44342,0.165
1613528,3.3,2.58,0.58407,0.121
1613529,3.494,2.58,0.66142,0.099
1613530,3.639,2.54,0.58407,0.121
1613531,3.576,2.44,0.58407,0.121
1613532,3.205,2.26,0.58407,0.121
1613533,2.218,1.82,0.74256,0.077
1613534,1.903,1.51,0.74256,0.077
1613535,1.22,1.08,0.82667,0.055
1613536,1.225,1.11,0.91281,0.033
1613537,1.023,0.94,0.91281,0.033
1613538,1.155,1,0.91281,0.033
1615910,7.126,2.7,0.51122,0.143
1615911,7.744,2.85,0.51122,0.143
1615912,8.104,2.93,0.58407,0.121
1615913,8.488,3.01,0.58407,0.121
1615914,8.608,3.03,0.58407,0.121
1615915,10.162,3.85,0.51122,0.143
1615916,9.54,3.61,0.51122,0.143
1615917,9.37,3.66,0.51122,0.143
1615918,8.991,3.66,0.58407,0.121
1615919,8.104,3.51,0.58407,0.121
1615920,6.96,3.34,0.58407,0.121
1615921,6.097,3.14,0.51122,0.143
1615922,5.423,2.87,0.51122,0.143
1615923,4.615,2.58,0.58407,0.121
1615924,4.42,2.69,0.51122,0.143
1615925,4.378,2.81,0.44342,0.165
1615926,4.109,2.55,0.44342,0.165
1615927,3.746,2.32,0.44342,0.165
1615928,3.069,2.02,0.44342,0.165
1615929,3.605,2.7,0.58407,0.121
1615930,3.246,2.53,0.74256,0.077
1615931,3.556,2.53,0.66142,0.099
1615932,3.601,2.46,0.58407,0.121
1615933,3.675,2.4,0.58407,0.121
1615934,3.061,2.14,0.58407,0.121
1615935,2.716,1.96,0.66142,0.099
1615936,1.47,1.15,0.82667,0.055
1615937,0.832,0.71,0.91281,0.033
1615938,1.152,1.02,0.91281,0.033
1615939,1.011,0.89,0.91281,0.033
1615940,0.888,0.78,0.91281,0.033
1618310,5.849,2.36,0.51122,0.143
1618311,6.402,2.51,0.51122,0.143
1618312,6.46,2.52,0.51122,0.143
1618313,6.911,2.63,0.51122,0.143
1618314,7.526,2.78,0.51122,0.143
1618315,8.401,2.98,0.58407,0.121
1618316,9.076,3.12,0.51122,0.143
1618317,9.872,3.67,0.51122,0.143
1618318,9.378,3.5,0.51122,0.143
1618319,8.765,3.34,0.51122,0.143
1618320,7.922,3.17,0.58407,0.121
1618321,7.871,3.47,0.58407,0.121
1618322,6.661,3.27,0.51122,0.143
1618323,6.387,3.04,0.58407,0.121
1618324,5.134,2.79,0.51122,0.143
1618325,4.691,2.49,0.58407,0.121
1618326,5.004,2.89,0.44342,0.165
1618327,4.692,2.78,0.44342,0.165
1618328,4.083,2.52,0.44342,0.165
1618329,3.887,2.31,0.38107,0.187
1618330,3.299,2.05,0.44342,0.165
1618331,3.654,2.65,0.66142,0.099
1618332,3.637,2.58,0.58407,0.121
1618333,3.594,2.48,0.58407,0.121
1618334,3.605,2.41,0.58407,0.121
1618335,3.574,2.32,0.58407,0.121
1618336,3.363,2.19,0.58407,0.121
1618337,2.753,1.88,0.58407,0.121
1618338,1.613,1.21,0.74256,0.077
1618339,1.264,0.98,0.82667,0.055
1618340,0.978,0.78,0.91281,0.033
1620712,6.305,2.47,0.51122,0.143
1620713,7.242,2.71,0.51122,0.143
1620714,7.367,2.74,0.51122,0.143
1620715,8.001,2.89,0.58407,0.121
1620716,8.335,2.96,0.58407,0.121
1620717,8.441,2.98,0.58407,0.121
1620718,8.414,2.97,0.58407,0.121
1620719,10.047,3.85,0.51122,0.143
1620720,9.153,3.45,0.51122,0.143
