"nie_malla_modi_id","sen_slope_tempm06","sen_slope_per_tempm06","p_value_tempm06","tau_tempm06"
1589498,-0.185,-0.88,0.12531,-0.319
1591900,-0.185,-0.88,0.12531,-0.319
1591901,-0.185,-0.86,0.12531,-0.319
1591914,-0.17,-0.79,0.10052,-0.341
1591915,-0.163,-0.76,0.10052,-0.341
1594301,-0.19,-0.92,0.15463,-0.297
1594302,-0.18,-0.86,0.12531,-0.319
1594303,-0.185,-0.87,0.12531,-0.319
1594310,-0.187,-0.89,0.12531,-0.319
1594311,-0.185,-0.89,0.12531,-0.319
1594312,-0.172,-0.82,0.10052,-0.341
1594315,-0.177,-0.84,0.10052,-0.341
1594316,-0.163,-0.76,0.10052,-0.341
1596703,-0.18,-0.86,0.13878,-0.308
1596704,-0.185,-0.88,0.12531,-0.319
1596705,-0.175,-0.83,0.13878,-0.308
1596711,-0.177,-0.83,0.12531,-0.319
1596712,-0.183,-0.87,0.12531,-0.319
1596713,-0.18,-0.86,0.12531,-0.319
1596714,-0.193,-0.93,0.12531,-0.319
1596715,-0.178,-0.85,0.10052,-0.341
1596716,-0.177,-0.83,0.10052,-0.341
1596717,-0.177,-0.83,0.10052,-0.341
1596718,-0.177,-0.83,0.0892,-0.352
1596719,-0.181,-0.85,0.0892,-0.352
1599103,-0.185,-0.91,0.15463,-0.297
1599104,-0.18,-0.88,0.13878,-0.308
1599105,-0.18,-0.87,0.13878,-0.308
1599106,-0.175,-0.84,0.13878,-0.308
1599107,-0.17,-0.81,0.12531,-0.319
1599108,-0.17,-0.8,0.12531,-0.319
1599114,-0.18,-0.86,0.12531,-0.319
1599115,-0.183,-0.87,0.12531,-0.319
1599116,-0.19,-0.92,0.12531,-0.319
1599117,-0.197,-0.95,0.11184,-0.33
1599118,-0.195,-0.94,0.10052,-0.341
1599119,-0.177,-0.84,0.0892,-0.352
1599120,-0.18,-0.85,0.0798,-0.363
1599121,-0.183,-0.86,0.0798,-0.363
1601504,-0.18,-0.91,0.15463,-0.297
1601505,-0.19,-0.96,0.15463,-0.297
1601506,-0.18,-0.89,0.13878,-0.308
1601507,-0.165,-0.81,0.15463,-0.297
1601508,-0.17,-0.83,0.15463,-0.297
1601509,-0.165,-0.79,0.15463,-0.297
1601510,-0.163,-0.78,0.15463,-0.297
1601516,-0.175,-0.84,0.12531,-0.319
1601517,-0.175,-0.84,0.13878,-0.308
1601518,-0.185,-0.9,0.12531,-0.319
1601519,-0.19,-0.93,0.11184,-0.33
1601520,-0.2,-1.01,0.0798,-0.363
1601521,-0.19,-0.94,0.0627,-0.385
1601522,-0.175,-0.84,0.0798,-0.363
1601523,-0.18,-0.86,0.0798,-0.363
1601524,-0.183,-0.87,0.0798,-0.363
1601525,-0.187,-0.88,0.07041,-0.374
1603905,-0.196,-0.99,0.15463,-0.297
1603906,-0.185,-0.96,0.15463,-0.297
1603907,-0.18,-0.94,0.15463,-0.297
1603908,-0.17,-0.85,0.13878,-0.308
1603909,-0.165,-0.83,0.15463,-0.297
1603910,-0.165,-0.82,0.17048,-0.286
1603911,-0.16,-0.77,0.15463,-0.297
1603912,-0.163,-0.79,0.13878,-0.308
1603918,-0.18,-0.86,0.12531,-0.319
1603919,-0.18,-0.87,0.12531,-0.319
1603920,-0.185,-0.91,0.12531,-0.319
1603921,-0.19,-0.95,0.11184,-0.33
1603922,-0.195,-1.01,0.0798,-0.363
1603923,-0.19,-0.96,0.07041,-0.374
1603924,-0.205,-1.02,0.0627,-0.385
1603925,-0.175,-0.85,0.0798,-0.363
1603926,-0.185,-0.89,0.0798,-0.363
1603927,-0.189,-0.9,0.0627,-0.385
1606307,-0.19,-1,0.15463,-0.297
1606308,-0.185,-0.99,0.13878,-0.308
1606309,-0.175,-0.91,0.18889,-0.275
1606310,-0.17,-0.87,0.18889,-0.275
1606311,-0.163,-0.84,0.18889,-0.275
1606312,-0.163,-0.82,0.18889,-0.275
1606313,-0.16,-0.78,0.18889,-0.275
1606314,-0.167,-0.81,0.17048,-0.286
1606315,-0.163,-0.79,0.18889,-0.275
1606320,-0.177,-0.85,0.12531,-0.319
1606321,-0.17,-0.83,0.12531,-0.319
1606322,-0.19,-0.94,0.12531,-0.319
1606323,-0.19,-0.96,0.0892,-0.352
1606324,-0.2,-1.05,0.0798,-0.363
1606325,-0.195,-1.03,0.0798,-0.363
1606326,-0.192,-0.96,0.0627,-0.385
1606327,-0.19,-0.95,0.0627,-0.385
1606328,-0.183,-0.89,0.0627,-0.385
1606329,-0.175,-0.84,0.04874,-0.407
1606330,-0.19,-0.91,0.04874,-0.407
1608708,-0.195,-1.05,0.15463,-0.297
1608709,-0.185,-1,0.17048,-0.286
1608710,-0.175,-0.96,0.18889,-0.275
1608711,-0.165,-0.87,0.18889,-0.275
1608712,-0.164,-0.87,0.18889,-0.275
1608713,-0.163,-0.85,0.18889,-0.275
1608714,-0.163,-0.82,0.18889,-0.275
1608715,-0.167,-0.83,0.17048,-0.286
1608716,-0.163,-0.8,0.18889,-0.275
1608717,-0.16,-0.77,0.17048,-0.286
1608718,-0.163,-0.78,0.15339,-0.297
1608719,-0.163,-0.79,0.13878,-0.308
1608720,-0.17,-0.82,0.15339,-0.297
1608721,-0.17,-0.83,0.15463,-0.297
1608723,-0.18,-0.88,0.12531,-0.319
1608724,-0.175,-0.87,0.12531,-0.319
1608725,-0.19,-0.98,0.0798,-0.363
1608726,-0.19,-0.99,0.0798,-0.363
1608727,-0.191,-0.99,0.0627,-0.385
1608728,-0.191,-0.95,0.0627,-0.385
1608729,-0.187,-0.92,0.0627,-0.385
1608730,-0.184,-0.9,0.0627,-0.385
1608731,-0.187,-0.91,0.04874,-0.407
1608732,-0.18,-0.86,0.04874,-0.407
1611108,-0.195,-1.09,0.15463,-0.297
1611110,-0.194,-1.08,0.15463,-0.297
1611111,-0.19,-1.08,0.15463,-0.297
1611112,-0.175,-1,0.15463,-0.297
1611113,-0.166,-0.91,0.18889,-0.275
1611114,-0.167,-0.91,0.18889,-0.275
1611115,-0.167,-0.89,0.18889,-0.275
1611116,-0.161,-0.85,0.18889,-0.275
1611117,-0.167,-0.85,0.18889,-0.275
1611118,-0.163,-0.81,0.18889,-0.275
1611119,-0.16,-0.77,0.18889,-0.275
1611120,-0.157,-0.76,0.18889,-0.275
1611121,-0.163,-0.8,0.17048,-0.286
1611122,-0.167,-0.84,0.18889,-0.275
1611123,-0.17,-0.84,0.15463,-0.297
1611124,-0.18,-0.88,0.12531,-0.319
1611125,-0.18,-0.88,0.13878,-0.308
1611126,-0.18,-0.89,0.15463,-0.297
1611127,-0.195,-1,0.0798,-0.363
1611128,-0.2,-1.05,0.0798,-0.363
1611129,-0.2,-1.04,0.0798,-0.363
1611130,-0.2,-1.02,0.0627,-0.385
1611131,-0.187,-0.95,0.0627,-0.385
1611132,-0.189,-0.93,0.04874,-0.407
1611133,-0.185,-0.9,0.04874,-0.407
1611134,-0.19,-0.92,0.04874,-0.407
1611135,-0.185,-0.89,0.04874,-0.407
1613509,-0.196,-1.08,0.15463,-0.297
1613510,-0.195,-1.09,0.15463,-0.297
1613511,-0.192,-1.09,0.15463,-0.297
1613512,-0.192,-1.08,0.15463,-0.297
1613513,-0.185,-1.08,0.15463,-0.297
1613514,-0.18,-1.04,0.17048,-0.286
1613515,-0.171,-0.96,0.17048,-0.286
1613516,-0.17,-0.95,0.18889,-0.275
1613517,-0.167,-0.89,0.18889,-0.275
1613518,-0.167,-0.87,0.18889,-0.275
1613519,-0.167,-0.84,0.18889,-0.275
1613520,-0.163,-0.79,0.18889,-0.275
1613521,-0.16,-0.76,0.18889,-0.275
1613522,-0.163,-0.8,0.18889,-0.275
1613523,-0.163,-0.81,0.18889,-0.275
1613524,-0.163,-0.83,0.18889,-0.275
1613525,-0.17,-0.85,0.17048,-0.286
1613526,-0.177,-0.89,0.15463,-0.297
1613527,-0.18,-0.89,0.15463,-0.297
1613528,-0.18,-0.9,0.12531,-0.319
1613529,-0.19,-0.98,0.0798,-0.363
1613530,-0.195,-1.03,0.0798,-0.363
1613531,-0.195,-1.05,0.0798,-0.363
1613532,-0.2,-1.06,0.0627,-0.385
1613533,-0.187,-0.94,0.0627,-0.385
1613534,-0.191,-0.97,0.04874,-0.407
1613535,-0.19,-0.93,0.04874,-0.407
1613536,-0.19,-0.92,0.04874,-0.407
1613537,-0.18,-0.87,0.05499,-0.396
1613538,-0.185,-0.91,0.0627,-0.385
1615910,-0.166,-0.91,0.15463,-0.297
1615911,-0.195,-1.1,0.15463,-0.297
1615912,-0.194,-1.11,0.15463,-0.297
1615913,-0.192,-1.11,0.15463,-0.297
1615914,-0.193,-1.12,0.17048,-0.286
1615915,-0.193,-1.14,0.15463,-0.297
1615916,-0.18,-1.07,0.15463,-0.297
1615917,-0.173,-1.01,0.15463,-0.297
1615918,-0.173,-0.98,0.18889,-0.275
1615919,-0.167,-0.91,0.18889,-0.275
1615920,-0.17,-0.87,0.18889,-0.275
1615921,-0.158,-0.79,0.18889,-0.275
1615922,-0.157,-0.78,0.18889,-0.275
1615923,-0.157,-0.77,0.18889,-0.275
1615924,-0.16,-0.8,0.18889,-0.275
1615925,-0.167,-0.82,0.17048,-0.286
1615926,-0.163,-0.83,0.18889,-0.275
1615927,-0.167,-0.86,0.18889,-0.275
1615928,-0.18,-0.91,0.12531,-0.319
1615929,-0.177,-0.9,0.15463,-0.297
1615930,-0.185,-0.93,0.12531,-0.319
1615931,-0.2,-1.05,0.0798,-0.363
1615932,-0.205,-1.1,0.0798,-0.363
1615933,-0.2,-1.1,0.0798,-0.363
1615934,-0.2,-1.06,0.0627,-0.385
1615935,-0.193,-1.02,0.04874,-0.407
1615936,-0.19,-0.97,0.04874,-0.407
1615937,-0.19,-0.94,0.04874,-0.407
1615938,-0.19,-0.93,0.05499,-0.396
1615939,-0.185,-0.91,0.0627,-0.385
1615940,-0.175,-0.86,0.0627,-0.385
1618310,-0.165,-0.87,0.13878,-0.308
1618311,-0.165,-0.89,0.15463,-0.297
1618312,-0.166,-0.89,0.15463,-0.297
1618313,-0.195,-1.07,0.15463,-0.297
1618314,-0.195,-1.09,0.15463,-0.297
1618315,-0.192,-1.12,0.15463,-0.297
1618316,-0.191,-1.14,0.17048,-0.286
1618317,-0.192,-1.16,0.15463,-0.297
1618318,-0.185,-1.12,0.15463,-0.297
1618319,-0.175,-1.05,0.15463,-0.297
1618320,-0.171,-0.99,0.15463,-0.297
1618321,-0.164,-0.88,0.18889,-0.275
1618322,-0.159,-0.81,0.18889,-0.275
1618323,-0.163,-0.85,0.18889,-0.275
1618324,-0.157,-0.77,0.18889,-0.275
1618325,-0.16,-0.8,0.18889,-0.275
1618326,-0.16,-0.82,0.18889,-0.275
1618327,-0.162,-0.83,0.18889,-0.275
1618328,-0.163,-0.83,0.18889,-0.275
1618329,-0.17,-0.9,0.18889,-0.275
1618330,-0.173,-0.9,0.15463,-0.297
1618331,-0.18,-0.93,0.15463,-0.297
1618332,-0.18,-0.94,0.11184,-0.33
1618333,-0.193,-1.03,0.0798,-0.363
1618334,-0.2,-1.08,0.0798,-0.363
1618335,-0.205,-1.13,0.0798,-0.363
1618336,-0.204,-1.12,0.0627,-0.385
1618337,-0.195,-1.05,0.04874,-0.407
1618338,-0.19,-0.99,0.04874,-0.407
1618339,-0.19,-0.98,0.04874,-0.407
1618340,-0.185,-0.94,0.05499,-0.396
1620712,-0.166,-0.89,0.13878,-0.308
1620713,-0.167,-0.93,0.15463,-0.297
1620714,-0.166,-0.93,0.15463,-0.297
1620715,-0.195,-1.13,0.15463,-0.297
1620716,-0.193,-1.13,0.15463,-0.297
1620717,-0.192,-1.12,0.15463,-0.297
1620718,-0.19,-1.11,0.15463,-0.297
1620719,-0.192,-1.14,0.15463,-0.297
1620720,-0.19,-1.15,0.15463,-0.297
1620721,-0.175,-1.05,0.15463,-0.297
1620722,-0.17,-0.98,0.17048,-0.286
1620723,-0.17,-0.94,0.18889,-0.275
1620724,-0.166,-0.89,0.18889,-0.275
1620725,-0.161,-0.82,0.18889,-0.275
1620726,-0.16,-0.79,0.18889,-0.275
1620727,-0.163,-0.82,0.18889,-0.275
1620728,-0.163,-0.85,0.18889,-0.275
1620729,-0.163,-0.86,0.18889,-0.275
1620730,-0.163,-0.84,0.18889,-0.275
1620731,-0.177,-0.96,0.18889,-0.275
1620732,-0.175,-0.93,0.15463,-0.297
1620733,-0.185,-0.98,0.13878,-0.308
1620734,-0.185,-0.98,0.12418,-0.319
1620735,-0.2,-1.08,0.0798,-0.363
1620736,-0.21,-1.15,0.0798,-0.363
1620737,-0.205,-1.11,0.0798,-0.363
1620738,-0.197,-1.05,0.0627,-0.385
1620739,-0.191,-0.99,0.04874,-0.407
1620740,-0.195,-1,0.04874,-0.407
1623115,-0.166,-0.91,0.15463,-0.297
1623116,-0.168,-0.95,0.15463,-0.297
1623117,-0.194,-1.15,0.15463,-0.297
1623118,-0.192,-1.17,0.15463,-0.297
1623119,-0.192,-1.2,0.15463,-0.297
1623120,-0.188,-1.16,0.15463,-0.297
1623121,-0.189,-1.16,0.15463,-0.297
1623122,-0.189,-1.16,0.15463,-0.297
1623123,-0.185,-1.13,0.15463,-0.297
1623124,-0.175,-1.06,0.15463,-0.297
1623125,-0.171,-1,0.17048,-0.286
1623126,-0.167,-0.91,0.18889,-0.275
1623127,-0.162,-0.85,0.18889,-0.275
1623128,-0.16,-0.79,0.18889,-0.275
1623129,-0.16,-0.78,0.18889,-0.275
1623130,-0.163,-0.84,0.18889,-0.275
1623131,-0.167,-0.9,0.18889,-0.275
1623132,-0.167,-0.9,0.18889,-0.275
1623133,-0.169,-0.93,0.18889,-0.275
1623134,-0.177,-0.98,0.12418,-0.319
1623135,-0.2,-1.12,0.11184,-0.33
1623136,-0.19,-1.05,0.0798,-0.363
1623137,-0.2,-1.1,0.0798,-0.363
1623138,-0.21,-1.14,0.0798,-0.363
1623139,-0.205,-1.08,0.0627,-0.385
1623140,-0.197,-1.01,0.0627,-0.385
1623141,-0.189,-0.96,0.04874,-0.407
1623142,-0.19,-0.95,0.04874,-0.407
1625520,-0.191,-1.14,0.15463,-0.297
1625521,-0.188,-1.17,0.15463,-0.297
1625522,-0.188,-1.17,0.15463,-0.297
1625523,-0.189,-1.19,0.12531,-0.319
1625524,-0.189,-1.2,0.15463,-0.297
1625525,-0.19,-1.22,0.15463,-0.297
1625526,-0.18,-1.12,0.15463,-0.297
1625527,-0.171,-1,0.15463,-0.297
1625528,-0.17,-0.95,0.18889,-0.275
1625529,-0.162,-0.83,0.18889,-0.275
1625530,-0.164,-0.86,0.18889,-0.275
1625531,-0.16,-0.81,0.18889,-0.275
1625532,-0.161,-0.82,0.18889,-0.275
1625533,-0.165,-0.88,0.18889,-0.275
1625534,-0.167,-0.92,0.18889,-0.275
1625535,-0.175,-0.98,0.18889,-0.275
1625536,-0.195,-1.11,0.12531,-0.319
1625537,-0.198,-1.14,0.12531,-0.319
1625538,-0.193,-1.11,0.0892,-0.352
1625539,-0.19,-1.05,0.10052,-0.341
1625540,-0.207,-1.11,0.0798,-0.363
1625541,-0.21,-1.09,0.0798,-0.363
1625542,-0.194,-0.98,0.0627,-0.385
1625543,-0.187,-0.94,0.04874,-0.407
1625544,-0.191,-0.95,0.04874,-0.407
1627925,-0.187,-1.21,0.12531,-0.319
1627926,-0.188,-1.21,0.15463,-0.297
1627927,-0.188,-1.22,0.15463,-0.297
1627928,-0.191,-1.18,0.15463,-0.297
1627929,-0.19,-1.11,0.17048,-0.286
1627930,-0.165,-0.91,0.18889,-0.275
1627931,-0.163,-0.88,0.18889,-0.275
1627932,-0.167,-0.86,0.18889,-0.275
1627933,-0.163,-0.86,0.18889,-0.275
1627934,-0.161,-0.85,0.18889,-0.275
1627935,-0.17,-0.94,0.18889,-0.275
1627936,-0.185,-1.05,0.18889,-0.275
1627937,-0.195,-1.12,0.12531,-0.319
1627938,-0.194,-1.1,0.13878,-0.308
1627939,-0.19,-1.06,0.12531,-0.319
1627940,-0.19,-1.04,0.10052,-0.341
1627941,-0.193,-1.04,0.0995,-0.341
1627942,-0.207,-1.08,0.0798,-0.363
1627943,-0.2,-1.02,0.07041,-0.374
1627944,-0.195,-1,0.0627,-0.385
1627945,-0.188,-0.95,0.04874,-0.407
1627946,-0.192,-0.96,0.04874,-0.407
1627947,-0.194,-0.97,0.04874,-0.407
1627948,-0.185,-0.93,0.05499,-0.396
1630328,-0.186,-1.26,0.12531,-0.319
1630329,-0.187,-1.25,0.12531,-0.319
1630330,-0.187,-1.2,0.12531,-0.319
1630331,-0.188,-1.12,0.17048,-0.286
1630332,-0.188,-1.05,0.15463,-0.297
1630333,-0.189,-1.05,0.18889,-0.275
1630334,-0.187,-1,0.18889,-0.275
1630335,-0.191,-1.06,0.18889,-0.275
1630336,-0.189,-1.04,0.18889,-0.275
1630337,-0.19,-1.11,0.17048,-0.286
1630338,-0.191,-1.11,0.13878,-0.308
1630339,-0.193,-1.12,0.13878,-0.308
1630340,-0.195,-1.1,0.13878,-0.308
1630341,-0.198,-1.06,0.15463,-0.297
1630342,-0.19,-1.01,0.12531,-0.319
1630343,-0.183,-0.96,0.13878,-0.308
1630344,-0.2,-1.02,0.0892,-0.352
1630345,-0.2,-1.05,0.0798,-0.363
1630346,-0.195,-1.03,0.0627,-0.385
1630347,-0.19,-0.98,0.04874,-0.407
1630348,-0.19,-0.96,0.04874,-0.407
1630349,-0.19,-0.97,0.04874,-0.407
1632730,-0.186,-1.3,0.12531,-0.319
1632731,-0.186,-1.23,0.12531,-0.319
1632732,-0.185,-1.17,0.13878,-0.308
1632733,-0.185,-1.13,0.15463,-0.297
1632734,-0.185,-1.13,0.15463,-0.297
1632735,-0.185,-1.07,0.15463,-0.297
1632736,-0.185,-1.06,0.15463,-0.297
1632737,-0.186,-1.09,0.15463,-0.297
1632738,-0.189,-1.11,0.15463,-0.297
1632739,-0.189,-1.14,0.15463,-0.297
1632740,-0.192,-1.16,0.12531,-0.319
1632741,-0.194,-1.12,0.12531,-0.319
1632742,-0.195,-1.1,0.15463,-0.297
1632743,-0.197,-1.1,0.12418,-0.319
1632744,-0.19,-1.04,0.10052,-0.341
1632745,-0.183,-1.01,0.10052,-0.341
1632746,-0.203,-1.09,0.0798,-0.363
1632747,-0.21,-1.15,0.0798,-0.363
1632748,-0.195,-1.05,0.0627,-0.385
1632749,-0.197,-1.03,0.05499,-0.396
