"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1642426",-4.46,-1.49,0.58407,-0.121
"1642427",-4.26,-1.44,0.58407,-0.121
"1642428",-4.256,-1.46,0.51122,-0.143
"1644734",12.743,1.65,0.58407,0.121
"1644735",12.951,1.66,0.58407,0.121
"1644736",12.506,1.65,0.58407,0.121
"1644737",12.56,1.66,0.58407,0.121
"1644738",9.767,1.44,0.51122,0.143
"1644739",5.866,0.89,0.58407,0.121
"1644740",5.756,0.87,0.66142,0.099
"1644741",5.612,0.85,0.66142,0.099
"1644742",5.541,0.83,0.66142,0.099
"1644743",5.463,0.8,0.66142,0.099
"1644744",5.506,0.79,0.66142,0.099
"1644745",5.479,0.77,0.74256,0.077
"1644746",5.003,0.71,0.74256,0.077
"1644747",4.806,0.68,0.74256,0.077
"1644748",4.67,0.65,0.74256,0.077
"1644749",0.486,0.07,1,0.011
"1644750",0.764,0.12,1,0.011
"1644751",1.007,0.17,1,0.011
"1644752",-1.614,-0.29,1,-0.011
"1644753",-1.936,-0.35,1,-0.011
"1644754",-1.927,-0.37,1,-0.011
"1644755",-1.934,-0.38,1,-0.011
"1644756",-1.944,-0.4,1,-0.011
"1644757",-2.056,-0.46,0.82667,-0.055
"1644758",-2.236,-0.51,0.82667,-0.055
"1644759",-2.097,-0.47,0.82667,-0.055
"1644760",-2.877,-0.7,0.74256,-0.077
"1644761",-2.876,-0.67,0.74256,-0.077
"1644762",-1.987,-0.43,0.91281,-0.033
"1644763",-2.783,-0.62,0.82667,-0.055
"1644764",-2.973,-0.69,0.74256,-0.077
"1644765",-3.1,-0.75,0.74256,-0.077
"1644766",-3.3,-0.76,0.74256,-0.077
"1644767",-3.57,-0.83,0.74256,-0.077
"1644768",-3.903,-0.92,0.74256,-0.077
"1644769",-4.356,-1.04,0.74256,-0.077
"1644770",-4.866,-1.15,0.74256,-0.077
"1644771",-5.494,-1.28,0.74256,-0.077
"1644772",-5.139,-1.12,0.74256,-0.077
"1644773",-5.397,-1.15,0.74256,-0.077
"1644774",-6.441,-1.4,0.74256,-0.077
"1644775",-7.519,-1.76,0.58407,-0.121
"1644776",-7.479,-1.81,0.58407,-0.121
"1644779",-7.761,-1.88,0.58407,-0.121
"1644782",-7.815,-1.88,0.58407,-0.121
"1644783",-7.995,-1.83,0.58407,-0.121
"1644784",-7.497,-1.61,0.66142,-0.099
"1644785",-7.309,-1.58,0.66142,-0.099
"1644786",-7.453,-1.69,0.58407,-0.121
"1644787",-7.463,-1.77,0.58407,-0.121
"1644789",-6.409,-1.52,0.66142,-0.099
"1644790",-4.439,-0.92,0.74256,-0.077
"1644791",-4.309,-0.94,0.74256,-0.077
"1644792",-3.994,-0.91,0.66142,-0.099
"1644793",-3.95,-0.96,0.66142,-0.099
"1644794",-2.327,-0.52,0.74256,-0.077
"1644795",-4.772,-1.01,0.82667,-0.055
"1644796",-5.702,-1.24,0.91281,-0.033
"1644797",-6.75,-1.52,0.82667,-0.055
"1644798",-7.042,-1.54,0.82667,-0.055
"1644803",-5.545,-1.34,0.74256,-0.077
"1644809",-3.883,-0.9,0.74256,-0.077
"1644810",-5.153,-1.27,0.74256,-0.077
"1644811",-4.238,-1.04,0.74256,-0.077
"1644812",-3.469,-0.88,0.74256,-0.077
"1644813",-4.089,-1.1,0.82667,-0.055
"1644814",-4.339,-1.11,0.82667,-0.055
"1644815",-4.192,-1.07,0.82667,-0.055
"1644816",-4.49,-1.08,0.74256,-0.077
"1644817",-4.183,-1.03,0.74256,-0.077
"1644818",-3.892,-0.98,0.74256,-0.077
"1644819",-3.76,-1,0.74256,-0.077
"1644820",-3.96,-1.02,0.74256,-0.077
"1644821",-3.929,-1.01,0.74256,-0.077
"1644822",-4.197,-1.16,0.74256,-0.077
"1644823",-4.201,-1.23,0.66142,-0.099
"1644824",-4.281,-1.32,0.66142,-0.099
"1644825",-4.5,-1.43,0.66142,-0.099
"1644826",-4.549,-1.46,0.66142,-0.099
"1644827",-4.47,-1.46,0.66142,-0.099
"1644828",-4.26,-1.41,0.58407,-0.121
"1644829",-4.2,-1.41,0.58407,-0.121
"1644830",-4.156,-1.42,0.51122,-0.143
"1644831",-4.477,-1.55,0.58407,-0.121
"1644832",-4.716,-1.66,0.74256,-0.077
"1647136",13.076,1.65,0.66142,0.099
"1647137",13.573,1.66,0.58407,0.121
"1647138",13.114,1.66,0.58407,0.121
"1647139",9.041,1.25,0.66142,0.099
"1647140",6.927,0.97,0.51122,0.143
"1647141",5.971,0.86,0.66142,0.099
"1647142",5.851,0.84,0.66142,0.099
"1647143",5.647,0.82,0.66142,0.099
"1647144",5.257,0.8,0.66142,0.099
"1647145",5.509,0.78,0.66142,0.099
"1647146",5.542,0.76,0.74256,0.077
"1647147",5.567,0.75,0.74256,0.077
"1647148",5.51,0.74,0.74256,0.077
"1647149",5.366,0.72,0.74256,0.077
"1647150",-0.001,0,1,-0.011
"1647151",0.261,0.04,1,0.011
"1647152",0.532,0.08,0.91281,0.033
"1647153",0.794,0.13,1,0.011
"1647154",-0.51,-0.09,1,-0.011
"1647155",-2.06,-0.38,1,-0.011
"1647156",-2.102,-0.41,1,-0.011
"1647157",-2.243,-0.48,0.82667,-0.055
"1647158",-2.243,-0.5,0.82667,-0.055
"1647159",-2.108,-0.46,0.82667,-0.055
"1647160",-1.973,-0.42,0.82667,-0.055
"1647161",-2.48,-0.57,0.82667,-0.055
"1647162",-2.291,-0.52,0.82667,-0.055
"1647163",-1.813,-0.39,0.82667,-0.055
"1647164",-1.587,-0.32,0.91281,-0.033
"1647165",-1.796,-0.38,0.91281,-0.033
"1647166",-3.323,-0.77,0.74256,-0.077
"1647167",-3.457,-0.81,0.74256,-0.077
"1647168",-3.226,-0.72,0.82667,-0.055
"1647169",-3.061,-0.67,0.82667,-0.055
"1647170",-4.261,-0.98,0.74256,-0.077
"1647171",-4.69,-1.12,0.74256,-0.077
"1647172",-4.016,-0.87,0.82667,-0.055
"1647173",-5.303,-1.2,0.74256,-0.077
"1647174",-5.661,-1.26,0.74256,-0.077
"1647175",-4.54,-0.93,0.91281,-0.033
"1647176",-6.334,-1.37,0.74256,-0.077
"1647177",-7.647,-1.75,0.66142,-0.099
"1647178",-7.393,-1.82,0.58407,-0.121
"1647180",-7.698,-1.87,0.58407,-0.121
"1647186",-7.753,-1.73,0.58407,-0.121
"1647187",-6.697,-1.39,0.66142,-0.099
"1647188",-6.37,-1.33,0.66142,-0.099
"1647189",-6.951,-1.6,0.58407,-0.121
"1647190",-6.883,-1.65,0.66142,-0.099
"1647191",-5.144,-1.1,0.74256,-0.077
"1647192",-4.216,-0.88,0.74256,-0.077
"1647193",-3.09,-0.62,0.74256,-0.077
"1647194",-3.483,-0.77,0.74256,-0.077
"1647195",-2.984,-0.68,0.66142,-0.099
"1647196",-1.715,-0.36,0.74256,-0.077
"1647197",-4.593,-0.95,0.91281,-0.033
"1647198",-4.858,-0.98,0.82667,-0.055
"1647199",-5.722,-1.17,0.82667,-0.055
"1647200",-6.145,-1.23,0.82667,-0.055
"1647204",-3.595,-0.84,0.82667,-0.055
"1647205",-5.215,-1.23,0.74256,-0.077
"1647206",-2.66,-0.62,0.74256,-0.077
"1647207",-1.313,-0.3,0.91281,-0.033
"1647208",-1.374,-0.3,0.82667,-0.055
"1647210",-2.246,-0.48,0.82667,-0.055
"1647211",-3.384,-0.76,0.82667,-0.055
"1647212",-5.009,-1.22,0.74256,-0.077
"1647213",-4.104,-1.02,0.74256,-0.077
"1647214",-3.256,-0.86,0.74256,-0.077
"1647215",-3.84,-0.94,0.74256,-0.077
"1647216",-4.592,-1.1,0.74256,-0.077
"1647217",-4.638,-1.12,0.74256,-0.077
"1647218",-4.628,-1.1,0.82667,-0.055
"1647219",-4.664,-1.07,0.82667,-0.055
"1647220",-3.749,-0.89,0.82667,-0.055
"1647221",-3.87,-0.95,0.74256,-0.077
"1647222",-3.93,-0.95,0.82667,-0.055
"1647223",-3.887,-0.94,0.82667,-0.055
"1647224",-3.926,-1.02,0.74256,-0.077
"1647225",-4.203,-1.17,0.66142,-0.099
"1647226",-4.19,-1.25,0.66142,-0.099
"1647227",-4.187,-1.29,0.66142,-0.099
"1647228",-4.29,-1.35,0.66142,-0.099
"1647229",-4.266,-1.36,0.66142,-0.099
"1647230",-4.13,-1.33,0.66142,-0.099
"1647231",-4.077,-1.34,0.66142,-0.099
"1647232",-4.056,-1.36,0.66142,-0.099
"1647233",-4.497,-1.55,0.66142,-0.099
"1647234",-4.691,-1.63,0.74256,-0.077
"1647235",-4.927,-1.74,0.74256,-0.077
"1647242",-3.976,-1.45,0.82667,-0.055
"1647243",-2.026,-0.71,0.82667,-0.055
"1649539",11.96,1.51,0.58407,0.121
"1649540",7.291,0.97,0.51122,0.143
"1649541",6.844,0.95,0.51122,0.143
"1649542",6.667,0.9,0.58407,0.121
"1649543",6.861,0.91,0.58407,0.121
"1649544",5.839,0.8,0.66142,0.099
"1649545",5.514,0.78,0.66142,0.099
"1649546",1.027,0.15,0.91281,0.033
"1649547",0.99,0.15,0.91281,0.033
"1649548",0.729,0.1,1,0.011
"1649549",0.588,0.08,1,0.011
"1649550",0.461,0.06,1,0.011
"1649551",0.503,0.07,1,0.011
"1649552",0.637,0.09,1,0.011
"1649553",-0.009,0,1,-0.011
"1649554",0.213,0.03,1,0.011
"1649555",0.46,0.07,1,0.011
"1649556",0.737,0.13,1,0.011
"1649557",-1.08,-0.19,1,-0.011
"1649558",-2.232,-0.43,1,-0.011
"1649559",-2.293,-0.47,0.91281,-0.033
"1649560",-2.159,-0.43,1,-0.011
"1649561",-2.103,-0.43,0.91281,-0.033
