"nie_malla_modi_id","sen_slope_prem12","sen_slope_per_prem12","p_value_prem12","tau_prem12"
1589498,-1.336,-2.05,0.91281,-0.033
1591900,-1.3,-1.96,0.91281,-0.033
1591901,-0.88,-1.59,0.74256,-0.077
1591914,-0.907,-2.24,0.58407,-0.121
1591915,-0.933,-2.33,0.58407,-0.121
1594301,-1.379,-1.97,0.91281,-0.033
1594302,-1.266,-1.91,0.91281,-0.033
1594303,-1.172,-1.85,0.91281,-0.033
1594310,-0.778,-1.52,0.74256,-0.077
1594311,-0.772,-1.53,0.74256,-0.077
1594312,-0.727,-1.44,0.74256,-0.077
1594315,-1.099,-2.52,0.58407,-0.121
1594316,-1.077,-2.66,0.58407,-0.121
1596703,-1.34,-1.97,0.91281,-0.033
1596704,-1.24,-1.87,0.91281,-0.033
1596705,-1.128,-1.76,0.91281,-0.033
1596711,-0.827,-1.66,0.82667,-0.055
1596712,-0.813,-1.63,0.74256,-0.077
1596713,-0.773,-1.55,0.74256,-0.077
1596714,-0.728,-1.45,0.66142,-0.099
1596715,-0.894,-1.76,0.66142,-0.099
1596716,-1.043,-2.48,0.58407,-0.121
1596717,-1.123,-2.71,0.54644,-0.132
1596718,-1.2,-2.93,0.51122,-0.143
1596719,-1.293,-3.21,0.51122,-0.143
1599103,-1.533,-2.09,0.91281,-0.033
1599104,-1.428,-2.01,0.91281,-0.033
1599105,-1.469,-2.1,0.91281,-0.033
1599106,-1.339,-1.99,0.91281,-0.033
1599107,-1.158,-1.8,0.82667,-0.055
1599108,-1.075,-1.92,0.58407,-0.121
1599114,-0.83,-1.65,0.74256,-0.077
1599115,-0.887,-1.79,0.66142,-0.099
1599116,-0.807,-1.61,0.66142,-0.099
1599117,-0.974,-1.96,0.66142,-0.099
1599118,-1.106,-2.53,0.51122,-0.143
1599119,-1.107,-2.57,0.44342,-0.165
1599120,-1.313,-3.18,0.476,-0.154
1599121,-1.39,-3.4,0.51122,-0.143
1601504,-1.746,-2.26,0.91281,-0.033
1601505,-1.692,-2.21,0.91281,-0.033
1601506,-1.617,-2.21,0.91281,-0.033
1601507,-1.551,-2.16,0.91281,-0.033
1601508,-1.48,-2.13,0.82667,-0.055
1601509,-1.361,-2.09,0.82667,-0.055
1601510,-1.208,-2.07,0.58407,-0.121
1601516,-0.85,-1.67,0.74256,-0.077
1601517,-0.873,-1.74,0.66142,-0.099
1601518,-0.91,-1.76,0.66142,-0.099
1601519,-1.346,-2.9,0.51122,-0.143
1601520,-1.694,-3.37,0.51122,-0.143
1601521,-1.314,-2.85,0.476,-0.154
1601522,-1.233,-2.83,0.44342,-0.165
1601523,-1.353,-3.15,0.44342,-0.165
1601524,-1.33,-3.27,0.44342,-0.165
1601525,-1.23,-3.05,0.44342,-0.165
1603905,-2.383,-2.84,0.74256,-0.077
1603906,-1.485,-1.84,0.91281,-0.033
1603907,-1.357,-1.67,0.82667,-0.055
1603908,-1.612,-2.16,0.91281,-0.033
1603909,-1.555,-2.08,0.82667,-0.055
1603910,-1.473,-2.05,0.82667,-0.055
1603911,-1.377,-2.06,0.82667,-0.055
1603912,-1.302,-2.21,0.74256,-0.077
1603918,-0.97,-1.94,0.66142,-0.099
1603919,-0.89,-1.75,0.66142,-0.099
1603920,-1.038,-1.97,0.66142,-0.099
1603921,-1.597,-3.25,0.51122,-0.143
1603922,-1.245,-2.33,0.44342,-0.165
1603923,-1.646,-3.3,0.51122,-0.143
1603924,-1.426,-3.01,0.44342,-0.165
1603925,-1.397,-3.18,0.44342,-0.165
1603926,-1.51,-3.57,0.44342,-0.165
1603927,-1.15,-2.83,0.44342,-0.165
1606307,-1.01,-1.21,0.91281,-0.033
1606308,-1.03,-1.21,0.91281,-0.033
1606309,-1.317,-1.62,0.82667,-0.055
1606310,-1.621,-2.08,0.82667,-0.055
1606311,-1.556,-2,0.82667,-0.055
1606312,-1.465,-2.01,0.82667,-0.055
1606313,-1.363,-2,0.82667,-0.055
1606314,-1.28,-1.94,0.82667,-0.055
1606315,-0.86,-1.47,0.66142,-0.099
1606320,-0.895,-1.71,0.66142,-0.099
1606321,-0.863,-1.67,0.66142,-0.099
1606322,-1.176,-2.2,0.58407,-0.121
1606323,-1.713,-3.39,0.44342,-0.165
1606324,-1.098,-2.01,0.44342,-0.165
1606325,-1.133,-2.06,0.44342,-0.165
1606326,-1.501,-3.1,0.44342,-0.165
1606327,-1.356,-2.9,0.44342,-0.165
1606328,-1.4,-3.31,0.44342,-0.165
1606329,-1.2,-2.89,0.44342,-0.165
1606330,-1.109,-2.73,0.44342,-0.165
1608708,-2.271,-2.47,0.82667,-0.055
1608709,-0.605,-0.69,0.91281,-0.033
1608710,-0.66,-0.75,0.91281,-0.033
1608711,-1.272,-1.54,0.82667,-0.055
1608712,-1.147,-1.4,0.91281,-0.033
