"nie_malla_modi_id","var"
"1666300","scmc"
"1668702","scmc"
"1671279","scmc"
"1671280","scmc"
"1673682","scmc"
"1673683","scmc"
"1700110","scmc"
"1702512","scmc"
"1702513","scmc"
"1709716","scmc"
"1709717","scmc"
"1709718","scmc"
"1712116","scmc"
"1712117","scmc"
"1712118","scmc"
"1712119","scmc"
"1712120","scmc"
"1714517","scmc"
"1714518","scmc"
"1714523","scmc"
"1714524","scmc"
"1714525","scmc"
"1716917","scmc"
"1716919","scmc"
"1716920","scmc"
"1716925","scmc"
"1716926","scmc"
"1716927","scmc"
"1719319","scmc"
"1719326","scmc"
"1719327","scmc"
"1719328","scmc"
"1719329","scmc"
"1721728","scmc"
"1721729","scmc"
"1724113","scmc"
"1724121","scmc"
"1724122","scmc"
"1724127","scmc"
"1724128","scmc"
"1724129","scmc"
"1724130","scmc"
"1724135","scmc"
"1726514","scmc"
"1726521","scmc"
"1726524","scmc"
"1726525","scmc"
"1726529","scmc"
"1726530","scmc"
"1726531","scmc"
"1726535","scmc"
"1728914","scmc"
"1728915","scmc"
"1728916","scmc"
"1728933","scmc"
"1728934","scmc"
"1728939","scmc"
"1728940","scmc"
"1731335","scmc"
"1731336","scmc"
"1731341","scmc"
"1731342","scmc"
"1733734","scmc"
"1733735","scmc"
"1733737","scmc"
"1733738","scmc"
"1733741","scmc"
"1733742","scmc"
"1733743","scmc"
"1733744","scmc"
"1736143","scmc"
"1736144","scmc"
"1736145","scmc"
"1736146","scmc"
"1738545","scmc"
"1738546","scmc"
"1738548","scmc"
"1738549","scmc"
