"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1589498,0,0,0.9561,0.022
1591900,0.007,0.03,0.86935,0.044
1591901,0.01,0.04,0.91281,0.033
1591914,0.015,0.06,0.78398,0.066
1591915,0.01,0.04,0.91281,0.033
1594301,0.018,0.07,0.82615,0.055
1594302,0.005,0.02,0.82667,0.055
1594303,0.01,0.04,0.91281,0.033
1594310,-0.005,-0.02,1,-0.011
1594311,0,0,1,0
1594312,0.022,0.09,0.70113,0.088
1594315,0.015,0.06,0.74256,0.077
1594316,0.01,0.04,0.91281,0.033
1596703,0.02,0.08,0.82667,0.055
1596704,0.015,0.06,0.82667,0.055
1596705,0.01,0.04,0.82667,0.055
1596711,0.003,0.01,1,0.011
1596712,0,0,1,0
1596713,-0.005,-0.02,1,-0.011
1596714,0,0,1,0
1596715,0.025,0.1,0.74256,0.077
1596716,0.015,0.06,0.74256,0.077
1596717,0.01,0.04,0.86935,0.044
1596718,0.01,0.04,0.82615,0.055
1596719,0.006,0.02,0.95628,0.022
1599103,0.018,0.07,0.82667,0.055
1599104,0.02,0.08,0.82667,0.055
1599105,0.022,0.09,0.86935,0.044
1599106,0.02,0.08,0.82615,0.055
1599107,0.015,0.06,0.74256,0.077
1599108,0.007,0.03,0.82667,0.055
1599114,0,0,1,0.011
1599115,-0.005,-0.02,1,-0.011
1599116,0,0,1,0.011
1599117,0,0,1,0
1599118,0.01,0.04,1,0.011
1599119,0.016,0.07,0.78398,0.066
1599120,0.012,0.05,0.82615,0.055
1599121,0.014,0.06,1,0.011
1601504,0.018,0.08,0.86935,0.044
1601505,0.018,0.08,0.82667,0.055
1601506,0.021,0.09,0.82667,0.055
1601507,0.021,0.09,0.82667,0.055
1601508,0.02,0.08,0.82667,0.055
1601509,0.015,0.06,0.74256,0.077
1601510,0.02,0.08,0.70113,0.088
1601516,0.005,0.02,0.95628,0.022
1601517,0.005,0.02,1,0.011
1601518,0,0,1,0.011
1601519,0.012,0.05,0.95628,0.022
1601520,0.01,0.04,0.91281,0.033
1601521,0.012,0.05,0.91281,0.033
1601522,0.02,0.08,0.82667,0.055
1601523,0.012,0.05,0.91255,0.033
1601524,0.01,0.04,1,0.011
1601525,0.006,0.02,1,0.011
1603905,0.027,0.11,0.82667,0.055
1603906,0.016,0.07,0.82667,0.055
1603907,0.02,0.09,0.82667,0.055
1603908,0.019,0.08,0.82615,0.055
1603909,0.02,0.09,0.78398,0.066
1603910,0.022,0.09,0.74256,0.077
1603911,0.024,0.1,0.70113,0.088
1603912,0.023,0.1,0.70113,0.088
1603918,0,0,0.9122,0.033
1603919,0.005,0.02,0.95628,0.022
1603920,0.015,0.06,0.91281,0.033
1603921,0.018,0.08,0.91281,0.033
1603922,0.008,0.04,0.95628,0.022
1603923,0.008,0.04,1,0.011
1603924,0.007,0.03,1,0.011
1603925,0.01,0.04,0.91281,0.033
1603926,0.006,0.02,1,0.011
1603927,0.01,0.04,1,0.011
1606307,0.017,0.07,0.82667,0.055
1606308,0.019,0.08,0.78398,0.066
1606309,0.02,0.09,0.78398,0.066
1606310,0.02,0.09,0.74256,0.077
1606311,0.022,0.1,0.70113,0.088
1606312,0.022,0.09,0.66142,0.099
1606313,0.024,0.1,0.6217,0.11
1606314,0.025,0.11,0.6217,0.11
1606315,0.025,0.1,0.6217,0.11
1606320,0.018,0.08,0.86935,0.044
1606321,0.01,0.04,0.86883,0.044
1606322,0.015,0.06,0.91281,0.033
1606323,0.01,0.04,0.91281,0.033
1606324,0.008,0.03,1,0.011
1606325,0.005,0.02,1,0.011
1606326,0.005,0.02,1,0.011
1606327,-0.005,-0.02,1,-0.011
1606328,-0.025,-0.1,0.95628,-0.022
1606329,0.007,0.03,1,0.011
1606330,-0.007,-0.03,0.91281,-0.033
1608708,0.02,0.09,0.82667,0.055
1608709,0.017,0.08,0.66142,0.099
1608710,0.02,0.09,0.66142,0.099
1608711,0.02,0.09,0.66142,0.099
1608712,0.02,0.09,0.66142,0.099
1608713,0.02,0.09,0.66142,0.099
1608714,0.022,0.09,0.66142,0.099
1608715,0.022,0.09,0.66142,0.099
1608716,0.025,0.1,0.6217,0.11
1608717,0.026,0.11,0.58407,0.121
1608718,0.024,0.1,0.66142,0.099
1608719,0.023,0.1,0.58407,0.121
1608720,0.021,0.09,0.74181,0.077
1608721,0.022,0.09,0.69999,0.088
1608723,0.01,0.04,0.91255,0.033
1608724,0.015,0.06,0.91281,0.033
1608725,0.01,0.04,0.91281,0.033
1608726,0.008,0.03,0.95628,0.022
1608727,0.005,0.02,1,0.011
1608728,0.005,0.02,1,0.011
1608729,-0.01,-0.04,1,-0.011
1608730,-0.022,-0.09,0.91281,-0.033
1608731,-0.02,-0.08,0.82667,-0.055
1608732,-0.01,-0.04,0.95628,-0.022
1611108,0.018,0.08,0.74256,0.077
1611110,0.018,0.08,0.74256,0.077
1611111,0.016,0.07,0.6217,0.11
1611112,0.018,0.08,0.66142,0.099
1611113,0.021,0.09,0.66142,0.099
1611114,0.02,0.09,0.58407,0.121
1611115,0.022,0.1,0.66142,0.099
1611116,0.026,0.11,0.58407,0.121
1611117,0.028,0.12,0.6217,0.11
1611118,0.03,0.13,0.6217,0.11
1611119,0.027,0.11,0.66142,0.099
1611120,0.027,0.11,0.66142,0.099
1611121,0.025,0.1,0.6217,0.11
1611122,0.02,0.09,0.66142,0.099
1611123,0.021,0.09,0.74256,0.077
1611124,0.021,0.09,0.78398,0.066
1611125,0.02,0.08,0.82667,0.055
1611126,0.016,0.07,0.91281,0.033
1611127,0.02,0.09,0.91281,0.033
1611128,0.008,0.03,1,0.011
1611129,0.006,0.03,1,0.011
1611130,0.003,0.01,1,0.011
1611131,0,0,1,0
1611132,-0.015,-0.06,0.91281,-0.033
1611133,-0.02,-0.08,0.82667,-0.055
1611134,-0.013,-0.06,0.86935,-0.044
1611135,-0.023,-0.1,0.82667,-0.055
1613509,0.017,0.08,0.82667,0.055
1613510,0.016,0.07,0.74256,0.077
1613511,0.013,0.06,0.74256,0.077
1613512,0.017,0.08,0.74256,0.077
1613513,0.012,0.06,0.58407,0.121
1613514,0.016,0.07,0.58407,0.121
1613515,0.02,0.09,0.6217,0.11
1613516,0.021,0.1,0.66142,0.099
1613517,0.025,0.11,0.58407,0.121
1613518,0.025,0.11,0.58407,0.121
1613519,0.028,0.12,0.58407,0.121
1613520,0.031,0.13,0.58407,0.121
1613521,0.03,0.12,0.58407,0.121
1613522,0.03,0.12,0.58407,0.121
1613523,0.028,0.12,0.70113,0.088
1613524,0.026,0.11,0.66142,0.099
1613525,0.021,0.09,0.74256,0.077
1613526,0.019,0.08,0.82667,0.055
1613527,0.018,0.07,0.82667,0.055
1613528,0.02,0.09,0.91281,0.033
1613529,0.019,0.08,0.91281,0.033
1613530,0.008,0.03,1,0.011
1613531,0.003,0.01,1,0.011
1613532,0.002,0.01,1,0.011
1613533,0,0,1,-0.011
1613534,0,0,0.95614,-0.022
1613535,-0.013,-0.05,0.86935,-0.044
1613536,-0.013,-0.06,0.78398,-0.066
1613537,-0.017,-0.07,0.78398,-0.066
1613538,-0.012,-0.05,0.82667,-0.055
1615910,0.017,0.08,0.78398,0.066
1615911,0.015,0.07,0.74256,0.077
1615912,0.013,0.06,0.74256,0.077
1615913,0.012,0.06,0.74256,0.077
1615914,0.016,0.08,0.70113,0.088
1615915,0.011,0.05,0.58407,0.121
1615916,0.014,0.07,0.54644,0.132
1615917,0.016,0.08,0.58407,0.121
1615918,0.018,0.09,0.58407,0.121
1615919,0.023,0.11,0.54644,0.132
1615920,0.027,0.12,0.54644,0.132
1615921,0.029,0.12,0.6217,0.11
1615922,0.027,0.11,0.51122,0.143
1615923,0.03,0.12,0.58407,0.121
1615924,0.03,0.13,0.58407,0.121
1615925,0.029,0.12,0.66142,0.099
1615926,0.029,0.12,0.6217,0.11
1615927,0.024,0.1,0.66046,0.099
1615928,0.018,0.08,0.74256,0.077
1615929,0.017,0.07,0.78398,0.066
1615930,0.02,0.09,0.91281,0.033
1615931,0.01,0.04,1,0.011
1615932,0.005,0.02,1,0.011
1615933,0.001,0,1,0.011
1615934,0,0,1,0
1615935,-0.001,0,0.95628,-0.022
1615936,-0.003,-0.01,0.86935,-0.044
1615937,-0.01,-0.04,0.86935,-0.044
1615938,-0.017,-0.07,0.74256,-0.077
1615939,-0.02,-0.08,0.74256,-0.077
1615940,-0.016,-0.07,0.95628,-0.022
1618310,0.022,0.1,0.91281,0.033
1618311,0.018,0.08,0.91281,0.033
1618312,0.018,0.08,0.91281,0.033
1618313,0.017,0.08,0.86935,0.044
1618314,0.015,0.07,0.74256,0.077
1618315,0.013,0.06,0.74256,0.077
1618316,0.012,0.06,0.70113,0.088
1618317,0.01,0.05,0.54644,0.132
1618318,0.012,0.06,0.54644,0.132
1618319,0.012,0.06,0.54644,0.132
1618320,0.017,0.08,0.58407,0.121
1618321,0.023,0.1,0.54644,0.132
1618322,0.026,0.11,0.58407,0.121
1618323,0.026,0.11,0.58407,0.121
1618324,0.029,0.12,0.58407,0.121
1618325,0.027,0.11,0.54644,0.132
1618326,0.029,0.12,0.54644,0.132
1618327,0.029,0.12,0.58407,0.121
1618328,0.028,0.12,0.58407,0.121
1618329,0.024,0.11,0.66142,0.099
1618330,0.018,0.08,0.74256,0.077
1618331,0.02,0.09,0.82667,0.055
1618332,0.019,0.08,0.91281,0.033
1618333,0.008,0.04,1,0.011
1618334,0.006,0.03,1,0.011
1618335,0.002,0.01,1,0.011
1618336,-0.002,-0.01,1,-0.011
1618337,-0.002,-0.01,0.95628,-0.022
1618338,-0.005,-0.02,0.95628,-0.022
1618339,-0.013,-0.06,0.86935,-0.044
1618340,-0.015,-0.07,0.82667,-0.055
1620712,0.018,0.08,0.91281,0.033
1620713,0.015,0.07,0.86935,0.044
1620714,0.016,0.07,0.82615,0.055
1620715,0.012,0.06,0.74256,0.077
1620716,0.009,0.04,0.70113,0.088
1620717,0.012,0.06,0.74256,0.077
1620718,0.013,0.06,0.74256,0.077
1620719,0.012,0.06,0.6217,0.11
1620720,0.016,0.08,0.58407,0.121
1620721,0.018,0.09,0.54644,0.132
1620722,0.018,0.08,0.58407,0.121
1620723,0.022,0.1,0.51122,0.143
1620724,0.026,0.12,0.51122,0.143
1620725,0.026,0.11,0.58407,0.121
1620726,0.029,0.12,0.58294,0.121
1620727,0.029,0.12,0.54644,0.132
1620728,0.026,0.11,0.58407,0.121
1620729,0.028,0.13,0.51122,0.143
1620730,0.024,0.11,0.58407,0.121
1620731,0.022,0.1,0.66142,0.099
1620732,0.018,0.08,0.66142,0.099
1620733,0.018,0.08,0.82667,0.055
1620734,0.017,0.08,0.82667,0.055
1620735,0.005,0.02,1,0.011
1620736,0.005,0.02,1,0.011
1620737,0.002,0.01,1,0.011
1620738,0,0,1,0
1620739,-0.007,-0.03,0.91281,-0.033
1620740,-0.003,-0.01,0.91281,-0.033
1623115,0.018,0.08,0.91281,0.033
1623116,0.013,0.06,0.86935,0.044
1623117,0.009,0.04,0.74256,0.077
1623118,0.012,0.06,0.74256,0.077
1623119,0.011,0.06,0.66142,0.099
1623120,0.012,0.06,0.70113,0.088
1623121,0.013,0.07,0.66142,0.099
1623122,0.009,0.05,0.54644,0.132
1623123,0.011,0.05,0.51122,0.143
1623124,0.021,0.1,0.51122,0.143
1623125,0.019,0.09,0.51122,0.143
1623126,0.026,0.12,0.51122,0.143
1623127,0.028,0.12,0.51122,0.143
1623128,0.029,0.12,0.51122,0.143
1623129,0.031,0.13,0.58407,0.121
1623130,0.026,0.11,0.54644,0.132
1623131,0.025,0.11,0.54644,0.132
1623132,0.024,0.11,0.54644,0.132
1623133,0.021,0.1,0.66142,0.099
1623134,0.018,0.08,0.66142,0.099
1623135,0.012,0.06,0.74256,0.077
1623136,0.007,0.03,0.91255,0.033
1623137,0.005,0.02,1,0.011
1623138,0.004,0.02,1,0.011
1623139,0.004,0.02,1,0.011
1623140,0.004,0.02,1,0.011
1623141,-0.003,-0.01,1,-0.011
1623142,-0.01,-0.04,0.82667,-0.055
1625520,0.01,0.05,0.74256,0.077
1625521,0.013,0.07,0.74256,0.077
1625522,0.011,0.06,0.74256,0.077
1625523,0.01,0.05,0.66142,0.099
1625524,0.009,0.05,0.58407,0.121
1625525,0.005,0.03,0.54644,0.132
1625526,0.008,0.04,0.54644,0.132
1625527,0.018,0.08,0.54644,0.132
1625528,0.02,0.09,0.51122,0.143
1625529,0.027,0.12,0.58407,0.121
1625530,0.03,0.13,0.51122,0.143
1625531,0.027,0.11,0.51122,0.143
1625532,0.027,0.12,0.58407,0.121
1625533,0.025,0.11,0.58407,0.121
1625534,0.022,0.1,0.66142,0.099
1625535,0.018,0.08,0.6217,0.11
1625536,0.012,0.06,0.70113,0.088
1625537,0.01,0.05,0.74256,0.077
1625538,0.01,0.05,0.82667,0.055
1625539,0.01,0.05,0.91281,0.033
1625540,0.005,0.02,1,0.011
1625541,0.004,0.02,1,0.011
1625542,-0.015,-0.06,1,-0.011
1625543,-0.01,-0.04,0.95628,-0.022
1625544,-0.01,-0.04,0.86935,-0.044
1627925,0.008,0.04,0.66046,0.099
1627926,0.003,0.02,0.70113,0.088
1627927,0.006,0.03,0.66142,0.099
1627928,0.008,0.04,0.58407,0.121
1627929,0.013,0.06,0.58407,0.121
1627930,0.02,0.09,0.6217,0.11
1627931,0.024,0.11,0.51122,0.143
1627932,0.022,0.1,0.54644,0.132
1627933,0.027,0.12,0.58407,0.121
1627934,0.025,0.11,0.6217,0.11
1627935,0.021,0.1,0.66142,0.099
1627936,0.016,0.07,0.6217,0.11
1627937,0.012,0.06,0.74256,0.077
1627938,0.013,0.06,0.74256,0.077
1627939,0.016,0.07,0.82667,0.055
1627940,0.018,0.08,0.91281,0.033
1627941,0.01,0.05,0.91281,0.033
1627942,0.02,0.09,0.91281,0.033
1627943,0.005,0.02,1,0.011
1627944,-0.005,-0.02,1,-0.011
1627945,-0.01,-0.04,1,-0.011
1627946,-0.007,-0.03,0.82667,-0.055
1627947,-0.01,-0.04,0.82667,-0.055
1627948,-0.017,-0.07,0.82667,-0.055
1630328,0.006,0.03,0.74256,0.077
1630329,0.003,0.02,0.74256,0.077
1630330,0.007,0.04,0.74256,0.077
1630331,0.011,0.05,0.66142,0.099
1630332,0.015,0.07,0.70113,0.088
1630333,0.017,0.08,0.70113,0.088
1630334,0.02,0.09,0.74256,0.077
1630335,0.016,0.07,0.74256,0.077
1630336,0.018,0.08,0.74256,0.077
1630337,0.012,0.06,0.66142,0.099
1630338,0.012,0.06,0.70113,0.088
1630339,0.012,0.06,0.74256,0.077
1630340,0.013,0.06,0.78398,0.066
1630341,0.018,0.08,0.91281,0.033
1630342,0.015,0.07,0.91281,0.033
1630343,0.021,0.09,0.91281,0.033
1630344,0.007,0.03,0.95628,0.022
1630345,0.003,0.01,1,0.011
1630346,0,0,1,0
1630347,-0.001,0,1,-0.011
1630348,-0.01,-0.04,0.82667,-0.055
1630349,-0.01,-0.04,0.91281,-0.033
1632730,0.006,0.03,0.82667,0.055
1632731,0.008,0.04,0.91281,0.033
1632732,0.011,0.06,0.82667,0.055
1632733,0.008,0.04,0.82667,0.055
1632734,0.007,0.03,0.86935,0.044
1632735,0.007,0.03,0.82667,0.055
1632736,0.005,0.02,0.86935,0.044
1632737,0.006,0.03,0.82667,0.055
1632738,0.008,0.04,0.82667,0.055
1632739,0.01,0.05,0.82667,0.055
1632740,0.01,0.05,0.82615,0.055
1632741,0.009,0.04,0.82667,0.055
1632742,0.012,0.05,0.86935,0.044
1632743,0.013,0.06,0.91281,0.033
1632744,0.017,0.08,0.91281,0.033
1632745,0.015,0.07,0.91281,0.033
1632746,0.01,0.05,0.91281,0.033
1632747,0,0,1,0
1632748,-0.002,-0.01,1,-0.011
1632749,0.001,0,1,0.011
1632750,-0.003,-0.01,0.95628,-0.022
1632754,-0.007,-0.03,0.86935,-0.044
1632755,-0.007,-0.03,0.82667,-0.055
1632756,-0.003,-0.01,0.82615,-0.055
1632775,0.032,0.13,0.70113,0.088
1635130,0.012,0.06,0.91281,0.033
1635131,0.005,0.03,0.86935,0.044
1635132,0.006,0.03,0.82667,0.055
1635133,0.009,0.05,0.91281,0.033
1635134,0.011,0.06,0.95628,0.022
1635135,0.009,0.05,0.95628,0.022
1635136,0.003,0.02,1,0.011
1635137,-0.002,-0.01,1,-0.011
1635138,-0.001,-0.01,1,-0.011
1635139,0.002,0.01,1,0.011
1635140,0.008,0.04,0.95628,0.022
1635141,0.008,0.04,1,0.011
1635142,0.008,0.04,0.78398,0.066
1635143,0.008,0.04,0.86935,0.044
1635144,0.008,0.04,0.82667,0.055
1635145,0.007,0.04,0.91281,0.033
1635146,0.011,0.05,0.82667,0.055
1635147,0.013,0.06,0.91281,0.033
1635148,-0.002,-0.01,1,-0.011
1635149,-0.002,-0.01,1,-0.011
1635150,-0.001,0,1,-0.011
1635151,-0.002,-0.01,1,-0.011
1635152,-0.003,-0.01,1,-0.011
1635154,-0.013,-0.06,0.78398,-0.066
1635155,-0.013,-0.06,0.78398,-0.066
1635156,-0.013,-0.05,0.91281,-0.033
1635157,-0.008,-0.03,0.82667,-0.055
1635158,-0.007,-0.03,0.82667,-0.055
1635169,0.033,0.13,0.74256,0.077
1635170,0.035,0.14,0.74256,0.077
1635174,0.04,0.16,0.78398,0.066
1635175,0.036,0.15,0.74256,0.077
1635176,0.036,0.15,0.74256,0.077
1635177,0.032,0.13,0.74256,0.077
1635178,0.03,0.12,0.74256,0.077
1635180,0.027,0.11,0.66142,0.099
1635181,0.035,0.15,0.66142,0.099
1635184,0.018,0.07,0.91281,0.033
1635185,0.025,0.1,0.91281,0.033
1635208,-0.06,-0.25,0.51122,-0.143
1635209,-0.057,-0.23,0.51122,-0.143
1635210,-0.057,-0.23,0.51122,-0.143
1635211,-0.058,-0.23,0.51122,-0.143
1635212,-0.053,-0.22,0.51122,-0.143
1635213,-0.054,-0.22,0.51122,-0.143
1637531,0.01,0.05,0.78398,0.066
1637532,0.016,0.08,0.91281,0.033
1637533,0.01,0.05,0.91281,0.033
1637534,0.012,0.06,0.91281,0.033
1637535,0.013,0.07,0.95628,0.022
1637536,0.013,0.07,0.91281,0.033
1637537,0.008,0.04,0.91281,0.033
1637538,0.001,0.01,1,0.011
1637539,-0.004,-0.02,0.95628,-0.022
1637540,-0.002,-0.01,1,-0.011
1637541,0.002,0.01,1,0.011
1637542,0.008,0.04,0.95628,0.022
1637543,0.009,0.05,0.95628,0.022
1637544,0.007,0.03,0.95628,0.022
1637545,0.003,0.02,0.95628,0.022
1637546,0.003,0.02,0.91281,0.033
1637547,0.004,0.02,0.91281,0.033
1637548,0.007,0.03,0.91281,0.033
1637549,0.008,0.04,1,0.011
1637550,0.01,0.05,1,0.011
1637551,0,0,1,0
1637552,-0.002,-0.01,1,-0.011
1637553,0,0,1,0
1637554,0,0,1,0
1637555,-0.005,-0.02,0.82667,-0.055
1637556,-0.002,-0.01,0.86896,-0.044
1637557,-0.007,-0.03,0.74256,-0.077
1637558,-0.007,-0.03,0.78398,-0.066
1637559,-0.004,-0.02,0.78398,-0.066
1637560,-0.005,-0.02,0.86935,-0.044
1637566,0.012,0.05,1,0.011
1637567,0.018,0.08,0.86935,0.044
1637571,0.033,0.14,0.74256,0.077
1637576,0.038,0.15,0.78398,0.066
1637577,0.038,0.16,0.74256,0.077
1637578,0.037,0.15,0.74256,0.077
1637579,0.032,0.13,0.74256,0.077
1637580,0.03,0.12,0.74256,0.077
1637584,0.025,0.11,0.78398,0.066
1637585,0.02,0.09,0.82667,0.055
1637586,0.014,0.06,0.91281,0.033
1637587,0.025,0.11,0.91281,0.033
1637594,0.002,0.01,1,0.011
1637607,-0.058,-0.25,0.58407,-0.121
1637608,-0.06,-0.25,0.58407,-0.121
1637609,-0.06,-0.25,0.58407,-0.121
1637610,-0.057,-0.23,0.54644,-0.132
1637611,-0.063,-0.26,0.51122,-0.143
1637612,-0.056,-0.23,0.51122,-0.143
1637613,-0.058,-0.24,0.476,-0.154
1637614,-0.054,-0.22,0.51122,-0.143
1637615,-0.054,-0.22,0.51122,-0.143
1637616,-0.057,-0.23,0.41085,-0.176
1637617,-0.058,-0.23,0.44342,-0.165
1637618,-0.058,-0.23,0.41085,-0.176
1639929,0.015,0.07,0.91281,0.033
1639930,0.019,0.09,0.70113,0.088
1639933,0.008,0.04,0.78398,0.066
1639934,0.007,0.03,0.86935,0.044
1639935,0.007,0.03,1,0.011
1639936,0.007,0.03,1,0.011
1639937,0.011,0.06,0.91281,0.033
1639938,0.012,0.07,0.91281,0.033
1639939,0.007,0.04,0.91281,0.033
1639940,0.004,0.02,1,0.011
1639941,0.003,0.02,0.95628,0.022
1639942,0.002,0.01,1,0.011
1639943,0.004,0.02,0.91281,0.033
1639944,0.009,0.05,0.91281,0.033
1639945,0.008,0.04,1,0.011
1639946,0.004,0.02,0.95628,0.022
1639947,0.007,0.03,1,0.011
1639948,0.007,0.03,1,0.011
1639949,0.004,0.02,0.91281,0.033
1639950,0.005,0.02,0.95628,0.022
1639951,0.009,0.04,1,0.011
1639952,-0.002,-0.01,1,-0.011
1639953,0.01,0.05,0.95628,0.022
1639954,0,0,1,0
1639955,0.001,0,1,0.011
1639956,-0.005,-0.02,1,-0.011
1639957,-0.02,-0.09,0.95628,-0.022
1639958,-0.002,-0.01,1,-0.011
1639959,-0.004,-0.02,0.86935,-0.044
1639960,-0.005,-0.02,0.91281,-0.033
1639961,-0.002,-0.01,0.95628,-0.022
1639964,-0.005,-0.02,1,-0.011
1639966,0.002,0.01,1,0.011
1639967,0.009,0.04,1,0.011
1639968,0.015,0.07,0.91281,0.033
1639969,0.016,0.07,0.91281,0.033
1639972,0.03,0.12,0.74256,0.077
1639973,0.032,0.13,0.74256,0.077
1639978,0.037,0.16,0.6217,0.11
1639979,0.033,0.14,0.6217,0.11
1639980,0.033,0.14,0.6217,0.11
1639981,0.032,0.14,0.74256,0.077
1639982,0.032,0.13,0.74256,0.077
1639985,0.03,0.13,0.66142,0.099
1639986,0.027,0.12,0.78398,0.066
1639987,0.029,0.13,0.82667,0.055
1639988,0.02,0.09,0.91281,0.033
1639991,0.02,0.09,0.82667,0.055
1639992,-0.005,-0.02,0.95628,-0.022
1639993,-0.005,-0.02,1,-0.011
1639994,0,0,1,0
1639995,0.001,0,1,0.011
1640007,-0.049,-0.21,0.58407,-0.121
1640008,-0.056,-0.24,0.58407,-0.121
1640009,-0.063,-0.26,0.58407,-0.121
1640010,-0.06,-0.25,0.58407,-0.121
1640011,-0.06,-0.25,0.58407,-0.121
1640012,-0.06,-0.25,0.58407,-0.121
1640013,-0.06,-0.25,0.54644,-0.132
1640014,-0.057,-0.23,0.476,-0.154
1640015,-0.054,-0.23,0.44205,-0.165
1640016,-0.057,-0.23,0.44342,-0.165
1640017,-0.053,-0.22,0.44342,-0.165
1640018,-0.053,-0.22,0.38107,-0.187
1640019,-0.059,-0.24,0.38107,-0.187
1640020,-0.056,-0.22,0.44205,-0.165
1640021,-0.057,-0.22,0.38107,-0.187
1640022,-0.056,-0.22,0.44342,-0.165
1640023,-0.058,-0.23,0.44342,-0.165
1642331,0.022,0.1,0.70113,0.088
1642332,0.013,0.07,0.66142,0.099
1642333,0.013,0.07,0.74256,0.077
1642334,0.014,0.07,0.78398,0.066
1642335,0.012,0.06,0.86935,0.044
1642336,0.008,0.04,0.82667,0.055
1642337,0.006,0.03,0.91281,0.033
1642338,0.003,0.02,1,0.011
1642339,0.006,0.03,1,0.011
1642340,0.008,0.04,1,0.011
1642341,0.011,0.06,0.91281,0.033
1642342,0.006,0.03,1,0.011
1642343,0.007,0.04,0.95628,0.022
1642344,0.006,0.03,0.91281,0.033
1642345,0.006,0.03,1,0.011
1642346,0.013,0.08,0.91281,0.033
1642347,0.011,0.06,0.95628,0.022
1642348,0.01,0.05,0.91281,0.033
1642349,0.008,0.04,1,0.011
1642350,0.006,0.03,1,0.011
1642351,0.003,0.02,0.91281,0.033
1642352,0.007,0.03,1,0.011
1642353,0.009,0.04,1,0.011
1642354,0.01,0.05,0.91281,0.033
1642355,0.001,0,0.95628,0.022
1642356,0,0,1,0
1642357,0.002,0.01,1,0.011
1642358,0,0,1,0
1642359,-0.001,0,0.95628,-0.022
1642360,-0.003,-0.01,0.95628,-0.022
1642361,-0.008,-0.03,0.91281,-0.033
1642362,-0.005,-0.02,0.91281,-0.033
1642363,-0.005,-0.02,0.95628,-0.022
1642364,-0.005,-0.02,0.95628,-0.022
1642365,-0.002,-0.01,1,-0.011
1642366,-0.003,-0.01,1,-0.011
1642367,0,0,1,0
1642368,0.006,0.02,1,0.011
1642369,0.009,0.04,1,0.011
1642370,0.015,0.07,0.82667,0.055
1642371,0.018,0.08,0.91281,0.033
1642372,0.02,0.09,0.91281,0.033
1642374,0.028,0.12,0.74256,0.077
1642375,0.035,0.14,0.70113,0.088
1642377,0.041,0.17,0.82667,0.055
1642381,0.035,0.15,0.70113,0.088
1642382,0.033,0.14,0.66142,0.099
1642383,0.032,0.14,0.74256,0.077
1642384,0.031,0.13,0.74256,0.077
1642385,0.027,0.11,0.74256,0.077
1642387,0.022,0.09,0.66142,0.099
1642388,0.03,0.13,0.86935,0.044
1642389,0.02,0.09,0.82667,0.055
1642390,0.018,0.08,0.91281,0.033
1642392,0.024,0.1,0.82667,0.055
1642393,0,0,1,0
1642394,0,0,1,0
1642395,0,0,1,0
1642396,-0.001,0,1,-0.011
1642406,-0.04,-0.18,0.44342,-0.165
1642407,-0.042,-0.19,0.476,-0.154
1642408,-0.043,-0.19,0.476,-0.154
1642409,-0.047,-0.2,0.51122,-0.143
1642410,-0.05,-0.21,0.58407,-0.121
1642411,-0.058,-0.24,0.58407,-0.121
1642412,-0.067,-0.28,0.58407,-0.121
1642413,-0.053,-0.23,0.51122,-0.143
1642414,-0.057,-0.24,0.51122,-0.143
1642415,-0.053,-0.22,0.51122,-0.143
1642416,-0.057,-0.24,0.44205,-0.165
1642417,-0.056,-0.23,0.44342,-0.165
1642418,-0.054,-0.22,0.44342,-0.165
1642419,-0.052,-0.21,0.476,-0.154
1642420,-0.057,-0.23,0.38107,-0.187
1642421,-0.057,-0.23,0.38107,-0.187
1642422,-0.057,-0.23,0.38107,-0.187
1642423,-0.057,-0.23,0.38107,-0.187
1642424,-0.057,-0.22,0.38107,-0.187
1642425,-0.057,-0.22,0.44342,-0.165
1642426,-0.062,-0.24,0.38107,-0.187
1642427,-0.072,-0.28,0.44342,-0.165
1642428,-0.059,-0.23,0.44342,-0.165
1644734,0.018,0.09,0.66142,0.099
1644735,0.016,0.08,0.66142,0.099
1644736,0.012,0.06,0.74256,0.077
1644737,0.009,0.05,0.74256,0.077
1644738,0.007,0.03,0.91281,0.033
1644739,0.01,0.05,0.91281,0.033
1644740,0.006,0.03,0.95628,0.022
1644741,0.006,0.03,0.95628,0.022
1644742,0.006,0.03,1,0.011
1644743,0.007,0.04,0.95628,0.022
1644744,0.01,0.06,0.91281,0.033
1644745,0.011,0.06,0.91281,0.033
1644746,0.01,0.06,0.91281,0.033
1644747,0.012,0.07,0.91281,0.033
1644748,0.011,0.06,0.91281,0.033
1644749,0.01,0.06,0.91281,0.033
1644750,0.013,0.07,0.91281,0.033
1644751,0.011,0.06,1,0.011
1644752,0.003,0.02,1,0.011
1644753,0,0,1,0.011
1644754,0.004,0.02,1,0.011
1644755,0.007,0.03,1,0.011
1644756,0.01,0.05,1,0.011
1644757,0.012,0.05,0.95628,0.022
1644758,0.001,0,0.95628,0.022
1644759,-0.001,0,1,-0.011
1644760,-0.005,-0.02,1,-0.011
1644761,-0.001,0,0.95628,-0.022
1644762,-0.004,-0.02,1,-0.011
