"nie_malla_modi_id","sen_slope_pnm12","sen_slope_per_pnm12","p_value_pnm12","tau_pnm12"
1589498,0,0,0.59673,0.11
1591900,0,0,0.86368,0.044
1591901,0,0,0.64654,0.099
1591914,0,0,0.6532,0.099
1591915,0,0,0.60651,0.11
1594301,0.004,0.07,0.73927,0.077
1594302,0,0,0.68871,0.088
1594303,0,0,0.59673,0.11
1594310,0.004,0.13,0.57435,0.121
1594311,0,0,0.6532,0.099
1594312,0.012,0.42,0.58142,0.121
1594315,0.011,0.52,0.5791,0.121
1594316,0.01,0.57,0.43168,0.165
1596703,0,0,0.86368,0.044
1596704,0,0,0.59673,0.11
1596705,0,0,0.59673,0.11
1596711,0,0,0.68871,0.088
1596712,0.001,0.04,0.57435,0.121
1596713,0.004,0.13,0.50032,0.143
1596714,0.007,0.23,0.53605,0.132
1596715,0.011,0.35,0.69999,0.088
1596716,0.011,0.58,0.43168,0.165
1596717,0.011,0.59,0.43168,0.165
1596718,0.01,0.53,0.43741,0.165
1596719,0.01,0.56,0.43741,0.165
1599103,0,0,0.78118,0.066
1599104,0.003,0.05,0.73927,0.077
1599105,0.005,0.08,0.65722,0.099
1599106,0,0,0.86368,0.044
1599107,0,0,0.59673,0.11
1599108,0,0,0.56649,0.121
1599114,0.001,0.04,0.57435,0.121
1599115,0.003,0.11,0.53605,0.132
1599116,0.005,0.16,0.50032,0.143
1599117,0.008,0.24,0.69736,0.088
1599118,0.01,0.35,0.57435,0.121
1599119,0.014,0.59,0.5791,0.121
1599120,0.014,0.65,0.5791,0.121
1599121,0.014,0.66,0.3748,0.187
1601504,0,0,1,0
1601505,0,0,1,0
1601506,0,0,0.82441,0.055
1601507,0,0,0.82441,0.055
1601508,0.005,0.09,0.65722,0.099
1601509,0,0,0.86368,0.044
1601510,0,0,0.77477,0.066
1601516,0.004,0.13,0.50032,0.143
1601517,0.004,0.13,0.43168,0.165
1601518,0.01,0.25,0.58142,0.121
1601519,0.022,0.59,0.6217,0.11
1601520,0.032,0.65,0.70028,0.088
1601521,0.015,0.4,0.86935,0.044
1601522,0.02,0.67,0.62029,0.11
1601523,0.011,0.43,0.73927,0.077
1601524,0.012,0.51,0.61708,0.11
1601525,0.011,0.46,0.65722,0.099
1603905,0,0,1,-0.011
1603906,0.004,0.03,0.86883,0.044
1603907,0,0,0.9561,0.022
1603908,0,0,1,0.011
1603909,0,0,0.9561,0.022
1603910,0,0,0.82441,0.055
1603911,0.006,0.12,0.65722,0.099
1603912,0.007,0.16,0.5791,0.121
1603918,0,0,0.64654,0.099
1603919,0.004,0.12,0.43168,0.165
1603920,0.013,0.28,0.74181,0.077
1603921,0.03,0.64,0.70113,0.088
1603922,0.054,0.85,0.54644,0.132
1603923,0.032,0.64,0.6217,0.11
1603924,0.026,0.58,0.70113,0.088
1603925,0.022,0.66,0.54483,0.132
1603926,0.012,0.42,0.69736,0.088
1603927,0.012,0.48,0.61708,0.11
1606307,0,0,0.9561,0.022
1606308,0.004,0.03,0.95628,0.022
1606309,0,0,0.9561,0.022
1606310,0.006,0.05,0.86883,0.044
1606311,0.008,0.07,0.86883,0.044
1606312,0.008,0.09,0.86883,0.044
1606313,0.005,0.08,0.73927,0.077
1606314,0.007,0.12,0.65722,0.099
1606315,0.008,0.18,0.5791,0.121
1606320,0.01,0.25,0.44021,0.165
1606321,0.013,0.31,0.44021,0.165
1606322,0.014,0.28,0.78398,0.066
1606323,0.031,0.61,0.58294,0.121
1606324,0.027,0.39,0.74256,0.077
1606325,0.036,0.51,0.74256,0.077
1606326,0.034,0.71,0.70113,0.088
1606327,0.034,0.73,0.6217,0.11
1606328,0.005,0.15,0.78313,0.066
1606329,0.014,0.49,0.65722,0.099
1606330,0.014,0.5,0.69736,0.088
1608708,0,0,0.9561,-0.022
1608709,0.04,0.23,0.86935,0.044
1608710,0.044,0.24,0.78398,0.066
1608711,0.074,0.52,0.69999,0.088
1608712,0.063,0.44,0.69999,0.088
1608713,0.02,0.15,0.78313,0.066
1608714,0.008,0.09,0.86883,0.044
1608715,0.01,0.12,0.78313,0.066
1608716,0.005,0.08,0.73927,0.077
1608717,0.008,0.16,0.5791,0.121
1608718,0.009,0.22,0.5791,0.121
1608719,0.009,0.19,0.61708,0.11
1608720,0.01,0.23,0.5791,0.121
1608721,0.01,0.24,0.61708,0.11
1608723,0.012,0.28,0.58142,0.121
1608724,0.016,0.38,0.50824,0.143
1608725,0.046,0.77,0.54644,0.132
1608726,0.022,0.32,0.74256,0.077
1608727,0.036,0.55,0.66142,0.099
1608728,0.034,0.74,0.58294,0.121
1608729,0.012,0.31,0.86935,0.044
1608730,0,0,0.95597,0.022
1608731,0.005,0.14,0.78313,0.066
1608732,0,0,0.9122,0.033
1611108,-0.001,-0.01,0.95628,-0.022
1611110,0.014,0.07,0.95628,0.022
1611111,0.29,1.31,0.78398,0.066
1611112,0.531,2.34,0.78398,0.066
1611113,0.046,0.26,0.78398,0.066
1611114,0.048,0.26,0.78398,0.066
1611115,0.063,0.41,0.78398,0.066
1611116,0.025,0.18,0.69999,0.088
1611117,0.03,0.28,0.69999,0.088
1611118,0,0,0.91166,0.033
1611119,0.009,0.18,0.5791,0.121
1611120,0.009,0.18,0.5791,0.121
1611121,0.002,0.03,0.73927,0.077
1611122,0.055,0.82,0.6217,0.11
1611123,0.022,0.42,0.65722,0.099
1611124,0.012,0.27,0.47422,0.154
1611125,0.011,0.25,0.58142,0.121
1611126,0.013,0.31,0.70113,0.088
1611127,0.05,0.86,0.476,0.154
1611128,0.158,2,0.41085,0.176
1611129,0.038,0.57,0.82615,0.055
1611130,0.019,0.32,0.82667,0.055
1611131,0.018,0.31,0.86935,0.044
1611132,0.005,0.13,0.86935,0.044
1611133,0.011,0.31,0.73927,0.077
1611134,0,0,0.91166,0.033
1611135,0,0,0.91166,0.033
1613509,-0.007,-0.04,0.95628,-0.022
1613510,0.015,0.07,0.95628,0.022
1613511,0.027,0.12,0.86935,0.044
1613512,0.085,0.4,0.78398,0.066
1613513,0.24,0.94,0.91281,0.033
1613514,0.528,2.29,0.91281,0.033
1613515,0.305,1.44,0.78398,0.066
1613516,0.31,1.47,0.78398,0.066
1613517,0.05,0.3,0.78398,0.066
1613518,0.053,0.39,0.69999,0.088
1613519,0.032,0.31,0.69999,0.088
1613520,0.008,0.14,0.65722,0.099
1613521,0.011,0.26,0.43741,0.165
1613522,0.002,0.03,0.73927,0.077
1613523,0.072,1.11,0.50564,0.143
1613524,0.141,1.76,0.54483,0.132
1613525,0.06,0.93,0.54644,0.132
1613526,0.065,1.03,0.6217,0.11
1613527,0.013,0.26,0.50824,0.143
1613528,0.023,0.49,0.70113,0.088
1613529,0.069,1.15,0.54644,0.132
1613530,0.07,0.86,0.54644,0.132
1613531,0.042,0.45,0.82667,0.055
1613532,-0.006,-0.08,1,-0.011
1613533,0.031,0.62,0.78398,0.066
1613534,0.013,0.23,0.91281,0.033
1613535,0.015,0.39,0.78398,0.066
1613536,0,0,0.91166,0.033
1613537,0,0,0.91166,0.033
1613538,0.015,0.34,0.74256,0.077
1615910,0,0,0.9561,-0.022
1615911,0.014,0.07,0.95628,0.022
1615912,0.036,0.16,0.86935,0.044
1615913,0.046,0.2,0.86935,0.044
1615914,0.04,0.17,0.91281,0.033
1615915,-0.014,-0.05,1,-0.011
1615916,-0.017,-0.06,1,-0.011
1615917,0.278,1.1,0.86935,0.044
1615918,0.552,2.49,0.78398,0.066
1615919,0.549,3,0.70113,0.088
1615920,0.056,0.46,0.54483,0.132
1615921,0.208,2.38,0.62029,0.11
1615922,0.018,0.22,0.65722,0.099
1615923,0.005,0.08,0.73927,0.077
1615924,0.144,1.83,0.47422,0.154
1615925,0.02,0.34,0.65722,0.099
1615926,0.139,1.76,0.54483,0.132
1615927,0.085,1,0.54644,0.132
1615928,0.116,1.7,0.476,0.154
1615929,0.053,0.95,0.6217,0.11
1615930,0.021,0.44,0.70113,0.088
1615931,0.117,1.57,0.6217,0.11
1615932,0.064,0.69,0.54644,0.132
1615933,0.083,0.79,0.66142,0.099
1615934,-0.011,-0.15,0.91281,-0.033
1615935,-0.014,-0.19,0.91281,-0.033
1615936,-0.005,-0.08,1,-0.011
1615937,0.022,0.49,0.70113,0.088
1615938,0.01,0.23,0.78398,0.066
1615939,0,0,0.9122,0.033
1615940,0,0,1,0
1618310,0,0,1,0.011
1618311,0,0,1,0
1618312,0,0,0.9561,-0.022
1618313,0,0,0.9561,-0.022
1618314,0.021,0.1,0.86935,0.044
1618315,0.05,0.22,0.86935,0.044
1618316,0.061,0.22,1,0.011
1618317,0.132,0.43,1,0.011
1618318,-0.019,-0.06,1,-0.011
1618319,-0.021,-0.07,1,-0.011
1618320,0.328,1.37,0.78398,0.066
1618321,0.052,0.3,0.70113,0.088
1618322,0.025,0.24,0.69999,0.088
1618323,0.035,0.26,0.78313,0.066
1618324,0.005,0.07,0.73927,0.077
1618325,0.128,1.38,0.54483,0.132
1618326,0.133,1.37,0.62029,0.11
1618327,0.071,0.79,0.69999,0.088
1618328,0.195,2.39,0.476,0.154
1618329,0.283,2.7,0.41085,0.176
1618330,0.103,1.14,0.54644,0.132
1618331,0.09,1.32,0.54644,0.132
1618332,0.121,1.65,0.50995,0.143
1618333,0.073,0.85,0.51122,0.143
1618334,0.08,0.8,0.74256,0.077
1618335,0.105,0.95,0.66142,0.099
1618336,0.096,0.82,0.58407,0.121
1618337,0.083,0.9,0.74256,0.077
1618338,-0.019,-0.27,0.82667,-0.055
1618339,-0.022,-0.35,0.82667,-0.055
1618340,-0.023,-0.39,0.91281,-0.033
1620712,0,0,0.9561,0.022
1620713,0,0,1,0
1620714,0.018,0.09,0.95628,0.022
1620715,-0.022,-0.1,1,-0.011
1620716,0.063,0.28,1,0.011
1620717,0.063,0.26,1,0.011
1620718,0.094,0.39,0.91281,0.033
1620719,0.236,0.9,0.91281,0.033
1620720,0.362,1.2,1,0.011
1620721,0.083,0.27,1,0.011
1620722,0.379,1.64,0.78398,0.066
1620723,0.315,1.57,0.78398,0.066
1620724,0.059,0.34,0.78398,0.066
1620725,0.066,0.56,0.54483,0.132
1620726,0.192,2.16,0.43741,0.165
1620727,0.131,1.39,0.47422,0.154
1620728,0.077,0.71,0.54483,0.132
1620729,0.314,2.64,0.476,0.154
1620730,0.136,1.57,0.54644,0.132
1620731,0.082,0.64,0.66142,0.099
1620732,0.207,2.15,0.41085,0.176
1620733,0.247,2.85,0.35131,0.198
1620734,0.175,1.96,0.41085,0.176
1620735,0.08,0.83,0.58407,0.121
1620736,0.083,0.79,0.66142,0.099
1620737,0.083,0.86,0.74256,0.077
1620738,-0.016,-0.2,0.91281,-0.033
1620739,-0.017,-0.25,0.78398,-0.066
1620740,-0.01,-0.17,0.91281,-0.033
1623115,0,0,1,0
1623116,0.036,0.18,0.86935,0.044
1623117,0.084,0.35,0.91281,0.033
1623118,0,0,1,0
1623119,-0.74,-1.93,0.66142,-0.099
1623120,-0.24,-0.68,0.91281,-0.033
1623121,0.115,0.38,1,0.011
1623122,-0.093,-0.28,1,-0.011
1623123,0.347,1.05,1,0.011
1623124,0.885,2.77,0.91281,0.033
1623125,0.316,1.24,0.91281,0.033
1623126,0.32,1.66,0.78398,0.066
1623127,0.14,1.01,0.69999,0.088
1623128,0.112,1.24,0.43741,0.165
1623129,0.005,0.08,0.73927,0.077
1623130,0.15,1.52,0.54483,0.132
1623131,0.053,0.38,0.82667,0.055
1623132,0.057,0.43,0.82667,0.055
1623133,0.063,0.45,0.74256,0.077
1623134,0.08,0.64,0.66142,0.099
1623135,0.084,0.66,0.6217,0.11
1623136,0.106,0.91,0.58407,0.121
1623137,0.11,0.97,0.58407,0.121
1623138,0.08,0.79,0.66142,0.099
1623139,0.035,0.51,0.91281,0.033
1623140,0.03,0.51,0.82667,0.055
1623141,0.007,0.12,0.86935,0.044
