"nie_malla_modi_id","var"
1666475,"m02"
1668879,"m02"
1671282,"m02"
1673685,"m02"
1676088,"m02"
1678490,"m02"
1685697,"m02"
1688099,"m02"
1692902,"m02"
1700110,"m02"
1702513,"m02"
1707317,"m02"
1709701,"m02"
1712103,"m02"
1712104,"m02"
1712119,"m02"
1712120,"m02"
1714500,"m02"
1714505,"m02"
1714506,"m02"
1714507,"m02"
1714524,"m02"
1714525,"m02"
1716902,"m02"
1716903,"m02"
1716906,"m02"
1716907,"m02"
1716908,"m02"
1716909,"m02"
1716910,"m02"
1716911,"m02"
1716912,"m02"
1716913,"m02"
1716914,"m02"
1716926,"m02"
1716927,"m02"
1719303,"m02"
1719304,"m02"
1719305,"m02"
1719306,"m02"
1719307,"m02"
1719308,"m02"
1719309,"m02"
1719310,"m02"
1719311,"m02"
1719312,"m02"
1719313,"m02"
1719314,"m02"
1719315,"m02"
1719316,"m02"
1719317,"m02"
1719326,"m02"
1719328,"m02"
1719329,"m02"
1721704,"m02"
1721705,"m02"
1721706,"m02"
1721707,"m02"
1721708,"m02"
1721709,"m02"
1721710,"m02"
1721711,"m02"
1721712,"m02"
1721713,"m02"
1721714,"m02"
1721715,"m02"
1721716,"m02"
1721717,"m02"
1721718,"m02"
1721719,"m02"
1721720,"m02"
1721725,"m02"
1721728,"m02"
1721729,"m02"
1721730,"m02"
1721731,"m02"
1721732,"m02"
1724105,"m02"
1724106,"m02"
1724107,"m02"
1724108,"m02"
1724109,"m02"
1724110,"m02"
1724111,"m02"
1724112,"m02"
1724113,"m02"
1724114,"m02"
1724115,"m02"
1724116,"m02"
1724117,"m02"
1724118,"m02"
1724119,"m02"
1724120,"m02"
1724121,"m02"
1724122,"m02"
1724123,"m02"
1724124,"m02"
1724125,"m02"
1724126,"m02"
1724127,"m02"
1724128,"m02"
1724129,"m02"
1724131,"m02"
1724132,"m02"
1724133,"m02"
1724134,"m02"
1724135,"m02"
1726354,"m02"
1726506,"m02"
1726507,"m02"
1726508,"m02"
1726509,"m02"
1726510,"m02"
1726511,"m02"
1726512,"m02"
1726513,"m02"
1726514,"m02"
1726515,"m02"
1726516,"m02"
1726517,"m02"
1726518,"m02"
1726519,"m02"
1726520,"m02"
1726521,"m02"
1726522,"m02"
1726523,"m02"
1726524,"m02"
1726525,"m02"
1726526,"m02"
1726527,"m02"
1726528,"m02"
1726529,"m02"
1726530,"m02"
1726531,"m02"
1726532,"m02"
1726533,"m02"
1726534,"m02"
1726535,"m02"
1726536,"m02"
1726537,"m02"
1728905,"m02"
1728907,"m02"
1728908,"m02"
1728909,"m02"
1728910,"m02"
1728911,"m02"
1728912,"m02"
1728913,"m02"
1728914,"m02"
1728915,"m02"
1728916,"m02"
1728917,"m02"
1728918,"m02"
1728919,"m02"
1728920,"m02"
1728921,"m02"
1728922,"m02"
1728923,"m02"
1728924,"m02"
1728925,"m02"
1728926,"m02"
1728927,"m02"
1728928,"m02"
1728929,"m02"
1728930,"m02"
1728931,"m02"
1728932,"m02"
1728933,"m02"
1728934,"m02"
1728935,"m02"
1728936,"m02"
1728937,"m02"
1728938,"m02"
1728939,"m02"
1728940,"m02"
1731305,"m02"
1731307,"m02"
1731308,"m02"
1731309,"m02"
1731310,"m02"
1731311,"m02"
1731312,"m02"
1731313,"m02"
1731314,"m02"
1731315,"m02"
1731316,"m02"
1731317,"m02"
1731320,"m02"
1731321,"m02"
1731322,"m02"
1731323,"m02"
1731324,"m02"
1731325,"m02"
1731326,"m02"
1731327,"m02"
1731328,"m02"
1731329,"m02"
1731330,"m02"
1731331,"m02"
1731332,"m02"
1731333,"m02"
1731334,"m02"
1731335,"m02"
1731336,"m02"
1731337,"m02"
1731338,"m02"
1731339,"m02"
1731340,"m02"
1731341,"m02"
1731342,"m02"
1733707,"m02"
1733708,"m02"
1733709,"m02"
1733710,"m02"
1733711,"m02"
1733712,"m02"
1733713,"m02"
1733714,"m02"
1733715,"m02"
1733716,"m02"
1733717,"m02"
1733726,"m02"
1733727,"m02"
1733728,"m02"
1733729,"m02"
1733730,"m02"
1733731,"m02"
1733732,"m02"
1733733,"m02"
1733734,"m02"
1733735,"m02"
1733736,"m02"
1733737,"m02"
1733738,"m02"
1733739,"m02"
1733740,"m02"
1733741,"m02"
1733742,"m02"
1733743,"m02"
1733744,"m02"
1736108,"m02"
1736109,"m02"
1736110,"m02"
1736111,"m02"
1736112,"m02"
1736113,"m02"
1736114,"m02"
1736115,"m02"
1736116,"m02"
1736117,"m02"
1736140,"m02"
1736141,"m02"
1736142,"m02"
1736143,"m02"
1736144,"m02"
1736145,"m02"
1736146,"m02"
1736147,"m02"
1738499,"m02"
1738510,"m02"
1738511,"m02"
1738512,"m02"
1738513,"m02"
1738514,"m02"
1738515,"m02"
1738516,"m02"
1738543,"m02"
1738544,"m02"
1738545,"m02"
1738546,"m02"
1738547,"m02"
1738548,"m02"
1738549,"m02"
1740900,"m02"
1740901,"m02"
1740914,"m02"
1740915,"m02"
1740916,"m02"
1740945,"m02"
1740946,"m02"
1740947,"m02"
1740948,"m02"
1740949,"m02"
1740950,"m02"
1740951,"m02"
1743353,"m02"
