"nie_malla_modi_id","sen_slope_tempm09","sen_slope_per_tempm09","p_value_tempm09","tau_tempm09"
1589498,0.059,0.3,0.41085,0.176
1591900,0.059,0.31,0.38107,0.187
1591901,0.062,0.32,0.38107,0.187
1591914,0.065,0.34,0.27356,0.231
1591915,0.066,0.34,0.27356,0.231
1594301,0.055,0.29,0.44342,0.165
1594302,0.058,0.3,0.38107,0.187
1594303,0.061,0.31,0.38107,0.187
1594310,0.054,0.28,0.476,0.154
1594311,0.052,0.27,0.51122,0.143
1594312,0.06,0.31,0.32442,0.209
1594315,0.059,0.31,0.32442,0.209
1594316,0.062,0.32,0.32442,0.209
1596703,0.058,0.3,0.38107,0.187
1596704,0.059,0.31,0.41085,0.176
1596705,0.06,0.31,0.41085,0.176
1596711,0.058,0.3,0.44342,0.165
1596712,0.055,0.29,0.41085,0.176
1596713,0.055,0.28,0.476,0.154
1596714,0.054,0.28,0.51122,0.143
1596715,0.058,0.3,0.32442,0.209
1596716,0.06,0.31,0.35131,0.198
1596717,0.058,0.3,0.32442,0.209
1596718,0.06,0.31,0.32442,0.209
1596719,0.059,0.31,0.32442,0.209
1599103,0.055,0.29,0.44342,0.165
1599104,0.058,0.31,0.41085,0.176
1599105,0.056,0.3,0.38107,0.187
1599106,0.059,0.31,0.38107,0.187
1599107,0.061,0.31,0.38107,0.187
1599108,0.061,0.31,0.38107,0.187
1599114,0.057,0.29,0.44342,0.165
1599115,0.055,0.28,0.51122,0.143
1599116,0.055,0.29,0.51122,0.143
1599117,0.052,0.28,0.51122,0.143
1599118,0.049,0.26,0.51122,0.143
1599119,0.056,0.29,0.38107,0.187
1599120,0.055,0.29,0.38107,0.187
1599121,0.057,0.3,0.32442,0.209
1601504,0.054,0.3,0.44342,0.165
1601505,0.052,0.28,0.476,0.154
1601506,0.055,0.29,0.44342,0.165
1601507,0.056,0.3,0.41085,0.176
1601508,0.056,0.3,0.44342,0.165
1601509,0.06,0.31,0.38107,0.187
1601510,0.06,0.31,0.38107,0.187
1601516,0.057,0.3,0.41085,0.176
1601517,0.053,0.28,0.51122,0.143
1601518,0.049,0.26,0.51122,0.143
1601519,0.049,0.26,0.51122,0.143
1601520,0.042,0.23,0.51122,0.143
1601521,0.045,0.24,0.51122,0.143
1601522,0.052,0.27,0.32442,0.209
1601523,0.052,0.28,0.38107,0.187
1601524,0.052,0.27,0.38107,0.187
1601525,0.052,0.27,0.37964,0.187
1603905,0.054,0.3,0.41085,0.176
1603906,0.048,0.27,0.51122,0.143
1603907,0.048,0.27,0.54644,0.132
1603908,0.053,0.29,0.44342,0.165
1603909,0.052,0.29,0.476,0.154
1603910,0.053,0.29,0.44342,0.165
1603911,0.058,0.3,0.38107,0.187
1603912,0.059,0.31,0.38107,0.187
1603918,0.058,0.3,0.44342,0.165
1603919,0.055,0.29,0.44342,0.165
1603920,0.049,0.26,0.51122,0.143
1603921,0.045,0.25,0.51122,0.143
1603922,0.039,0.22,0.54644,0.132
1603923,0.042,0.23,0.51122,0.143
1603924,0.042,0.23,0.51122,0.143
1603925,0.049,0.26,0.41085,0.176
1603926,0.05,0.26,0.44342,0.165
1603927,0.048,0.25,0.44342,0.165
1606307,0.048,0.27,0.54644,0.132
1606308,0.048,0.28,0.58407,0.121
1606309,0.048,0.27,0.58407,0.121
1606310,0.049,0.27,0.476,0.154
1606311,0.049,0.28,0.54644,0.132
1606312,0.053,0.29,0.44342,0.165
1606313,0.058,0.31,0.38107,0.187
1606314,0.059,0.31,0.38107,0.187
1606315,0.058,0.31,0.41085,0.176
1606320,0.054,0.28,0.44342,0.165
1606321,0.053,0.28,0.44342,0.165
1606322,0.048,0.26,0.51122,0.143
1606323,0.045,0.25,0.51122,0.143
1606324,0.036,0.21,0.58407,0.121
1606325,0.035,0.2,0.58407,0.121
1606326,0.038,0.21,0.51122,0.143
1606327,0.039,0.21,0.44342,0.165
1606328,0.042,0.22,0.51122,0.143
1606329,0.045,0.23,0.44342,0.165
1606330,0.046,0.24,0.44342,0.165
1608708,0.043,0.25,0.51122,0.143
1608709,0.049,0.29,0.58407,0.121
1608710,0.049,0.29,0.58407,0.121
1608711,0.049,0.28,0.58407,0.121
1608712,0.05,0.29,0.58407,0.121
1608713,0.052,0.3,0.58407,0.121
1608714,0.052,0.28,0.44342,0.165
1608715,0.053,0.29,0.44342,0.165
1608716,0.057,0.3,0.44342,0.165
1608717,0.058,0.31,0.41085,0.176
1608718,0.059,0.31,0.38107,0.187
1608719,0.058,0.3,0.44342,0.165
1608720,0.058,0.31,0.44342,0.165
1608721,0.055,0.29,0.41085,0.176
1608723,0.052,0.28,0.476,0.154
1608724,0.048,0.26,0.51122,0.143
1608725,0.042,0.24,0.51122,0.143
1608726,0.038,0.22,0.58407,0.121
1608727,0.037,0.21,0.58407,0.121
1608728,0.041,0.22,0.476,0.154
1608729,0.041,0.22,0.476,0.154
1608730,0.042,0.23,0.51122,0.143
1608731,0.039,0.21,0.51122,0.143
1608732,0.044,0.23,0.476,0.154
1611108,0.04,0.24,0.58407,0.121
1611110,0.04,0.24,0.58407,0.121
1611111,0.048,0.3,0.58407,0.121
1611112,0.045,0.28,0.58407,0.121
1611113,0.05,0.3,0.58407,0.121
1611114,0.054,0.32,0.58407,0.121
1611115,0.054,0.32,0.58407,0.121
1611116,0.053,0.3,0.58407,0.121
1611117,0.054,0.3,0.54644,0.132
1611118,0.056,0.3,0.44342,0.165
1611119,0.06,0.31,0.38107,0.187
1611120,0.058,0.3,0.38107,0.187
1611121,0.057,0.3,0.44342,0.165
1611122,0.052,0.29,0.51122,0.143
1611123,0.055,0.29,0.44342,0.165
1611124,0.054,0.29,0.44342,0.165
1611125,0.052,0.28,0.51122,0.143
1611126,0.048,0.26,0.51122,0.143
1611127,0.045,0.25,0.51122,0.143
1611128,0.036,0.21,0.58407,0.121
1611129,0.038,0.22,0.58407,0.121
1611130,0.037,0.21,0.51122,0.143
1611131,0.035,0.19,0.44342,0.165
1611132,0.038,0.21,0.51122,0.143
1611133,0.039,0.21,0.51122,0.143
1611134,0.038,0.2,0.51122,0.143
1611135,0.036,0.19,0.51122,0.143
1613509,0.04,0.24,0.54644,0.132
1613510,0.039,0.24,0.58407,0.121
1613511,0.043,0.27,0.58407,0.121
1613512,0.042,0.26,0.58407,0.121
1613513,0.043,0.28,0.66142,0.099
1613514,0.043,0.27,0.58407,0.121
1613515,0.05,0.31,0.58407,0.121
1613516,0.05,0.3,0.58407,0.121
1613517,0.056,0.32,0.58407,0.121
1613518,0.057,0.32,0.58407,0.121
1613519,0.057,0.31,0.51122,0.143
1613520,0.059,0.31,0.44342,0.165
1613521,0.062,0.32,0.38107,0.187
1613522,0.057,0.3,0.44342,0.165
1613523,0.055,0.3,0.44342,0.165
1613524,0.051,0.28,0.58407,0.121
1613525,0.051,0.28,0.51122,0.143
1613526,0.051,0.28,0.44342,0.165
1613527,0.049,0.26,0.51122,0.143
1613528,0.048,0.26,0.51122,0.143
1613529,0.042,0.24,0.51122,0.143
1613530,0.036,0.21,0.58407,0.121
1613531,0.035,0.21,0.58407,0.121
1613532,0.031,0.18,0.58407,0.121
1613533,0.037,0.2,0.476,0.154
1613534,0.034,0.19,0.44342,0.165
1613535,0.035,0.19,0.51122,0.143
1613536,0.035,0.19,0.51122,0.143
1613537,0.034,0.18,0.51122,0.143
1613538,0.03,0.16,0.51122,0.143
1615910,0.037,0.22,0.51122,0.143
1615911,0.035,0.22,0.58407,0.121
1615912,0.039,0.24,0.58407,0.121
1615913,0.043,0.28,0.6217,0.11
1615914,0.044,0.28,0.6217,0.11
1615915,0.045,0.29,0.66142,0.099
1615916,0.05,0.33,0.66142,0.099
1615917,0.052,0.33,0.6217,0.11
1615918,0.055,0.34,0.58407,0.121
1615919,0.055,0.33,0.58407,0.121
1615920,0.059,0.33,0.51122,0.143
1615921,0.056,0.3,0.44342,0.165
1615922,0.057,0.3,0.44342,0.165
1615923,0.058,0.31,0.44342,0.165
