"nie_malla_modi_id","sen_slope_prem08","sen_slope_per_prem08","p_value_prem08","tau_prem08"
1589498,0.043,1.18,0.58407,0.121
1591900,0.05,1.35,0.58407,0.121
1591901,0.23,3.9,0.51122,0.143
1591914,0.383,4.22,0.74256,0.077
1591915,0.353,3.89,0.74256,0.077
1594301,0.041,1.08,0.58407,0.121
1594302,0.065,1.73,0.58407,0.121
1594303,0.09,2.4,0.58407,0.121
1594310,0.34,4.48,0.74256,0.077
1594311,0.362,4.66,0.74256,0.077
1594312,0.384,4.83,0.66142,0.099
1594315,0.34,3.76,0.74256,0.077
1594316,0.45,5.09,0.74256,0.077
1596703,0.042,1.12,0.58407,0.121
1596704,0.08,2.12,0.58407,0.121
1596705,0.09,2.35,0.58407,0.121
1596711,0.323,4.49,0.74256,0.077
1596712,0.352,4.73,0.66142,0.099
1596713,0.375,4.94,0.66142,0.099
1596714,0.401,5.14,0.66142,0.099
1596715,0.425,5.32,0.66142,0.099
1596716,0.447,5.11,0.66142,0.099
1596717,0.475,5.47,0.66142,0.099
1596718,0.497,5.75,0.66142,0.099
1596719,0.51,5.94,0.66142,0.099
1599103,0.023,0.6,0.66142,0.099
1599104,0.035,0.93,0.58407,0.121
1599105,0.05,1.3,0.58407,0.121
1599106,0.1,2.58,0.58407,0.121
1599107,0.09,2.32,0.58407,0.121
1599108,0.344,5.57,0.54644,0.132
1599114,0.365,4.96,0.66142,0.099
1599115,0.392,5.22,0.66142,0.099
1599116,0.418,5.44,0.66142,0.099
1599117,0.442,5.65,0.58407,0.121
1599118,0.415,4.79,0.66142,0.099
1599119,0.452,5.26,0.66142,0.099
1599120,0.527,6.23,0.66142,0.099
1599121,0.55,6.55,0.66142,0.099
1601504,0.012,0.32,0.74256,0.077
1601505,0.033,0.82,0.66142,0.099
1601506,0.041,1.04,0.58407,0.121
1601507,0.065,1.62,0.58407,0.121
1601508,0.11,2.72,0.58407,0.121
1601509,0.095,2.39,0.58407,0.121
1601510,0.364,5.81,0.54644,0.132
1601516,0.384,5.23,0.58407,0.121
1601517,0.41,5.5,0.58407,0.121
1601518,0.443,5.76,0.51122,0.143
1601519,0.335,3.86,0.66142,0.099
1601520,0.35,3.95,0.51122,0.143
1601521,0.41,4.78,0.58407,0.121
1601522,0.478,5.71,0.66142,0.099
1601523,0.518,6.25,0.66142,0.099
1601524,0.592,7.3,0.66142,0.099
1601525,0.568,7.06,0.66142,0.099
1603905,0,0,0.95551,0.022
1603906,0.015,0.37,0.70113,0.088
1603907,0.026,0.61,0.66142,0.099
1603908,0.046,1.14,0.58407,0.121
1603909,0.095,2.27,0.58407,0.121
1603910,0.12,2.85,0.58407,0.121
1603911,0.1,2.42,0.58407,0.121
1603912,0.395,6.27,0.58407,0.121
1603918,0.395,5.48,0.51122,0.143
1603919,0.428,5.77,0.51122,0.143
1603920,0.474,6.19,0.51122,0.143
1603921,0.423,4.86,0.51122,0.143
1603922,0.652,7.32,0.44342,0.165
1603923,0.56,6.49,0.51122,0.143
1603924,0.53,6.29,0.51122,0.143
1603925,0.52,6.37,0.51122,0.143
1603926,0.598,7.47,0.51122,0.143
1603927,0.574,7.31,0.58407,0.121
1606307,0.012,0.3,0.74256,0.077
1606308,0.023,0.53,0.74256,0.077
1606309,0.027,0.63,0.66142,0.099
1606310,0.06,1.41,0.58407,0.121
1606311,0.115,2.61,0.58407,0.121
1606312,0.12,2.78,0.58407,0.121
1606313,0.105,2.46,0.58407,0.121
1606314,0.126,2.9,0.58407,0.121
1606315,0.395,6.04,0.58407,0.121
1606320,0.426,5.84,0.51122,0.143
1606321,0.464,6.28,0.51122,0.143
1606322,0.51,6.68,0.51122,0.143
1606323,0.543,6.28,0.51122,0.143
1606324,0.669,7.59,0.44342,0.165
1606325,0.726,8.27,0.44342,0.165
1606326,0.659,7.92,0.51122,0.143
1606327,0.661,8.11,0.44342,0.165
1606328,0.65,8.32,0.44342,0.165
1606329,0.653,8.47,0.44342,0.165
1606330,0.655,8.63,0.44342,0.165
1608708,0,0,1,0
1608709,0.012,0.28,0.66142,0.099
1608710,0.021,0.46,0.66142,0.099
1608711,0.04,0.91,0.66142,0.099
1608712,0.063,1.39,0.66142,0.099
1608713,0.076,1.68,0.58407,0.121
1608714,0.125,2.85,0.58407,0.121
1608715,0.115,2.57,0.58407,0.121
1608716,0.138,3.1,0.66142,0.099
1608717,0.42,6.4,0.58407,0.121
1608718,0.385,5.78,0.58407,0.121
1608719,0.395,5.71,0.51122,0.143
1608720,0.385,5.46,0.51122,0.143
1608721,0.413,5.75,0.44342,0.165
1608723,0.497,6.73,0.51122,0.143
1608724,0.577,6.85,0.51122,0.143
1608725,0.657,7.58,0.44342,0.165
1608726,0.722,8.32,0.38107,0.187
1608727,0.702,8.24,0.38107,0.187
1608728,0.666,8.25,0.44342,0.165
1608729,0.668,8.45,0.44342,0.165
1608730,0.667,8.64,0.44342,0.165
1608731,0.677,8.94,0.38107,0.187
1608732,0.755,10.13,0.44342,0.165
1611108,0,0,1,0
1611110,0,0,1,0
1611111,0.018,0.38,0.74181,0.077
1611112,0.028,0.57,0.74256,0.077
1611113,0.057,1.23,0.66142,0.099
1611114,0.072,1.5,0.66142,0.099
1611115,0.086,1.82,0.66142,0.099
1611116,0.14,2.94,0.58407,0.121
1611117,0.13,2.75,0.58407,0.121
1611118,0.15,3.25,0.66142,0.099
1611119,0.473,7.2,0.58407,0.121
1611120,0.375,5.56,0.51122,0.143
1611121,0.375,5.39,0.51122,0.143
1611122,0.403,5.52,0.51122,0.143
1611123,0.439,6.03,0.44342,0.165
1611124,0.48,6.59,0.44342,0.165
1611125,0.522,7.11,0.44342,0.165
1611126,0.651,7.8,0.51122,0.143
1611127,0.675,7.93,0.38107,0.187
1611128,0.77,8.94,0.38107,0.187
1611129,0.77,9.14,0.38107,0.187
1611130,0.692,8.48,0.44342,0.165
1611131,0.797,9.89,0.44342,0.165
1611132,0.728,9.56,0.44342,0.165
1611133,0.712,9.53,0.44342,0.165
1611134,0.775,10.57,0.44342,0.165
1611135,0.818,11.32,0.44342,0.165
1613509,0,0,1,0
1613510,0,0,1,0
1613511,0,0,1,0
1613512,0,0,1,0
1613513,0.021,0.43,0.74256,0.077
1613514,0.032,0.66,0.74256,0.077
1613515,0.044,0.91,0.66142,0.099
1613516,0.064,1.29,0.66142,0.099
1613517,0.093,1.92,0.66142,0.099
1613518,0.145,3.02,0.58407,0.121
1613519,0.13,2.76,0.58407,0.121
1613520,0.158,3.53,0.66142,0.099
1613521,0.49,7.57,0.58407,0.121
1613522,0.467,6.85,0.51122,0.143
1613523,0.443,6.23,0.51122,0.143
1613524,0.45,6.09,0.44342,0.165
1613525,0.467,6.33,0.44342,0.165
1613526,0.512,6.87,0.44342,0.165
1613527,0.553,7.48,0.44342,0.165
1613528,0.665,7.97,0.44342,0.165
1613529,0.685,8.11,0.38107,0.187
1613530,0.796,9.3,0.38107,0.187
1613531,1.06,12.42,0.38107,0.187
1613532,0.97,11.63,0.38107,0.187
1613533,0.848,10.91,0.38107,0.187
1613534,0.878,11.28,0.44342,0.165
1613535,0.713,9.66,0.44342,0.165
1613536,0.775,10.69,0.44342,0.165
1613537,0.71,9.92,0.44342,0.165
1613538,0.74,10.2,0.44342,0.165
1615910,0,0,1,0
1615911,0,0,1,0
1615912,0,0,1,0
1615913,0,0,1,0
1615914,0,0,1,0
1615915,0.026,0.51,0.74256,0.077
1615916,0.039,0.75,0.74256,0.077
1615917,0.053,1.04,0.74256,0.077
1615918,0.07,1.37,0.66142,0.099
1615919,0.103,2.06,0.66142,0.099
1615920,0.135,2.86,0.58407,0.121
1615921,0.138,2.97,0.6217,0.11
1615922,0.173,3.64,0.66142,0.099
1615923,0.211,4.4,0.66142,0.099
1615924,0.615,8.75,0.51122,0.143
1615925,0.507,7.19,0.51122,0.143
1615926,0.547,7.41,0.44342,0.165
1615927,0.563,7.45,0.44342,0.165
1615928,0.537,7.15,0.44342,0.165
1615929,0.673,7.93,0.44342,0.165
1615930,0.674,8.13,0.44342,0.165
1615931,0.787,9.27,0.38107,0.187
1615932,1.01,11.83,0.38107,0.187
1615933,1.133,13.17,0.44342,0.165
1615934,1.072,12.97,0.32442,0.209
1615935,1.052,13.01,0.32442,0.209
