"nie_malla_modi_id","sen_slope_preau","sen_slope_per_preau","p_value_preau","tau_preau"
1589498,4.9,2.78,0.44342,0.165
1591900,4.857,2.71,0.44342,0.165
1591901,2.546,1.68,0.66142,0.099
1591914,0.826,0.73,0.91281,0.033
1591915,0.761,0.68,0.91281,0.033
1594301,4.685,2.47,0.51122,0.143
1594302,4.878,2.71,0.44342,0.165
1594303,4.985,2.9,0.44342,0.165
1594310,2.877,2.06,0.74256,0.077
1594311,2.66,1.93,0.74256,0.077
1594312,2.74,1.99,0.74256,0.077
1594315,1.429,1.18,1,0.011
1594316,0.363,0.32,1,0.011
1596703,4.882,2.65,0.44342,0.165
1596704,4.922,2.75,0.44342,0.165
1596705,4.8,2.77,0.44342,0.165
1596711,2.897,2.13,0.74256,0.077
1596712,2.852,2.09,0.74256,0.077
1596713,2.832,2.09,0.74256,0.077
1596714,2.96,2.17,0.74256,0.077
1596715,3.162,2.29,0.74256,0.077
1596716,0.453,0.39,1,0.011
1596717,0.233,0.2,1,0.011
1596718,0.066,0.06,1,0.011
1596719,-0.168,-0.15,1,-0.011
1599103,4.245,2.14,0.51122,0.143
1599104,4.475,2.33,0.51122,0.143
1599105,4.647,2.46,0.51122,0.143
1599106,4.895,2.69,0.44342,0.165
1599107,4.24,2.44,0.44342,0.165
1599108,2.393,1.57,0.66142,0.099
1599114,2.976,2.17,0.74256,0.077
1599115,2.804,2.08,0.74256,0.077
1599116,2.994,2.2,0.74256,0.077
1599117,2.982,2.2,0.74256,0.077
1599118,0.679,0.56,1,0.011
1599119,0.393,0.33,1,0.011
1599120,-0.222,-0.19,1,-0.011
1599121,-0.378,-0.33,1,-0.011
1601504,3.958,1.89,0.58407,0.121
1601505,4.1,1.98,0.58407,0.121
1601506,4.385,2.21,0.51122,0.143
1601507,4.447,2.29,0.51122,0.143
1601508,3.937,2.09,0.44342,0.165
1601509,3.89,2.21,0.44342,0.165
1601510,2.38,1.5,0.74256,0.077
1601516,2.745,1.98,0.74256,0.077
1601517,2.92,2.13,0.74256,0.077
1601518,2.755,1.96,0.74256,0.077
1601519,1.29,1.01,1,0.011
1601520,2.309,1.67,1,0.011
1601521,1.072,0.84,1,0.011
1601522,0.154,0.13,1,0.011
1601523,-0.158,-0.13,1,-0.011
1601524,-0.515,-0.46,1,-0.011
1601525,-0.42,-0.38,1,-0.011
1603905,4.067,1.76,0.58407,0.121
1603906,4.249,1.95,0.58407,0.121
1603907,3.893,1.78,0.58407,0.121
1603908,4.34,2.15,0.58407,0.121
1603909,3.743,1.86,0.58407,0.121
1603910,3.616,1.86,0.58407,0.121
1603911,3.453,1.91,0.44342,0.165
1603912,2.421,1.51,0.82667,0.055
1603918,2.56,1.88,0.74256,0.077
1603919,2.525,1.83,0.74256,0.077
1603920,2.235,1.56,0.74256,0.077
1603921,1.964,1.45,1,0.011
1603922,1.295,0.88,0.91281,0.033
1603923,2.026,1.48,1,0.011
1603924,1.121,0.86,1,0.011
1603925,-0.186,-0.15,1,-0.011
1603926,-0.718,-0.62,1,-0.011
1603927,-0.358,-0.32,1,-0.011
1606307,3.9,1.73,0.51122,0.143
1606308,3.632,1.59,0.51122,0.143
1606309,3.917,1.78,0.58407,0.121
1606310,4.109,1.95,0.58407,0.121
1606311,3.858,1.84,0.74256,0.077
1606312,3.67,1.86,0.66142,0.099
1606313,3.418,1.85,0.58407,0.121
1606314,2.969,1.66,0.66142,0.099
1606315,2.631,1.66,0.82667,0.055
1606320,1.94,1.37,0.74256,0.077
1606321,2.095,1.5,0.74256,0.077
1606322,1.79,1.24,0.74256,0.077
1606323,2.15,1.55,1,0.011
1606324,1.5,1.01,0.91281,0.033
1606325,1.7,1.13,0.91281,0.033
1606326,1.119,0.85,1,0.011
1606327,0.477,0.37,1,0.011
1606328,-0.625,-0.54,1,-0.011
1606329,-0.443,-0.39,1,-0.011
1606330,-0.233,-0.21,1,-0.011
1608708,3.492,1.38,0.74256,0.077
1608709,3.425,1.45,0.51122,0.143
