"nie_malla_modi_id","var"
1589498,"m05"
1591900,"m05"
1591901,"m05"
1591914,"m05"
1591915,"m05"
1594301,"m05"
1594302,"m05"
1594303,"m05"
1594310,"m05"
1594311,"m05"
1594312,"m05"
1594315,"m05"
1594316,"m05"
1596703,"m05"
1596704,"m05"
1596705,"m05"
1596711,"m05"
1596712,"m05"
1596713,"m05"
1596714,"m05"
1596715,"m05"
1596716,"m05"
1596717,"m05"
1596718,"m05"
1596719,"m05"
1599103,"m05"
1599104,"m05"
1599105,"m05"
1599106,"m05"
1599107,"m05"
1599108,"m05"
1599114,"m05"
1599115,"m05"
1599116,"m05"
1599117,"m05"
1599118,"m05"
1599119,"m05"
1599120,"m05"
1599121,"m05"
1601504,"m05"
1601505,"m05"
1601506,"m05"
1601507,"m05"
1601508,"m05"
1601509,"m05"
1601510,"m05"
1601516,"m05"
1601517,"m05"
1601518,"m05"
1601519,"m05"
1601520,"m05"
1601521,"m05"
1601522,"m05"
1601523,"m05"
1601524,"m05"
1601525,"m05"
1603905,"m05"
1603906,"m05"
1603907,"m05"
1603908,"m05"
1603909,"m05"
1603910,"m05"
1603911,"m05"
1603912,"m05"
1603918,"m05"
1603919,"m05"
1603920,"m05"
1603921,"m05"
1603922,"m05"
1603923,"m05"
1603924,"m05"
1603925,"m05"
1603926,"m05"
1603927,"m05"
1606307,"m05"
1606309,"m05"
1606310,"m05"
1606311,"m05"
1606312,"m05"
1606313,"m05"
1606314,"m05"
1606315,"m05"
1606320,"m05"
1606321,"m05"
1606322,"m05"
1606323,"m05"
1606324,"m05"
1606325,"m05"
1606326,"m05"
1606327,"m05"
1606328,"m05"
1606329,"m05"
1606330,"m05"
1608711,"m05"
1608713,"m05"
1608714,"m05"
1608715,"m05"
1608716,"m05"
1608717,"m05"
1608718,"m05"
1608719,"m05"
1608720,"m05"
1608721,"m05"
1608723,"m05"
1608724,"m05"
1608725,"m05"
1608726,"m05"
1608727,"m05"
1608728,"m05"
1608729,"m05"
1608730,"m05"
1608731,"m05"
1608732,"m05"
1611117,"m05"
