"nie_malla_modi_id","sen_slope_prem09","sen_slope_per_prem09","p_value_prem09","tau_prem09"
1589498,-0.016,-0.05,1,-0.011
1591900,0.007,0.02,1,0.011
1591901,0.125,0.47,0.82667,0.055
1591914,0.458,2.07,0.66142,0.099
1591915,0.457,2.07,0.66142,0.099
1594301,0.009,0.03,1,0.011
1594302,-0.002,-0.01,1,-0.011
1594303,-0.019,-0.06,0.91281,-0.033
1594310,-0.017,-0.07,1,-0.011
1594311,-0.102,-0.41,1,-0.011
1594312,-0.079,-0.32,1,-0.011
1594315,0.354,1.51,0.74256,0.077
1594316,0.368,1.65,0.66142,0.099
1596703,0.012,0.04,1,0.011
1596704,-0.006,-0.02,1,-0.011
1596705,0.009,0.03,1,0.011
1596711,-0.067,-0.27,1,-0.011
1596712,-0.117,-0.47,1,-0.011
1596713,-0.091,-0.37,1,-0.011
1596714,-0.07,-0.28,1,-0.011
1596715,-0.052,-0.21,1,-0.011
1596716,0.284,1.23,0.66142,0.099
1596717,0.277,1.21,0.66142,0.099
1596718,0.271,1.19,0.66142,0.099
1596719,0.273,1.21,0.66142,0.099
1599103,0.193,0.56,0.82667,0.055
1599104,0.018,0.05,1,0.011
1599105,0.152,0.47,1,0.011
1599106,0.099,0.31,1,0.011
1599107,0.031,0.1,1,0.011
1599108,0.08,0.3,0.82667,0.055
1599114,-0.112,-0.45,1,-0.011
1599115,-0.082,-0.33,1,-0.011
1599116,-0.062,-0.25,1,-0.011
1599117,-0.038,-0.15,1,-0.011
1599118,0.266,1.12,0.58407,0.121
1599119,0.236,1,0.58407,0.121
1599120,0.245,1.07,0.66142,0.099
1599121,0.285,1.25,0.66142,0.099
1601504,0.243,0.68,0.74256,0.077
1601505,0.26,0.74,0.82667,0.055
1601506,0.25,0.74,0.82667,0.055
1601507,0.235,0.7,1,0.011
1601508,0.199,0.61,1,0.011
1601509,0.074,0.24,1,0.011
1601510,0.177,0.64,0.91281,0.033
1601516,-0.108,-0.43,1,-0.011
1601517,-0.078,-0.31,1,-0.011
1601518,-0.06,-0.23,1,-0.011
1601519,0.342,1.38,0.58407,0.121
1601520,0.336,1.28,0.58407,0.121
1601521,0.315,1.27,0.58407,0.121
1601522,0.23,0.96,0.58407,0.121
1601523,0.2,0.84,0.58407,0.121
1601524,0.38,1.65,0.58407,0.121
1601525,0.4,1.75,0.58407,0.121
1603905,0.35,0.9,0.74256,0.077
1603906,0.258,0.7,0.82667,0.055
1603907,0.279,0.76,0.91281,0.033
1603908,0.28,0.81,0.91281,0.033
1603909,0.301,0.88,1,0.011
1603910,0.289,0.87,1,0.011
1603911,0.151,0.48,1,0.011
1603912,0.155,0.56,0.91281,0.033
1603918,-0.096,-0.38,1,-0.011
1603919,-0.071,-0.28,1,-0.011
1603920,-0.055,-0.21,1,-0.011
1603921,0.34,1.31,0.58407,0.121
1603922,0.489,1.78,0.54644,0.132
1603923,0.389,1.49,0.58407,0.121
1603924,0.33,1.3,0.66142,0.099
1603925,0.233,0.96,0.66142,0.099
1603926,0.29,1.23,0.66142,0.099
1603927,0.318,1.37,0.66142,0.099
1606307,0.252,0.67,0.82667,0.055
1606308,0.275,0.72,0.91281,0.033
1606309,0.287,0.78,0.91281,0.033
1606310,0.297,0.84,0.91281,0.033
1606311,0.32,0.91,0.95628,0.022
1606312,0.324,0.96,1,0.011
1606313,0.218,0.68,1,0.011
1606314,0.179,0.58,1,0.011
1606315,0.06,0.22,0.91281,0.033
1606320,-0.097,-0.37,1,-0.011
1606321,-0.067,-0.26,1,-0.011
1606322,-0.046,-0.17,1,-0.011
1606323,0.423,1.6,0.58407,0.121
1606324,0.54,1.94,0.74256,0.077
1606325,0.566,2.02,0.74256,0.077
1606326,0.353,1.37,0.66142,0.099
1606327,0.29,1.15,0.58407,0.121
1606328,0.249,1.05,0.66142,0.099
1606329,0.24,1.02,0.66142,0.099
1606330,0.227,0.98,0.66142,0.099
1608708,0.214,0.51,0.91281,0.033
1608709,0.269,0.69,0.91281,0.033
1608710,0.293,0.75,0.91281,0.033
1608711,0.297,0.8,0.91281,0.033
1608712,0.319,0.87,0.91281,0.033
1608713,0.334,0.93,0.91281,0.033
1608714,0.333,0.99,1,0.011
1608715,0.346,1.05,1,0.011
1608716,0.226,0.72,1,0.011
1608717,0.165,0.59,1,0.011
1608718,0.158,0.59,0.91281,0.033
1608719,0.132,0.49,0.91281,0.033
1608720,0.014,0.05,1,0.011
1608721,-0.126,-0.48,1,-0.011
1608723,-0.058,-0.22,1,-0.011
1608724,0.355,1.39,0.66142,0.099
1608725,0.519,1.9,0.74256,0.077
1608726,0.54,1.94,0.74256,0.077
1608727,0.508,1.85,0.74256,0.077
1608728,0.283,1.12,0.58407,0.121
1608729,0.224,0.9,0.58407,0.121
1608730,0.324,1.34,0.66142,0.099
1608731,0.3,1.26,0.66142,0.099
1608732,0.26,1.11,0.66142,0.099
1611108,0.204,0.48,0.91281,0.033
1611110,0.211,0.49,0.91281,0.033
1611111,0.156,0.38,1,0.011
1611112,0.143,0.35,1,0.011
1611113,0.319,0.83,0.91281,0.033
1611114,0.342,0.9,0.91281,0.033
1611115,0.353,0.96,0.91281,0.033
1611116,0.364,1.02,1,0.011
1611117,0.37,1.09,1,0.011
1611118,0.312,0.98,1,0.011
1611119,0.142,0.51,1,0.011
1611120,0.123,0.44,0.91281,0.033
1611121,0.099,0.36,0.91281,0.033
1611122,0.036,0.13,1,0.011
1611123,-0.128,-0.47,1,-0.011
1611124,-0.083,-0.32,1,-0.011
1611125,-0.049,-0.19,0.91281,-0.033
1611126,0.36,1.4,0.66142,0.099
1611127,0.486,1.79,0.74256,0.077
1611128,0.564,2,0.74256,0.077
1611129,0.504,1.82,0.74256,0.077
1611130,0.39,1.47,0.74256,0.077
1611131,0.365,1.38,0.74256,0.077
1611132,0.358,1.46,0.66142,0.099
1611133,0.333,1.39,0.66142,0.099
1611134,0.237,1,0.66142,0.099
1611135,0.222,0.94,0.66142,0.099
1613509,0.205,0.48,0.91281,0.033
1613510,0.211,0.49,0.91281,0.033
1613511,0.227,0.52,0.91281,0.033
1613512,0.217,0.5,0.91281,0.033
1613513,0.174,0.42,1,0.011
1613514,0.141,0.35,1,0.011
1613515,0.103,0.26,1,0.011
1613516,0.07,0.18,1,0.011
1613517,0.362,0.98,0.91281,0.033
1613518,0.371,1.05,1,0.011
1613519,0.371,1.11,1,0.011
1613520,0.182,0.6,1,0.011
1613521,0.128,0.47,0.91281,0.033
1613522,0.092,0.33,1,0.011
1613523,0.057,0.2,1,0.011
1613524,-0.024,-0.08,1,-0.011
1613525,-0.127,-0.45,1,-0.011
1613526,-0.09,-0.32,0.91281,-0.033
1613527,-0.052,-0.19,0.91281,-0.033
1613528,0.406,1.54,0.66142,0.099
1613529,0.499,1.82,0.74256,0.077
1613530,0.531,1.86,0.74256,0.077
1613531,0.513,1.77,0.74256,0.077
1613532,0.503,1.78,0.74256,0.077
1613533,0.251,0.98,0.66142,0.099
1613534,0.292,1.12,0.66142,0.099
1613535,0.335,1.38,0.74256,0.077
1613536,0.24,1,0.74256,0.077
1613537,0.222,0.93,0.74256,0.077
1613538,0.323,1.31,0.74256,0.077
1615910,0.209,0.5,0.91281,0.033
1615911,0.213,0.49,0.91281,0.033
1615912,0.227,0.52,0.91281,0.033
1615913,0.243,0.55,0.91281,0.033
1615914,0.246,0.55,0.91281,0.033
1615915,0.177,0.42,1,0.011
1615916,0.161,0.39,1,0.011
1615917,0.121,0.3,1,0.011
1615918,0.071,0.18,1,0.011
1615919,0.378,1.01,0.91281,0.033
1615920,0.366,1.06,1,0.011
1615921,0.366,1.12,1,0.011
1615922,0.349,1.09,1,0.011
1615923,0.268,0.87,1,0.011
1615924,0.05,0.17,1,0.011
1615925,0.035,0.13,0.91281,0.033
1615926,-0.03,-0.1,0.91281,-0.033
1615927,-0.045,-0.15,0.82667,-0.055
1615928,-0.085,-0.3,0.91281,-0.033
1615929,0.49,1.81,0.74256,0.077
1615930,0.41,1.55,0.74256,0.077
1615931,0.559,1.99,0.74256,0.077
1615932,0.523,1.81,0.74256,0.077
1615933,0.49,1.64,0.74256,0.077
1615934,0.48,1.69,0.74256,0.077
1615935,0.46,1.65,0.74256,0.077
1615936,0.311,1.18,0.66142,0.099
1615937,0.385,1.55,0.74256,0.077
1615938,0.288,1.18,0.74256,0.077
1615939,0.27,1.1,0.74256,0.077
1615940,0.25,1.02,0.74256,0.077
1618310,0.242,0.6,0.82667,0.055
1618311,0.229,0.56,0.91281,0.033
1618312,0.229,0.56,0.91281,0.033
1618313,0.218,0.52,0.91281,0.033
1618314,0.209,0.48,0.91281,0.033
1618315,0.24,0.54,0.91281,0.033
1618316,0.264,0.58,0.91281,0.033
1618317,0.184,0.43,1,0.011
1618318,0.163,0.38,1,0.011
1618319,0.129,0.31,1,0.011
1618320,0.071,0.18,1,0.011
1618321,0.378,1.02,1,0.011
1618322,0.365,1.08,1,0.011
1618323,0.401,1.15,1,0.011
1618324,0.296,0.94,1,0.011
1618325,0.388,1.21,0.91281,0.033
1618326,0.013,0.04,1,0.011
1618327,-0.014,-0.05,1,-0.011
1618328,-0.055,-0.19,0.91281,-0.033
1618329,-0.087,-0.29,0.91281,-0.033
1618330,-0.092,-0.31,0.91281,-0.033
1618331,0.52,1.87,0.74256,0.077
1618332,0.567,2.01,0.74256,0.077
1618333,0.533,1.86,0.74256,0.077
1618334,0.507,1.72,0.74256,0.077
1618335,0.473,1.58,0.74256,0.077
1618336,0.453,1.51,0.74256,0.077
1618337,0.437,1.51,0.74256,0.077
1618338,0.371,1.36,0.74256,0.077
1618339,0.297,1.12,0.66142,0.099
1618340,0.232,0.89,0.66142,0.099
1620712,0.235,0.57,0.91281,0.033
1620713,0.215,0.5,0.91281,0.033
1620714,0.21,0.49,0.91281,0.033
1620715,0.227,0.52,0.91281,0.033
1620716,0.239,0.54,0.91281,0.033
1620717,0.244,0.55,0.91281,0.033
1620718,0.241,0.54,0.91281,0.033
1620719,0.157,0.38,1,0.011
1620720,0.15,0.36,1,0.011
1620721,0.12,0.29,1,0.011
1620722,0.057,0.14,1,0.011
1620723,0.25,0.66,1,0.011
1620724,0.407,1.11,1,0.011
1620725,0.394,1.17,1,0.011
1620726,0.381,1.19,1,0.011
1620727,0.354,1.1,0.91281,0.033
1620728,-0.019,-0.06,1,-0.011
1620729,0.05,0.16,1,0.011
1620730,-0.064,-0.21,0.91281,-0.033
1620731,-0.099,-0.31,1,-0.011
1620732,0.569,1.93,0.74256,0.077
1620733,0.556,1.93,0.74256,0.077
1620734,0.542,1.87,0.74256,0.077
1620735,0.52,1.76,0.74256,0.077
1620736,0.49,1.64,0.74256,0.077
1620737,0.473,1.62,0.74256,0.077
1620738,0.46,1.62,0.74256,0.077
1620739,0.386,1.42,0.74256,0.077
1620740,0.289,1.09,0.66142,0.099
1623115,0.229,0.55,0.91281,0.033
1623116,0.211,0.49,0.91281,0.033
1623117,0.246,0.55,0.91281,0.033
1623118,0.274,0.59,0.91281,0.033
1623119,0.289,0.62,0.91281,0.033
1623120,0.284,0.61,0.91281,0.033
1623121,0.17,0.4,1,0.011
1623122,0.15,0.35,1,0.011
1623123,0.119,0.28,1,0.011
1623124,0.079,0.19,1,0.011
1623125,0.014,0.04,1,0.011
1623126,0.35,0.95,1,0.011
1623127,0.415,1.19,1,0.011
1623128,0.398,1.23,1,0.011
1623129,0.296,0.96,0.91281,0.033
1623130,-0.025,-0.08,1,-0.011
1623131,0.016,0.05,1,0.011
1623132,-0.11,-0.35,1,-0.011
1623133,-0.088,-0.27,1,-0.011
1623134,0.557,1.79,0.74256,0.077
1623135,0.533,1.7,0.74256,0.077
1623136,0.527,1.72,0.74256,0.077
1623137,0.503,1.65,0.74256,0.077
1623138,0.49,1.66,0.74256,0.077
1623139,0.48,1.72,0.74256,0.077
1623140,0.353,1.32,0.74256,0.077
1623141,0.286,1.09,0.66142,0.099
1623142,0.268,1.05,0.66142,0.099
1625520,0.249,0.55,0.91281,0.033
1625521,0.284,0.61,0.91281,0.033
1625522,0.283,0.61,0.91281,0.033
1625523,0.174,0.41,1,0.011
1625524,0.157,0.36,1,0.011
1625525,0.133,0.31,1,0.011
1625526,0.08,0.19,1,0.011
1625527,-0.003,-0.01,1,-0.011
1625528,-0.06,-0.16,1,-0.011
1625529,0.406,1.2,1,0.011
1625530,0.434,1.27,0.91281,0.033
1625531,0.292,0.91,0.91281,0.033
1625532,0.233,0.72,0.91281,0.033
1625533,0.188,0.59,1,0.011
1625534,0.297,0.91,1,0.011
1625535,0.127,0.39,1,0.011
1625536,0.537,1.67,0.74256,0.077
1625537,0.52,1.61,0.74256,0.077
1625538,0.503,1.56,0.74256,0.077
1625539,0.503,1.65,0.74256,0.077
1625540,0.497,1.72,0.74256,0.077
1625541,0.444,1.61,0.74256,0.077
1625542,0.269,1.04,0.66142,0.099
1625543,0.235,0.91,0.66142,0.099
1625544,0.39,1.56,0.74256,0.077
1627925,0.18,0.41,1,0.011
1627926,0.15,0.35,1,0.011
1627927,0.119,0.28,1,0.011
1627928,0.054,0.13,1,0.011
1627929,-0.017,-0.04,1,-0.011
1627930,0.426,1.17,1,0.011
1627931,0.431,1.22,1,0.011
1627932,0.417,1.25,0.91281,0.033
1627933,0.266,0.79,0.91281,0.033
1627934,0.67,2.07,0.82667,0.055
1627935,0.406,1.23,1,0.011
1627936,0.175,0.51,1,0.011
1627937,0.033,0.1,1,0.011
1627938,-0.033,-0.1,1,-0.011
1627939,0.54,1.76,0.74256,0.077
1627940,0.53,1.76,0.74256,0.077
1627941,0.513,1.76,0.74256,0.077
1627942,0.485,1.75,0.74256,0.077
1627943,0.347,1.31,0.74256,0.077
1627944,0.342,1.29,0.74256,0.077
1627945,0.261,1.01,0.66142,0.099
1627946,0.262,1.03,0.66142,0.099
1627947,0.36,1.43,0.66142,0.099
1627948,0.285,1.11,0.66142,0.099
1630328,0.161,0.36,1,0.011
1630329,0.117,0.27,1,0.011
1630330,0.054,0.13,1,0.011
1630331,-0.031,-0.08,1,-0.011
1630332,0.427,1.18,1,0.011
1630333,0.441,1.24,1,0.011
1630334,0.099,0.3,1,0.011
1630335,0.48,1.4,0.91281,0.033
