"nie_malla_modi_id","sen_slope_prem10","sen_slope_per_prem10","p_value_prem10","tau_prem10"
1589498,-0.96,-1.9,0.74256,-0.077
1591900,-0.956,-1.87,0.74256,-0.077
1591901,-0.156,-0.37,1,-0.011
1591914,-0.637,-2.11,0.51122,-0.143
1591915,-0.626,-2.09,0.51122,-0.143
1594301,-1.033,-1.91,0.82667,-0.055
1594302,-0.939,-1.83,0.74256,-0.077
1594303,-0.853,-1.74,0.74256,-0.077
1594310,-0.9,-2.37,0.91281,-0.033
1594311,-0.874,-2.34,0.66142,-0.099
1594312,-0.861,-2.32,0.66142,-0.099
1594315,-0.957,-2.96,0.51122,-0.143
1594316,-0.651,-2.16,0.51122,-0.143
1596703,-1,-1.9,0.74256,-0.077
1596704,-0.923,-1.81,0.74256,-0.077
1596705,-0.834,-1.69,0.82667,-0.055
1596711,-0.904,-2.44,0.91281,-0.033
1596712,-0.896,-2.41,0.82667,-0.055
1596713,-0.879,-2.39,0.66142,-0.099
1596714,-0.874,-2.37,0.66142,-0.099
1596715,-0.877,-2.36,0.66142,-0.099
1596716,-0.733,-2.35,0.51122,-0.143
1596717,-0.684,-2.22,0.51122,-0.143
1596718,-0.677,-2.22,0.51122,-0.143
1596719,-0.666,-2.22,0.51122,-0.143
1599103,-0.934,-1.65,0.82667,-0.055
1599104,-1.07,-1.95,0.82667,-0.055
1599105,-0.997,-1.85,0.82667,-0.055
1599106,-0.909,-1.76,0.82667,-0.055
1599107,-0.817,-1.65,0.82667,-0.055
1599108,-0.078,-0.18,0.91281,-0.033
1599114,-0.916,-2.46,0.82667,-0.055
1599115,-0.889,-2.43,0.66142,-0.099
1599116,-0.89,-2.42,0.66142,-0.099
1599117,-0.88,-2.41,0.66142,-0.099
1599118,-0.897,-2.77,0.51122,-0.143
1599119,-0.813,-2.55,0.51122,-0.143
1599120,-0.7,-2.28,0.51122,-0.143
1599121,-0.694,-2.28,0.51122,-0.143
1601504,-1.125,-1.88,0.82667,-0.055
1601505,-1.157,-1.96,0.82667,-0.055
1601506,-1.07,-1.9,0.82667,-0.055
1601507,-1.095,-1.99,0.82667,-0.055
1601508,-1.095,-2.05,0.82667,-0.055
1601509,-0.8,-1.6,0.82667,-0.055
1601510,-0.192,-0.44,1,-0.011
1601516,-0.94,-2.5,0.66142,-0.099
1601517,-0.921,-2.49,0.66142,-0.099
1601518,-0.939,-2.48,0.66142,-0.099
1601519,-1.147,-3.36,0.51122,-0.143
1601520,-1.077,-2.93,0.44342,-0.165
1601521,-1.137,-3.35,0.51122,-0.143
1601522,-0.85,-2.64,0.51122,-0.143
1601523,-0.763,-2.4,0.51122,-0.143
