"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
1589498,-1.6,-1.42,0.5436,-0.132
1591900,-2.182,-2.15,0.34593,-0.198
1591901,-1.778,-1.64,0.43881,-0.165
1591914,0,0,0.40967,-0.165
1591915,0,0,0.40967,-0.165
1594301,-1.6,-1.25,0.58026,-0.121
1594302,-1.778,-1.5,0.50695,-0.143
1594303,-1.778,-1.58,0.50695,-0.143
1594310,0,0,0.95556,0.022
1594311,0,0,1,-0.011
1594312,0,0,1,0.011
1594315,0,0,0.9099,0.033
1594316,0,0,0.90833,-0.033
1596703,1,0.81,0.6595,0.099
1596704,-0.636,-0.57,0.74004,-0.077
1596705,-1.333,-1.13,0.65689,-0.099
1596711,0,0,0.73532,-0.077
1596712,0,0,0.73532,-0.077
1596713,0,0,0.49153,-0.143
1596714,-0.889,-1.08,0.49896,-0.143
1596715,-1,-1.25,0.46459,-0.154
1596716,0,0,0.90833,-0.033
1596717,0,0,1,0.011
1596718,0,0,0.90833,-0.033
1596719,0,0,0.47975,-0.143
1599103,-0.545,-0.4,0.78249,-0.066
1599104,-0.889,-0.61,0.61923,-0.11
1599105,-2.667,-1.96,0.37964,-0.187
1599106,-2.667,-1.98,0.476,-0.154
1599107,-2.667,-1.99,0.32102,-0.209
1599108,1.455,1.42,0.6582,0.099
1599114,0,0,0.73745,-0.077
1599115,0,0,0.86499,-0.044
1599116,0,0,0.57151,-0.121
1599117,0,0,0.64939,-0.099
1599118,-0.889,-1.08,0.49896,-0.143
1599119,-0.889,-1.08,0.49896,-0.143
1599120,-1.6,-1.82,0.46459,-0.154
1599121,0,0,0.47975,-0.143
1601504,-0.545,-0.39,0.74004,-0.077
1601505,-0.889,-0.63,0.54237,-0.132
1601506,-2.667,-1.95,0.24768,-0.242
1601507,-2.667,-1.98,0.20547,-0.264
1601508,-2.667,-1.99,0.20547,-0.264
1601509,-2.667,-1.83,0.22517,-0.253
1601510,-1.273,-1.1,0.5818,-0.121
1601516,0,0,0.73423,-0.077
1601517,0,0,0.68511,-0.088
1601518,0,0,0.57151,-0.121
1601519,0,0,0.53475,-0.132
1601520,0,0,0.95579,0.022
1601521,-2.667,-2.19,0.61923,-0.11
1601522,-4.714,-4.34,0.37134,-0.187
1601523,0,0,0.65489,-0.099
1601524,-9.6,-10.94,0.10849,-0.319
1601525,-8,-11.02,0.07612,-0.33
1603905,-2,-1.34,0.31954,-0.209
1603906,-1.143,-0.83,0.6582,-0.099
1603907,0,0,0.78162,0.066
1603908,0,0,0.95597,-0.022
1603909,-1.333,-0.97,0.65917,-0.099
1603910,-1.333,-1.03,0.61923,-0.11
1603911,-2.667,-1.98,0.13601,-0.308
1603912,-2.667,-2.04,0.15215,-0.297
1603918,0,0,0.57151,-0.121
1603919,0,0,0.53562,-0.132
1603920,0,0,0.82494,-0.055
1603921,0,0,0.82441,-0.055
1603922,0.889,0.7,0.5052,0.143
1603923,0,0,0.86843,-0.044
1603924,0,0,1,0
1603925,0,0,0.91103,0.033
1603926,-7.385,-9.32,0.13612,-0.297
1603927,-8,-11.02,0.07612,-0.33
1606307,-2.667,-1.77,0.18039,-0.275
1606308,-2,-1.4,0.28968,-0.22
