"nie_malla_modi_id","sen_slope_pnm01","sen_slope_per_pnm01","p_value_pnm01","tau_pnm01"
1589498,0.407,8.32,0.0318,0.44
1591900,0.39,6.72,0.08792,0.352
1591901,0.15,4.93,0.17048,0.286
1591914,0.078,3.88,0.34937,0.198
1591915,0.078,4.03,0.40896,0.176
1594301,0.554,5.69,0.20547,0.264
1594302,0.402,6.76,0.06928,0.374
1594303,0.38,8.09,0.02401,0.462
1594310,0.309,7.33,0.0892,0.352
1594311,0.267,5.98,0.17048,0.286
1594312,0.295,7.25,0.11184,0.33
1594315,0.302,8.52,0.11184,0.33
1594316,0.067,3.38,0.40896,0.176
1596703,0.43,5.97,0.09814,0.341
1596704,0.402,6.85,0.06928,0.374
1596705,0.416,8.48,0.0318,0.44
1596711,0.248,7.77,0.0892,0.352
1596712,0.3,7.92,0.07041,0.374
1596713,0.29,7.23,0.11184,0.33
1596714,0.316,6.94,0.2073,0.264
1596715,0.47,10.17,0.07041,0.374
1596716,0.257,9.04,0.05499,0.396
1596717,0.252,9.31,0.07041,0.374
1596718,0.183,7.39,0.13878,0.308
1596719,0.064,3.21,0.34937,0.198
1599103,0.614,4.91,0.20547,0.264
1599104,0.488,4.81,0.16876,0.286
1599105,0.553,5.56,0.20547,0.264
1599106,0.431,6.12,0.1104,0.33
1599107,0.431,8.44,0.02401,0.462
1599108,0.39,9.44,0.0425,0.418
1599114,0.297,7.43,0.0892,0.352
1599115,0.282,7.22,0.0995,0.341
1599116,0.331,7.29,0.2073,0.264
1599117,0.422,8.69,0.11184,0.33
1599118,0.367,8.43,0.17048,0.286
1599119,0.27,8.22,0.17048,0.286
1599120,0.243,9.34,0.11184,0.33
1599121,0.166,6.99,0.17048,0.286
1601504,1.66,8.73,0.07041,0.374
1601505,1.603,8.65,0.05499,0.396
1601506,1.027,7.46,0.1104,0.33
1601507,1.067,8.17,0.1104,0.33
1601508,0.651,5.72,0.16876,0.286
1601509,0.421,6.48,0.05402,0.396
1601510,0.459,7.81,0.05499,0.396
1601516,0.319,7.5,0.11184,0.33
1601517,0.304,7.31,0.13878,0.308
1601518,0.55,8.67,0.07041,0.374
1601519,0.436,7.56,0.11184,0.33
1601520,0.73,8.83,0.0425,0.418
1601521,0.493,8.56,0.05499,0.396
1601522,0.358,9.45,0.05499,0.396
1601523,0.335,9.7,0.07041,0.374
1601524,0.074,3.1,0.17048,0.286
1601525,0.071,3.2,0.40896,0.176
1603905,1.748,8.19,0.10052,0.341
1603906,2.489,10.56,0.02149,0.473
1603907,3.192,12.76,0.02149,0.473
1603908,1.417,8.39,0.11184,0.33
1603909,1.634,9.07,0.07041,0.374
1603910,1.204,8.55,0.08792,0.352
1603911,0.583,7.43,0.08792,0.352
1603912,0.509,8.24,0.07041,0.374
1603918,0.295,7.53,0.0892,0.352
1603919,0.445,8.73,0.0995,0.341
1603920,0.61,8.93,0.03693,0.429
1603921,0.627,8.17,0.05499,0.396
1603922,0.915,8.05,0.0375,0.429
1603923,0.632,7.81,0.0892,0.352
1603924,0.53,8.01,0.06191,0.385
1603925,0.346,8.84,0.0892,0.352
1603926,0.3,9.11,0.0892,0.352
1603927,0.063,2.71,0.2073,0.264
1606307,3.649,13.06,0.02149,0.473
1606308,3.905,13.33,0.02149,0.473
1606309,3.16,12.24,0.02149,0.473
1606310,2.37,10.83,0.02149,0.473
1606311,2.822,12.9,0.02149,0.473
1606312,1.542,9.16,0.05499,0.396
1606313,0.903,8.02,0.08792,0.352
1606314,0.655,8.44,0.06928,0.374
1606315,0.546,8.63,0.05499,0.396
1606320,0.492,9.14,0.07041,0.374
1606321,0.505,8.67,0.0789,0.363
1606322,0.77,9.9,0.04807,0.407
1606323,0.67,7.71,0.05499,0.396
1606324,0.847,7.09,0.0627,0.385
1606325,0.96,7.83,0.10052,0.341
1606326,0.615,8.59,0.07041,0.374
1606327,0.456,7.48,0.0892,0.352
1606328,0.241,6.35,0.15339,0.297
1606329,0.195,6.17,0.2073,0.264
1606330,0.189,6.88,0.29754,0.22
1608708,3.81,11.54,0.02149,0.473
1608709,3.917,12.57,0.02854,0.451
1608710,4.26,13,0.0375,0.429
1608711,3.788,13.57,0.02149,0.473
1608712,3.745,13.65,0.01601,0.495
1608713,3.575,14.16,0.01601,0.495
1608714,1.63,9.68,0.05499,0.396
1608715,1.557,9.71,0.05499,0.396
1608716,0.69,6.5,0.08792,0.352
1608717,0.572,8.28,0.0425,0.418
1608718,0.512,8.69,0.05499,0.396
1608719,0.533,8.18,0.07041,0.374
1608720,0.553,8.23,0.05499,0.396
1608721,0.563,8.84,0.0892,0.352
1608723,0.559,8.84,0.07041,0.374
1608724,0.525,7.74,0.0325,0.44
1608725,0.995,8.9,0.04874,0.407
1608726,0.842,7.15,0.07041,0.374
1608727,0.84,7.74,0.0627,0.385
1608728,0.447,7.56,0.11184,0.33
1608729,0.403,7.71,0.0789,0.363
1608730,0.316,7.49,0.11184,0.33
1608731,0.29,7.71,0.0892,0.352
1608732,0.221,6.48,0.17048,0.286
1611108,4.83,12.85,0.02854,0.451
1611110,5.08,12.9,0.02149,0.473
1611111,4.924,12.3,0.0375,0.429
1611112,4.841,12.01,0.0375,0.429
1611113,3.836,12.17,0.04874,0.407
1611114,3.59,11.47,0.0375,0.429
1611115,3.742,13.61,0.02149,0.473
1611116,3.385,13.39,0.02149,0.473
1611117,2.683,12.78,0.01601,0.495
1611118,1.216,9.18,0.07041,0.374
1611119,0.653,9.77,0.0425,0.418
1611120,0.558,7.88,0.0425,0.418
1611121,0.587,7.56,0.07041,0.374
1611122,1.308,11.44,0.02458,0.462
1611123,0.838,9.98,0.0892,0.352
1611124,0.618,9.37,0.07041,0.374
1611125,0.591,8.97,0.05499,0.396
1611126,0.525,7.63,0.0325,0.44
1611127,0.85,8.4,0.0627,0.385
1611128,1.031,8.43,0.0798,0.363
1611129,0.925,8.56,0.0798,0.363
1611130,0.708,8.22,0.05499,0.396
1611131,0.735,8.74,0.0627,0.385
1611132,0.303,6.97,0.11184,0.33
1611133,0.292,7.24,0.0892,0.352
1611134,0.275,7.69,0.0892,0.352
1611135,0.21,6.46,0.13878,0.308
1613509,5.242,14.47,0.02854,0.451
1613510,5.621,12.93,0.04874,0.407
1613511,5.891,12.48,0.0375,0.429
1613512,6.008,13.9,0.04874,0.407
1613513,5.34,11.69,0.04874,0.407
1613514,4.83,11.26,0.0375,0.429
1613515,4.245,11.52,0.0375,0.429
1613516,4.008,11.16,0.0375,0.429
1613517,3.772,13.54,0.02149,0.473
1613518,3.265,12.97,0.02149,0.473
1613519,2.344,12.13,0.02149,0.473
1613520,0.563,8.68,0.05402,0.396
1613521,0.518,10.05,0.0425,0.418
1613522,0.778,9.49,0.07041,0.374
1613523,1.258,11.28,0.0325,0.44
1613524,1.555,11.2,0.0375,0.429
1613525,1.185,11.59,0.0211,0.473
1613526,1.133,11.47,0.0184,0.484
1613527,0.735,9.48,0.0425,0.418
1613528,0.679,8.72,0.0325,0.44
1613529,1.01,9.31,0.0627,0.385
1613530,1.047,8.04,0.10052,0.341
1613531,1.095,8.01,0.10052,0.341
1613532,1.068,8.77,0.10052,0.341
1613533,0.486,7.86,0.07041,0.374
1613534,0.713,9.51,0.07041,0.374
1613535,0.332,7.95,0.11184,0.33
1613536,0.347,9.09,0.11184,0.33
1613537,0.24,6.74,0.11184,0.33
1613538,0.371,7.7,0.0892,0.352
1615910,5.197,14.65,0.02854,0.451
1615911,5.609,12.41,0.04874,0.407
1615912,5.896,12.35,0.04874,0.407
1615913,5.856,11.21,0.0627,0.385
1615914,5.852,11.45,0.0627,0.385
1615915,5.502,11.16,0.04874,0.407
1615916,6.36,12.53,0.0798,0.363
1615917,5.525,12.43,0.0375,0.429
1615918,4.487,11.68,0.0375,0.429
1615919,3.637,12.02,0.04874,0.407
1615920,2.988,13.39,0.02854,0.451
1615921,1.412,9.5,0.0318,0.44
1615922,1.373,9.85,0.02401,0.462
1615923,0.883,8.2,0.06928,0.374
1615924,1.386,11.07,0.0184,0.484
1615925,0.998,10.04,0.05499,0.396
1615926,1.544,10.94,0.02854,0.451
1615927,1.484,9.86,0.02854,0.451
1615928,1.09,9.83,0.02149,0.473
1615929,0.851,8.56,0.04874,0.407
1615930,0.732,9.08,0.02458,0.462
1615931,0.879,7.25,0.10052,0.341
1615932,1.091,7.93,0.10052,0.341
1615933,1.235,7.65,0.10052,0.341
1615934,1.07,8.79,0.12531,0.319
1615935,1.045,9.46,0.04874,0.407
1615936,0.749,9.37,0.07041,0.374
1615937,0.438,8.9,0.07041,0.374
1615938,0.418,9.55,0.07041,0.374
1615939,0.365,8.48,0.07041,0.374
1615940,0.361,8.12,0.0892,0.352
1618310,3.293,12.2,0.02854,0.451
1618311,3.732,12.41,0.02149,0.473
1618312,3.736,11.59,0.02149,0.473
1618313,5.11,14.74,0.02854,0.451
1618314,5.17,12.33,0.0627,0.385
1618315,5.821,11.16,0.0627,0.385
1618316,6.812,12.08,0.0627,0.385
1618317,6.598,12.58,0.0798,0.363
1618318,6.49,12.55,0.0892,0.352
1618319,6.229,12.39,0.10052,0.341
1618320,4.71,11.16,0.0627,0.385
1618321,3.807,13.09,0.0375,0.429
1618322,2.409,12.1,0.01601,0.495
1618323,2.845,12,0.0086,0.538
1618324,1.05,9.29,0.06928,0.374
1618325,1.325,8.78,0.0184,0.484
1618326,1.713,10.02,0.02854,0.451
1618327,1.547,9.28,0.0375,0.429
