"nie_malla_modi_id","sen_slope_tempm11","sen_slope_per_tempm11","p_value_tempm11","tau_tempm11"
1589498,0.072,0.83,0.66142,0.099
1591900,0.074,0.86,0.66142,0.099
1591901,0.07,0.78,0.66142,0.099
1591914,0.065,0.75,0.58407,0.121
1591915,0.055,0.63,0.58407,0.121
1594301,0.081,0.98,0.66142,0.099
1594302,0.078,0.9,0.66142,0.099
1594303,0.074,0.84,0.66142,0.099
1594310,0.071,0.83,0.66142,0.099
1594311,0.068,0.79,0.66142,0.099
1594312,0.066,0.78,0.74256,0.077
1594315,0.073,0.88,0.66142,0.099
1594316,0.073,0.83,0.6217,0.11
1596703,0.081,0.96,0.66142,0.099
1596704,0.081,0.94,0.66142,0.099
1596705,0.079,0.9,0.66142,0.099
1596711,0.07,0.79,0.66142,0.099
1596712,0.068,0.78,0.66142,0.099
1596713,0.068,0.79,0.66142,0.099
1596714,0.068,0.8,0.66142,0.099
1596715,0.066,0.8,0.74256,0.077
1596716,0.067,0.78,0.70113,0.088
1596717,0.072,0.83,0.66142,0.099
1596718,0.072,0.84,0.66142,0.099
1596719,0.076,0.87,0.6217,0.11
1599103,0.085,1.05,0.66142,0.099
1599104,0.084,1.02,0.66142,0.099
1599105,0.086,1.04,0.66142,0.099
1599106,0.084,0.99,0.66142,0.099
1599107,0.079,0.91,0.66142,0.099
1599108,0.076,0.87,0.66142,0.099
1599114,0.071,0.83,0.66142,0.099
1599115,0.069,0.8,0.66142,0.099
1599116,0.07,0.83,0.66142,0.099
1599117,0.066,0.8,0.66142,0.099
1599118,0.062,0.75,0.66142,0.099
1599119,0.068,0.81,0.74256,0.077
1599120,0.07,0.82,0.66142,0.099
1599121,0.071,0.82,0.66142,0.099
1601504,0.082,1.07,0.66142,0.099
1601505,0.086,1.13,0.66142,0.099
1601506,0.083,1.04,0.66142,0.099
1601507,0.083,1.03,0.66142,0.099
1601508,0.087,1.07,0.66142,0.099
1601509,0.082,0.96,0.66142,0.099
1601510,0.085,0.99,0.66142,0.099
1601516,0.075,0.88,0.66142,0.099
1601517,0.074,0.87,0.66142,0.099
1601518,0.071,0.87,0.66142,0.099
1601519,0.072,0.9,0.66142,0.099
1601520,0.074,0.98,0.66142,0.099
1601521,0.066,0.83,0.74256,0.077
1601522,0.065,0.78,0.74256,0.077
1601523,0.068,0.81,0.74256,0.077
1601524,0.069,0.81,0.66142,0.099
1601525,0.071,0.83,0.66142,0.099
1603905,0.077,1.02,0.66142,0.099
1603906,0.09,1.24,0.66142,0.099
1603907,0.089,1.25,0.66142,0.099
1603908,0.082,1.06,0.66142,0.099
1603909,0.084,1.1,0.66142,0.099
1603910,0.082,1.04,0.66142,0.099
1603911,0.086,1.03,0.66142,0.099
1603912,0.09,1.06,0.66142,0.099
1603918,0.075,0.87,0.66142,0.099
1603919,0.076,0.91,0.66142,0.099
1603920,0.075,0.93,0.66142,0.099
1603921,0.076,0.99,0.66142,0.099
1603922,0.076,1.06,0.66142,0.099
1603923,0.074,0.98,0.74256,0.077
1603924,0.066,0.85,0.74256,0.077
1603925,0.063,0.77,0.74256,0.077
1603926,0.063,0.76,0.74256,0.077
1603927,0.065,0.76,0.74256,0.077
1606307,0.09,1.3,0.66142,0.099
1606308,0.081,1.22,0.66142,0.099
1606309,0.089,1.26,0.66142,0.099
1606310,0.09,1.22,0.66142,0.099
1606311,0.091,1.26,0.66142,0.099
1606312,0.082,1.06,0.66142,0.099
1606313,0.084,1.03,0.66142,0.099
1606314,0.087,1.05,0.66142,0.099
1606315,0.09,1.07,0.66142,0.099
1606320,0.08,0.96,0.66142,0.099
1606321,0.08,0.96,0.66142,0.099
1606322,0.079,1,0.66142,0.099
1606323,0.08,1.06,0.66142,0.099
1606324,0.073,1.04,0.66142,0.099
1606325,0.073,1.06,0.74256,0.077
1606326,0.065,0.85,0.74256,0.077
1606327,0.059,0.76,0.74256,0.077
1606328,0.061,0.74,0.74256,0.077
1606329,0.064,0.77,0.74256,0.077
1606330,0.065,0.77,0.74256,0.077
1608708,0.083,1.27,0.66142,0.099
1608709,0.073,1.13,0.66142,0.099
1608710,0.067,1.08,0.74256,0.077
1608711,0.083,1.21,0.66142,0.099
1608712,0.079,1.15,0.66142,0.099
1608713,0.08,1.14,0.66142,0.099
1608714,0.084,1.09,0.66142,0.099
1608715,0.084,1.08,0.66142,0.099
1608716,0.086,1.05,0.66142,0.099
1608717,0.086,1.03,0.66142,0.099
1608718,0.09,1.06,0.66142,0.099
1608719,0.086,1.03,0.66142,0.099
1608720,0.089,1.07,0.66142,0.099
1608721,0.089,1.07,0.66142,0.099
1608723,0.081,0.99,0.66142,0.099
1608724,0.08,1.01,0.66142,0.099
1608725,0.074,1.03,0.66142,0.099
1608726,0.073,1.04,0.66142,0.099
1608727,0.077,1.09,0.74256,0.077
1608728,0.064,0.82,0.74256,0.077
1608729,0.057,0.72,0.74256,0.077
1608730,0.058,0.71,0.74256,0.077
1608731,0.057,0.7,0.74256,0.077
1608732,0.062,0.74,0.74256,0.077
1611108,0.076,1.26,0.66142,0.099
1611110,0.069,1.16,0.66142,0.099
1611111,0.057,1,0.74256,0.077
1611112,0.05,0.89,0.74256,0.077
1611113,0.069,1.08,0.74256,0.077
1611114,0.064,1.02,0.74256,0.077
1611115,0.07,1.05,0.74256,0.077
1611116,0.079,1.13,0.66142,0.099
1611117,0.09,1.22,0.66142,0.099
