"nie_malla_modi_id","sen_slope_prem06","sen_slope_per_prem06","p_value_prem06","tau_prem06"
1711954,-0.098,-0.71,0.70113,-0.088
1711955,-0.138,-1.01,0.78313,-0.066
1711956,-0.1,-0.72,0.78313,-0.066
1711957,-0.02,-0.14,0.86883,-0.044
1711958,0,0,0.9122,-0.033
1711959,-0.07,-0.47,0.95628,-0.022
1711960,0,0,1,0
1711961,0,0,1,0
1711962,-0.031,-0.19,0.95628,-0.022
1711963,-0.001,-0.01,0.95628,-0.022
1711964,-0.076,-0.45,0.86935,-0.044
1711965,-0.143,-0.84,0.78398,-0.066
1711966,-0.156,-0.94,0.78398,-0.066
1711967,-0.16,-0.96,0.6217,-0.11
1711968,-0.149,-0.91,0.70113,-0.088
1711969,-0.144,-0.87,0.78398,-0.066
1711970,-0.14,-0.82,0.70113,-0.088
1711971,-0.19,-1.1,0.70113,-0.088
1711972,-0.208,-1.25,0.70113,-0.088
1711973,-0.322,-1.9,0.6217,-0.11
1711974,-0.318,-1.91,0.6217,-0.11
1711975,-0.306,-1.95,0.6217,-0.11
1711976,-0.308,-1.94,0.6217,-0.11
1711977,-0.352,-2.28,0.6217,-0.11
1711978,-0.398,-2.54,0.6217,-0.11
1711979,-0.408,-2.6,0.6217,-0.11
1711980,-0.444,-2.81,0.6217,-0.11
1711981,-0.316,-2.11,0.6217,-0.11
1711982,-0.28,-2.02,0.6217,-0.11
1711983,-0.272,-1.96,0.6217,-0.11
1711984,-0.262,-2,0.6217,-0.11
1711985,-0.258,-1.94,0.6217,-0.11
1711986,-0.213,-1.63,0.6217,-0.11
1711987,-0.147,-1.18,0.6217,-0.11
1711988,-0.186,-1.4,0.6217,-0.11
1711989,-0.252,-1.82,0.6217,-0.11
1711990,-0.31,-2.17,0.6217,-0.11
1711991,-0.38,-2.6,0.6217,-0.11
1711992,-0.416,-2.83,0.6217,-0.11
1711993,-0.322,-2.27,0.6217,-0.11
1711994,-0.258,-1.9,0.6217,-0.11
1711995,-0.258,-1.98,0.6217,-0.11
1711996,-0.258,-2.06,0.6217,-0.11
1711997,-0.24,-2.01,0.70113,-0.088
1711998,-0.189,-1.7,0.70113,-0.088
1711999,-0.142,-1.35,0.70113,-0.088
1712000,-0.08,-0.89,0.78398,-0.066
1712001,-0.077,-0.93,0.6217,-0.11
1712002,-0.079,-0.98,0.6217,-0.11
1712003,-0.081,-0.95,0.70113,-0.088
1712004,-0.154,-1.63,0.70113,-0.088
1712005,-0.215,-2.1,0.70113,-0.088
1712006,-0.222,-2.02,0.70113,-0.088
1712007,-0.228,-1.98,0.6217,-0.11
1712008,-0.23,-2.16,0.70113,-0.088
1712009,-0.212,-2.14,0.70113,-0.088
1712010,-0.165,-1.74,0.70113,-0.088
1712011,-0.175,-1.82,0.70113,-0.088
1712012,-0.159,-1.68,0.78398,-0.066
1712013,-0.085,-0.97,0.86935,-0.044
1712014,-0.138,-1.75,0.86935,-0.044
1712015,-0.094,-1.12,0.78398,-0.066
1712016,-0.056,-0.63,0.78398,-0.066
1712017,-0.052,-0.57,0.86935,-0.044
1712018,-0.062,-0.68,0.86935,-0.044
1712019,-0.072,-0.84,0.78398,-0.066
1712020,-0.042,-0.52,0.86935,-0.044
1712021,-0.052,-0.61,0.86935,-0.044
1712022,-0.038,-0.48,0.86935,-0.044
1712023,0,0,1,0
1712024,0,0,1,0
1712025,-0.03,-0.37,0.78398,-0.066
1712026,-0.072,-0.83,0.78398,-0.066
1712027,-0.057,-0.67,0.78398,-0.066
1712028,-0.032,-0.4,0.86935,-0.044
1712029,0,0,1,0
1712030,-0.032,-0.45,0.95628,-0.022
1712031,-0.032,-0.42,0.86935,-0.044
1712032,-0.031,-0.41,0.86935,-0.044
1712033,-0.031,-0.44,0.95628,-0.022
1712034,0.017,0.18,1,0.011
1712035,0.018,0.2,0.91281,0.033
1712036,0.02,0.2,1,0.011
1712037,0.112,1.45,0.74256,0.077
1712038,0.513,4.91,0.58407,0.121
1712039,0.539,5.12,0.58407,0.121
1712040,0.584,5.53,0.51122,0.143
1712041,1.057,9.51,0.27356,0.231
1712042,0.998,9.15,0.22844,0.253
1712043,0.947,9.17,0.12531,0.319
1712044,0.987,10.11,0.15463,0.297
1712045,0.969,10.35,0.15463,0.297
1712046,0.929,9.61,0.12531,0.319
1712047,0.949,9.93,0.15463,0.297
1712050,0.951,11.15,0.15463,0.297
1712051,0.941,10.96,0.17048,0.286
1712052,0.926,10.51,0.18889,0.275
1712053,1.004,11.14,0.18889,0.275
1712054,1.057,11.65,0.18889,0.275
1712055,1.086,12.06,0.22844,0.253
1712056,1.087,12.36,0.22844,0.253
1712057,1.073,12.62,0.22844,0.253
1712058,1.042,13.24,0.15463,0.297
1712059,1.007,13.22,0.12531,0.319
