"nie_malla_modi_id","sen_slope_pnm03","sen_slope_per_pnm03","p_value_pnm03","tau_pnm03"
1589498,0,0,0.36781,0.165
1591900,0,0,0.44016,0.143
1591901,0,0,0.46383,0.143
1591914,0,0,0.44016,0.143
1591915,0,0,0.44016,0.143
1594301,0,0,0.7688,0.066
1594302,0,0,0.44016,0.143
1594303,0,0,0.44016,0.143
1594310,0.008,0.64,0.21699,0.242
1594311,0,0,0.52901,0.132
1594312,0,0,0.39274,0.165
1594315,0,0,0.39274,0.165
1594316,0,0,0.39274,0.165
1596703,0,0,0.90282,0.033
1596704,0,0,0.44016,0.143
1596705,0,0,0.44016,0.143
1596711,0.005,0.44,0.21699,0.242
1596712,0.006,0.53,0.17632,0.264
1596713,0.002,0.15,0.33061,0.198
1596714,0,0,0.45689,0.154
1596715,0.002,0.13,0.35906,0.187
1596716,0,0,0.32869,0.187
1596717,0,0,0.39274,0.165
1596718,0,0,0.35893,0.176
1596719,0,0,0.35893,0.176
1599103,0,0,0.7688,0.066
1599104,0,0,0.86,0.044
1599105,0,0,0.7688,0.066
1599106,0,0,0.32869,0.187
1599107,0,0,0.44016,0.143
1599108,0.005,0.39,0.21699,0.242
1599114,0.007,0.59,0.17632,0.264
1599115,0.007,0.57,0.17632,0.264
1599116,0,0,0.45689,0.154
1599117,0,0,0.52901,0.132
1599118,0,0,0.52901,0.132
1599119,0,0,0.39274,0.165
1599120,0,0,0.35893,0.176
1599121,0,0,0.39274,0.165
1601504,0,0,0.86,0.044
1601505,0,0,0.7688,0.066
1601506,0,0,0.86,0.044
1601507,0,0,0.7688,0.066
1601508,0,0,0.81377,0.055
1601509,0,0,0.44016,0.143
1601510,0.005,0.3,0.17632,0.264
1601516,0,0,0.45689,0.154
1601517,0,0,0.45689,0.154
1601518,0,0,0.52901,0.132
1601519,0,0,0.52901,0.132
1601520,0,0,0.52901,0.132
1601521,0,0,0.52901,0.132
1601522,0,0,0.72383,0.077
1601523,0,0,0.7688,0.066
1601524,0,0,0.32869,0.187
1601525,0,0,0.32869,0.187
1603905,0,0,0.7688,0.066
1603906,0,0,0.91056,0.033
1603907,0,0,0.91166,0.033
1603908,0,0,0.7688,0.066
1603909,0,0,0.7688,0.066
1603910,0,0,0.86,0.044
1603911,0,0,0.7688,0.066
1603912,0.006,0.35,0.21699,0.242
1603918,0.006,0.5,0.17632,0.264
1603919,0,0,0.45689,0.154
1603920,0,0,0.52901,0.132
1603921,0,0,0.52901,0.132
1603922,0,0,1,0
1603923,0,0,0.60651,0.11
1603924,0,0,0.52901,0.132
1603925,0,0,0.7688,0.066
1603926,0,0,0.86,0.044
1603927,0,0,0.32869,0.187
1606307,0.02,0.23,0.66046,0.099
1606308,0.36,3.14,0.54644,0.132
1606309,0,0,0.91166,0.033
1606310,0,0,0.68871,0.088
1606311,0,0,0.82224,0.055
1606312,0,0,0.68069,0.088
1606313,0,0,0.7688,0.066
1606314,0,0,0.68069,0.088
1606315,0,0,0.45689,0.154
1606320,0,0,0.45689,0.154
1606321,0,0,0.52901,0.132
1606322,0,0,0.52901,0.132
1606323,0,0,0.52901,0.132
1606324,-0.086,-1.68,0.78398,-0.066
1606325,-0.227,-3.62,0.476,-0.154
1606326,0,0,0.52901,0.132
1606327,0,0,0.60651,0.11
1606328,0,0,0.60651,0.11
1606329,0,0,0.7688,0.066
1606330,0,0,0.7688,0.066
1608708,0.36,2.78,0.54483,0.132
1608709,0.053,0.38,0.86935,0.044
1608710,0.267,1.62,0.86935,0.044
1608711,0.354,3.48,0.476,0.154
1608712,0.328,3.14,0.54644,0.132
1608713,0.367,3.94,0.41085,0.176
1608714,0,0,0.68069,0.088
1608715,0,0,0.68069,0.088
1608716,0,0,0.7688,0.066
1608717,0,0,0.45689,0.154
1608718,0,0,0.52901,0.132
1608719,0,0,0.45689,0.154
1608720,0,0,0.60651,0.11
1608721,0,0,0.56649,0.121
1608723,0,0,0.52901,0.132
1608724,0,0,0.52901,0.132
1608725,0.01,0.25,0.65722,0.099
1608726,-0.102,-1.99,0.70113,-0.088
1608727,-0.102,-2.1,0.70113,-0.088
1608728,0,0,0.52901,0.132
1608729,0,0,0.60651,0.11
1608730,0,0,0.60651,0.11
1608731,0,0,0.60651,0.11
1608732,0,0,0.7688,0.066
1611108,0.008,0.05,0.91255,0.033
1611110,0.01,0.05,0.82615,0.055
1611111,0.273,1.21,0.86935,0.044
1611112,-0.019,-0.08,0.91281,-0.033
1611113,0.187,1.2,0.86935,0.044
1611114,0.107,0.65,0.95628,0.022
1611115,0.38,2.99,0.70113,0.088
1611116,0.281,2.75,0.54644,0.132
1611117,0,0,0.82224,0.055
1611118,0,0,0.7688,0.066
1611119,0,0,0.45689,0.154
1611120,0,0,0.45689,0.154
1611121,0,0,0.45689,0.154
1611122,0,0,0.45689,0.154
1611123,0,0,0.60651,0.11
1611124,0,0,0.45689,0.154
1611125,0,0,0.52901,0.132
1611126,0,0,0.52901,0.132
1611127,0,0,0.45689,0.154
1611128,-0.22,-3.64,0.54644,-0.132
1611129,-0.194,-3.73,0.58294,-0.121
1611130,0.003,0.09,0.73927,0.077
1611131,0.006,0.17,0.78313,0.066
1611132,0,0,0.60651,0.11
1611133,0,0,0.60651,0.11
1611134,0,0,0.95312,0.022
1611135,0,0,0.86,0.044
1613509,0.01,0.06,0.86883,0.044
1613510,0.01,0.05,0.82615,0.055
1613511,0.272,1.16,0.70113,0.088
1613512,0.062,0.3,0.86935,0.044
1613513,0.448,1.6,0.74256,0.077
1613514,0.1,0.41,1,0.011
1613515,0.077,0.35,0.95628,0.022
1613516,0.127,0.61,0.95628,0.022
1613517,0.102,0.73,0.86935,0.044
1613518,0.26,2.48,0.6217,0.11
1613519,0,0,0.52901,0.132
1613520,0,0,0.68069,0.088
1613521,0.005,0.3,0.21699,0.242
1613522,0,0,0.45689,0.154
1613523,0,0,0.52901,0.132
1613524,0,0,0.52901,0.132
1613525,0,0,0.52901,0.132
1613526,0,0,0.52901,0.132
1613527,0,0,0.52901,0.132
1613528,0,0,0.52901,0.132
1613529,0.01,0.25,0.5791,0.121
1613530,-0.29,-4.43,0.476,-0.154
1613531,-0.347,-4.15,0.38107,-0.187
1613532,-0.343,-4.83,0.32442,-0.209
1613533,0,0,0.68871,0.088
1613534,0.004,0.14,0.78313,0.066
1613535,0,0,0.68871,0.088
1613536,0,0,0.68871,0.088
1613537,0,0,0.77477,0.066
1613538,0,0,0.68871,0.088
1615910,0.01,0.07,0.86883,0.044
1615911,0.01,0.05,0.95628,0.022
1615912,0.112,0.48,0.78398,0.066
1615913,0.785,2.9,0.78398,0.066
1615914,0.8,2.85,0.66142,0.099
1615915,0.803,2.69,0.58407,0.121
1615916,1.085,3.46,0.51122,0.143
1615917,0.61,2.15,0.82667,0.055
1615918,0.007,0.03,0.95628,0.022
1615919,0.133,0.81,0.95628,0.022
1615920,0,0,0.91166,0.033
1615921,0,0,0.59673,0.11
1615922,0,0,0.68069,0.088
1615923,0,0,0.72383,0.077
1615924,0,0,0.45689,0.154
1615925,0,0,0.60651,0.11
1615926,0,0,0.45689,0.154
1615927,0.024,0.44,0.43168,0.165
1615928,0,0,0.45689,0.154
1615929,0,0,0.45689,0.154
1615930,0,0,0.45689,0.154
1615931,-0.16,-2.72,0.58294,-0.121
1615932,-0.319,-3.75,0.476,-0.154
1615933,-0.481,-4.16,0.58407,-0.121
1615934,-0.348,-4.64,0.32442,-0.209
1615935,-0.328,-4.8,0.27356,-0.231
1615936,-0.062,-1.97,0.54644,-0.132
1615937,0,0,0.68871,0.088
1615938,0,0,0.60651,0.11
1615939,0,0,0.68871,0.088
1615940,0,0,0.68871,0.088
1618310,-0.002,-0.02,0.73927,-0.077
1618311,0.331,2.93,0.47422,0.154
1618312,0.13,1.16,0.47422,0.154
1618313,0.01,0.07,0.86883,0.044
1618314,0.012,0.06,0.82615,0.055
1618315,0.825,3.1,0.70113,0.088
1618316,1.762,5.54,0.51122,0.143
1618317,0.993,2.97,0.58407,0.121
1618318,1.025,3.03,0.66142,0.099
1618319,1.095,3.4,0.51122,0.143
1618320,0.427,1.61,0.91281,0.033
1618321,0.33,2.17,0.86935,0.044
1618322,0.004,0.07,0.57435,0.121
1618323,0.15,1.4,0.54644,0.132
1618324,0,0,0.7688,0.066
1618325,0,0,0.52901,0.132
1618326,0.037,0.6,0.43741,0.165
1618327,0.024,0.38,0.5791,0.121
1618328,0.019,0.37,0.39066,0.176
1618329,0,0,1,0
1618330,0.028,0.46,0.6217,0.11
1618331,0,0,0.73612,0.077
1618332,0,0,0.9561,-0.022
1618333,-0.228,-3.39,0.54644,-0.132
1618334,-0.358,-3.65,0.476,-0.154
1618335,-0.527,-4.44,0.51122,-0.143
1618336,-0.608,-4.94,0.44342,-0.165
1618337,-0.45,-4.57,0.22844,-0.253
1618338,-0.216,-3.71,0.32442,-0.209
1618339,-0.165,-4.09,0.51122,-0.143
1618340,0,0,1,0
1620712,0,0,1,0
1620713,0,0,1,0.011
1620714,0.012,0.06,0.95628,0.022
1620715,0.277,1.18,0.70113,0.088
1620716,0.85,3.17,0.82667,0.055
1620717,0.888,3.14,0.58407,0.121
1620718,0.87,3.15,0.66142,0.099
1620719,1.04,3.5,0.58407,0.121
1620720,1.015,3.06,0.66142,0.099
1620721,1.195,3.65,0.58407,0.121
1620722,0.078,0.3,0.91281,0.033
1620723,0.196,1.05,0.78398,0.066
1620724,0.104,0.67,0.95628,0.022
1620725,0.022,0.33,0.5791,0.121
1620726,0,0,0.45689,0.154
1620727,0,0,0.45689,0.154
1620728,0.22,2.44,0.41085,0.176
1620729,0.11,0.98,0.86935,0.044
1620730,0.02,0.33,0.65722,0.099
1620731,0,0,1,0
