"nie_malla_modi_id","sen_slope_presp","sen_slope_per_presp","p_value_presp","tau_presp"
1611131,-3.798,-3.73,0.18889,-0.275
1611132,-3.55,-3.71,0.18889,-0.275
1611133,-3.6,-3.81,0.22844,-0.253
1611134,-3.648,-3.91,0.22844,-0.253
1611135,-3.684,-3.98,0.27356,-0.231
1613509,-0.243,-0.19,0.91281,-0.033
1613510,-0.199,-0.15,0.91281,-0.033
1613511,-0.211,-0.16,0.91281,-0.033
1613512,-0.255,-0.19,0.91281,-0.033
1613513,-2.06,-1.62,0.82667,-0.055
1613514,-2.481,-1.98,0.82667,-0.055
1613515,-2.883,-2.35,0.74256,-0.077
1613516,-2.913,-2.38,0.74256,-0.077
1613517,-2.778,-2.37,0.74256,-0.077
1613518,-2.775,-2.44,0.74256,-0.077
1613519,-3.259,-2.98,0.74256,-0.077
1613520,-2.667,-2.63,0.66142,-0.099
1613521,-1.782,-1.81,0.58407,-0.121
1613522,-1.77,-1.74,0.38107,-0.187
1613523,-2.08,-2,0.27356,-0.231
1613524,-2.814,-2.64,0.27356,-0.231
1613525,-2.81,-2.71,0.18889,-0.275
1613526,-2.02,-1.96,0.12531,-0.319
1613527,-2.274,-2.26,0.10052,-0.341
1613528,-3.31,-3.26,0.18889,-0.275
1613529,-3.498,-3.34,0.15463,-0.297
1613530,-4,-3.7,0.15463,-0.297
1613531,-4.352,-3.98,0.15463,-0.297
1613532,-4.08,-3.8,0.18889,-0.275
1613533,-3.91,-3.95,0.22844,-0.253
1613534,-4.136,-4.11,0.22844,-0.253
1613535,-3.611,-3.8,0.22844,-0.253
1613536,-3.663,-3.9,0.22844,-0.253
1613537,-3.701,-3.96,0.27356,-0.231
1613538,-3.667,-3.81,0.22844,-0.253
1615910,-0.248,-0.2,0.91281,-0.033
1615911,-0.238,-0.18,0.91281,-0.033
1615912,-0.206,-0.16,0.91281,-0.033
1615913,-0.134,-0.1,1,-0.011
1615914,-0.11,-0.08,1,-0.011
1615915,-2.02,-1.57,0.82667,-0.055
1615916,-2.31,-1.78,0.82667,-0.055
1615917,-2.99,-2.35,0.74256,-0.077
1615918,-2.852,-2.3,0.74256,-0.077
1615919,-2.693,-2.26,0.74256,-0.077
1615920,-3.132,-2.81,0.74256,-0.077
1615921,-3.301,-3.09,0.74256,-0.077
1615922,-3.287,-3.1,0.66142,-0.099
1615923,-3.32,-3.21,0.66142,-0.099
1615924,-2.052,-1.94,0.32442,-0.209
1615925,-2.12,-2.05,0.27356,-0.231
1615926,-2.515,-2.36,0.27356,-0.231
1615927,-2.765,-2.57,0.15463,-0.297
1615928,-2.197,-2.1,0.12531,-0.319
1615929,-3.334,-3.21,0.15463,-0.297
1615930,-3.4,-3.34,0.18889,-0.275
1615931,-3.746,-3.5,0.15463,-0.297
1615932,-4.292,-3.92,0.18889,-0.275
1615933,-4.272,-3.81,0.15463,-0.297
1615934,-4.27,-3.96,0.18889,-0.275
1615935,-4.362,-4.11,0.18889,-0.275
1615936,-4.346,-4.28,0.18889,-0.275
1615937,-3.597,-3.72,0.22844,-0.253
1615938,-3.667,-3.84,0.22844,-0.253
1615939,-3.697,-3.87,0.22844,-0.253
1615940,-3.723,-3.9,0.22844,-0.253
1618310,-0.494,-0.41,0.91281,-0.033
1618311,-0.372,-0.3,0.91281,-0.033
1618312,-0.346,-0.28,0.91281,-0.033
1618313,-0.284,-0.22,0.91281,-0.033
1618314,-0.275,-0.21,0.91281,-0.033
1618315,-0.127,-0.09,1,-0.011
1618316,-0.015,-0.01,1,-0.011
1618317,-1.88,-1.43,0.82667,-0.055
1618318,-2.31,-1.76,0.82667,-0.055
1618319,-2.923,-2.25,0.74256,-0.077
1618320,-2.782,-2.21,0.74256,-0.077
1618321,-2.657,-2.25,0.74256,-0.077
1618322,-3.257,-2.96,0.74256,-0.077
1618323,-3.134,-2.76,0.74256,-0.077
1618324,-3.314,-3.17,0.66142,-0.099
1618325,-3.22,-2.99,0.66142,-0.099
1618326,-2.32,-2.12,0.27356,-0.231
1618327,-2.04,-1.87,0.22844,-0.253
1618328,-2.455,-2.29,0.22844,-0.253
1618329,-2.72,-2.45,0.15463,-0.297
1618330,-2.91,-2.68,0.12531,-0.319
1618331,-3.546,-3.35,0.15463,-0.297
1618332,-3.742,-3.49,0.15463,-0.297
1618333,-4.07,-3.74,0.18889,-0.275
1618334,-4.542,-4.1,0.15463,-0.297
1618335,-4.438,-3.94,0.15463,-0.297
1618336,-4.59,-4.08,0.15463,-0.297
1618337,-4.693,-4.29,0.15463,-0.297
1618338,-4.572,-4.4,0.18889,-0.275
1618339,-4.644,-4.55,0.18889,-0.275
1618340,-3.75,-3.73,0.22844,-0.253
1620712,-0.339,-0.27,0.91281,-0.033
1620713,-0.309,-0.24,0.91281,-0.033
1620714,-0.285,-0.22,0.91281,-0.033
1620715,-0.183,-0.14,1,-0.011
1620716,-0.121,-0.09,1,-0.011
1620717,-0.101,-0.07,1,-0.011
1620718,-0.101,-0.07,1,-0.011
1620719,-2.36,-1.84,0.82667,-0.055
1620720,-2.57,-1.97,0.82667,-0.055
1620721,-2.87,-2.2,0.74256,-0.077
1620722,-2.74,-2.18,0.74256,-0.077
1620723,-2.572,-2.13,0.74256,-0.077
1620724,-3.059,-2.59,0.74256,-0.077
1620725,-3.189,-2.88,0.74256,-0.077
1620726,-3.25,-3.04,0.66142,-0.099
1620727,-3.197,-2.95,0.66142,-0.099
1620728,-2.474,-2.21,0.27356,-0.231
1620729,-2.591,-2.28,0.22844,-0.253
1620730,-2.468,-2.27,0.22844,-0.253
1620731,-2.752,-2.4,0.18889,-0.275
1620732,-3.746,-3.37,0.15463,-0.297
1620733,-3.95,-3.62,0.15463,-0.297
1620734,-4.113,-3.76,0.18889,-0.275
1620735,-4.41,-3.97,0.15463,-0.297
1620736,-4.368,-3.89,0.15463,-0.297
1620737,-4.61,-4.18,0.15463,-0.297
1620738,-4.504,-4.18,0.15463,-0.297
1620739,-4.504,-4.33,0.18889,-0.275
1620740,-4.558,-4.49,0.18889,-0.275
1623115,-0.364,-0.29,0.91281,-0.033
1623116,-0.238,-0.18,0.91281,-0.033
1623117,-0.078,-0.06,1,-0.011
1623118,0.05,0.04,1,0.011
1623119,0.057,0.04,1,0.011
1623120,0.078,0.06,1,0.011
1623121,-2.16,-1.65,0.82667,-0.055
1623122,-2.55,-1.93,0.82667,-0.055
1623123,-2.807,-2.13,0.74256,-0.077
1623124,-2.633,-2,0.74256,-0.077
1623125,-2.48,-1.95,0.74256,-0.077
1623126,-3.001,-2.5,0.74256,-0.077
1623127,-3.096,-2.7,0.74256,-0.077
1623128,-3.23,-3,0.66142,-0.099
1623129,-3.293,-3.16,0.66142,-0.099
1623130,-2.321,-2.1,0.27356,-0.231
1623131,-2.551,-2.21,0.22844,-0.253
1623132,-2.664,-2.32,0.18889,-0.275
1623133,-2.721,-2.33,0.18889,-0.275
1623134,-3.923,-3.38,0.18889,-0.275
1623135,-4.052,-3.47,0.18889,-0.275
1623136,-4.238,-3.7,0.15463,-0.297
1623137,-4.364,-3.84,0.15463,-0.297
1623138,-4.603,-4.15,0.15463,-0.297
1623139,-4.352,-4.11,0.18889,-0.275
1623140,-4.364,-4.26,0.18889,-0.275
1623141,-4.448,-4.41,0.22844,-0.253
1623142,-3.606,-3.65,0.22844,-0.253
1625520,-0.044,-0.03,1,-0.011
1625521,-0.025,-0.02,1,-0.011
1625522,-0.01,-0.01,1,-0.011
1625523,-2.1,-1.58,0.82667,-0.055
1625524,-2.41,-1.79,0.82667,-0.055
1625525,-2.717,-1.99,0.74256,-0.077
1625526,-2.57,-1.92,0.74256,-0.077
1625527,-2.423,-1.91,0.74256,-0.077
1625528,-2.96,-2.43,0.74256,-0.077
1625529,-3.159,-2.83,0.74256,-0.077
1625530,-3.071,-2.69,0.74256,-0.077
1625531,-3.181,-2.93,0.66142,-0.099
1625532,-3.134,-2.85,0.58407,-0.121
1625533,-2.158,-1.9,0.18889,-0.275
1625534,-2.628,-2.25,0.22844,-0.253
1625535,-3.084,-2.61,0.22844,-0.253
1625536,-3.888,-3.26,0.18889,-0.275
1625537,-4.038,-3.37,0.18889,-0.275
1625538,-4.22,-3.54,0.18889,-0.275
1625539,-4.434,-3.9,0.15463,-0.297
1625540,-4.386,-4.03,0.15463,-0.297
1625541,-4.358,-4.16,0.18889,-0.275
1625542,-4.18,-4.18,0.22844,-0.253
1625543,-3.71,-3.73,0.22844,-0.253
1625544,-3.561,-3.67,0.22844,-0.253
1627925,-1.95,-1.44,0.82667,-0.055
1627926,-2.53,-1.87,0.82667,-0.055
1627927,-2.67,-1.96,0.74256,-0.077
1627928,-2.525,-1.92,0.74256,-0.077
1627929,-2.423,-1.93,0.74256,-0.077
1627930,-3.011,-2.53,0.74256,-0.077
1627931,-3.043,-2.62,0.74256,-0.077
1627932,-3.134,-2.82,0.66142,-0.099
1627933,-3.056,-2.68,0.66142,-0.099
1627934,-2.244,-2.05,0.22844,-0.253
1627935,-2.371,-2.02,0.18889,-0.275
1627936,-2.666,-2.21,0.27356,-0.231
1627937,-3.056,-2.53,0.22844,-0.253
1627938,-3.322,-2.8,0.18889,-0.275
1627939,-4.242,-3.7,0.15463,-0.297
1627940,-4.298,-3.82,0.15463,-0.297
1627941,-4.336,-3.94,0.15463,-0.297
1627942,-4.284,-4.06,0.18889,-0.275
1627943,-4.278,-4.2,0.18889,-0.275
1627944,-4.414,-4.32,0.18889,-0.275
1627945,-4.07,-4.07,0.22844,-0.253
1627946,-3.614,-3.66,0.22844,-0.253
1627947,-3.569,-3.65,0.22844,-0.253
1627948,-3.637,-3.67,0.22844,-0.253
1630328,-2.27,-1.63,0.82667,-0.055
1630329,-2.603,-1.89,0.74256,-0.077
1630330,-2.47,-1.85,0.74256,-0.077
1630331,-2.63,-2.09,0.74256,-0.077
1630332,-3.016,-2.55,0.74256,-0.077
1630333,-3.009,-2.56,0.74256,-0.077
1630334,-2.129,-1.94,0.38107,-0.187
1630335,-2.027,-1.78,0.22844,-0.253
1630336,-2.107,-1.88,0.18889,-0.275
1630337,-2.82,-2.36,0.15463,-0.297
1630338,-2.694,-2.22,0.22844,-0.253
1630339,-3.583,-3.02,0.10052,-0.341
1630340,-4.463,-3.92,0.10052,-0.341
1630341,-4.07,-3.81,0.18889,-0.275
1630342,-4.152,-3.92,0.18889,-0.275
1630343,-4.464,-4.27,0.18889,-0.275
1630344,-4.186,-4.09,0.18889,-0.275
1630345,-4.46,-4.21,0.18889,-0.275
1630346,-4.63,-4.33,0.18889,-0.275
1630347,-4.574,-4.45,0.18889,-0.275
1630348,-3.77,-3.78,0.22844,-0.253
1630349,-4.47,-4.4,0.18889,-0.275
1632730,-2.2,-1.55,0.82667,-0.055
1632731,-2.577,-1.9,0.74256,-0.077
1632732,-2.433,-1.87,0.74256,-0.077
1632733,-2.745,-2.18,0.74256,-0.077
1632734,-2.857,-2.29,0.74256,-0.077
1632735,-1.903,-1.65,0.38107,-0.187
1632736,-1.96,-1.73,0.27356,-0.231
1632737,-1.877,-1.6,0.22844,-0.253
1632738,-1.88,-1.6,0.15463,-0.297
1632739,-3.296,-2.71,0.15463,-0.297
1632740,-3.141,-2.58,0.18889,-0.275
1632741,-3.727,-3.21,0.10052,-0.341
1632742,-4.457,-3.96,0.10052,-0.341
1632743,-4.697,-4.2,0.10052,-0.341
1632744,-4.383,-3.99,0.15463,-0.297
1632745,-4.413,-4.02,0.15463,-0.297
1632746,-4.44,-4.14,0.15463,-0.297
1632747,-4.63,-4.2,0.15463,-0.297
1632748,-4.938,-4.6,0.15463,-0.297
1632749,-5.054,-4.89,0.18889,-0.275
1632750,-4.698,-4.53,0.18889,-0.275
1632754,-3.562,-3.64,0.22844,-0.253
1632755,-3.657,-3.69,0.22844,-0.253
1632756,-3.579,-3.7,0.22844,-0.253
1632775,-4.698,-4.78,0.27356,-0.231
1635130,-2.07,-1.53,0.82667,-0.055
1635131,-2.13,-1.53,0.82667,-0.055
1635132,-2.57,-1.83,0.74256,-0.077
1635133,-2.502,-1.81,0.74256,-0.077
1635134,-2.388,-1.82,0.74256,-0.077
1635135,-2.542,-1.93,0.74256,-0.077
1635136,-1.898,-1.55,0.38107,-0.187
1635137,-1.757,-1.49,0.27356,-0.231
1635138,-1.81,-1.56,0.22844,-0.253
1635139,-1.703,-1.41,0.18889,-0.275
1635140,-2.48,-2.02,0.15463,-0.297
1635141,-3.481,-2.8,0.18889,-0.275
1635142,-2.65,-2.19,0.10052,-0.341
1635143,-3.8,-3.33,0.10052,-0.341
1635144,-4.033,-3.53,0.10052,-0.341
1635145,-3.973,-3.41,0.10052,-0.341
1635146,-4.18,-3.58,0.10052,-0.341
1635147,-4.877,-4.33,0.10052,-0.341
1635148,-4.965,-4.4,0.15463,-0.297
1635149,-4.823,-4.32,0.15463,-0.297
1635150,-4.726,-4.35,0.15463,-0.297
1635151,-5.02,-4.74,0.18889,-0.275
1635152,-4.74,-4.66,0.18889,-0.275
1635154,-3.445,-3.58,0.22844,-0.253
1635155,-3.551,-3.63,0.22844,-0.253
1635156,-3.636,-3.65,0.22844,-0.253
1635157,-4.41,-4.34,0.18889,-0.275
1635158,-3.455,-3.5,0.22844,-0.253
1635169,-4.832,-4.9,0.27356,-0.231
1635170,-4.822,-4.88,0.27356,-0.231
1635174,-4.818,-4.88,0.22844,-0.253
1635175,-4.778,-4.8,0.22844,-0.253
1635176,-4.748,-4.77,0.27356,-0.231
1635177,-4.656,-4.61,0.27356,-0.231
1635178,-4.648,-4.68,0.27356,-0.231
1635180,-4.5,-4.48,0.22844,-0.253
1635181,-4.372,-4.26,0.22844,-0.253
1635184,-3.758,-3.86,0.18889,-0.275
1635185,-3.721,-3.82,0.18889,-0.275
1635208,-0.33,-0.45,0.82667,-0.055
1635209,-1.012,-1.38,0.82667,-0.055
1635210,-1.082,-1.5,0.74256,-0.077
1635211,-1.217,-1.7,0.74256,-0.077
1635212,-1.29,-1.81,0.66142,-0.099
1635213,-1.18,-1.7,0.66142,-0.099
1637531,-0.3,-0.21,1,-0.011
1637532,-2.55,-1.92,0.82667,-0.055
1637533,-2.67,-1.97,0.74256,-0.077
1637534,-2.628,-1.93,0.74256,-0.077
1637535,-2.475,-1.81,0.74256,-0.077
1637536,-2.288,-1.66,0.74256,-0.077
1637537,-2.074,-1.62,0.38107,-0.187
1637538,-1.74,-1.43,0.32442,-0.209
1637539,-1.654,-1.4,0.27356,-0.231
1637540,-1.657,-1.4,0.22844,-0.253
1637541,-1.539,-1.25,0.15463,-0.297
1637542,-3.69,-2.95,0.15463,-0.297
1637543,-3.707,-2.9,0.15463,-0.297
1637544,-2.56,-2.09,0.0798,-0.363
1637545,-3.05,-2.58,0.10052,-0.341
1637546,-3.24,-2.74,0.10052,-0.341
1637547,-3.243,-2.7,0.10052,-0.341
1637548,-3.72,-3.14,0.10052,-0.341
1637549,-4.42,-3.84,0.10052,-0.341
1637550,-4.797,-4.28,0.10052,-0.341
1637551,-4.222,-3.88,0.15463,-0.297
1637552,-4.472,-4.14,0.15463,-0.297
1637553,-4.806,-4.56,0.18889,-0.275
1637554,-4.68,-4.63,0.18889,-0.275
1637555,-3.9,-3.91,0.18889,-0.275
1637556,-3.73,-3.74,0.18889,-0.275
1637557,-4.65,-4.58,0.18889,-0.275
1637558,-5.08,-4.95,0.18889,-0.275
1637559,-4.93,-4.82,0.18889,-0.275
1637560,-4.3,-4.26,0.18889,-0.275
1637566,-3.987,-3.93,0.27356,-0.231
1637567,-4.848,-4.62,0.18889,-0.275
1637571,-4.744,-4.69,0.22844,-0.253
1637576,-4.774,-4.72,0.27356,-0.231
1637577,-4.682,-4.54,0.22844,-0.253
1637578,-4.658,-4.52,0.22844,-0.253
1637579,-4.56,-4.35,0.18889,-0.275
1637580,-4.556,-4.41,0.18889,-0.275
1637584,-4.507,-4.37,0.22844,-0.253
1637585,-4.55,-4.42,0.22844,-0.253
1637586,-4.476,-4.31,0.22844,-0.253
1637587,-4.16,-4.18,0.18889,-0.275
1637594,-1.82,-1.9,0.51122,-0.143
1637607,0.081,0.1,1,0.011
1637608,-0.19,-0.25,1,-0.011
1637609,-0.212,-0.28,1,-0.011
1637610,-0.365,-0.49,0.82667,-0.055
1637611,-1.007,-1.38,0.82667,-0.055
1637612,-1.088,-1.47,0.74256,-0.077
1637613,-1.367,-1.86,0.74256,-0.077
1637614,-1.313,-1.83,0.74256,-0.077
1637615,-1.212,-1.71,0.66142,-0.099
1637616,-1.272,-1.83,0.66142,-0.099
1637617,-1.323,-1.93,0.58407,-0.121
1637618,-1.301,-1.91,0.58407,-0.121
1639929,-0.371,-0.29,0.82667,-0.055
1639930,-0.27,-0.21,0.82667,-0.055
1639933,-0.277,-0.2,0.91281,-0.033
1639934,-2.918,-2.31,0.74256,-0.077
1639935,-2.773,-2.15,0.74256,-0.077
1639936,-2.627,-2.02,0.74256,-0.077
1639937,-1.35,-1.04,0.44342,-0.165
1639938,-1.37,-1.03,0.38107,-0.187
1639939,-1.852,-1.43,0.32442,-0.209
1639940,-1.498,-1.19,0.27356,-0.231
1639941,-1.371,-1.1,0.27356,-0.231
1639942,-1.379,-1.11,0.15463,-0.297
1639943,-2.5,-1.98,0.12531,-0.319
1639944,-3.93,-3.05,0.12531,-0.319
1639945,-3.25,-2.53,0.12531,-0.319
1639946,-2.73,-2.21,0.10052,-0.341
1639947,-2.582,-2.1,0.0798,-0.363
1639948,-2.597,-2.09,0.0798,-0.363
1639949,-2.813,-2.32,0.10052,-0.341
1639950,-3.513,-2.97,0.10052,-0.341
1639951,-4.26,-3.72,0.10052,-0.341
1639952,-4.43,-4,0.0798,-0.363
1639953,-4.16,-3.86,0.15463,-0.297
1639954,-4.346,-4.18,0.18889,-0.275
1639955,-4.598,-4.46,0.18889,-0.275
1639956,-3.72,-3.76,0.18889,-0.275
1639957,-3.35,-3.43,0.18889,-0.275
1639958,-4.994,-4.9,0.18889,-0.275
1639959,-5.114,-4.9,0.18889,-0.275
1639960,-5.182,-4.91,0.18889,-0.275
1639961,-4.45,-4.41,0.18889,-0.275
1639964,-3.92,-3.95,0.18889,-0.275
1639966,-4.83,-4.83,0.22844,-0.253
1639967,-4.25,-4.19,0.27356,-0.231
1639968,-4.054,-3.98,0.18889,-0.275
1639969,-4.812,-4.6,0.18889,-0.275
1639972,-4.716,-4.59,0.22844,-0.253
1639973,-4.71,-4.59,0.22844,-0.253
1639978,-4.68,-4.48,0.18889,-0.275
1639979,-4.562,-4.24,0.15463,-0.297
1639980,-5.089,-4.64,0.15463,-0.297
1639981,-5.036,-4.61,0.15463,-0.297
1639982,-4.572,-4.43,0.18889,-0.275
1639985,-4.485,-4.31,0.22844,-0.253
1639986,-4.883,-4.51,0.18889,-0.275
1639987,-4.323,-4,0.22844,-0.253
1639988,-4.506,-4.4,0.22844,-0.253
1639991,-3.87,-3.96,0.18889,-0.275
1639992,-3.84,-3.91,0.18889,-0.275
1639993,-2.647,-2.83,0.44342,-0.165
1639994,-2.603,-2.79,0.51122,-0.143
1639995,-2.185,-2.28,0.51122,-0.143
1640007,0.247,0.3,1,0.011
1640008,0.35,0.45,1,0.011
1640009,0.126,0.16,1,0.011
1640010,-0.159,-0.21,1,-0.011
1640011,-0.228,-0.3,1,-0.011
1640012,-0.427,-0.55,0.82667,-0.055
1640013,-0.995,-1.33,0.82667,-0.055
1640014,-1.078,-1.45,0.74256,-0.077
1640015,-1.566,-2.05,0.74256,-0.077
1640016,-1.578,-2.12,0.74256,-0.077
1640017,-1.477,-2,0.66142,-0.099
1640018,-1.298,-1.82,0.66142,-0.099
1640019,-1.347,-1.94,0.58407,-0.121
1640020,-1.378,-2,0.58407,-0.121
1640021,-1.27,-1.86,0.58407,-0.121
1640022,-1.074,-1.6,0.58407,-0.121
1640023,-1.024,-1.53,0.58407,-0.121
1642331,-0.3,-0.23,0.91281,-0.033
1642332,-0.438,-0.32,0.91281,-0.033
1642333,-0.315,-0.23,0.91281,-0.033
1642334,-0.211,-0.16,0.91281,-0.033
1642335,-0.264,-0.2,0.82667,-0.055
1642336,-2.898,-2.39,0.74256,-0.077
1642337,-2.778,-2.28,0.74256,-0.077
1642338,-1.492,-1.23,0.44342,-0.165
1642339,-1.43,-1.14,0.38107,-0.187
1642340,-1.147,-0.87,0.32442,-0.209
1642341,-1.49,-1.12,0.27356,-0.231
1642342,-1.298,-0.99,0.22844,-0.253
1642343,-1.116,-0.86,0.15463,-0.297
1642344,-1.61,-1.26,0.12531,-0.319
1642345,-4.02,-3.08,0.12531,-0.319
1642346,-4.02,-3.03,0.12531,-0.319
1642347,-3.562,-2.7,0.12531,-0.319
1642348,-3.325,-2.57,0.12531,-0.319
1642349,-2.95,-2.34,0.10052,-0.341
1642350,-2.592,-2.11,0.0798,-0.363
1642351,-2.86,-2.4,0.10052,-0.341
1642352,-3.677,-3.21,0.10052,-0.341
1642353,-4.31,-3.9,0.10052,-0.341
1642354,-3.748,-3.49,0.10052,-0.341
1642355,-4.01,-3.76,0.18889,-0.275
