"nie_malla_modi_id","sen_slope_presp","sen_slope_per_presp","p_value_presp","tau_presp"
1589498,-1.708,-1.75,0.82667,-0.055
1591900,-1.955,-1.98,0.82667,-0.055
1591901,-2.194,-2.35,0.66142,-0.099
1591914,-3.291,-3.64,0.15463,-0.297
1591915,-3.29,-3.66,0.15463,-0.297
1594301,-1.529,-1.5,0.82667,-0.055
1594302,-2.073,-2.09,0.82667,-0.055
1594303,-1.79,-1.85,0.82667,-0.055
1594310,-1.42,-1.5,0.38107,-0.187
1594311,-1.43,-1.51,0.38107,-0.187
1594312,-1.555,-1.63,0.27356,-0.231
1594315,-3.23,-3.44,0.15463,-0.297
1594316,-3.165,-3.49,0.15463,-0.297
1596703,-1.763,-1.76,0.82667,-0.055
1596704,-2.055,-2.08,0.82667,-0.055
1596705,-1.875,-1.92,0.82667,-0.055
1596711,-1.315,-1.42,0.38107,-0.187
1596712,-1.31,-1.4,0.38107,-0.187
1596713,-1.365,-1.45,0.27356,-0.231
1596714,-1.617,-1.7,0.27356,-0.231
1596715,-1.847,-1.92,0.27356,-0.231
1596716,-3.309,-3.57,0.15463,-0.297
1596717,-3.329,-3.62,0.15463,-0.297
1596718,-3.055,-3.34,0.15463,-0.297
1596719,-2.666,-2.94,0.15463,-0.297
1599103,-1.397,-1.34,0.82667,-0.055
1599104,-1.487,-1.45,0.82667,-0.055
1599105,-1.77,-1.73,0.82667,-0.055
1599106,-2.337,-2.33,0.82667,-0.055
1599107,-2.01,-2.05,0.82667,-0.055
1599108,-2.115,-2.22,0.66142,-0.099
1599114,-1.31,-1.39,0.27356,-0.231
1599115,-1.475,-1.57,0.27356,-0.231
1599116,-1.75,-1.84,0.22844,-0.253
1599117,-1.731,-1.81,0.27356,-0.231
1599118,-3.477,-3.68,0.15463,-0.297
1599119,-3.344,-3.56,0.18889,-0.275
1599120,-3.072,-3.33,0.18889,-0.275
1599121,-2.951,-3.22,0.18889,-0.275
1601504,-1.237,-1.14,0.91281,-0.033
1601505,-1.273,-1.18,0.74256,-0.077
1601506,-1.411,-1.34,0.82667,-0.055
1601507,-1.795,-1.72,0.74256,-0.077
1601508,-2.488,-2.42,0.74256,-0.077
1601509,-2.25,-2.27,0.74256,-0.077
1601510,-2.222,-2.27,0.66142,-0.099
1601516,-1.157,-1.22,0.18889,-0.275
1601517,-1.673,-1.76,0.27356,-0.231
1601518,-1.599,-1.64,0.18889,-0.275
1601519,-3.404,-3.49,0.18889,-0.275
1601520,-3.319,-3.27,0.18889,-0.275
1601521,-3.432,-3.53,0.18889,-0.275
1601522,-3.506,-3.7,0.18889,-0.275
1601523,-3.53,-3.75,0.18889,-0.275
1601524,-3.153,-3.44,0.18889,-0.275
1601525,-3.113,-3.41,0.18889,-0.275
1603905,-0.707,-0.61,0.82667,-0.055
1603906,-1.121,-1.01,0.82667,-0.055
1603907,-1.42,-1.26,0.74256,-0.077
1603908,-1.36,-1.27,0.74256,-0.077
1603909,-1.735,-1.61,0.74256,-0.077
1603910,-2.535,-2.41,0.74256,-0.077
1603911,-2.672,-2.64,0.74256,-0.077
1603912,-2.219,-2.25,0.66142,-0.099
1603918,-1.45,-1.53,0.22844,-0.253
1603919,-1.537,-1.6,0.15463,-0.297
1603920,-1.464,-1.48,0.18889,-0.275
1603921,-3.326,-3.3,0.18889,-0.275
1603922,-3.268,-3.11,0.15463,-0.297
1603923,-3.536,-3.49,0.18889,-0.275
1603924,-3.76,-3.8,0.18889,-0.275
1603925,-3.65,-3.83,0.18889,-0.275
1603926,-3.469,-3.71,0.18889,-0.275
1603927,-3.363,-3.66,0.18889,-0.275
1606307,-0.999,-0.87,0.82667,-0.055
1606308,-1.915,-1.65,0.82667,-0.055
1606309,-1.727,-1.53,0.74256,-0.077
1606310,-1.568,-1.42,0.74256,-0.077
1606311,-2.35,-2.12,0.74256,-0.077
1606312,-2.605,-2.44,0.74256,-0.077
1606313,-2.648,-2.57,0.74256,-0.077
1606314,-2.45,-2.41,0.74256,-0.077
1606315,-1.931,-1.95,0.66142,-0.099
1606320,-1.325,-1.36,0.22844,-0.253
1606321,-1.494,-1.54,0.15463,-0.297
1606322,-1.782,-1.78,0.12531,-0.319
1606323,-3.554,-3.48,0.18889,-0.275
1606324,-3.535,-3.32,0.15463,-0.297
1606325,-3.608,-3.37,0.15463,-0.297
1606326,-3.625,-3.62,0.18889,-0.275
1606327,-3.645,-3.7,0.18889,-0.275
1606328,-3.523,-3.76,0.18889,-0.275
1606329,-3.559,-3.82,0.18889,-0.275
1606330,-3.601,-3.91,0.18889,-0.275
1608708,-0.344,-0.28,0.91281,-0.033
1608709,-1.723,-1.46,0.82667,-0.055
1608710,-2.145,-1.79,0.82667,-0.055
1608711,-2.303,-2.01,0.74256,-0.077
1608712,-2.96,-2.58,0.74256,-0.077
1608713,-2.912,-2.57,0.74256,-0.077
1608714,-2.762,-2.57,0.74256,-0.077
1608715,-2.788,-2.62,0.74256,-0.077
1608716,-2.592,-2.52,0.74256,-0.077
1608717,-1.978,-1.98,0.66142,-0.099
1608718,-1.76,-1.79,0.51122,-0.143
1608719,-2.175,-2.18,0.32442,-0.209
1608720,-1.865,-1.88,0.2073,-0.264
1608721,-1.445,-1.46,0.22844,-0.253
1608723,-1.796,-1.83,0.12531,-0.319
1608724,-3.445,-3.47,0.18889,-0.275
1608725,-3.365,-3.21,0.15463,-0.297
1608726,-3.528,-3.31,0.15463,-0.297
1608727,-3.415,-3.25,0.15463,-0.297
1608728,-3.51,-3.56,0.18889,-0.275
1608729,-3.54,-3.65,0.18889,-0.275
1608730,-3.539,-3.72,0.18889,-0.275
1608731,-3.591,-3.83,0.18889,-0.275
1608732,-3.615,-3.89,0.18889,-0.275
1611108,-0.199,-0.15,0.91281,-0.033
1611110,-0.201,-0.15,0.91281,-0.033
1611111,-1.919,-1.55,0.82667,-0.055
1611112,-2.316,-1.86,0.82667,-0.055
1611113,-2.711,-2.28,0.74256,-0.077
1611114,-2.988,-2.5,0.74256,-0.077
1611115,-2.833,-2.44,0.74256,-0.077
1611116,-2.662,-2.34,0.74256,-0.077
1611117,-3.247,-2.94,0.74256,-0.077
1611118,-3.327,-3.16,0.74256,-0.077
1611119,-1.952,-1.95,0.58407,-0.121
1611120,-1.73,-1.73,0.51122,-0.143
1611121,-2.145,-2.13,0.32442,-0.209
1611122,-2.47,-2.37,0.27356,-0.231
1611123,-2.2,-2.17,0.22844,-0.253
1611124,-1.64,-1.65,0.15463,-0.297
1611125,-2.056,-2.09,0.12531,-0.319
1611126,-3.326,-3.33,0.18889,-0.275
1611127,-3.26,-3.13,0.15463,-0.297
1611128,-3.785,-3.53,0.15463,-0.297
1611129,-3.618,-3.43,0.15463,-0.297
1611130,-3.66,-3.58,0.15463,-0.297
